"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 31, 2011  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/28/2011 9:44:05 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Nonfarm industries","INF0",21819,22543,19127,11384,24500,19974,27336,19214,26862,-882,-18876,-33139,-28592,-29728,-11762,-22232,-10717,10287,27713,40925,35165,3982,-21844,-33239,-39335,7692,-7241,-26532,-38658,-57840,-48723,-67611,-46127,-30211,-47459,-68720,-23362,-47143,-49171,-32104,-65471,-48844,-32567,-99254,-151497,-177013,-74603,213664,123100,47704,-7987,-76334,-52972,3504,-42296,-109684
"10","2","Mining, utilities, and construction","ICMU0",916,2078,-691,-1437,5119,-943,1842,-500,-207,-5628,-3575,-288,-816,-6563,-1993,-10235,5450,7803,7860,-717,-872,-5664,-540,-6780,-12463,4324,896,-397,-8171,-6537,-3620,-11304,890,-3914,-15230,-28117,17551,10015,-1229,112,-9960,-5257,5109,-5911,-22814,-40422,-5151,42736,20819,9998,-4929,-11834,-15984,6696,-1104,580
"11","3","Manufacturing industries","I300",8391,6781,7520,8119,5866,6958,11213,16023,14956,1521,-4234,-12610,-9615,-13976,-8878,-9196,-8245,6006,11459,11072,17420,5739,-5792,-13510,-13486,-2263,-5484,-10466,-19299,-29315,-27447,-23833,-25012,-12851,-12802,-19740,-18990,-28283,-23069,-6689,-18703,-20733,-16472,-31151,-45126,-65389,-36083,81443,53645,33686,7342,-23167,-13704,-9688,-13540,-35692
"12",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","    Durable goods industries","I30D0",1913,4049,6749,8362,2371,4041,8229,11877,7204,693,-388,-4920,1412,-5874,-4344,-5845,-4016,3954,5489,6068,10231,3423,180,-5365,-1484,2653,-1120,-4310,-9144,-15893,-18850,-15307,-12219,-3405,-1256,-6060,-10229,-19625,-18153,-6946,-6580,-9879,-2163,-3440,-23467,-39637,-24720,22704,27552,19800,-2249,-12578,-7532,-11372,-1424,-8020
"14","5","      Wood product manufacturing","I3210",-297,-300,-245,-177,476,518,190,-200,-109,-149,169,205,131,502,91,-259,151,157,118,251,-488,256,626,2,-97,3,-377,-453,-1345,-642,-86,124,-1042,124,397,-159,-50,-356,-140,334,-620,-240,-506,-546,-230,-590,-950,-240,728,384,108,-145,280,-444,-44,4
"15","6","      Nonmetallic mineral product manufacturing","I3270",175,-167,-173,64,46,-176,-69,-96,-79,-77,-228,-268,-319,-172,-503,-542,-664,-71,40,139,194,19,86,-501,-519,-352,-282,553,366,-137,-696,-549,-860,-625,-367,-296,-594,-690,-566,-399,-31,-310,-339,-934,-421,-890,-1327,-679,-197,84,195,-8,168,32,-224,-284
"16","7","      Primary metal manufacturing","I3310",-1920,954,839,398,1853,1294,1923,2174,2015,639,-452,-1166,-1709,-976,-132,963,-72,809,943,695,739,535,-499,-806,-792,127,-236,-1671,-2383,-3111,-3355,-4801,-2730,-327,170,-1096,-2951,-5360,-3395,-2194,-1433,-3809,370,456,-4626,-7689,-3522,8941,6766,3328,-2224,-3797,-1108,-1472,-352,-2696
"17","8","      Fabricated metal product manufacturing","I3320",-44,230,47,-185,62,-43,444,1209,1334,400,-379,-816,-1224,-692,-620,498,398,1233,566,762,583,73,-510,-645,-1610,-724,-503,1352,-1293,-3678,-5837,-4994,-2472,-18,787,-1945,-2498,-3783,-3307,-860,-3177,-2182,-172,-167,-4841,-10671,-6493,8216,9301,6235,69,-2938,-2604,-3620,-444,-1720
"18","9","      Machinery manufacturing","I3330",1108,-1347,-481,873,-970,-724,55,1157,-324,-305,258,-565,581,-861,-563,-1289,-1472,528,845,1046,2274,992,-427,-1250,-414,88,-548,-1787,-1867,-2585,-2972,-2552,-2190,-1529,-1064,907,-2190,-2390,-2388,-837,-2603,-1978,-1092,50,-4700,-7755,-5319,2860,2604,3077,-341,-2311,-1136,-1960,-252,-980
"19","10","      Computer and electronic product manufacturing","I3340",4146,5313,6210,4999,2995,2686,3937,4257,3758,917,208,-122,4715,-965,1056,-2890,-3132,628,3126,2570,2151,1925,1322,934,4598,3886,1346,-709,730,-337,158,870,1226,709,431,-911,-971,-1034,-799,356,2769,2049,1313,634,-240,-1547,-190,1186,2122,2445,1134,-1106,512,448,808,624
"20","11","      Electrical equipment, appliance, and component manufacturing","I3350",-748,-143,171,680,622,659,367,44,272,-121,-218,-76,-43,-569,343,-440,-396,-235,221,606,173,-10,146,295,-131,-29,96,-244,-893,-809,-955,-868,-702,-323,-241,-910,-1091,-1866,-1126,-153,149,-1123,-158,-367,-2052,-1805,-590,1370,1787,507,-335,-634,-664,-536,-312,-928
"21","12","      Transportation equipment manufacturing","I3360",-750,-302,356,2018,-2794,-351,1041,2787,424,-142,623,-2160,270,-2220,-3907,-2155,1699,1286,-797,-941,3972,-952,-876,-3305,-415,27,-60,-1849,-1162,-2905,-3797,-1946,-2043,-305,-793,-1823,1435,-2733,-5502,-2795,-82,-1496,-1014,-2590,-4882,-6662,-4205,73,2495,2436,-1294,-1119,-2308,-2244,-532,-1424
"22","13","        Motor vehicle and parts manufacturing","I336MV0",652,-128,-257,951,-419,479,675,-193,-545,-47,1117,200,-1201,-340,-505,374,-591,460,-138,634,1237,-174,173,-988,-120,136,279,-359,-2207,-2087,-411,571,-2166,-811,203,282,11,-1123,-2230,-2,-980,-182,-52,-570,-1553,-3675,-2054,2222,3688,2407,-771,-2043,-840,-904,164,-672
"23","14","        Other transportation equipment manufacturing","I336OT0",-1402,-174,614,1067,-2375,-831,366,2980,969,-95,-494,-2360,1471,-1880,-3402,-2529,2289,827,-658,-1574,2735,-778,-1049,-2317,-295,-109,-338,-1490,1045,-818,-3386,-2517,124,506,-996,-2105,1424,-1610,-3272,-2794,898,-1314,-962,-2021,-3330,-2987,-2151,-2148,-1194,30,-523,924,-1468,-1340,-696,-752
"24","15","      Furniture and related product manufacturing","I3370",-64,-137,32,65,-133,52,19,182,-98,-169,-146,172,-212,-207,129,256,-239,-490,246,763,400,320,-1,-329,-1065,-581,-457,547,-424,-703,-193,-7,-358,-125,-101,-140,-394,-177,41,114,-201,-96,-63,3,-633,-806,-458,324,515,292,-2,-162,-92,-448,104,40
