"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"1","[Millions of dollars; quarters and months are seasonally adjusted at annual rates]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 31, 2011  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/28/2011 9:32:17 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","      Personal consumption expenditures","DPCERC0",317704,331795,342185,363336,382713,411454,443811,480893,507783,558001,605124,648301,701613,770230,852013,932932,1033788,1151254,1277823,1427621,1591167,1755826,1939506,2075495,2288576,2501083,2717608,2896746,3096960,3350056,3594490,3835453,3980073,4236891,4483594,4750806,4987280,5273608,5570626,5918488,6342784,6830371,7148807,7439191,7804013,8285080,8819002,9322662,9806312,10104487,10001328,10351935
"9","2","Goods","DGDSRC0",172607,177015,178809,188969,198154,212254,229676,249620,258991,284615,304677,318794,342116,373815,416636,451539,491334,546305,600383,663567,737938,799792,869373,899292,973780,1063700,1137606,1195629,1256296,1337308,1423803,1491302,1497435,1563269,1642347,1746554,1815532,1917673,2006764,2110021,2289994,2459132,2534006,2609957,2727406,2892254,3073918,3221723,3357677,3379521,3230719,3427600
"10","3","  Durable goods","DDURRC0",44887,45626,44206,49464,54228,59557,66391,71745,73981,84827,90482,89988,102447,116444,130527,130177,142165,168624,191963,213349,226340,226390,243940,253032,295029,342156,380363,421440,442021,475052,494328,497080,477185,508082,551532,607171,635738,676297,715530,780006,857356,915778,946347,992102,1014802,1061587,1105492,1133026,1159433,1083476,1026492,1089578
"11","4","    Motor vehicles and parts","DMOTRC0",18789,19582,17722,21386,24246,25802,29645,29927,29601,35414,37448,34538,43233,49365,54358,48166,52643,68172,79796,89173,90175,84430,93017,100014,122945,147192,170065,187519,188181,202213,207771,205119,185748,204798,224715,249843,255709,273486,293083,320205,350729,363227,383290,401347,401528,404734,409647,397132,402508,343238,319711,345208
"12","5","      New motor vehicles (55)","DNMVRC0",13623,14467,12450,15559,17887,18998,22216,22046,21081,25990,26842,23438,30535,35171,38710,31691,34568,46639,55858,62734,61406,54331,59142,64278,82867,99666,117830,134047,128790,138220,139304,134664,112903,126690,138896,151200,147451,152971,162209,179374,200058,210708,230018,243551,251607,252431,248894,233047,233151,184864,165318,177346
"13","6","        New autos","DNEARC0",13178,14017,12084,15015,17230,18277,21354,21029,20021,24511,25105,21945,28196,31617,33931,27005,29331,38167,44407,48521,49265,46395,50685,53336,66029,77144,86255,98970,91286,96675,92887,89675,72281,78016,82025,86421,82129,81764,82326,86873,95433,100252,98815,96054,91302,91909,97448,99982,95922,85672,72122,69512
"14","7","          New domestic autos","DNDCRC0",11981,13048,11363,14378,16501,17343,20225,19679,18354,22222,22481,18749,24123,27052,28408,21663,22811,31209,34580,37556,34991,30171,32268,33541,41524,48836,52982,61832,53187,57890,58093,56509,45538,49567,54377,58579,56422,56869,53647,57004,62003,65677,65829,64253,60471,59234,63204,62861,60090,52933,46181,42008
"15","8","          New foreign autos","DNFCRC0",1197,969,721,637,729,934,1129,1350,1667,2289,2624,3196,4073,4565,5523,5342,6520,6958,9827,10965,14274,16224,18417,19795,24505,28308,33273,37138,38099,38785,34794,33166,26743,28449,27648,27842,25707,24895,28679,29869,33430,34575,32986,31801,30831,32674,34244,37121,35832,32739,25941,27504
"16","9","        New light trucks","DNWTRC0",445,450,366,544,657,721,862,1017,1060,1479,1737,1493,2339,3554,4779,4686,5237,8472,11451,14213,12141,7936,8457,10942,16838,22522,31575,35077,37504,41545,46417,44989,40622,48674,56871,64779,65322,71207,79883,92501,104626,110457,131203,147497,160305,160522,151447,133065,137230,99193,93197,107834
"17","10","      Net purchases of used motor vehicles (56)","DNPVRC0",2783,2628,2703,3002,3347,3567,3979,4116,4519,4811,5203,5013,5562,6190,6750,6968,7788,10166,11061,12022,12434,12173,14301,15306,17961,24732,28752,29928,35451,37682,41501,42201,45042,49381,55022,64906,72892,82868,91741,101354,109602,110731,112012,116122,106633,107115,112707,113524,116713,106137,104063,114489
"18","11","        Used autos","DNPURC0",2710,2554,2643,2912,3239,3448,3837,3948,4335,4635,5016,4809,5316,5917,6405,6619,7444,9664,10382,11128,11325,10848,12761,13551,15626,21414,24424,23782,28396,28940,30997,29313,31377,34394,38366,46847,50505,54166,57058,59433,60505,60008,58741,59242,53337,52878,55674,54236,53038,48295,44392,48279
"19","12","          Net transactions in used autos","DNETRC0",1027,978,1190,1258,1387,1476,1699,1797,2157,2220,2473,2408,2302,2441,2836,3286,3597,4482,4975,5441,6365,6644,7227,7681,7962,13335,16004,14156,15883,17075,17595,17729,19764,22175,23988,28917,30789,32660,34241,37770,38218,37500,34929,36212,32318,29785,31428,30327,29040,26874,25178,27763
"20","13","          Used auto margin","DMARRC0",1825,1727,1621,1844,2058,2191,2379,2422,2469,2718,2857,2722,3341,3804,3898,3703,4238,5595,5855,6227,5591,4925,6346,6769,8563,8978,9319,10525,13412,12931,14635,12985,13181,13954,16113,19664,21451,23241,24552,23399,24021,24244,25547,24765,22754,24827,25981,25644,25733,23157,20949,22251
