"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2010 9:04:06 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Personal consumption expenditures","DPCERC1",77.4,70.1,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.3,67.2,71.3,81.1,89,99.9,108.7,120,144.3,162,175,178.5,192.2,208.5,219.5,233.1,240,258.8,271.7,286.9,296.2,317.7,331.8,342.2,363.3,382.7,411.5,443.8,480.9,507.8,558,605.1,648.3,701.6,770.2,852,932.9,1033.8,1151.3,1277.8,1427.6,1591.2,1755.8,1939.5,2075.5,2288.6,2501.1,2717.6,2896.7,3097,3350.1,3594.5,3835.5,3980.1,4236.9,4483.6,4750.8,4987.3,5273.6,5570.6,5918.5,6342.8,6830.4,7148.8,7439.2,7804,8285.1,8819,9322.7,9826.4,10129.9
"9","2","Goods","DGDSRC1",43.8,38.2,31.7,24.1,23.8,28.5,31.6,36,38.4,36,37.9,40.6,47.4,51,56.3,60.5,67.6,86.2,99.4,107.4,108.1,116.8,124.8,128.8,134.8,135.8,147.4,152.2,159.6,161.6,172.6,177,178.8,189,198.2,212.3,229.7,249.6,259,284.6,304.7,318.8,342.1,373.8,416.6,451.5,491.3,546.3,600.4,663.6,737.9,799.8,869.4,899.3,973.8,1063.7,1137.6,1195.6,1256.3,1337.3,1423.8,1491.3,1497.4,1563.3,1642.3,1746.6,1815.5,1917.7,2006.8,2110,2290,2459.1,2534,2610,2727.4,2892.3,3073.9,3221.7,3365,3403.2
"10","3","  Durable goods","DDURRC1",9.8,7.7,5.9,4,3.8,4.6,5.5,6.7,7.4,6.1,7.2,8.3,10.3,7.6,7.5,7.7,9.1,17.1,21.8,24.5,26.6,32.4,31.7,31.2,34.6,33.7,40.7,40.2,42,39.5,44.9,45.6,44.2,49.5,54.2,59.6,66.4,71.7,74,84.8,90.5,90,102.4,116.4,130.5,130.2,142.2,168.6,192,213.3,226.3,226.4,243.9,253,295,342.2,380.4,421.4,442,475.1,494.3,497.1,477.2,508.1,551.5,607.2,635.7,676.3,715.5,780,857.4,915.8,946.3,992.1,1014.8,1061.6,1105.5,1133,1160.5,1095.2
"11","4","    Motor vehicles and parts","DMOTRC1",3.3,2.2,1.6,1,1.1,1.4,1.9,2.4,2.5,1.7,2.2,2.8,3.5,0.7,0.8,0.8,1,4.1,6.5,7.9,10.5,13.7,12.1,11.4,13.8,12.7,17.7,15.7,17.5,15,18.8,19.6,17.7,21.4,24.2,25.8,29.6,29.9,29.6,35.4,37.4,34.5,43.2,49.4,54.4,48.2,52.6,68.2,79.8,89.2,90.2,84.4,93,100,122.9,147.2,170.1,187.5,188.2,202.2,207.8,205.1,185.7,204.8,224.7,249.8,255.7,273.5,293.1,320.2,350.7,363.2,383.3,401.3,401.5,404.7,409.6,397.1,400.3,342.3
"12","5","      New motor vehicles (55)","DNMVRC1",2.6,1.7,1.2,0.6,0.8,1,1.5,2,2,1.2,1.7,2.2,2.7,0.1,0.1,0.1,0,2.2,4.3,5.4,8,10.7,9,8.3,11.4,11.1,14.2,12,13,10.1,13.6,14.5,12.5,15.6,17.9,19,22.2,22,21.1,26,26.8,23.4,30.5,35.2,38.7,31.7,34.6,46.6,55.9,62.7,61.4,54.3,59.1,64.3,82.9,99.7,117.8,134,128.8,138.2,139.3,134.7,112.9,126.7,138.9,151.2,147.5,153,162.2,179.4,200.1,210.7,230,243.6,251.6,252.4,248.9,233,233.3,184.5
"13","6","      Net purchases of used motor vehicles (56)","DNPVRC1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.3,0.3,0.3,0.5,0.8,1.3,1.3,1.5,1.6,1.4,1,0.3,1.9,2,2.5,2.8,2.8,2.6,2.7,3,3.3,3.6,4,4.1,4.5,4.8,5.2,5,5.6,6.2,6.8,7,7.8,10.2,11.1,12,12.4,12.2,14.3,15.3,18,24.7,28.8,29.9,35.5,37.7,41.5,42.2,45,49.4,55,64.9,72.9,82.9,91.7,101.4,109.6,110.7,112,116.1,106.6,107.1,112.7,113.5,114.5,105.4
"14","7","      Motor vehicle parts and accessories (58)","DMVPRC1",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.3,0.4,0.4,0.7,1.4,1.4,1.3,1.2,1.5,1.5,1.6,1.5,1.3,1.6,1.7,2,2.1,2.4,2.5,2.6,2.8,3,3.2,3.5,3.8,4,4.6,5.4,6.1,7.1,8,8.9,9.5,10.3,11.4,12.9,14.4,16.3,17.9,19.6,20.4,22.1,22.8,23.5,23.5,23.9,26.3,27,28.3,27.8,28.7,30.8,33.7,35.4,37.6,39.1,39.5,41.1,41.8,41.3,41.7,43.3,45.2,48,50.6,52.5,52.4
"15","8","    Furnishings and durable household equipment","DFDHRC1",3.8,3,2.6,1.9,1.7,2,2.3,2.9,3.2,2.8,3.2,3.5,4.4,4.2,3.8,3.8,4.5,7.7,9.6,10.5,10.1,11.8,12.4,12.2,12.6,12.5,14,14.8,14.8,14.6,15.5,15.4,15.6,16.4,17.5,19.5,20.7,22.6,23.7,26.1,27.6,28.2,29.9,33.5,38,40.9,42.6,47.2,53.4,59,65.3,67.8,71.5,71.8,79.8,88.8,94.6,103.5,109.5,115.2,121.4,120.9,118.8,124.3,131.4,140.5,146.7,153.5,160.5,173.6,191.2,208.1,214.9,225.9,233.3,249.2,263.9,276.5,279.8,270.1
