"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","Business \1\","A195RC1","769,106.0","802,169.0","868,260.0","957,127.0","1,077,360.0","1,164,509.0","1,265,751.0","1,420,671.0","1,590,004.0","1,809,429.0","2,028,468.0","2,186,104.0","2,453,990.0","2,514,893.0","2,741,087.0","3,065,462.0","3,283,938.0","3,461,542.0","3,661,989.0","3,940,150.0","4,235,739.0","4,453,893.0","4,558,561.0","4,829,243.0","5,084,104.0","5,425,241.0","5,677,831.0","6,030,170.0","6,442,800.0","6,810,840.0","7,249,004.0","7,715,528.0","7,913,630.0","8,132,835.0","8,502,819.0","9,070,124.0","9,680,063.0","10,262,413.0","10,738,266.0","10,787,847.0","10,366,969.0","10,835,986.0","11,341,187.0"
"21","3","  Nonfarm \2\","A358RC1","746,281.0","778,484.0","842,889.0","927,477.0","1,030,598.0","1,120,264.0","1,220,126.0","1,377,650.0","1,546,471.0","1,758,703.0","1,968,365.0","2,134,736.0","2,389,038.0","2,454,481.0","2,696,153.0","3,001,311.0","3,220,511.0","3,402,050.0","3,600,517.0","3,879,410.0","4,161,970.0","4,376,635.0","4,487,956.0","4,748,851.0","5,012,743.0","5,341,342.0","5,608,689.0","5,936,891.0","6,354,851.0","6,731,623.0","7,177,815.0","7,641,911.0","7,837,416.0","8,060,531.0","8,410,407.0","8,951,870.0","9,578,045.0","10,169,363.0","10,623,373.0","10,657,396.0","10,253,733.0","10,711,225.0","11,202,521.0"
"22","4","  Farm","B359RC1","22,825.0","23,685.0","25,371.0","29,650.0","46,762.0","44,245.0","45,625.0","43,021.0","43,533.0","50,726.0","60,103.0","51,368.0","64,952.0","60,412.0","44,934.0","64,151.0","63,427.0","59,492.0","61,472.0","60,740.0","73,769.0","77,258.0","70,605.0","80,392.0","71,361.0","83,899.0","69,142.0","93,279.0","87,949.0","79,217.0","71,189.0","73,617.0","76,214.0","72,304.0","92,412.0","118,254.0","102,018.0","93,050.0","114,893.0","130,451.0","113,236.0","124,761.0","138,666.0"
"23","5","Households and institutions","A193RC1","85,363.0","92,624.0","102,203.0","111,358.0","121,673.0","133,614.0","147,490.0","160,456.0","175,510.0","196,866.0","220,796.0","253,528.0","287,547.0","319,346.0","348,156.0","380,292.0","410,104.0","442,251.0","482,826.0","529,675.0","574,182.0","623,981.0","665,929.0","711,137.0","752,080.0","800,015.0","852,064.0","897,000.0","949,246.0","1,010,107.0","1,082,919.0","1,157,175.0","1,232,902.0","1,298,048.0","1,347,214.0","1,423,786.0","1,506,420.0","1,602,850.0","1,685,815.0","1,805,690.0","1,844,850.0","1,851,227.0","1,892,078.0"
"24","6","  Households","B701RC1","55,960.0","59,825.0","65,549.0","70,813.0","76,475.0","83,003.0","90,756.0","98,652.0","107,889.0","121,304.0","135,954.0","156,549.0","177,815.0","196,667.0","212,522.0","231,000.0","250,311.0","267,964.0","288,028.0","313,076.0","337,219.0","363,338.0","383,710.0","405,271.0","428,260.0","461,299.0","492,211.0","519,762.0","550,908.0","583,855.0","628,411.0","673,491.0","719,543.0","745,991.0","762,686.0","806,047.0","864,389.0","924,785.0","968,057.0","1,042,753.0","1,048,301.0","1,038,519.0","1,055,206.0"
"25","7","  Nonprofit institutions serving households \3\","B702RC1","29,403.0","32,799.0","36,654.0","40,545.0","45,198.0","50,611.0","56,734.0","61,804.0","67,621.0","75,562.0","84,842.0","96,979.0","109,732.0","122,679.0","135,634.0","149,292.0","159,793.0","174,287.0","194,798.0","216,599.0","236,963.0","260,643.0","282,219.0","305,866.0","323,820.0","338,716.0","359,853.0","377,238.0","398,338.0","426,252.0","454,508.0","483,684.0","513,359.0","552,057.0","584,528.0","617,739.0","642,031.0","678,065.0","717,758.0","762,937.0","796,549.0","812,708.0","836,872.0"
"26","8","General government \4\","A765RC1","129,962.0","143,533.0","156,354.0","169,400.0","183,236.0","201,329.0","224,459.0","243,456.0","264,616.0","287,467.0","312,964.0","348,511.0","385,300.0","418,955.0","445,363.0","485,141.0","523,428.0","556,274.0","591,539.0","630,597.0","672,225.0","722,653.0","767,604.0","801,926.0","831,166.0","859,904.0","884,760.0","911,286.0","940,316.0","972,548.0","1,021,561.0","1,078,779.0","1,139,635.0","1,211,433.0","1,292,179.0","1,359,344.0","1,436,476.0","1,511,952.0","1,604,594.0","1,698,006.0","1,761,862.0","1,811,709.0","1,842,402.0"
"27","9","  Federal","A766RC1","59,940.0","64,038.0","67,714.0","71,533.0","73,926.0","79,573.0","87,309.0","93,804.0","102,020.0","109,691.0","117,594.0","131,206.0","147,380.0","161,214.0","171,247.0","192,070.0","205,013.0","212,570.0","223,304.0","234,750.0","246,444.0","258,797.0","274,834.0","281,995.0","285,190.0","285,165.0","283,597.0","287,561.0","290,030.0","292,247.0","300,394.0","315,102.0","324,936.0","351,840.0","382,921.0","412,012.0","438,743.0","460,645.0","486,042.0","517,714.0","553,223.0","589,248.0","606,977.0"
"28","10","  State and local","A767RC1","70,022.0","79,495.0","88,640.0","97,867.0","109,310.0","121,756.0","137,150.0","149,652.0","162,596.0","177,776.0","195,370.0","217,305.0","237,920.0","257,741.0","274,116.0","293,071.0","318,415.0","343,704.0","368,235.0","395,847.0","425,781.0","463,856.0","492,770.0","519,931.0","545,976.0","574,739.0","601,163.0","623,725.0","650,286.0","680,301.0","721,167.0","763,677.0","814,699.0","859,593.0","909,258.0","947,332.0","997,733.0","1,051,307.0","1,118,552.0","1,180,292.0","1,208,639.0","1,222,461.0","1,235,425.0"
"29",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Gross housing value added","A2009C1","71,254.0","76,678.0","83,941.0","91,053.0","98,340.0","106,835.0","117,202.0","126,635.0","140,452.0","155,533.0","172,948.0","199,847.0","228,801.0","255,733.0","277,718.0","301,333.0","333,069.0","359,727.0","385,503.0","415,291.0","443,366.0","477,797.0","508,064.0","538,584.0","562,947.0","602,586.0","640,724.0","671,267.0","708,561.0","745,297.0","798,312.0","849,901.0","904,447.0","932,462.0","938,243.0","988,666.0","1,054,010.0","1,130,771.0","1,200,626.0","1,299,724.0","1,322,437.0","1,322,014.0","1,351,987.0"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","and rental income of persons for tenant-occupied housing owned by nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
