"","Table 2#2B# Wage and Salary Disbursements by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    Wage and salary disbursements","A576RC1","4,988,117.0","4,961,425.0","4,932,431.0","4,926,837.0","4,963,557.0","5,002,990.0","5,006,293.0","5,016,386.0","5,049,563.0","5,109,864.0","5,159,579.0","5,239,391.0","5,279,397.0","5,385,092.0","5,493,902.0","5,544,377.0","5,584,179.0","5,651,665.0","5,758,339.0","5,809,745.0","5,978,894.0","6,018,598.0","6,075,433.0","6,202,646.0","6,353,128.0","6,382,797.0","6,427,563.0","6,523,411.0","6,600,492.0","6,554,927.0","6,550,605.0","6,497,411.0","6,279,103.0","6,278,181.0","6,252,176.0","6,271,869.0","6,298,745.0","6,394,588.0","6,449,694.0","6,475,227.0","6,618,507.0","6,656,162.0","6,678,109.0","6,692,388.0","6,825,859.0","6,849,190.0","6,879,640.0"
"21","2","Private industries","A132RC1","4,183,713.0","4,146,001.0","4,103,999.0","4,087,561.0","4,101,981.0","4,132,618.0","4,128,481.0","4,133,694.0","4,146,142.0","4,196,045.0","4,243,959.0","4,318,951.0","4,338,969.0","4,432,872.0","4,538,062.0","4,581,633.0","4,601,739.0","4,664,053.0","4,763,883.0","4,808,297.0","4,959,878.0","4,990,282.0","5,034,453.0","5,150,354.0","5,276,752.0","5,300,145.0","5,334,983.0","5,418,907.0","5,472,908.0","5,417,063.0","5,399,601.0","5,337,443.0","5,112,139.0","5,102,116.0","5,074,413.0","5,091,753.0","5,110,707.0","5,198,805.0","5,259,558.0","5,284,040.0","5,424,711.0","5,458,811.0","5,480,415.0","5,499,925.0","5,626,763.0","5,649,362.0","5,676,252.0"
"22","3","  Goods-producing industries","N231RC1","1,072,461.0","1,053,924.0","1,031,640.0","1,017,243.0","1,016,248.0","1,017,750.0","1,008,457.0","1,003,655.0","1,002,778.0","1,003,452.0","1,004,980.0","1,033,040.0","1,021,011.0","1,047,306.0","1,074,491.0","1,074,799.0","1,081,917.0","1,094,002.0","1,118,604.0","1,119,106.0","1,171,534.0","1,170,085.0","1,169,780.0","1,192,452.0","1,206,681.0","1,210,985.0","1,210,245.0","1,225,789.0","1,232,550.0","1,218,492.0","1,201,949.0","1,177,917.0","1,104,497.0","1,064,024.0","1,044,198.0","1,040,387.0","1,035,709.0","1,056,890.0","1,068,525.0","1,068,778.0","1,102,581.0","1,107,858.0","1,116,398.0","1,107,431.0","1,144,035.0","1,161,766.0","1,167,208.0"
"23","4","    Manufacturing","N552RC1","737,839.0","722,522.0","701,967.0","688,936.0","682,156.0","687,075.0","677,168.0","672,124.0","670,462.0","669,041.0","667,702.0","687,673.0","673,539.0","688,223.0","705,733.0","704,857.0","703,321.0","707,355.0","716,574.0","714,259.0","738,797.0","735,359.0","734,057.0","746,482.0","753,175.0","751,590.0","748,271.0","755,756.0","755,745.0","747,553.0","738,421.0","721,835.0","679,534.0","660,603.0","649,188.0","656,664.0","655,484.0","673,632.0","682,085.0","685,325.0","708,344.0","706,993.0","710,122.0","700,963.0","723,058.0","744,293.0","749,772.0"
"24","5","  Services-producing industries","N233RC1","3,111,252.0","3,092,077.0","3,072,359.0","3,070,318.0","3,085,733.0","3,114,868.0","3,120,024.0","3,130,039.0","3,143,364.0","3,192,593.0","3,238,979.0","3,285,911.0","3,317,958.0","3,385,566.0","3,463,571.0","3,506,834.0","3,519,822.0","3,570,051.0","3,645,279.0","3,689,191.0","3,788,344.0","3,820,197.0","3,864,673.0","3,957,902.0","4,070,071.0","4,089,160.0","4,124,738.0","4,193,118.0","4,240,358.0","4,198,571.0","4,197,652.0","4,159,526.0","4,007,642.0","4,038,092.0","4,030,215.0","4,051,366.0","4,074,998.0","4,141,915.0","4,191,033.0","4,215,262.0","4,322,130.0","4,350,953.0","4,364,017.0","4,392,494.0","4,482,728.0","4,487,596.0","4,509,044.0"
"25","6","    Trade, transportation, and utilities","N234RC1","853,173.0","848,938.0","842,918.0","839,428.0","842,474.0","847,885.0","848,512.0","847,269.0","853,874.0","857,197.0","864,001.0","878,059.0","879,927.0","898,581.0","917,893.0","924,968.0","928,687.0","938,943.0","953,112.0","957,713.0","982,536.0","989,375.0","997,772.0","1,014,272.0","1,032,735.0","1,046,631.0","1,043,702.0","1,057,588.0","1,063,734.0","1,053,296.0","1,047,590.0","1,034,241.0","1,001,864.0","988,520.0","982,666.0","983,469.0","987,059.0","1,003,564.0","1,015,327.0","1,016,186.0","1,043,063.0","1,046,770.0","1,054,159.0","1,056,568.0","1,083,307.0","1,098,362.0","1,107,153.0"
"26","7","    Other services-producing industries \1\","N235RC1","2,258,079.0","2,243,139.0","2,229,441.0","2,230,890.0","2,243,259.0","2,266,983.0","2,271,512.0","2,282,770.0","2,289,490.0","2,335,396.0","2,374,978.0","2,407,852.0","2,438,031.0","2,486,985.0","2,545,678.0","2,581,866.0","2,591,135.0","2,631,108.0","2,692,167.0","2,731,478.0","2,805,808.0","2,830,822.0","2,866,901.0","2,943,630.0","3,037,336.0","3,042,529.0","3,081,036.0","3,135,530.0","3,176,624.0","3,145,275.0","3,150,062.0","3,125,285.0","3,005,778.0","3,049,572.0","3,047,549.0","3,067,897.0","3,087,939.0","3,138,351.0","3,175,706.0","3,199,076.0","3,279,067.0","3,304,183.0","3,309,858.0","3,335,926.0","3,399,421.0","3,389,234.0","3,401,891.0"
"27","8","Government","B202RC1","804,404.0","815,424.0","828,432.0","839,276.0","861,576.0","870,372.0","877,812.0","882,692.0","903,421.0","913,819.0","915,620.0","920,440.0","940,428.0","952,220.0","955,840.0","962,744.0","982,440.0","987,612.0","994,456.0","1,001,448.0","1,019,016.0","1,028,316.0","1,040,980.0","1,052,292.0","1,076,376.0","1,082,652.0","1,092,580.0","1,104,504.0","1,127,584.0","1,137,864.0","1,151,004.0","1,159,968.0","1,166,964.0","1,176,065.0","1,177,763.0","1,180,116.0","1,188,038.0","1,195,783.0","1,190,136.0","1,191,187.0","1,193,796.0","1,197,351.0","1,197,694.0","1,192,463.0","1,199,096.0","1,199,828.0","1,203,388.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Other services-producing industries consists of information; finance and insurance; real estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","and rental and leasing; professional, scientific, and technical services; management of companies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","and enterprises, administrative and support and waste management and remediation services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","educational services; health care and social assistance; arts, entertainment, and recreation;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
