"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 30, 2007 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/29/2007 4:19:33 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","B     Nonfarm industries","INF0",21696,23904,19776,13524,33784,19580,29220,25828,24404,1848,-14788,-19300,-32148,-19776,-9556,-22980,1808,13052,33008,37880,16256,-8024,-11612,-16464,-47372,588,-5620,-23316,-49984,-65628,-48584,-63716,-52464,-30312,-53804,-82468,-16660,-54300,-38612,-22508,-48144,-66412,-12856
"10","2","D Mining, utilities, and construction","ICMU0",1264,3532,328,-1576,4792,-316,1968,772,1720,-5604,-4144,-652,-256,-7032,-1860,-11836,4420,9932,11796,820,-432,-9404,596,-8120,-18740,5896,1416,1884,-13936,-8728,-2992,-10068,-1112,-5716,-14860,-34916,19752,11844,60,3872,-7780,-9440,8452
"11","3","D Manufacturing industries","I300",9680,8368,6956,5448,13128,10032,12184,15920,14472,5760,-2612,-7588,-17100,-6456,-9140,-5020,-3084,2216,12124,18140,11188,-604,-3136,-4940,-15956,-5788,-4160,-12936,-20424,-30588,-31148,-29972,-27536,-11980,-18316,-32576,-21600,-32976,-25688,-7872,-11364,-26804,-8752
"12",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","4","D     Durable goods industries","I30D0",4936,5724,5624,4500,8356,6204,8836,10944,9088,4656,-212,-2732,-8620,280,-3416,1204,1756,2440,6332,7204,5764,-836,180,96,-3272,-1228,-668,-4372,-12224,-18464,-19188,-17452,-12184,-1880,-2300,-14352,-12428,-22280,-19444,-4936,-6288,-15052,-2032
"14","5","D       Wood product manufacturing","I3210",-816,-304,48,48,-116,80,328,624,116,-264,-396,224,-204,336,620,240,216,120,356,532,204,-92,8,276,-104,52,-372,-444,-692,-980,-508,120,-548,-72,0,-308,-556,-212,24,-124,-876,-124,-52
"15","6","D       Nonmetallic mineral product manufacturing","I3270",168,68,-92,-268,20,-16,-68,120,48,-96,-80,-208,-480,-244,-392,-368,-620,-108,4,216,156,-344,-72,-248,-336,-168,-108,-416,-60,-384,-624,-540,-632,-624,-776,-828,-456,-788,-576,-212,-480,-760,-352
"16","7","D       Primary metal manufacturing","I3310",-2468,604,944,1152,1832,1516,2156,2656,2080,724,-224,-776,-1324,316,-312,124,308,1136,1196,1188,336,-860,-368,-436,-1136,-684,-1112,-2220,-5716,-2880,-4956,-4004,132,1256,-568,-3724,-3016,-6060,-2564,112,-2104,-3308,272
"17","8","D       Fabricated metal product manufacturing","I3320",-340,240,112,-12,596,524,828,1280,1312,464,0,-420,-1516,-272,-616,-200,276,940,1100,1176,656,52,-604,-620,-888,-88,-100,-868,-2992,-5044,-4572,-4008,-2612,-276,8,-3680,-3112,-4292,-5136,-896,-592,-3988,-164
"18","9","D       Machinery manufacturing","I3330",1896,-496,-548,-636,104,-260,-164,-4,248,588,-128,-220,-1412,-488,-184,220,896,-60,616,368,1716,256,-176,-544,-1236,-548,-324,-548,-1292,-3704,-3164,-3192,-2688,-856,92,-1776,-1960,-2664,-3620,-1224,-1204,-2484,-640
"19","10","D       Computer and electronic product manufacturing","I3340",5956,5628,5152,3868,4576,3380,3488,3876,3288,3072,1712,172,16,2180,-256,1976,1588,4,1604,2432,2388,1352,2116,1804,2084,1236,2032,2000,1200,584,52,-128,-276,828,204,1460,2120,-712,-564,-828,492,1120,372
"20","11","D       Electrical equipment, appliance, and component manufacturing","I3350",-960,196,280,424,520,376,556,560,452,124,-236,-380,-612,-60,-344,276,48,40,76,180,364,256,128,220,-224,-68,72,-152,-844,-864,-856,-1104,-760,-228,-200,-932,-692,-2180,-1508,-216,112,-1196,-128
"21","12","D       Transportation equipment manufacturing","I3360",1344,-92,-44,-24,432,512,1256,1264,880,148,-204,-764,-1988,-1588,-1668,-932,-936,580,680,452,-572,-1764,-904,-372,-972,-500,-460,-1224,-580,-3032,-2884,-3308,-3148,-1400,-916,-2288,-2592,-3152,-4260,-1404,-1324,-2700,-680
