"","Table 7#18# Relation of Wages and Salaries in the National Incom","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1982 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2010 12:23:39 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","Total wages and salaries, BLS \1\","BA06RC1",1479.2,1563.5,1718,1848,1961.5,2107.9,2280.6,2415.1,2564.5,2627,2781.7,2884.5,3033.7,3215.9,3414.5,3674,3967.1,4235.6,4587.7,4695.2,4714.4,4826.3,5087.6,5351.9,5692.6,6018.1,6142.2,5858.2
"9","2","Plus: Adjustment for misreporting on employment tax returns \2\","BA07RC1",25.6,27,28.2,29.9,31.9,33.4,36.3,38.2,40.2,42.5,43.6,45,46.5,48,49.6,52.4,55,57.8,60.7,65.1,68.8,72.6,77,76,81.3,95.7,91.4,89.2
"10","3","      Adjustment for wages and salaries not covered or not fully covered by unemployment insurance","W873RC1",82.7,87.5,98.5,104.8,109,115,122.9,129.7,136.4,145,148.3,147.2,150.7,154.1,152.2,150.1,159.6,166.7,179.3,191.8,214.1,240.8,261.1,273.1,295.1,307.9,325.5,326.7
"11","4","        Government","W787RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.9,70.3,72.1,70.9,69.6,71.8,75.8,79.6,78.8,89.5,102.9,110.9,119.8,123.4,128.8,137.3,143.6
"12","5","        Other","W786RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.3,80.4,82,81.3,80.5,87.8,90.8,99.7,113,124.6,137.9,150.2,153.2,171.6,179.1,188.2,183.1
"13","6","Equals: Wage and salary disbursements, NIPAs","A576RC1",1587.5,1678,1844.7,1982.8,2102.3,2256.3,2439.8,2583.1,2741.1,2814.5,2973.5,3076.6,3230.8,3418,3616.3,3876.6,4181.6,4460,4827.7,4952.2,4997.3,5139.6,5425.7,5701,6068.9,6421.7,6559,6274.1
"14","7","Plus: Wage accruals less disbursements, NIPAs","A062RC1",0,-0.4,0.2,-0.2,0,0,0,0,0.1,-0.1,-15.8,6.4,17.6,16.4,3.6,-2.9,-0.7,5.2,0,0,0,15,-15,5,1.3,-6.3,-5,5
"15","8","Equals: Wage and salary accruals, NIPAs","A034RC1",1587.5,1677.5,1844.9,1982.6,2102.3,2256.3,2439.8,2583.1,2741.2,2814.5,2957.8,3083,3248.5,3434.4,3620,3873.6,4180.9,4465.2,4827.7,4952.2,4997.3,5154.6,5410.7,5706,6070.1,6415.5,6554,6279.1
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1. Total annual wages of workers covered by state unemployment insurance (UI) laws and by the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Unemployment Compensation for Federal Employees program.  Data for the most recent year are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","preliminary.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2. Consists of unreported wages and salaries paid by employers and of unreported tips.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","BLS Bureau of Labor Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
