"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2010     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 11:57:04 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Current receipts","W021RC1",10.5,10,8.7,8.2,8.6,9.7,10.5,11.9,14.3,13.9,14.2,16.6,23.8,31.2,47.6,49.4,51.4,50.4,55.4,56.8,53.6,66.1,81.9,86.4,90.8,85.9,96.7,104.2,109.8,108.2,123,134.4,139,150.6,162.2,166.6,180.3,202.8,217.7,252.1,283.5
"9","2","Current tax receipts","W054RC1",9.9,9.4,8.2,7.7,8.2,9.3,10,11.2,12.4,11.8,12.1,14.3,21,27.8,43.2,44.3,45.2,43.1,49.2,51.4,47.8,59.8,74.4,78.5,82.6,76.7,86.4,92.8,96.9,95.2,107.1,113.4,117.1,126.1,134.4,137.5,149.5,163.5,173.8,203.1,228.4
"10","3","  Personal current taxes","W055RC1",1.7,1.6,1,0.7,0.8,0.9,1.1,1.3,1.9,1.9,1.5,1.7,2.3,4.9,16.7,17.7,19.4,17.2,19.8,19.2,16.7,18.9,27.1,32,33.2,30.2,32.9,36.6,38.9,38.5,42.3,46.1,47.3,51.6,54.6,52.1,57.7,66.4,73,87,104.5
