"","Table 6#22B# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/26/2010 12:21:52 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Corporate capital consumption allowances","A677RC0",54090,58070,62611,69512,76026,84391,92728,100511,115019,130228,148478,169850,212292,245997,273713,306882,346788,350916,367454
"9","2","Agriculture, forestry, and fishing","A1722C0",437,523,546,595,755,936,1098,1257,1538,1527,1595,1697,2154,2411,2478,2665,2879,2765,2706
"10","3","  Farms","B1723C0",325,381,385,419,599,747,893,1030,1208,1220,1232,1280,1624,1759,1804,1918,2060,1909,1776
"11","4","  Agricultural services, forestry, and fishing","B1724C0",112,142,161,176,156,189,205,227,330,307,363,417,530,652,674,747,819,856,930
"12","5","Mining","A1725C0",1017,1103,1101,1361,1391,1653,2131,2475,2863,3194,3829,4675,6326,8761,8696,8732,10760,8508,7278
