"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of chained (2000) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 31, 2007   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/29/2007 5:15:46 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","Q1TDG1 A Durable goods","Q1TDG10",453522,427899,452987,488444,529400,552624,595911,646933,720290,804551,863326,900682,964784,1020572,1084786,1137415,1180469
"9","2","Q1TAP1 B   Motor vehicles and parts","Q1TAP10",256076,226588,244936,259249,276244,272263,285359,304653,338965,372437,386518,405836,429000,442068,450827,451260,437279
"10","3","Q1NEW1 B     New autos (70)","Q1NEW10",102463,79765,84177,86449,88264,82171,80558,81033,87016,97486,103582,103732,103393,100634,101888,107502,109673
"11","4","Q1NDC1 D       New domestic autos","Q1NDC10",64571,50253,53480,57301,59828,56447,56038,52803,56228,61319,64590,64694,63540,61222,59389,62709,62478
"12","5","Q1NFC1 D       New foreign autos","Q1NFC10",37894,29514,30698,29148,28436,25724,24521,28231,30788,36167,38992,39038,39854,39412,42499,44792,47194
"13","6","Q1NPU1 B     Net purchases of used autos (71)","Q1NPU10",42403,44816,47815,48366,53476,52805,54801,57380,61337,61709,60650,58701,58070,56289,56053,56962,56492
"14","7","Q1NET1 D       Net transactions in used autos","Q1NET10",22912,25437,27425,27348,31196,30125,31892,34698,38873,39194,37500,34265,37117,35199,34783,35127,35028
"15","8","Q1MAR1 D       Used auto margin","Q1MAR10",21828,21612,22749,23352,24326,24787,24908,24575,24309,24317,24886,26251,22891,22924,23095,23590,23215
"16","9","Q1REE1 D       Employee reimbursement","Q1REE10",-1851,-2047,-2232,-2121,-2045,-1994,-1967,-1901,-1833,-1787,-1735,-1806,-1711,-1724,-1772,-1747,-1687
"17","10","Q1OAU1 C     Other motor vehicles (72)","Q1OAU10",79588,72705,83213,91712,98639,99839,110174,124749,146909,166076,173248,195550,219552,236068,241775,233280,217679
"18","11","Q1TRU1 D       Trucks, new and net used","Q1TRU10",72996,66100,76366,83997,89817,91068,101186,115103,136045,154300,161263,184466,207349,222536,227049,218039,203038
"19","12","Q1NWT1 D         New trucks","Q1NWT10",NA,NA,56356,63488,69330,67864,72220,79997,92927,104497,110664,132345,151858,166879,169269,159523,142445
"20","13","Q1UTR1 D         Net  purchases of used trucks","Q1UTR10",NA,NA,20234,20551,20413,23193,28937,35076,43111,49815,50599,52188,55672,55917,58062,58798,60668
"21","14","Q1UTN1 D           Net transactions in used trucks","Q1UTN10",NA,NA,14266,13726,12514,14065,18471,23353,30336,35992,36256,37171,41220,40034,41608,42471,44512
"22","15","Q1UTM1 D           Used truck margin","Q1UTM10",NA,NA,5595,6674,7980,9245,10485,11708,12768,13828,14343,15018,14561,15811,16386,16339,16340
"23","16","Q1REV1 D       Recreational vehicles","Q1REV10",6654,6595,6911,7772,8859,8811,9025,9673,10877,11779,11986,11101,12225,13546,14704,15168,14541
"24","17","Q1TBA1 C     Tires, tubes, accessories, and other parts (73)","Q1TBA10",29258,28587,29414,32146,35501,37158,39676,41483,43791,47183,49037,47911,48244,49467,51430,53554,53167
"25","18","Q1TAT1 D       Tires and tubes","Q1TAT10",14034,13606,13587,14490,15654,15929,16784,17333,18431,19989,20862,20270,20501,21545,22884,24584,24556
"26","19","Q1PAA1 D       Accessories and parts","Q1PAA10",15185,14941,15790,17620,19818,21217,22889,24155,25362,27194,28176,27641,27743,27925,28559,28999,28643
"27","20","Q1FUR1 B   Furniture and household equipment","Q1FUR10",119862,121089,127760,141087,156766,173316,193370,216272,244662,280731,312907,331800,364305,397780,445091,492187,550876
"28","21","Q1FNR1 C     Furniture, including mattresses and bedsprings (29)","Q1FNR10",41790,40999,41350,43804,46387,48737,51757,56010,59238,63224,67596,68347,71551,73858,79453,85242,89408
"29","22","Q1APP1 C     Kitchen and other household appliances (30)","Q1APP10",22176,22029,23146,23931,24217,25103,25347,25195,26570,28916,30410,31045,32651,34558,37967,39227,40194
"30","23","Q1MHA1 D       Major household appliances","Q1MHA10",19599,19080,19757,20414,20570,21316,21515,21509,22677,24593,25769,26075,27253,28747,31607,32448,33038
"31","24","Q1SEA1 D       Small electric appliances","Q1SEA10",2684,3001,3401,3528,3649,3788,3833,3689,3897,4324,4642,4974,5412,5834,6383,6833,7252
"32","25","Q1CHN1 C     China, glassware, tableware, and utensils (31)","Q1CHN10",17805,17579,18652,19798,21105,22539,23902,25009,26251,28935,30993,31887,34467,36799,38811,41062,46303
"33","26","Q1RAD1 C     Video and audio goods, including musical instruments, and computer goods (91)","Q1RAD10",18622,20328,22480,27071,32806,39573,48898,60462,76878,96978,116598,132347,155594,179216,211902,250402,296791
"34","27","Q1VAM1 C       Video and audio goods, including musical instruments (92)","Q1VAM10",32165,32130,33729,37046,41942,45900,48787,50837,56538,64374,72764,77522,84507,91452,104461,117892,134525
"35","28","Q1TVV1 D         Television receivers, video cassette recorders, and videotapes","Q1TVV10",10748,10380,10416,11355,12694,13724,14534,14945,17008,20595,25148,29588,34315,40972,50889,61214,76749
"36","29","Q1TVS1 D           Television receivers","Q1TVS10",7599,7179,7196,7758,8444,8975,9335,9388,10405,12198,14422,16395,18983,22655,28466,34323,43857
"37","30","Q1OVE1 D           Video equipment and media","Q1OVE10",3445,3435,3452,3824,4444,4921,5343,5658,6662,8415,10726,13220,15366,18360,22434,26894,32818
"38","31","Q1AMI1 D         Audio equipment, media, and instruments","Q1AMI10",21017,21557,23362,25788,29429,32445,34559,36278,39846,43894,47616,48130,50768,52107,56839,61899,66930
"39","32","Q1AUD1 D           Audio equipment","Q1AUD10",10830,10418,11285,12414,14315,15617,16267,16640,18624,21454,24037,25404,28037,30396,34368,39569,44341
"40","33","Q1RTD1 D           Records, tapes, and disks","Q1RTD10",8055,8977,9917,11040,12472,13941,15322,16573,17917,18741,19236,18378,18456,17654,18276,18596,19278
"41","34","Q1MSC1 D           Musical instruments","Q1MSC10",2040,2162,2146,2321,2607,2869,2999,3150,3364,3711,4344,4393,4436,4459,4885,5026,5168
"42","35","Q1CPT1 C       Computers, peripherals, and software (93)","Q1CPT10",590,936,1253,2064,3052,4705,8060,13738,21971,32897,43834,55402,74143,94751,118450,150320,188569
"43","36","Q1CPP1 D         Computers and peripherals","Q1CPP10",386,604,797,1324,1976,3068,5266,8982,15085,24070,33514,45055,63282,83490,106058,138467,178375
"44","37","Q1CPS1 D         Software","Q1CPS10",234,390,547,876,1257,1892,3220,5475,7405,8950,10320,10690,12250,14139,16793,19460,22414
"45","38","Q1ODH1 C     Other durable house furnishings (32)","Q1ODH10",39215,37293,38394,41192,45156,47931,50969,54288,57646,63114,67309,68601,72091,77745,85166,90932,101709
"46","39","Q1FLR1 D       Floor coverings","Q1FLR10",13931,12722,12759,13140,13705,13747,13800,14054,14649,15935,16483,15948,15946,16882,18600,19422,20578
"47","40","Q1DHF1 D       Durable house furnishings n.e.c.","Q1DHF10",17608,16889,17418,19125,21668,23870,26352,28809,30682,33771,36934,38641,41774,45766,50363,54867,64601
"48","41","Q1CLF1 D         Clocks, lamps, and furnishings","Q1CLF10",13801,13392,14074,15581,17868,19844,22039,24224,25729,28462,31493,32776,35546,39191,43270,47266,56772
"49","42","Q1TEX1 D         Blinds, rods, and other","Q1TEX10",3846,3531,3370,3568,3822,4046,4331,4598,4972,5319,5441,5868,6228,6576,7101,7617,7981
"50","43","Q1WTR1 D       Writing equipment","Q1WTR10",3191,3245,3324,3342,3337,3223,2994,2838,2930,3058,3062,2792,2653,2551,2571,2605,2605
"51","44","Q1TOO1 D       Hand tools","Q1TOO10",5432,5332,5767,6345,7044,7498,8030,8663,9432,10378,10830,11264,11893,12878,14077,14780,15741
"52","45","Q1HDW1 D         Tools, hardware, and supplies","Q1HDW10",4602,4421,4676,5194,5792,6176,6597,7115,7791,8655,9008,9417,10009,10866,11896,12456,13248
"53","46","Q1LWN1 D         Outdoor equipment and supplies","Q1LWN10",828,909,1089,1150,1250,1320,1431,1546,1639,1723,1822,1847,1884,2013,2181,2325,2496
"54","47","Q1TOD1 B   Other","Q1TOD10",92730,88751,90226,96977,104244,111187,119628,127282,137557,151699,163901,163167,172373,183248,195118,205532,213909
