"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"22","3","Less: Income payments to the rest of the world","A655RX1","21,944.0","24,450.0","27,387.0","28,439.0","28,794.0","28,140.0","27,547.0","26,246.0","24,451.0","25,037.0","27,163.0","28,244.0","27,888.0","30,065.0","30,383.0","32,672.0","36,733.0","40,500.0","41,767.0","42,737.0","44,294.0","47,955.0","50,798.0","50,655.0","49,505.0","46,874.0","46,690.0","44,545.0","47,361.0","46,808.0","45,663.0","44,798.0","43,162.0","45,664.0","47,744.0","52,175.0","54,665.0","62,280.0","64,962.0","73,019.0","78,554.0","83,471.0","87,927.0","96,168.0","102,819.0","96,572.0","87,198.0","104,473.0","110,917.0","120,014.0","124,184.0","113,697.0","118,290.0","124,391.0","123,101.0","115,447.0","109,105.0","112,326.0","120,999.0","124,890.0","137,336.0","150,011.0","156,220.0","153,125.0","146,634.0","145,157.0","145,032.0","144,559.0","153,805.0","157,707.0","147,844.0","154,069.0","157,307.0","163,720.0","169,984.0","177,188.0","186,134.0","188,880.0","200,832.0","209,697.0","219,894.0","230,657.0","224,322.0","216,834.0","220,284.0","217,391.0","221,425.0","210,576.0","204,028.0","192,239.0","186,505.0","168,782.0","164,751.0","166,990.0","159,414.0","154,900.0","149,377.0","160,217.0","155,620.0","175,783.0","174,585.0","192,052.0","212,099.0","229,645.0","235,423.0","243,460.0","257,430.0","250,293.0","246,094.0","254,309.0","265,035.0","274,572.0","295,101.0","300,323.0","312,441.0","312,904.0","312,809.0","319,223.0","320,728.0","317,436.0","316,787.0","327,702.0","352,313.0","359,634.0","377,847.0","397,462.0","392,358.0","387,074.0","355,186.0","317,798.0","311,811.0","221,205.0","272,364.0","305,762.0","306,176.0","273,110.0","300,430.0","297,266.0","308,535.0","311,083.0","323,418.0","362,835.0","371,593.0","423,976.0","435,252.0","458,531.0","473,043.0","536,729.0","566,350.0","621,896.0","654,885.0","668,942.0","692,419.0","739,579.0","714,817.0","669,676.0","643,102.0","642,935.0","588,147.0","551,172.0","452,208.0","441,255.0","419,913.0","453,063.0","453,967.0","452,339.0","465,326.0","....."
"23","4","Equals: Gross national product","A001RX1","4,275,375.0","4,286,637.0","4,312,274.0","4,292,135.0","4,286,176.0","4,294,854.0","4,332,421.0","4,284,333.0","4,406,648.0","4,433,194.0","4,465,138.0","4,479,088.0","4,559,986.0","4,666,841.0","4,713,975.0","4,790,835.0","4,917,907.0","4,977,030.0","4,957,887.0","5,005,058.0","4,970,498.0","4,979,845.0","4,926,030.0","4,899,670.0","4,833,425.0","4,870,365.0","4,954,844.0","5,026,885.0","5,138,627.0","5,178,785.0","5,204,404.0","5,243,041.0","5,310,567.0","5,413,781.0","5,509,012.0","5,501,536.0","5,528,052.0","5,733,532.0","5,793,731.0","5,877,544.0","5,888,767.0","5,901,777.0","5,957,320.0","5,972,868.0","5,993,357.0","5,865,828.0","5,850,561.0","5,943,672.0","6,069,911.0","6,018,298.0","6,094,436.0","6,027,201.0","5,925,625.0","5,965,685.0","5,931,373.0","5,933,587.0","6,005,906.0","6,143,517.0","6,264,645.0","6,395,279.0","6,512,753.0","6,624,436.0","6,687,532.0","6,734,376.0","6,785,721.0","6,845,805.0","6,943,509.0","7,000,461.0","7,061,890.0","7,078,963.0","7,150,390.0","7,174,630.0","7,217,023.0","7,299,643.0","7,361,876.0","7,490,144.0","7,536,724.0","7,629,559.0","7,665,141.0","7,770,317.0","7,842,283.0","7,899,270.0","7,964,472.0","7,990,093.0","8,070,300.0","8,103,509.0","8,096,488.0","8,056,961.0","8,001,524.0","8,040,208.0","8,069,484.0","8,111,235.0","8,199,256.0","8,285,302.0","8,366,147.0","8,454,996.0","8,480,031.0","8,525,185.0","8,577,368.0","8,670,352.0","8,763,300.0","8,877,544.0","8,931,532.0","9,029,716.0","9,063,765.0","9,086,387.0","9,145,021.0","9,222,454.0","9,292,858.0","9,442,113.0","9,519,951.0","9,629,590.0","9,693,208.0","9,845,791.0","9,959,699.0","10,028,325.0","10,133,314.0","10,221,177.0","10,340,315.0","10,521,153.0","10,627,967.0","10,716,591.0","10,848,893.0","11,054,989.0","11,078,611.0","11,297,766.0","11,302,407.0","11,396,384.0","11,343,254.0","11,426,419.0","11,369,924.0","11,478,964.0","11,534,047.0","11,575,108.0","11,648,531.0","11,669,900.0","11,701,767.0","11,809,269.0","12,005,591.0","12,140,194.0","12,243,676.0","12,303,010.0","12,403,544.0","12,483,701.0","12,642,553.0","12,684,500.0","12,789,483.0","12,825,556.0","12,994,247.0","13,035,350.0","13,025,103.0","13,129,538.0","13,155,777.0","13,269,013.0","13,404,413.0","13,548,499.0","13,516,791.0","13,519,721.0","13,408,700.0","13,109,451.0","12,945,499.0","12,929,426.0","13,013,846.0","13,170,127.0","13,312,973.0","13,372,666.0","13,449,250.0","....."
"24","5","Less: Consumption of fixed capital","A262RX1","327,770.0","331,629.0","335,567.0","339,537.0","343,450.0","346,584.0","348,850.0","350,133.0","353,884.0","357,250.0","360,490.0","363,230.0","366,101.0","369,557.0","373,830.0","378,715.0","384,160.0","389,429.0","394,370.0","399,152.0","403,597.0","407,785.0","411,774.0","415,417.0","418,825.0","422,156.0","425,398.0","428,674.0","431,852.0","435,290.0","439,058.0","443,102.0","447,508.0","452,107.0","456,875.0","461,819.0","466,838.0","472,289.0","478,018.0","484,043.0","490,402.0","496,673.0","502,830.0","508,772.0","514,631.0","520,279.0","525,674.0","530,825.0","535,754.0","540,933.0","546,429.0","552,210.0","558,310.0","563,920.0","569,015.0","573,655.0","577,795.0","582,381.0","587,328.0","592,777.0","598,651.0","605,315.0","612,839.0","621,160.0","630,387.0","639,155.0","647,471.0","655,369.0","662,643.0","670,138.0","677,859.0","685,803.0","693,945.0","701,777.0","709,406.0","716,812.0","723,964.0","731,300.0","738,798.0","746,485.0","754,335.0","762,218.0","770,146.0","778,024.0","786,002.0","793,403.0","800,245.0","806,536.0","812,283.0","818,157.0","824,137.0","830,244.0","836,498.0","841,984.0","846,763.0","850,777.0","859,591.0","868,192.0","876,636.0","884,908.0","893,021.0","901,681.0","910,818.0","920,470.0","930,627.0","941,236.0","952,292.0","963,751.0","975,682.0","988,036.0","1,000,967.0","1,014,385.0","1,028,248.0","1,043,088.0","1,058,806.0","1,075,362.0","1,092,799.0","1,110,870.0","1,129,500.0","1,148,708.0","1,168,502.0","1,188,807.0","1,209,537.0","1,230,772.0","1,250,630.0","1,272,857.0","1,293,721.0","1,312,338.0","1,329,908.0","1,345,169.0","1,358,183.0","1,370,017.0","1,383,142.0","1,394,181.0","1,405,607.0","1,416,232.0","1,426,363.0","1,435,468.0","1,445,669.0","1,457,509.0","1,470,196.0","1,481,627.0","1,493,957.0","1,507,298.0","1,520,822.0","1,534,030.0","1,548,170.0","1,562,480.0","1,574,959.0","1,590,610.0","1,606,223.0","1,621,961.0","1,638,610.0","1,654,087.0","1,668,527.0","1,682,302.0","1,694,854.0","1,708,390.0","1,721,627.0","1,733,119.0","1,740,711.0","1,743,663.0","1,745,890.0","1,748,973.0","1,754,792.0","1,762,931.0","1,773,172.0","1,784,605.0"
"25","6","        Private","A024RX1","236,316.0","239,690.0","243,120.0","246,606.0","250,147.0","252,939.0","254,977.0","256,256.0","259,916.0","263,382.0","266,655.0","269,736.0","272,627.0","276,183.0","280,395.0","285,252.0","290,727.0","295,866.0","300,694.0","305,228.0","309,484.0","313,436.0","317,077.0","320,401.0","323,401.0","326,318.0","329,152.0","331,904.0","334,575.0","337,553.0","340,842.0","344,444.0","348,359.0","352,433.0","356,668.0","361,064.0","365,624.0","370,463.0","375,581.0","380,981.0","386,664.0","392,179.0","397,526.0","402,706.0","407,720.0","412,508.0","417,068.0","421,398.0","425,495.0","429,856.0","434,486.0","439,388.0","444,567.0","449,243.0","453,410.0","457,061.0","460,192.0","463,652.0","467,444.0","471,572.0","476,043.0","481,218.0","487,110.0","493,726.0","501,081.0","507,949.0","514,321.0","520,187.0","525,540.0","531,081.0","536,814.0","542,743.0","548,870.0","554,823.0","560,597.0","566,190.0","571,597.0","577,175.0","582,928.0","588,857.0","594,964.0","601,056.0","607,131.0","613,189.0","619,225.0","624,787.0","629,866.0","634,455.0","638,551.0","642,825.0","647,278.0","651,913.0","656,733.0","660,908.0","664,430.0","667,296.0","674,839.0","682,313.0","689,719.0","697,055.0","704,322.0","712,107.0","720,417.0","729,261.0","738,649.0","748,413.0","758,559.0","769,093.0","780,023.0","791,436.0","803,339.0","815,739.0","828,643.0","842,347.0","856,865.0","872,209.0","888,395.0","905,056.0","922,192.0","939,804.0","957,891.0","976,468.0","995,535.0","1,015,088.0","1,033,256.0","1,053,878.0","1,073,194.0","1,090,376.0","1,106,668.0","1,120,519.0","1,132,171.0","1,142,628.0","1,154,351.0","1,163,986.0","1,173,999.0","1,183,201.0","1,191,887.0","1,199,469.0","1,208,189.0","1,218,431.0","1,229,065.0","1,238,563.0","1,249,079.0","1,260,768.0","1,272,751.0","1,284,365.0","1,296,798.0","1,309,329.0","1,320,362.0","1,334,126.0","1,347,838.0","1,361,722.0","1,376,401.0","1,389,858.0","1,402,217.0","1,413,763.0","1,424,069.0","1,435,324.0","1,446,305.0","1,455,466.0","1,460,641.0","1,461,247.0","1,461,240.0","1,462,242.0","1,466,146.0","1,472,067.0","1,479,843.0","1,488,416.0"
"26","7","        Government","A264RX1","96,274.0","96,693.0","97,137.0","97,554.0","97,841.0","98,124.0","98,307.0","98,261.0","98,236.0","98,001.0","97,851.0","97,357.0","97,246.0","97,028.0","96,972.0","96,868.0","96,686.0","96,699.0","96,708.0","96,879.0","97,004.0","97,192.0","97,512.0","97,804.0","98,187.0","98,574.0","98,955.0","99,468.0","99,968.0","100,404.0","100,852.0","101,245.0","101,682.0","102,150.0","102,616.0","103,090.0","103,456.0","103,986.0","104,502.0","105,019.0","105,578.0","106,237.0","106,966.0","107,647.0","108,430.0","109,241.0","110,032.0","110,816.0","111,623.0","112,404.0","113,230.0","114,062.0","114,932.0","115,837.0","116,757.0","117,764.0","118,812.0","119,983.0","121,175.0","122,542.0","123,993.0","125,517.0","127,181.0","128,906.0","130,796.0","132,734.0","134,737.0","136,854.0","138,863.0","140,910.0","142,988.0","145,090.0","147,183.0","149,126.0","151,047.0","152,930.0","154,743.0","156,563.0","158,365.0","160,174.0","161,959.0","163,800.0","165,714.0","167,590.0","169,606.0","171,520.0","173,363.0","175,151.0","176,900.0","178,582.0","180,175.0","181,699.0","183,174.0","184,530.0","185,842.0","187,046.0","188,254.0","189,308.0","190,268.0","191,119.0","191,878.0","192,660.0","193,379.0","194,071.0","194,713.0","195,434.0","196,222.0","197,025.0","197,909.0","198,722.0","199,625.0","200,511.0","201,330.0","202,335.0","203,403.0","204,479.0","205,597.0","206,882.0","208,260.0","209,749.0","211,356.0","212,988.0","214,560.0","216,153.0","217,773.0","219,299.0","220,785.0","222,171.0","223,398.0","224,772.0","226,110.0","227,470.0","228,853.0","230,248.0","231,650.0","233,066.0","234,506.0","236,029.0","237,505.0","239,096.0","241,149.0","243,084.0","244,893.0","246,539.0","248,074.0","249,665.0","251,370.0","253,151.0","254,596.0","256,488.0","258,396.0","260,265.0","262,253.0","264,288.0","266,378.0","268,607.0","270,841.0","273,119.0","275,372.0","277,678.0","280,013.0","282,213.0","284,288.0","286,233.0","288,060.0","290,194.0","292,579.0","295,340.0"
"27","8","          General government","A265RX1","84,993.0","85,291.0","85,614.0","85,906.0","86,090.0","86,255.0","86,309.0","86,177.0","86,056.0","85,728.0","85,454.0","84,891.0","84,639.0","84,327.0","84,121.0","83,909.0","83,592.0","83,458.0","83,334.0","83,362.0","83,333.0","83,401.0","83,562.0","83,713.0","83,943.0","84,207.0","84,440.0","84,814.0","85,190.0","85,480.0","85,803.0","86,093.0","86,421.0","86,771.0","87,120.0","87,471.0","87,732.0","88,141.0","88,523.0","88,911.0","89,307.0","89,822.0","90,388.0","90,891.0","91,502.0","92,143.0","92,763.0","93,380.0","94,006.0","94,612.0","95,264.0","95,907.0","96,604.0","97,339.0","98,082.0","98,919.0","99,795.0","100,778.0","101,793.0","102,967.0","104,219.0","105,544.0","106,990.0","108,491.0","110,140.0","111,836.0","113,608.0","115,473.0","117,248.0","119,069.0","120,910.0","122,776.0","124,640.0","126,371.0","128,061.0","129,715.0","131,314.0","132,907.0","134,490.0","136,083.0","137,634.0","139,242.0","140,916.0","142,566.0","144,320.0","145,994.0","147,590.0","149,120.0","150,622.0","152,040.0","153,372.0","154,637.0","155,853.0","156,934.0","157,976.0","158,911.0","159,839.0","160,629.0","161,350.0","161,971.0","162,504.0","163,081.0","163,587.0","164,088.0","164,546.0","165,075.0","165,655.0","166,247.0","166,897.0","167,508.0","168,223.0","168,926.0","169,641.0","170,449.0","171,285.0","172,140.0","173,025.0","174,046.0","175,130.0","176,310.0","177,574.0","178,859.0","180,115.0","181,383.0","182,673.0","183,894.0","185,096.0","186,208.0","187,187.0","188,311.0","189,397.0","190,488.0","191,614.0","192,728.0","193,816.0","194,893.0","195,965.0","197,112.0","198,221.0","199,429.0","201,062.0","202,594.0","204,049.0","205,376.0","206,615.0","207,931.0","209,358.0","210,855.0","212,436.0","214,055.0","215,691.0","217,289.0","219,006.0","220,781.0","222,611.0","224,579.0","226,545.0","228,565.0","230,576.0","232,632.0","234,717.0","236,677.0","238,514.0","240,238.0","241,858.0","243,744.0","245,880.0","248,361.0"
"28","9","          Government enterprises","A266RX1","10,447.0","10,584.0","10,721.0","10,863.0","10,983.0","11,122.0","11,278.0","11,388.0","11,510.0","11,637.0","11,797.0","11,902.0","12,080.0","12,205.0","12,392.0","12,529.0","12,702.0","12,883.0","13,047.0","13,216.0","13,400.0","13,540.0","13,722.0","13,882.0","14,051.0","14,185.0","14,347.0","14,496.0","14,627.0","14,786.0","14,920.0","15,029.0","15,146.0","15,270.0","15,396.0","15,526.0","15,638.0","15,764.0","15,907.0","16,043.0","16,217.0","16,366.0","16,536.0","16,723.0","16,901.0","17,076.0","17,253.0","17,424.0","17,612.0","17,793.0","17,973.0","18,170.0","18,350.0","18,525.0","18,705.0","18,878.0","19,050.0","19,239.0","19,414.0","19,604.0","19,797.0","19,989.0","20,200.0","20,417.0","20,649.0","20,879.0","21,098.0","21,338.0","21,559.0","21,772.0","21,997.0","22,219.0","22,435.0","22,634.0","22,857.0","23,077.0","23,282.0","23,501.0","23,712.0","23,921.0","24,150.0","24,375.0","24,609.0","24,828.0","25,084.0","25,317.0","25,559.0","25,814.0","26,057.0","26,321.0","26,583.0","26,842.0","27,104.0","27,385.0","27,662.0","27,938.0","28,226.0","28,498.0","28,747.0","28,986.0","29,223.0","29,435.0","29,658.0","29,857.0","30,048.0","30,248.0","30,464.0","30,682.0","30,924.0","31,133.0","31,325.0","31,513.0","31,614.0","31,814.0","32,049.0","32,274.0","32,510.0","32,776.0","33,076.0","33,388.0","33,734.0","34,087.0","34,405.0","34,735.0","35,068.0","35,375.0","35,661.0","35,936.0","36,186.0","36,438.0","36,691.0","36,962.0","37,221.0","37,502.0","37,819.0","38,161.0","38,532.0","38,911.0","39,281.0","39,665.0","40,086.0","40,489.0","40,844.0","41,163.0","41,459.0","41,733.0","42,013.0","42,295.0","42,160.0","42,433.0","42,705.0","42,976.0","43,247.0","43,508.0","43,768.0","44,030.0","44,300.0","44,559.0","44,803.0","45,054.0","45,306.0","45,548.0","45,787.0","46,010.0","46,218.0","46,465.0","46,716.0","46,999.0"
"29","10","Equals: Net national product","A027RX1","3,991,047.0","3,997,554.0","4,018,850.0","3,992,702.0","3,981,316.0","3,986,138.0","4,022,028.0","3,970,558.0","4,092,187.0","4,115,201.0","4,143,975.0","4,154,784.0","4,234,754.0","4,340,777.0","4,383,881.0","4,456,961.0","4,581,289.0","4,635,499.0","4,609,146.0","4,651,623.0","4,609,938.0","4,614,008.0","4,552,774.0","4,520,397.0","4,446,771.0","4,480,501.0","4,563,901.0","4,634,329.0","4,746,227.0","4,783,228.0","4,804,633.0","4,839,206.0","4,903,355.0","5,004,411.0","5,096,920.0","5,082,124.0","5,102,662.0","5,309,221.0","5,363,855.0","5,442,720.0","5,445,403.0","5,450,057.0","5,499,228.0","5,506,941.0","5,519,910.0","5,378,630.0","5,354,959.0","5,444,848.0","5,569,619.0","5,508,181.0","5,579,800.0","5,501,064.0","5,385,966.0","5,419,799.0","5,376,674.0","5,372,491.0","5,442,186.0","5,579,121.0","5,698,225.0","5,826,383.0","5,940,178.0","6,046,857.0","6,102,025.0","6,139,343.0","6,180,192.0","6,230,710.0","6,320,696.0","6,369,117.0","6,422,986.0","6,430,767.0","6,494,407.0","6,509,060.0","6,542,229.0","6,617,283.0","6,671,586.0","6,794,183.0","6,832,968.0","6,919,163.0","6,946,211.0","7,044,641.0","7,108,690.0","7,157,298.0","7,214,294.0","7,230,717.0","7,303,076.0","7,327,944.0","7,312,312.0","7,264,118.0","7,200,385.0","7,232,874.0","7,255,632.0","7,291,006.0","7,373,448.0","7,454,747.0","7,531,526.0","7,617,284.0","7,632,472.0","7,668,416.0","7,711,724.0","7,796,762.0","7,881,946.0","7,988,135.0","8,032,501.0","8,121,200.0","8,144,130.0","8,154,959.0","8,201,907.0","8,267,509.0","8,325,459.0","8,462,910.0","8,527,307.0","8,623,398.0","8,672,430.0","8,810,413.0","8,908,314.0","8,959,572.0","9,046,657.0","9,115,811.0","9,215,958.0","9,377,698.0","9,464,221.0","9,531,926.0","9,643,197.0","9,828,223.0","9,831,040.0","10,028,159.0","10,010,971.0","10,086,002.0","10,014,350.0","10,082,058.0","10,011,966.0","10,109,203.0","10,151,021.0","10,180,951.0","10,242,939.0","10,253,645.0","10,275,401.0","10,373,821.0","10,559,933.0","10,682,669.0","10,773,434.0","10,821,353.0","10,909,563.0","10,976,417.0","11,121,765.0","11,150,526.0","11,241,325.0","11,262,974.0","11,419,102.0","11,444,518.0","11,418,765.0","11,507,825.0","11,517,205.0","11,614,823.0","11,735,638.0","11,865,791.0","11,821,400.0","11,810,891.0","11,687,093.0","11,377,157.0","11,206,290.0","11,187,625.0","11,269,700.0","11,422,315.0","11,558,796.0","11,610,364.0","11,676,719.0","....."
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Gross domestic income \1\","A261RX1","4,214,832.0","4,242,181.0","4,273,177.0","4,266,580.0","4,235,279.0","4,233,456.0","4,270,140.0","4,227,833.0","4,314,145.0","4,345,358.0","4,382,635.0","4,437,620.0","4,499,133.0","4,559,341.0","4,635,858.0","4,761,316.0","4,848,594.0","4,874,791.0","4,887,197.0","4,942,529.0","4,899,847.0","4,879,828.0","4,859,004.0","4,794,776.0","4,736,964.0","4,779,826.0","4,878,782.0","4,927,848.0","5,029,095.0","5,060,725.0","5,096,856.0","5,114,132.0","5,163,027.0","5,293,702.0","5,397,395.0","5,430,063.0","5,457,752.0","5,624,993.0","5,662,312.0","5,710,120.0","5,759,087.0","5,725,946.0","5,733,976.0","5,773,821.0","5,773,894.0","5,663,865.0","5,694,724.0","5,840,167.0","5,890,736.0","5,888,454.0","5,980,801.0","5,906,651.0","5,862,873.0","5,890,235.0","5,862,640.0","5,834,552.0","5,903,159.0","6,000,656.0","6,085,038.0","6,211,786.0","6,378,438.0","6,498,534.0","6,572,993.0","6,646,973.0","6,701,061.0","6,741,855.0","6,819,305.0","6,860,394.0","6,932,920.0","6,950,064.0","6,991,690.0","7,041,067.0","7,099,899.0","7,210,014.0","7,317,800.0","7,421,588.0","7,507,081.0","7,592,600.0","7,654,347.0","7,758,050.0","7,800,703.0","7,780,818.0","7,815,077.0","7,825,750.0","7,891,147.0","7,945,246.0","7,936,397.0","7,895,850.0","7,878,967.0","7,899,634.0","7,914,885.0","7,940,983.0","8,063,536.0","8,126,071.0","8,150,997.0","8,233,593.0","8,235,441.0","8,326,816.0","8,350,239.0","8,486,751.0","8,583,692.0","8,688,164.0","8,780,347.0","8,885,195.0","8,931,050.0","8,973,850.0","9,078,190.0","9,133,747.0","9,218,955.0","9,362,790.0","9,453,768.0","9,575,169.0","9,677,216.0","9,789,242.0","9,948,941.0","10,067,799.0","10,174,945.0","10,318,426.0","10,469,024.0","10,570,896.0","10,712,335.0","10,784,095.0","10,881,806.0","11,069,061.0","11,294,297.0","11,356,859.0","11,440,587.0","11,418,024.0","11,532,352.0","11,491,636.0","11,438,656.0","11,383,697.0","11,525,152.0","11,588,024.0","11,574,155.0","11,620,795.0","11,653,462.0","11,770,216.0","11,870,360.0","11,998,821.0","12,096,373.0","12,213,828.0","12,343,389.0","12,433,320.0","12,563,464.0","12,655,620.0","12,750,352.0","12,901,279.0","13,104,270.0","13,147,635.0","13,210,122.0","13,296,647.0","13,218,075.0","13,223,317.0","13,158,166.0","13,238,754.0","13,266,662.0","13,184,532.0","13,096,818.0","12,864,794.0","12,704,454.0","12,652,913.0","12,652,251.0","12,859,293.0","12,989,495.0","13,076,207.0","13,112,677.0","....."
"32","12","  Gross national income \2\","A023RX1","4,245,997.0","4,272,401.0","4,302,078.0","4,295,582.0","4,264,803.0","4,264,020.0","4,300,275.0","4,255,451.0","4,346,795.0","4,379,643.0","4,413,645.0","4,470,570.0","4,533,323.0","4,592,975.0","4,672,227.0","4,797,497.0","4,890,243.0","4,919,259.0","4,938,941.0","4,994,424.0","4,960,805.0","4,937,458.0","4,911,512.0","4,839,957.0","4,775,139.0","4,818,254.0","4,920,252.0","4,977,107.0","5,076,958.0","5,110,657.0","5,147,179.0","5,165,657.0","5,221,689.0","5,351,268.0","5,454,381.0","5,480,795.0","5,516,367.0","5,673,973.0","5,715,629.0","5,771,403.0","5,821,887.0","5,796,331.0","5,817,887.0","5,857,114.0","5,858,833.0","5,742,273.0","5,768,612.0","5,900,355.0","5,954,887.0","5,948,957.0","6,045,037.0","5,978,800.0","5,931,137.0","5,966,773.0","5,927,624.0","5,897,172.0","5,965,016.0","6,066,475.0","6,152,162.0","6,281,458.0","6,442,916.0","6,563,334.0","6,637,103.0","6,704,077.0","6,746,409.0","6,790,273.0","6,859,204.0","6,904,957.0","6,972,050.0","6,977,994.0","7,022,990.0","7,062,373.0","7,123,841.0","7,240,163.0","7,347,020.0","7,453,769.0","7,547,213.0","7,629,341.0","7,687,447.0","7,794,300.0","7,836,402.0","7,815,047.0","7,852,131.0","7,871,098.0","7,933,848.0","7,989,082.0","7,973,428.0","7,963,894.0","7,930,314.0","7,936,094.0","7,946,846.0","7,983,185.0","8,105,125.0","8,167,028.0","8,187,772.0","8,271,650.0","8,282,916.0","8,365,599.0","8,396,473.0","8,513,314.0","8,619,075.0","8,718,433.0","8,807,556.0","8,911,679.0","8,969,507.0","9,015,612.0","9,102,542.0","9,172,035.0","9,264,601.0","9,397,886.0","9,484,922.0","9,612,280.0","9,704,143.0","9,825,497.0","9,975,880.0","10,087,278.0","10,204,793.0","10,345,330.0","10,480,622.0","10,584,394.0","10,739,147.0","10,816,655.0","10,910,779.0","11,109,822.0","11,329,785.0","11,396,166.0","11,475,201.0","11,479,897.0","11,578,455.0","11,546,771.0","11,468,466.0","11,482,478.0","11,581,308.0","11,624,458.0","11,626,151.0","11,691,955.0","11,709,390.0","11,840,750.0","11,940,400.0","12,096,184.0","12,212,412.0","12,303,074.0","12,443,428.0","12,506,767.0","12,671,879.0","12,752,519.0","12,856,717.0","12,978,054.0","13,182,499.0","13,220,586.0","13,269,298.0","13,365,579.0","13,284,521.0","13,298,170.0","13,294,195.0","13,423,704.0","13,444,368.0","13,345,305.0","13,282,001.0","12,980,533.0","12,817,317.0","12,772,248.0","12,805,329.0","13,010,358.0","13,163,623.0","13,254,084.0","13,283,482.0","....."
