"","Table 3#11#5# National Defense Consumption Expenditures and Gros","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1972 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 28, 2011  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2011 1:58:21 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","    National defense consumption expenditures and gross investment","A824RC1","86,932.0","88,134.0","95,564.0","103,899.0","111,087.0","120,889.0","130,486.0","145,182.0","167,959.0","196,230.0","225,891.0","250,589.0","281,528.0","311,181.0","330,804.0","349,979.0","354,728.0","362,089.0","373,883.0","383,114.0","376,786.0","363,005.0","353,776.0","348,799.0","354,823.0","349,841.0","346,075.0","361,137.0","371,047.0","392,954.0","437,704.0","497,940.0","550,785.0","589,047.0","624,856.0","662,299.0","737,327.0","771,607.0","817,789.0"
"20","2","Consumption expenditures \1\","A997RC1","79,464.0","79,399.0","84,498.0","90,868.0","95,790.0","104,152.0","112,685.0","123,785.0","143,669.0","167,295.0","191,145.0","208,716.0","232,836.0","253,675.0","267,884.0","283,565.0","293,451.0","299,392.0","307,968.0","319,703.0","315,230.0","307,513.0","300,814.0","296,977.0","303,174.0","304,512.0","300,322.0","312,961.0","321,839.0","342,015.0","380,661.0","435,182.0","481,209.0","514,837.0","543,883.0","575,369.0","635,651.0","664,143.0","698,329.0"
"21","3","  Gross output of general government","W085RC1","80,139.0","80,476.0","86,075.0","92,080.0","96,396.0","104,969.0","113,587.0","124,751.0","144,951.0","168,885.0","193,023.0","210,029.0","234,544.0","255,425.0","269,725.0","285,688.0","295,844.0","301,832.0","311,248.0","323,057.0","319,237.0","311,773.0","306,776.0","300,657.0","307,242.0","307,996.0","303,456.0","315,983.0","324,921.0","345,554.0","384,939.0","439,717.0","485,813.0","520,196.0","549,635.0","580,621.0","641,578.0","670,117.0","704,618.0"
"22","4","    Value added","W086RC1","54,303.0","55,364.0","58,783.0","63,630.0","67,300.0","72,039.0","77,433.0","82,950.0","92,009.0","105,064.0","116,618.0","124,111.0","142,305.0","152,757.0","158,905.0","166,498.0","172,770.0","180,689.0","186,782.0","197,154.0","200,158.0","197,081.0","194,622.0","191,495.0","193,533.0","192,234.0","190,410.0","192,677.0","198,770.0","205,236.0","222,516.0","243,819.0","264,172.0","284,393.0","298,764.0","315,690.0","337,379.0","359,441.0","378,184.0"
"23","5","      Compensation of general government employees","B237RC1","40,538.0","41,411.0","44,083.0","47,927.0","50,250.0","53,632.0","57,502.0","61,666.0","68,557.0","78,803.0","87,439.0","92,437.0","107,538.0","115,349.0","118,750.0","123,535.0","126,901.0","131,700.0","134,532.0","141,821.0","143,016.0","137,681.0","133,652.0","129,755.0","132,304.0","131,868.0","130,750.0","132,699.0","138,088.0","144,764.0","162,027.0","182,139.0","199,408.0","215,706.0","225,614.0","238,283.0","254,491.0","273,251.0","287,701.0"
"24","6","        Military","B4080C1","27,028.0","27,646.0","29,075.0","31,095.0","32,411.0","33,951.0","36,154.0","38,737.0","43,472.0","50,546.0","56,643.0","59,778.0","72,750.0","78,181.0","80,627.0","83,692.0","85,229.0","87,380.0","89,118.0","93,803.0","93,182.0","86,973.0","83,202.0","80,212.0","82,897.0","82,753.0","82,518.0","84,336.0","88,530.0","94,452.0","107,579.0","124,441.0","135,136.0","147,045.0","153,786.0","162,812.0","175,742.0","189,417.0","197,103.0"
"25","7","        Civilian","W090RC1","13,510.0","13,765.0","15,008.0","16,832.0","17,839.0","19,681.0","21,348.0","22,929.0","25,085.0","28,257.0","30,796.0","32,659.0","34,788.0","37,168.0","38,123.0","39,843.0","41,672.0","44,320.0","45,414.0","48,018.0","49,834.0","50,708.0","50,450.0","49,543.0","49,407.0","49,115.0","48,232.0","48,363.0","49,558.0","50,312.0","54,448.0","57,698.0","64,272.0","68,661.0","71,828.0","75,471.0","78,749.0","83,834.0","90,598.0"
"26","8","      Consumption of general government fixed capital \2\","B432RC1","13,765.0","13,953.0","14,700.0","15,703.0","17,050.0","18,407.0","19,931.0","21,284.0","23,452.0","26,261.0","29,179.0","31,674.0","34,767.0","37,408.0","40,155.0","42,963.0","45,869.0","48,989.0","52,250.0","55,333.0","57,142.0","59,400.0","60,970.0","61,740.0","61,229.0","60,366.0","59,660.0","59,978.0","60,682.0","60,472.0","60,489.0","61,680.0","64,764.0","68,687.0","73,150.0","77,407.0","82,888.0","86,190.0","90,483.0"
"27","9","    Intermediate goods and services purchased \3\","W087RC1","25,836.0","25,112.0","27,292.0","28,450.0","29,096.0","32,930.0","36,154.0","41,801.0","52,942.0","63,821.0","76,405.0","85,918.0","92,239.0","102,668.0","110,820.0","119,190.0","123,074.0","121,143.0","124,466.0","125,903.0","119,079.0","114,692.0","112,154.0","109,162.0","113,709.0","115,762.0","113,046.0","123,306.0","126,151.0","140,318.0","162,423.0","195,898.0","221,641.0","235,803.0","250,871.0","264,931.0","304,199.0","310,676.0","326,434.0"
"28","10","      Durable goods","A998RC1","5,678.0","5,516.0","5,155.0","5,971.0","5,828.0","7,951.0","9,583.0","11,334.0","12,773.0","16,209.0","19,551.0","25,068.0","27,092.0","29,266.0","31,867.0","33,774.0","33,475.0","32,027.0","31,568.0","30,971.0","28,379.0","26,410.0","22,930.0","20,943.0","20,820.0","20,866.0","20,944.0","22,225.0","22,134.0","22,292.0","23,235.0","25,686.0","28,781.0","29,548.0","32,770.0","36,094.0","42,757.0","45,314.0","47,654.0"
"29","11","        Aircraft","B999RC1","2,652.0","2,366.0","1,952.0","2,078.0","2,005.0","3,288.0","3,495.0","4,775.0","5,554.0","7,750.0","10,200.0","13,626.0","14,020.0","15,386.0","17,220.0","18,177.0","17,859.0","16,391.0","14,778.0","13,648.0","12,162.0","10,697.0","9,209.0","8,852.0","8,819.0","9,362.0","9,889.0","10,460.0","9,826.0","9,752.0","9,793.0","11,191.0","11,904.0","10,740.0","11,031.0","11,329.0","12,694.0","14,817.0","15,405.0"
"30","12","        Missiles","B277RC1","1,120.0","1,203.0","1,201.0","1,426.0","1,338.0","1,530.0","2,263.0","2,160.0","2,298.0","2,699.0","3,027.0","3,667.0","4,004.0","3,949.0","4,555.0","4,732.0","5,019.0","4,973.0","5,227.0","5,315.0","4,662.0","4,222.0","3,549.0","2,840.0","2,619.0","2,317.0","2,289.0","2,232.0","2,449.0","2,600.0","2,475.0","2,381.0","2,585.0","3,270.0","4,064.0","4,517.0","4,729.0","4,713.0","4,834.0"
"31","13","        Ships","B278RC1","147.0","159.0","151.0","200.0","255.0","579.0","732.0","875.0","801.0","789.0","877.0","1,244.0","1,225.0","803.0","774.0","969.0","1,056.0","1,042.0","1,693.0","1,922.0","2,121.0","2,262.0","1,563.0","1,164.0","901.0","946.0","863.0","1,193.0","1,318.0","1,224.0","1,283.0","1,277.0","1,431.0","1,380.0","1,407.0","1,143.0","808.0","720.0","800.0"
"32","14","        Vehicles","B288RC1","410.0","361.0","344.0","596.0","584.0","752.0","1,062.0","1,115.0","1,425.0","1,659.0","1,704.0","2,277.0","2,754.0","2,860.0","3,212.0","3,079.0","2,527.0","1,880.0","1,746.0","1,837.0","1,446.0","1,264.0","920.0","1,065.0","951.0","1,180.0","908.0","739.0","657.0","709.0","712.0","736.0","796.0","1,123.0","1,665.0","2,352.0","3,101.0","3,499.0","3,933.0"
"33","15","        Electronics","B388RC1","839.0","799.0","823.0","859.0","684.0","802.0","1,001.0","1,086.0","1,399.0","1,724.0","1,999.0","2,386.0","2,652.0","3,211.0","3,349.0","3,678.0","3,652.0","3,819.0","3,802.0","3,454.0","3,321.0","3,529.0","3,045.0","2,466.0","2,511.0","2,464.0","2,351.0","2,651.0","2,906.0","2,949.0","3,242.0","3,736.0","4,371.0","5,372.0","6,381.0","7,845.0","10,885.0","11,061.0","11,405.0"
"34","16","        Other durable goods","B389RC1","510.0","628.0","684.0","812.0","962.0","1,000.0","1,030.0","1,323.0","1,296.0","1,588.0","1,744.0","1,868.0","2,437.0","3,057.0","2,757.0","3,139.0","3,362.0","3,922.0","4,322.0","4,795.0","4,667.0","4,436.0","4,644.0","4,556.0","5,019.0","4,597.0","4,644.0","4,950.0","4,978.0","5,058.0","5,730.0","6,365.0","7,694.0","7,663.0","8,222.0","8,908.0","10,540.0","10,504.0","11,277.0"
"35","17","      Nondurable goods","A725RC1","4,701.0","4,264.0","5,204.0","5,084.0","4,485.0","4,536.0","4,856.0","6,239.0","9,968.0","11,813.0","11,468.0","11,314.0","10,429.0","10,021.0","10,230.0","10,294.0","10,580.0","10,845.0","11,049.0","10,677.0","9,424.0","8,465.0","7,563.0","6,325.0","7,646.0","7,581.0","6,987.0","8,150.0","10,423.0","10,262.0","11,486.0","13,411.0","17,101.0","20,889.0","22,086.0","24,099.0","30,450.0","24,248.0","26,161.0"
"36","18","        Petroleum products","B780RC1","1,846.0","1,728.0","2,784.0","2,894.0","2,531.0","2,383.0","2,516.0","3,576.0","6,840.0","7,678.0","6,768.0","6,389.0","5,932.0","5,770.0","3,629.0","3,887.0","3,531.0","4,155.0","5,328.0","4,659.0","3,490.0","3,179.0","3,039.0","2,765.0","3,401.0","2,929.0","2,062.0","2,584.0","4,052.0","4,203.0","4,584.0","5,300.0","7,029.0","10,088.0","11,167.0","12,464.0","17,583.0","10,294.0","12,600.0"
"37","19","        Ammunition","B781RC1","2,010.0","1,683.0","1,371.0","1,073.0","585.0","839.0","1,022.0","1,243.0","1,370.0","1,627.0","2,070.0","2,506.0","2,196.0","1,338.0","3,575.0","2,817.0","3,465.0","3,064.0","2,800.0","2,667.0","2,550.0","2,515.0","1,785.0","1,196.0","1,381.0","1,689.0","1,878.0","1,900.0","1,814.0","2,066.0","2,508.0","2,624.0","3,638.0","3,971.0","4,200.0","4,074.0","4,453.0","4,131.0","4,266.0"
"38","20","        Other nondurable goods","B783RC1","845.0","853.0","1,049.0","1,117.0","1,369.0","1,314.0","1,318.0","1,420.0","1,758.0","2,508.0","2,630.0","2,419.0","2,301.0","2,913.0","3,026.0","3,590.0","3,584.0","3,626.0","2,921.0","3,351.0","3,384.0","2,771.0","2,739.0","2,364.0","2,864.0","2,963.0","3,047.0","3,666.0","4,557.0","3,993.0","4,394.0","5,487.0","6,434.0","6,830.0","6,719.0","7,561.0","8,414.0","9,823.0","9,295.0"
"39","21","      Services","A489RC1","15,457.0","15,332.0","16,933.0","17,395.0","18,783.0","20,443.0","21,715.0","24,228.0","30,201.0","35,799.0","45,386.0","49,536.0","54,718.0","63,381.0","68,723.0","75,122.0","79,019.0","78,271.0","81,849.0","84,255.0","81,276.0","79,817.0","81,661.0","81,894.0","85,243.0","87,315.0","85,115.0","92,931.0","93,594.0","107,764.0","127,702.0","156,801.0","175,759.0","185,366.0","196,015.0","204,738.0","230,992.0","241,114.0","252,619.0"
"40","22","        Research and development","B784RC1","5,072.0","5,289.0","5,679.0","5,862.0","6,351.0","6,835.0","7,097.0","7,720.0","10,151.0","12,383.0","14,069.0","14,461.0","16,162.0","21,669.0","23,757.0","26,965.0","31,496.0","28,562.0","26,144.0","21,892.0","23,740.0","26,693.0","25,618.0","25,024.0","27,385.0","28,194.0","26,940.0","27,203.0","27,004.0","29,730.0","36,801.0","43,091.0","50,624.0","53,939.0","58,032.0","56,606.0","60,867.0","60,209.0","59,905.0"
"41","23","        Installation support","B911RC1","4,401.0","4,340.0","4,737.0","4,918.0","5,411.0","6,222.0","6,324.0","7,265.0","8,490.0","9,342.0","13,670.0","15,524.0","17,036.0","17,175.0","18,478.0","19,135.0","19,002.0","19,044.0","22,146.0","23,770.0","23,199.0","24,847.0","26,073.0","25,428.0","25,850.0","25,009.0","23,935.0","25,020.0","25,242.0","27,524.0","30,514.0","35,478.0","35,834.0","35,331.0","36,675.0","36,613.0","41,849.0","45,504.0","45,374.0"
"42","24","        Weapons support","B912RC1","1,588.0","1,576.0","1,828.0","1,726.0","1,912.0","2,061.0","2,440.0","2,943.0","4,403.0","5,186.0","6,048.0","7,327.0","8,623.0","9,816.0","10,435.0","10,959.0","9,759.0","10,273.0","11,719.0","10,242.0","8,538.0","6,849.0","7,760.0","8,217.0","7,449.0","8,782.0","8,541.0","9,940.0","10,129.0","13,258.0","16,455.0","21,099.0","21,507.0","24,370.0","25,530.0","26,202.0","30,712.0","33,847.0","33,771.0"
