"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","29,412.0","31,175.0","30,652.0","32,261.0","30,727.0","28,332.0","29,545.0","26,236.0","29,767.0","33,426.0","38,078.0","41,269.0","40,192.0","40,186.0","40,740.0","42,086.0","39,521.0","37,424.0","37,103.0","41,308.0","41,969.0","41,210.0","40,159.0","33,130.0","35,450.0","36,803.0","38,717.0","42,366.0","47,494.0","48,725.0","49,351.0","50,426.0","48,350.0","48,160.0","47,377.0","48,053.0","49,670.0","48,543.0","48,027.0","44,316.0","38,426.0","39,158.0","43,256.0","48,992.0","52,583.0","57,607.0","52,347.0","52,767.0","57,025.0","53,152.0","52,258.0","49,949.0","48,899.0","53,170.0","55,421.0","59,258.0","61,677.0","60,958.0","62,240.0","64,505.0","64,708.0","68,129.0","69,494.0","71,009.0","75,236.0","75,146.0","76,279.0","75,435.0","83,296.0","85,422.0","86,657.0","90,741.0","93,912.0","92,807.0","91,089.0","92,376.0","89,620.0","88,450.0","89,701.0","92,929.0","93,923.0","97,709.0","97,942.0","99,430.0","99,378.0","96,361.0","93,611.0","88,534.0"
"21","2","Domestic industries","A445RC1","28,204.0","29,891.0","29,380.0","30,981.0","29,503.0","27,164.0","28,429.0","25,244.0","28,639.0","32,342.0","36,654.0","39,829.0","38,708.0","38,494.0","38,936.0","40,090.0","37,617.0","35,544.0","35,187.0","39,456.0","40,097.0","39,310.0","38,427.0","31,442.0","33,610.0","34,947.0","36,793.0","40,138.0","45,258.0","46,485.0","46,947.0","47,890.0","45,630.0","45,400.0","44,473.0","45,153.0","46,658.0","45,255.0","44,815.0","41,460.0","35,846.0","36,610.0","40,752.0","46,532.0","50,083.0","55,067.0","49,555.0","49,727.0","53,965.0","49,984.0","49,182.0","46,705.0","45,511.0","49,994.0","52,077.0","55,902.0","58,305.0","57,334.0","58,524.0","60,129.0","60,564.0","64,173.0","65,482.0","66,797.0","70,676.0","70,738.0","71,807.0","70,999.0","78,524.0","80,478.0","82,041.0","86,249.0","89,564.0","88,319.0","86,541.0","87,648.0","84,932.0","83,998.0","84,681.0","87,989.0","88,703.0","92,217.0","92,214.0","93,326.0","93,118.0","89,925.0","86,863.0","81,598.0"
"22","3","  Financial","A587RC1","2,162.0","2,384.0","2,605.0","2,833.0","3,022.0","3,073.0","3,104.0","3,105.0","3,045.0","3,024.0","3,029.0","3,114.0","3,150.0","3,273.0","3,460.0","3,881.0","3,739.0","4,008.0","4,248.0","4,485.0","4,384.0","4,458.0","4,667.0","4,703.0","4,739.0","4,809.0","4,795.0","4,945.0","5,025.0","5,094.0","5,097.0","5,116.0","5,133.0","5,337.0","5,512.0","5,606.0","5,675.0","5,580.0","5,779.0","5,814.0","6,014.0","6,053.0","6,028.0","6,397.0","6,651.0","6,961.0","7,604.0","7,920.0","8,196.0","8,275.0","8,168.0","8,233.0","8,371.0","8,082.0","8,053.0","8,098.0","8,300.0","8,552.0","8,630.0","8,406.0","8,254.0","8,101.0","8,091.0","8,134.0","8,575.0","8,662.0","8,744.0","8,735.0","8,548.0","8,747.0","9,167.0","10,202.0","10,573.0","10,395.0","10,649.0","10,547.0","10,735.0","10,933.0","11,045.0","11,431.0","12,339.0","12,778.0","12,914.0","12,677.0","13,560.0","13,267.0","13,257.0","13,856.0"
"23","4","  Nonfinancial","A463RC1","26,042.0","27,507.0","26,775.0","28,148.0","26,481.0","24,091.0","25,325.0","22,139.0","25,594.0","29,318.0","33,625.0","36,715.0","35,558.0","35,221.0","35,476.0","36,209.0","33,878.0","31,536.0","30,939.0","34,971.0","35,713.0","34,852.0","33,760.0","26,739.0","28,871.0","30,138.0","31,998.0","35,193.0","40,233.0","41,391.0","41,850.0","42,774.0","40,497.0","40,063.0","38,961.0","39,547.0","40,983.0","39,675.0","39,036.0","35,646.0","29,832.0","30,557.0","34,724.0","40,135.0","43,432.0","48,106.0","41,951.0","41,807.0","45,769.0","41,709.0","41,014.0","38,472.0","37,140.0","41,912.0","44,024.0","47,804.0","50,005.0","48,782.0","49,894.0","51,723.0","52,310.0","56,072.0","57,391.0","58,663.0","62,101.0","62,076.0","63,063.0","62,264.0","69,976.0","71,731.0","72,874.0","76,047.0","78,991.0","77,924.0","75,892.0","77,101.0","74,197.0","73,065.0","73,636.0","76,558.0","76,364.0","79,439.0","79,300.0","80,649.0","79,558.0","76,658.0","73,606.0","67,742.0"
"24","5","Rest of the world","B394RC1","1,208.0","1,284.0","1,272.0","1,280.0","1,224.0","1,168.0","1,116.0","992.0","1,128.0","1,084.0","1,424.0","1,440.0","1,484.0","1,692.0","1,804.0","1,996.0","1,904.0","1,880.0","1,916.0","1,852.0","1,872.0","1,900.0","1,732.0","1,688.0","1,840.0","1,856.0","1,924.0","2,228.0","2,236.0","2,240.0","2,404.0","2,536.0","2,720.0","2,760.0","2,904.0","2,900.0","3,012.0","3,288.0","3,212.0","2,856.0","2,580.0","2,548.0","2,504.0","2,460.0","2,500.0","2,540.0","2,792.0","3,040.0","3,060.0","3,168.0","3,076.0","3,244.0","3,388.0","3,176.0","3,344.0","3,356.0","3,372.0","3,624.0","3,716.0","4,376.0","4,144.0","3,956.0","4,012.0","4,212.0","4,560.0","4,408.0","4,472.0","4,436.0","4,772.0","4,944.0","4,616.0","4,492.0","4,348.0","4,488.0","4,548.0","4,728.0","4,688.0","4,452.0","5,020.0","4,940.0","5,220.0","5,492.0","5,728.0","6,104.0","6,260.0","6,436.0","6,748.0","6,936.0"
"25","6","  Receipts from the rest of the world","B933RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,108.0","3,188.0","3,488.0","3,744.0","3,724.0","3,832.0","3,728.0","3,876.0","4,052.0","3,888.0","4,108.0","4,132.0","4,060.0","4,340.0","4,452.0","5,124.0","4,896.0","4,748.0","4,832.0","5,064.0","5,428.0","5,304.0","5,376.0","5,408.0","5,800.0","6,016.0","5,720.0","5,592.0","5,468.0","5,592.0","5,684.0","5,880.0","5,840.0","5,624.0","6,280.0","6,216.0","6,544.0","6,860.0","7,116.0","7,464.0","7,676.0","7,872.0","8,220.0","8,420.0"
"26","7","  Less:  Payments to the rest of the world","B934RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","608.0","648.0","696.0","704.0","664.0","664.0","652.0","632.0","664.0","712.0","764.0","776.0","688.0","716.0","736.0","748.0","752.0","792.0","820.0","852.0","868.0","896.0","904.0","972.0","1,028.0","1,072.0","1,104.0","1,100.0","1,120.0","1,104.0","1,136.0","1,152.0","1,152.0","1,172.0","1,260.0","1,276.0","1,324.0","1,368.0","1,388.0","1,360.0","1,416.0","1,436.0","1,472.0","1,484.0"
"27","8","    Corporate profits with inventory valuation adjustment","A052RC1","32,192.0","34,064.0","33,548.0","35,092.0","33,456.0","31,108.0","32,324.0","28,964.0","32,268.0","36,056.0","40,628.0","44,120.0","43,140.0","43,040.0","43,532.0","44,644.0","42,016.0","39,836.0","39,476.0","43,516.0","44,084.0","42,976.0","41,564.0","34,120.0","36,524.0","37,648.0","39,352.0","42,576.0","47,192.0","48,092.0","47,956.0","49,352.0","47,376.0","47,740.0","47,504.0","48,460.0","49,912.0","48,604.0","47,772.0","43,876.0","38,300.0","39,540.0","43,660.0","49,332.0","52,712.0","57,204.0","52,000.0","52,000.0","55,712.0","51,624.0","50,448.0","48,048.0","46,772.0","50,752.0","53,008.0","56,828.0","56,564.0","55,724.0","56,828.0","59,012.0","59,112.0","61,932.0","63,176.0","64,312.0","68,284.0","68,364.0","69,240.0","68,520.0","75,988.0","77,836.0","78,700.0","83,096.0","86,116.0","84,864.0","83,176.0","84,216.0","81,688.0","80,444.0","81,308.0","84,532.0","85,512.0","89,200.0","89,532.0","90,908.0","90,288.0","87,260.0","84,560.0","79,896.0"
"28","9","Domestic industries","A390RC1","30,984.0","32,780.0","32,276.0","33,812.0","32,232.0","29,940.0","31,208.0","27,972.0","31,140.0","34,972.0","39,204.0","42,680.0","41,656.0","41,348.0","41,728.0","42,648.0","40,112.0","37,956.0","37,560.0","41,664.0","42,212.0","41,076.0","39,832.0","32,432.0","34,684.0","35,792.0","37,428.0","40,348.0","44,956.0","45,852.0","45,552.0","46,816.0","44,656.0","44,980.0","44,600.0","45,560.0","46,900.0","45,316.0","44,560.0","41,020.0","35,720.0","36,992.0","41,156.0","46,872.0","50,212.0","54,664.0","49,208.0","48,960.0","52,652.0","48,456.0","47,372.0","44,804.0","43,384.0","47,576.0","49,664.0","53,472.0","53,192.0","52,100.0","53,112.0","54,636.0","54,968.0","57,976.0","59,164.0","60,100.0","63,724.0","63,956.0","64,768.0","64,084.0","71,216.0","72,892.0","74,084.0","78,604.0","81,768.0","80,376.0","78,628.0","79,488.0","77,000.0","75,992.0","76,288.0","79,592.0","80,292.0","83,708.0","83,804.0","84,804.0","84,028.0","80,824.0","77,812.0","72,960.0"
"29","10","  Financial","A392RC1","2,420.0","2,640.0","2,856.0","3,068.0","3,248.0","3,292.0","3,328.0","3,332.0","3,284.0","3,276.0","3,288.0","3,384.0","3,428.0","3,552.0","3,748.0","4,172.0","4,028.0","4,304.0","4,544.0","4,776.0","4,676.0","4,748.0","4,956.0","4,992.0","5,032.0","5,104.0","5,080.0","5,224.0","5,284.0","5,344.0","5,336.0","5,356.0","5,396.0","5,612.0","5,800.0","5,896.0","5,960.0","5,860.0","6,064.0","6,108.0","6,328.0","6,380.0","6,360.0","6,732.0","6,992.0","7,300.0","7,924.0","8,212.0","8,452.0","8,496.0","8,364.0","8,412.0","8,548.0","8,256.0","8,224.0","8,276.0","8,404.0","8,672.0","8,748.0","8,552.0","8,408.0","8,264.0","8,244.0","8,264.0","8,644.0","8,732.0","8,800.0","8,836.0","8,680.0","8,876.0","9,308.0","10,344.0","10,760.0","10,600.0","10,848.0","10,740.0","10,912.0","11,096.0","11,184.0","11,576.0","12,480.0","12,908.0","13,028.0","12,772.0","13,644.0","13,356.0","13,360.0","14,000.0"
"30","11","    Federal Reserve banks","B397RC1","180.0","204.0","236.0","292.0","272.0","248.0","220.0","200.0","192.0","192.0","184.0","192.0","240.0","292.0","308.0","336.0","336.0","336.0","348.0","364.0","384.0","400.0","408.0","384.0","356.0","340.0","308.0","284.0","252.0","268.0","312.0","352.0","416.0","456.0","488.0","512.0","556.0","592.0","652.0","700.0","672.0","648.0","548.0","512.0","564.0","620.0","816.0","936.0","988.0","996.0","936.0","848.0","788.0","752.0","760.0","792.0","820.0","864.0","876.0","892.0","908.0","924.0","964.0","1,020.0","1,080.0","1,120.0","1,156.0","1,184.0","1,256.0","1,316.0","1,368.0","1,428.0","1,492.0","1,612.0","1,756.0","1,880.0","1,912.0","1,904.0","1,920.0","2,076.0","2,304.0","2,468.0","2,592.0","2,644.0","2,812.0","3,016.0","3,132.0","3,340.0"
"31","12","    Other","B398RC1","2,240.0","2,436.0","2,620.0","2,776.0","2,976.0","3,044.0","3,108.0","3,132.0","3,092.0","3,084.0","3,104.0","3,192.0","3,188.0","3,260.0","3,440.0","3,836.0","3,692.0","3,968.0","4,196.0","4,412.0","4,292.0","4,348.0","4,548.0","4,608.0","4,676.0","4,764.0","4,772.0","4,940.0","5,032.0","5,076.0","5,024.0","5,004.0","4,980.0","5,156.0","5,312.0","5,384.0","5,404.0","5,268.0","5,412.0","5,408.0","5,656.0","5,732.0","5,812.0","6,220.0","6,428.0","6,680.0","7,108.0","7,276.0","7,464.0","7,500.0","7,428.0","7,564.0","7,760.0","7,504.0","7,464.0","7,484.0","7,584.0","7,808.0","7,872.0","7,660.0","7,500.0","7,340.0","7,280.0","7,244.0","7,564.0","7,612.0","7,644.0","7,652.0","7,424.0","7,560.0","7,940.0","8,916.0","9,268.0","8,988.0","9,092.0","8,860.0","9,000.0","9,192.0","9,264.0","9,500.0","10,176.0","10,440.0","10,436.0","10,128.0","10,832.0","10,340.0","10,228.0","10,660.0"
"32","13","  Nonfinancial","A399RC1","28,564.0","30,140.0","29,420.0","30,744.0","28,984.0","26,648.0","27,880.0","24,640.0","27,856.0","31,696.0","35,916.0","39,296.0","38,228.0","37,796.0","37,980.0","38,476.0","36,084.0","33,652.0","33,016.0","36,888.0","37,536.0","36,328.0","34,876.0","27,440.0","29,652.0","30,688.0","32,348.0","35,124.0","39,672.0","40,508.0","40,216.0","41,460.0","39,260.0","39,368.0","38,800.0","39,664.0","40,940.0","39,456.0","38,496.0","34,912.0","29,392.0","30,612.0","34,796.0","40,140.0","43,220.0","47,364.0","41,284.0","40,748.0","44,200.0","39,960.0","39,008.0","36,392.0","34,836.0","39,320.0","41,440.0","45,196.0","44,788.0","43,428.0","44,364.0","46,084.0","46,560.0","49,712.0","50,920.0","51,836.0","55,080.0","55,224.0","55,968.0","55,248.0","62,536.0","64,016.0","64,776.0","68,260.0","71,008.0","69,776.0","67,780.0","68,748.0","66,088.0","64,896.0","65,104.0","68,016.0","67,812.0","70,800.0","70,776.0","72,032.0","70,384.0","67,468.0","64,452.0","58,960.0"
"33","14","    Manufacturing","A400RC1","16,904.0","17,448.0","17,296.0","18,532.0","17,120.0","15,668.0","17,196.0","14,872.0","16,572.0","19,332.0","22,756.0","25,324.0","24,316.0","24,712.0","24,892.0","24,716.0","22,968.0","20,772.0","20,220.0","22,788.0","24,500.0","23,532.0","22,820.0","17,120.0","19,176.0","19,728.0","19,412.0","21,464.0","24,508.0","25,928.0","26,384.0","27,396.0","25,752.0","25,044.0","23,340.0","24,892.0","26,180.0","24,988.0","23,976.0","21,272.0","17,188.0","17,372.0","19,836.0","23,508.0","26,412.0","30,060.0","25,364.0","24,328.0","27,828.0","23,756.0","23,096.0","20,604.0","19,284.0","22,968.0","24,664.0","26,720.0","26,156.0","25,380.0","25,964.0","27,800.0","27,384.0","29,824.0","30,596.0","30,996.0","32,500.0","32,212.0","32,884.0","32,648.0","38,568.0","38,984.0","39,692.0","41,984.0","44,400.0","42,996.0","41,388.0","41,684.0","39,732.0","38,636.0","38,144.0","40,452.0","40,008.0","42,380.0","41,748.0","43,268.0","41,668.0","38,228.0","36,376.0","32,908.0"
"34","15","      Durable goods","A406RC1","7,224.0","7,232.0","7,320.0","8,276.0","8,232.0","7,652.0","9,124.0","7,340.0","8,724.0","10,784.0","13,616.0","15,020.0","13,916.0","13,328.0","12,528.0","13,168.0","12,644.0","10,988.0","10,628.0","12,672.0","13,920.0","13,140.0","12,616.0","8,204.0","9,728.0","10,452.0","10,324.0","11,460.0","13,632.0","14,252.0","14,464.0","14,612.0","13,324.0","12,884.0","11,616.0","13,336.0","14,876.0","13,992.0","13,320.0","11,140.0","8,052.0","8,108.0","9,192.0","11,932.0","13,928.0","16,856.0","12,216.0","11,716.0","14,892.0","11,616.0","10,916.0","9,164.0","8,084.0","10,808.0","12,224.0","14,248.0","13,960.0","13,308.0","14,024.0","14,924.0","14,776.0","16,780.0","16,732.0","17,316.0","18,204.0","17,812.0","18,376.0","17,852.0","22,668.0","22,704.0","23,152.0","24,560.0","25,928.0","24,124.0","23,144.0","23,020.0","21,376.0","21,540.0","20,376.0","21,796.0","21,276.0","22,816.0","21,828.0","23,908.0","22,996.0","19,740.0","17,996.0","15,884.0"
