"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of chained (1972) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2011 1:53:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982"
"19","1","    Gross domestic product","A191CX1","1,135,096.0","1,137,264.0","1,175,437.0","1,237,885.0","1,309,606.0","1,302,389.0","1,299,620.0","1,369,342.0","1,432,294.0","1,512,189.0","1,559,445.0","1,555,165.0","1,594,639.0","1,563,678.0"
"20","2","Personal consumption expenditures","DPCECX1","682,963.0","698,976.0","725,613.0","770,231.0","808,397.0","801,685.0","819,864.0","865,526.0","901,954.0","941,722.0","964,104.0","960,696.0","975,273.0","988,881.0"
"21","3","  Goods","DGDSCX1","334,146.0","336,781.0","350,876.0","373,815.0","393,185.0","378,840.0","381,414.0","408,117.0","425,633.0","443,225.0","450,315.0","438,912.0","444,099.0","447,197.0"
"22","4","    Durable goods","DDURCX1","96,680.0","94,121.0","103,575.0","116,444.0","128,622.0","120,374.0","120,661.0","135,698.0","147,685.0","155,437.0","154,652.0","142,335.0","143,754.0","143,515.0"
"23","5","    Nondurable goods","DNDGCX1","237,526.0","242,808.0","247,358.0","257,371.0","264,761.0","258,317.0","260,536.0","272,922.0","279,142.0","289,222.0","296,678.0","296,179.0","299,894.0","303,006.0"
"24","6","  Services","DSERCX1","348,612.0","362,241.0","374,749.0","396,416.0","415,208.0","423,170.0","439,057.0","457,897.0","476,824.0","499,005.0","514,252.0","522,168.0","531,537.0","541,894.0"
"25","7","Gross private domestic investment","A006CX1","178,345.0","166,627.0","185,626.0","207,608.0","231,935.0","214,850.0","176,794.0","212,508.0","244,615.0","274,105.0","282,845.0","251,777.0","274,414.0","235,969.0"
"26","8","  Fixed investment","A007CX1","168,257.0","164,720.0","177,197.0","198,501.0","216,642.0","203,100.0","181,289.0","199,162.0","227,785.0","255,362.0","269,775.0","252,247.0","257,887.0","239,806.0"
"27","9","    Nonresidential","A008CX1","118,629.0","117,995.0","118,004.0","128,836.0","147,583.0","148,816.0","134,109.0","140,677.0","156,554.0","179,986.0","198,113.0","197,592.0","208,845.0","200,984.0"
"28","10","      Structures","B009CX1","46,383.0","46,511.0","45,748.0","47,173.0","51,030.0","49,925.0","44,667.0","45,742.0","47,624.0","54,497.0","61,408.0","65,000.0","70,211.0","69,061.0"
"29","11","      Equipment and software","B010CX1","72,342.0","71,620.0","72,331.0","81,663.0","96,640.0","99,112.0","89,677.0","95,281.0","109,637.0","126,328.0","137,359.0","132,419.0","138,051.0","130,872.0"
"30","12","    Residential","A011CX1","49,375.0","46,422.0","59,152.0","69,665.0","69,218.0","54,929.0","47,797.0","59,054.0","71,731.0","76,248.0","73,450.0","57,907.0","53,265.0","43,594.0"
"31","13","  Change in private inventories","A014CX1","10,740.0","1,988.0","8,864.0","9,107.0","13,837.0","10,311.0","-4,532.0","12,152.0","15,289.0","16,167.0","9,924.0","-3,309.0","13,819.0","-6,980.0"
"32","14","Net exports of goods and services","A019CX1","-2,230.0","1,469.0","-811.0","-3,372.0","6,538.0","14,952.0","22,813.0","13,563.0","7,013.0","9,434.0","18,392.0","37,582.0","36,754.0","27,899.0"
"33","15","  Exports","A020CX1","58,508.0","64,798.0","65,897.0","70,843.0","84,198.0","90,852.0","90,277.0","94,219.0","96,487.0","106,660.0","117,232.0","129,859.0","131,455.0","121,410.0"
"34","16","    Goods","A253CX1","42,145.0","46,950.0","46,767.0","51,794.0","63,691.0","68,749.0","67,152.0","70,340.0","71,258.0","79,223.0","88,583.0","99,140.0","98,066.0","89,204.0"
"35","17","    Services","A646CX1","16,342.0","17,797.0","19,170.0","19,049.0","20,396.0","21,987.0","23,338.0","24,028.0","25,579.0","27,718.0","28,571.0","30,354.0","33,586.0","32,655.0"
"36","18","  Imports","A021CX1","60,738.0","63,329.0","66,709.0","74,216.0","77,659.0","75,900.0","67,464.0","80,656.0","89,473.0","97,226.0","98,840.0","92,277.0","94,702.0","93,511.0"
"37","19","    Goods","A255CX1","44,496.0","46,240.0","50,117.0","56,934.0","60,952.0","59,259.0","51,791.0","63,502.0","71,240.0","77,629.0","78,961.0","73,099.0","74,605.0","72,731.0"
"38","20","    Services","B656CX1","16,219.0","17,064.0","16,579.0","17,282.0","16,699.0","16,680.0","15,957.0","17,058.0","17,908.0","19,185.0","19,449.0","19,015.0","20,110.0","21,182.0"
"39","21","Government consumption expenditures and gross investment","A822CX1","277,959.0","271,248.0","265,344.0","263,419.0","262,496.0","269,107.0","275,172.0","276,408.0","279,436.0","287,667.0","293,037.0","298,749.0","301,473.0","306,766.0"
"40","22","  Federal","A823CX1","145,881.0","135,129.0","124,726.0","119,628.0","114,594.0","115,611.0","115,987.0","116,042.0","118,497.0","121,467.0","124,401.0","130,301.0","136,530.0","141,810.0"
"41","23","    National defense","A824CX1","116,965.0","106,362.0","94,304.0","86,932.0","82,111.0","81,473.0","80,701.0","80,425.0","81,359.0","82,053.0","84,549.0","88,235.0","93,822.0","100,912.0"
"42","24","    Nondefense","A825CX1","29,474.0","29,164.0","30,540.0","32,696.0","32,495.0","34,182.0","35,349.0","35,685.0","37,219.0","39,532.0","39,949.0","42,186.0","42,749.0","40,698.0"
"43","25","  State and local","A829CX1","132,833.0","136,518.0","140,699.0","143,791.0","147,889.0","153,453.0","159,091.0","160,265.0","160,846.0","166,102.0","168,543.0","168,419.0","165,030.0","165,110.0"
"44","26","Residual","A960CX1","-3,500.0","-1,900.0","-1,200.0","0.0","1,500.0","2,400.0","3,800.0","400.0","-2,700.0","-2,400.0","-200.0","6,300.0","5,500.0","4,000.0"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Note. Chained (1972) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
