"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","      Gross investment \2\","A782RC1","2,832.0","3,168.0","2,986.0","2,147.0","1,926.0","2,661.0","2,776.0","4,131.0","3,792.0","4,192.0","4,491.0","4,373.0","10,795.0","28,546.0","39,075.0","36,648.0","24,115.0","3,491.0","4,597.0","7,018.0","9,696.0","9,799.0","17,624.0","22,310.0","23,991.0","22,512.0","20,976.0","22,909.0","24,377.0","26,483.0","29,302.0","28,267.0","31,329.0","33,290.0","33,640.0","34,626.0","35,555.0","39,787.0","42,977.0","43,637.0","43,268.0"
"22","4","        Structures","A760RC1","2,575.0","2,933.0","2,730.0","1,923.0","1,703.0","2,262.0","2,289.0","3,718.0","3,330.0","3,647.0","3,901.0","3,727.0","6,251.0","12,117.0","6,997.0","3,278.0","2,542.0","1,689.0","3,009.0","4,636.0","6,342.0","7,013.0","9,546.0","11,104.0","11,658.0","12,111.0","12,010.0","13,394.0","14,872.0","16,501.0","16,856.0","16,600.0","18,015.0","18,635.0","19,928.0","21,056.0","22,846.0","25,085.0","26,454.0","28,548.0","28,959.0"
"23","5","        Equipment and software","A871RC1","257.0","235.0","256.0","224.0","223.0","399.0","487.0","413.0","462.0","545.0","590.0","646.0","4,544.0","16,429.0","32,078.0","33,370.0","21,573.0","1,802.0","1,588.0","2,382.0","3,354.0","2,786.0","8,078.0","11,206.0","12,333.0","10,401.0","8,966.0","9,515.0","9,505.0","9,982.0","12,446.0","11,667.0","13,314.0","14,655.0","13,712.0","13,570.0","12,709.0","14,702.0","16,523.0","15,089.0","14,309.0"
"24","6","Federal","A823RC1","1,729.0","1,830.0","1,878.0","1,829.0","2,286.0","3,278.0","3,375.0","5,565.0","5,092.0","5,718.0","6,016.0","6,471.0","17,969.0","54,146.0","86,456.0","96,948.0","84,027.0","28,818.0","22,590.0","24,156.0","27,638.0","25,972.0","45,007.0","59,146.0","64,367.0","57,229.0","54,851.0","56,669.0","61,315.0","63,803.0","65,326.0","64,078.0","67,891.0","75,234.0","76,895.0","78,434.0","80,404.0","92,412.0","104,624.0","111,263.0","113,281.0"
"25","7","    Consumption expenditures","A957RC1","1,540.0","1,570.0","1,541.0","1,447.0","1,685.0","2,387.0","2,201.0","4,335.0","3,864.0","4,494.0","4,894.0","4,855.0","9,409.0","27,133.0","48,249.0","61,000.0","60,718.0","26,907.0","20,834.0","21,157.0","23,284.0","22,035.0","34,350.0","44,158.0","48,286.0","43,911.0","43,910.0","45,022.0","49,458.0","50,854.0","49,946.0","49,734.0","51,610.0","57,814.0","60,770.0","62,797.0","65,697.0","75,743.0","86,956.0","95,293.0","98,315.0"
"26","8","    Gross investment","A787RC1","189.0","260.0","337.0","382.0","601.0","891.0","1,174.0","1,230.0","1,228.0","1,224.0","1,122.0","1,616.0","8,560.0","27,013.0","38,207.0","35,948.0","23,309.0","1,911.0","1,756.0","2,999.0","4,354.0","3,937.0","10,657.0","14,988.0","16,081.0","13,318.0","10,941.0","11,647.0","11,857.0","12,949.0","15,380.0","14,344.0","16,281.0","17,420.0","16,125.0","15,637.0","14,707.0","16,669.0","17,668.0","15,970.0","14,966.0"
"27","9","      Structures","A801RC1","162.0","218.0","283.0","343.0","527.0","638.0","830.0","955.0","962.0","891.0","770.0","1,171.0","4,177.0","10,717.0","6,226.0","2,675.0","1,834.0","284.0","482.0","1,047.0","1,455.0","1,628.0","3,127.0","4,377.0","4,380.0","3,632.0","2,736.0","3,027.0","3,414.0","4,019.0","4,017.0","3,898.0","4,229.0","4,111.0","3,959.0","3,824.0","3,893.0","4,092.0","3,412.0","3,328.0","3,380.0"
"28","10","      Equipment and software","A872RC1","27.0","42.0","54.0","39.0","74.0","253.0","344.0","275.0","266.0","333.0","352.0","445.0","4,383.0","16,296.0","31,981.0","33,273.0","21,475.0","1,627.0","1,274.0","1,952.0","2,899.0","2,309.0","7,530.0","10,611.0","11,701.0","9,686.0","8,205.0","8,620.0","8,443.0","8,930.0","11,363.0","10,446.0","12,052.0","13,309.0","12,166.0","11,813.0","10,814.0","12,577.0","14,256.0","12,642.0","11,586.0"
"29","11","  National defense","A824RC1","916.0","949.0","940.0","924.0","875.0","816.0","1,026.0","1,249.0","1,300.0","1,363.0","1,490.0","2,478.0","14,306.0","51,139.0","84,152.0","94,498.0","81,923.0","25,125.0","18,153.0","18,222.0","19,782.0","19,506.0","39,218.0","52,314.0","55,902.0","49,164.0","46,920.0","49,211.0","53,607.0","55,364.0","53,816.0","53,348.0","56,509.0","61,085.0","60,964.0","60,241.0","60,603.0","71,656.0","83,440.0","89,244.0","89,491.0"
"30","12","    Consumption expenditures","A997RC1","880.0","889.0","856.0","857.0","786.0","703.0","923.0","990.0","976.0","1,045.0","1,165.0","1,675.0","7,107.0","25,134.0","46,790.0","59,062.0","59,256.0","23,610.0","17,204.0","16,266.0","16,854.0","17,148.0","30,082.0","38,884.0","41,199.0","37,056.0","36,841.0","38,724.0","43,124.0","44,041.0","40,109.0","40,999.0","42,653.0","46,563.0","48,323.0","48,775.0","50,558.0","59,893.0","69,933.0","77,091.0","78,144.0"
"31","13","    Gross investment","A788RC1","36.0","60.0","84.0","67.0","89.0","113.0","103.0","259.0","324.0","318.0","325.0","803.0","7,199.0","26,005.0","37,362.0","35,436.0","22,667.0","1,515.0","949.0","1,956.0","2,928.0","2,358.0","9,136.0","13,430.0","14,703.0","12,108.0","10,079.0","10,487.0","10,483.0","11,323.0","13,707.0","12,349.0","13,856.0","14,522.0","12,641.0","11,466.0","10,045.0","11,763.0","13,507.0","12,153.0","11,347.0"
"32","14","      Structures","A808RC1","24.0","37.0","51.0","43.0","47.0","72.0","61.0","179.0","232.0","203.0","174.0","602.0","3,568.0","10,266.0","5,825.0","2,484.0","1,672.0","288.0","157.0","368.0","367.0","452.0","2,019.0","3,284.0","3,326.0","2,729.0","2,121.0","2,130.0","2,287.0","2,615.0","2,536.0","2,234.0","2,358.0","1,990.0","1,640.0","1,276.0","1,138.0","1,260.0","1,195.0","1,243.0","1,491.0"
"33","15","      Equipment and software","A873RC1","12.0","23.0","33.0","24.0","42.0","41.0","42.0","80.0","92.0","115.0","151.0","201.0","3,631.0","15,739.0","31,537.0","32,952.0","20,995.0","1,227.0","792.0","1,588.0","2,561.0","1,906.0","7,117.0","10,146.0","11,377.0","9,379.0","7,958.0","8,357.0","8,196.0","8,708.0","11,171.0","10,115.0","11,498.0","12,532.0","11,001.0","10,190.0","8,907.0","10,503.0","12,312.0","10,910.0","9,856.0"
"34","16","  Nondefense","A825RC1","813.0","881.0","938.0","905.0","1,411.0","2,462.0","2,349.0","4,316.0","3,792.0","4,355.0","4,526.0","3,993.0","3,663.0","3,007.0","2,304.0","2,450.0","2,104.0","3,693.0","4,437.0","5,934.0","7,856.0","6,466.0","5,789.0","6,832.0","8,465.0","8,065.0","7,931.0","7,458.0","7,708.0","8,439.0","11,510.0","10,730.0","11,382.0","14,149.0","15,931.0","18,193.0","19,801.0","20,756.0","21,184.0","22,019.0","23,790.0"
"35","17","    Consumption expenditures","A542RC1","660.0","681.0","685.0","590.0","899.0","1,684.0","1,278.0","3,345.0","2,888.0","3,449.0","3,729.0","3,180.0","2,302.0","1,999.0","1,459.0","1,938.0","1,462.0","3,297.0","3,630.0","4,891.0","6,430.0","4,887.0","4,268.0","5,274.0","7,087.0","6,855.0","7,069.0","6,298.0","6,334.0","6,813.0","9,837.0","8,735.0","8,957.0","11,251.0","12,447.0","14,022.0","15,139.0","15,850.0","17,023.0","18,202.0","20,171.0"
"36","18","    Gross investment","A798RC1","153.0","200.0","253.0","315.0","512.0","778.0","1,071.0","971.0","904.0","906.0","797.0","813.0","1,361.0","1,008.0","845.0","512.0","642.0","396.0","807.0","1,043.0","1,426.0","1,579.0","1,521.0","1,558.0","1,378.0","1,210.0","862.0","1,160.0","1,374.0","1,626.0","1,673.0","1,995.0","2,425.0","2,898.0","3,484.0","4,171.0","4,662.0","4,906.0","4,161.0","3,817.0","3,619.0"
"37","19","      Structures","A830RC1","138.0","181.0","232.0","300.0","480.0","566.0","769.0","776.0","730.0","688.0","596.0","569.0","609.0","451.0","401.0","191.0","162.0","-4.0","325.0","679.0","1,088.0","1,176.0","1,108.0","1,093.0","1,054.0","903.0","615.0","897.0","1,127.0","1,404.0","1,481.0","1,664.0","1,871.0","2,121.0","2,319.0","2,548.0","2,755.0","2,832.0","2,217.0","2,085.0","1,889.0"
"38","20","      Equipment and software","B880RC1","15.0","19.0","21.0","15.0","32.0","212.0","302.0","195.0","174.0","218.0","201.0","244.0","752.0","557.0","444.0","321.0","480.0","400.0","482.0","364.0","338.0","403.0","413.0","465.0","324.0","307.0","247.0","263.0","247.0","222.0","192.0","331.0","554.0","777.0","1,165.0","1,623.0","1,907.0","2,074.0","1,944.0","1,732.0","1,730.0"
"39","21","State and local","A829RC1","7,627.0","8,162.0","8,006.0","6,869.0","6,373.0","7,231.0","7,514.0","7,526.0","7,710.0","8,098.0","8,774.0","8,560.0","8,556.0","8,576.0","8,370.0","8,385.0","8,963.0","10,770.0","13,748.0","16,346.0","18,996.0","20,742.0","23,047.0","24,438.0","26,147.0","28,902.0","31,591.0","34,701.0","38,344.0","42,155.0","44,668.0","47,470.0","51,608.0","54,854.0","59,456.0","64,780.0","71,042.0","79,219.0","87,884.0","98,049.0","108,150.0"
"40","22","  Consumption expenditures","A991RC1","4,984.0","5,254.0","5,357.0","5,104.0","5,048.0","5,461.0","5,912.0","4,625.0","5,146.0","5,130.0","5,405.0","5,803.0","6,321.0","7,043.0","7,502.0","7,685.0","8,157.0","9,190.0","10,907.0","12,328.0","13,655.0","14,880.0","16,080.0","17,117.0","18,237.0","19,708.0","21,556.0","23,439.0","25,824.0","28,622.0","30,747.0","33,547.0","36,560.0","38,984.0","41,941.0","45,790.0","50,194.0","56,101.0","62,575.0","70,381.0","79,849.0"
"41","23","  Gross investment","A799RC1","2,643.0","2,908.0","2,649.0","1,765.0","1,325.0","1,770.0","1,602.0","2,901.0","2,564.0","2,968.0","3,369.0","2,757.0","2,235.0","1,533.0","868.0","700.0","806.0","1,580.0","2,841.0","4,019.0","5,342.0","5,862.0","6,967.0","7,322.0","7,910.0","9,194.0","10,035.0","11,262.0","12,520.0","13,534.0","13,922.0","13,923.0","15,048.0","15,870.0","17,515.0","18,989.0","20,848.0","23,118.0","25,309.0","27,667.0","28,302.0"
"42","24","    Structures","A842RC1","2,413.0","2,715.0","2,447.0","1,580.0","1,176.0","1,624.0","1,459.0","2,763.0","2,368.0","2,756.0","3,131.0","2,556.0","2,074.0","1,400.0","771.0","603.0","708.0","1,405.0","2,527.0","3,589.0","4,887.0","5,385.0","6,419.0","6,727.0","7,278.0","8,479.0","9,274.0","10,367.0","11,458.0","12,482.0","12,839.0","12,702.0","13,786.0","14,524.0","15,969.0","17,232.0","18,953.0","20,993.0","23,042.0","25,220.0","25,579.0"
"43","25","    Equipment and software","B881RC1","230.0","193.0","202.0","185.0","149.0","146.0","143.0","138.0","196.0","212.0","238.0","201.0","161.0","133.0","97.0","97.0","98.0","175.0","314.0","430.0","455.0","477.0","548.0","595.0","632.0","715.0","761.0","895.0","1,062.0","1,052.0","1,083.0","1,221.0","1,262.0","1,346.0","1,546.0","1,757.0","1,895.0","2,125.0","2,267.0","2,447.0","2,723.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
