"","Table 3#8# Current Surplus of Government Enterprises            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1960 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2011 1:04:28 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","      Current surplus of government enterprises","A108RC1","927.0","834.0","896.0","1,353.0","1,349.0","1,346.0","992.0","913.0","1,170.0","1,020.0"
"20","2","Federal","B097RC1","-320.0","-496.0","-481.0","-269.0","-293.0","-346.0","-615.0","-633.0","-339.0","-449.0"
"21","3","  Postal Service","L312101","-661.0","-843.0","-864.0","-653.0","-737.0","-804.0","-1,091.0","-1,145.0","-870.0","-1,134.0"
"22","4","  Federal Housing Administration","L312121","122.0","134.0","145.0","153.0","175.0","196.0","181.0","196.0","214.0","230.0"
"23","5","  Tennessee Valley Authority","L312131","-53.0","-55.0","-56.0","-55.0","-56.0","-56.0","-59.0","-62.0","-68.0","-75.0"
"24","6","  Other \1\","L312141","272.0","268.0","294.0","286.0","325.0","318.0","354.0","378.0","385.0","530.0"
"25","7","State and local","B115RC1","1,247.0","1,330.0","1,377.0","1,622.0","1,642.0","1,692.0","1,607.0","1,546.0","1,509.0","1,469.0"
"26","8","  Water and sewerage","L312181","149.0","123.0","206.0","294.0","307.0","307.0","247.0","161.0","129.0","182.0"
"27","9","  Gas and electricity","L312191","494.0","511.0","527.0","667.0","671.0","691.0","674.0","700.0","736.0","752.0"
"28","10","  Toll facilities","L312201","306.0","317.0","345.0","361.0","393.0","438.0","467.0","482.0","504.0","529.0"
"29","11","  Liquor stores","L312211","250.0","251.0","255.0","263.0","277.0","300.0","324.0","349.0","374.0","377.0"
"30","12","  Air and water terminals","L312221","3.0","16.0","19.0","31.0","38.0","47.0","60.0","81.0","92.0","92.0"
"31","13","  Housing and urban renewal","L312231","77.0","94.0","54.0","93.0","67.0","63.0","32.0","17.0","22.0","-2.0"
"32","14","  Public transit","L312241","-51.0","-26.0","-26.0","-84.0","-92.0","-129.0","-141.0","-172.0","-261.0","-301.0"
"33","15","  Other \2\","L312251","19.0","44.0","-3.0","-3.0","-19.0","-26.0","-56.0","-72.0","-87.0","-160.0"
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Consists largely of the Bonneville Power Administration, other electric power agencies, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","insurance agencies other than those insuring deposits in financial institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Consists of lotteries, gaming administered by Indian tribal governments, off-track betting,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","local parking, and miscellaneous activities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
