"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 31, 2007      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2007 10:12:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",801.6,851.3,817.9,767.3,886.3,993.1,1182.6,1330.7,1615.7
"9","2","Domestic industries","A445RC1",698.7,729.8,672.2,597.6,730.5,827.7,1006.3,1133.7,1372.6
"10","3","  Financial \1\","N587RC1",154.5,183.5,184.7,240.4,301.1,335.6,353.7,369.4,474
"11","4","  Nonfinancial","N463RC1",544.1,546.3,487.5,357.2,429.4,492.1,652.6,764.2,898.5
"12","5","Rest of the world","B394RC1",103,121.5,145.7,169.7,155.8,165.5,176.3,197,243.1
"13","6","  Receipts from the rest of the world","B933RC1",147,176.8,202.5,182.6,204.4,249.1,302,338,403.8
"14","7","  Less: Payments to the rest of the world","B934RC1",44,55.3,56.8,12.9,48.6,83.6,125.8,141,160.7
"15","8","    Corporate profits with inventory valuation adjustment","A052RC1",738.5,776.8,759.3,719.2,766.2,894.5,1104.5,1486.1,1776.6
"16","9","Domestic industries","A390RC1",635.5,655.3,613.6,549.5,610.4,729,928.2,1289.1,1533.4
"17","10","  Financial","N392RC1",165.4,194.3,200.2,227.6,276.4,317.3,344.2,389,498.7
"18","11","    Federal Reserve banks","B397RC1",25.2,26.3,30.8,28.3,23.7,20.1,20,26.6,33.8
