"","Table 6#14B# Inventory Valuation Adjustment to Nonfarm Incomes b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February 20, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2007 10:12:08 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Inventory valuation adjustment to nonfarm incomes","A1830C0",-2562,2319,-6059,-1526,1182,-1165,-367,-1934,-3195,-1839,-311,-309,-148,274,22,10,-550,-1411,-2331,-1758,-4064,-6334,-7085,-5141,-7331,-21456,-41614,-11649,-15173,-16809,-25596,-42775,-45023,-25881,-8008,-7961,-4381,-165,7023,-17050
"9","2","Corporate business","B058RC0",-2152,1856,-4965,-1199,981,-997,-318,-1736,-2693,-1539,-255,-277,-173,271,26,54,-494,-1245,-2107,-1554,-3651,-5870,-6552,-4584,-6610,-19569,-38221,-10544,-14113,-15698,-23709,-40138,-42133,-24626,-7505,-7445,-3979,21,7061,-16239
"10","3","  Mining","B1831C0",-61,31,-49,-9,-11,-37,0,-43,-19,-8,3,-4,8,0,8,-6,-27,-16,-19,-22,-1,-160,-75,-44,-62,-309,-541,-158,-338,-395,-410,-1129,-759,-653,-107,386,40,159,931,-327
"11","4","  Construction","B1832C0",-42,24,-72,-12,-3,-8,-14,-43,-16,3,-12,-25,49,5,9,-16,-15,-34,-69,-56,-219,-96,-90,-360,-241,-195,-361,-146,-266,-258,-443,-349,-316,-199,-56,-243,-117,-41,11,-251
"12","5","  Manufacturing","A672RC0",-1442,1107,-3183,-601,654,-692,-315,-1348,-1645,-949,-194,-198,-252,315,-15,174,-288,-571,-1149,-831,-2244,-3721,-3726,-2302,-3163,-9795,-20371,-4816,-6617,-8035,-10026,-18760,-17984,-11048,-3559,-2234,-1693,-117,3862,-7524
"13","6","    Durable goods","A674RC0",-1624,377,-1270,-722,-118,-784,-300,-1315,-1386,-552,-305,-247,-180,203,-32,76,-204,-291,-843,-759,-1808,-2739,-2714,-1606,-1726,-4497,-11741,-4565,-4340,-5803,-6263,-10568,-9635,-8726,-4481,-1899,-698,-2016,-1212,-3206
"14","7","    Nondurable goods","A673RC0",182,730,-1913,121,772,92,-15,-33,-259,-397,111,49,-72,112,17,98,-84,-280,-306,-72,-436,-982,-1012,-696,-1437,-5298,-8630,-251,-2277,-2232,-3763,-8192,-8349,-2322,922,-335,-995,1899,5074,-4318
"15","8","  Transportation and public utilities","A676RC0",-241,127,-211,-107,-19,-67,12,-151,-158,-28,-8,-72,14,4,10,0,-37,-75,-118,-56,0,-274,-639,-162,-254,-981,-2962,-369,-1377,-1403,-1102,-3960,-4106,-3870,-265,-88,-405,-301,1936,-1486
"16","9","    Transportation","C528RC0",-151,59,-100,-78,2,-46,-8,-47,-55,-34,-5,-19,-4,-2,3,1,-4,-18,-29,-37,-46,-46,-66,-101,-67,-256,-836,-309,-176,-211,-252,-915,-1004,-572,54,87,-101,-105,2022,-1143
"17","10","    Communication","C529RC0",-18,13,-20,-5,-4,-4,4,-41,-39,2,-1,-10,13,-2,4,0,-14,-12,-26,-4,7,-90,-27,17,-7,-97,-204,85,-56,-50,-109,-328,-285,-145,-95,-212,-292,-291,-309,-344
"18","11","    Electric, gas, and sanitary services","C530RC0",-72,55,-91,-24,-17,-17,16,-63,-64,4,-2,-43,5,8,3,-1,-19,-45,-63,-15,39,-138,-546,-78,-180,-628,-1922,-145,-1145,-1142,-741,-2717,-2817,-3153,-224,37,-12,95,223,1
"19","12","  Wholesale trade","C526RC0",-116,326,-892,-243,258,-82,30,-46,-515,-332,-19,11,38,-75,26,-51,-49,-308,-421,-174,-483,-704,-1043,-772,-1779,-5209,-6652,-1762,-2674,-2133,-5620,-7834,-8981,-3674,-1157,-2925,266,1728,1855,-3824
"20","13","  Retail trade","C527RC0",-250,241,-558,-227,102,-111,-31,-105,-340,-225,-25,15,-27,23,4,-59,-54,-223,-289,-375,-629,-822,-867,-865,-1021,-2873,-6511,-2994,-2531,-3089,-5544,-7320,-8491,-4215,-1904,-2318,-1789,-1359,-1263,-2439
"21","14","  Other","B1833C0",0,0,0,0,0,0,0,0,0,0,0,-4,-3,-1,-16,12,-24,-18,-42,-40,-75,-93,-112,-79,-90,-207,-823,-299,-310,-385,-564,-786,-1496,-967,-457,-23,-281,-48,-271,-388
"22","15","Noncorporate business","B179RC0",-410,463,-1094,-327,201,-168,-49,-198,-502,-300,-56,-32,25,3,-4,-44,-56,-166,-224,-204,-413,-464,-533,-557,-721,-1887,-3393,-1105,-1060,-1111,-1887,-2637,-2890,-1255,-503,-516,-402,-186,-38,-811
"23","16","  Mining","B1834C0",-12,5,-6,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-5,-2,-7,-8,-8,-17,-42,-28,-5,22,3,10,64,-24
"24","17","  Construction","B1835C0",-40,23,-67,-10,-4,-7,-10,-33,-14,2,-11,-21,35,2,5,-11,-9,-14,-27,-19,-64,-27,-20,-107,-70,-62,-107,-44,-70,-50,-66,-48,-38,-30,-10,-50,-19,-7,2,-37
"25","18","  Manufacturing","A1836C0",-36,56,-149,-4,24,-10,-7,-34,-35,-15,-12,-12,0,7,-8,-2,-10,-14,-22,-15,-51,-38,-38,-45,-44,-186,-229,-48,-81,-87,-102,-160,-143,-50,-20,-43,-23,32,12,-103
"26","19","    Durable goods","B1837C0",-49,22,-72,-15,-4,-20,-8,-42,-25,-10,-16,-9,2,6,-7,-4,-5,-7,-18,-15,-37,-29,-26,-39,-30,-109,-145,-48,-62,-69,-71,-110,-76,-47,-10,-15,-6,12,8,-67
