"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"21","2","Net saving","W201RC1","109,483.0","107,682.0","111,809.0","103,938.0","95,008.0","94,593.0","92,851.0","83,285.0","94,046.0","95,692.0","98,780.0","100,672.0","107,211.0","106,430.0","117,290.0","136,121.0","146,036.0","149,384.0","158,500.0","175,086.0","162,293.0","144,472.0","135,719.0","129,916.0","102,299.0","94,638.0","119,221.0","126,732.0","141,770.0","143,642.0","140,732.0","135,005.0","136,027.0","170,146.0","189,431.0","189,462.0","192,957.0","221,738.0","231,265.0","246,439.0","257,727.0","247,794.0","237,658.0","227,501.0","211,721.0","186,140.0","188,795.0","231,837.0","246,894.0","242,323.0","284,813.0","266,750.0","221,296.0","233,485.0","192,318.0","127,342.0","142,221.0","147,160.0","143,433.0","202,884.0","277,676.0","286,508.0","302,406.0","294,330.0","273,048.0","259,820.0","226,763.0","229,592.0","234,296.0","197,736.0","154,015.0","156,561.0","192,271.0","207,765.0","230,437.0","266,398.0","271,287.0","297,055.0","310,698.0","311,836.0","335,548.0","280,071.0","260,562.0","233,792.0","239,305.0","258,832.0","217,077.0","207,758.0","288,480.0","220,645.0","191,185.0","206,917.0","214,119.0","223,648.0","166,256.0","167,688.0","149,506.0","175,749.0","138,081.0","193,685.0","202,926.0","254,933.0","248,877.0","267,536.0","300,492.0","281,072.0","308,040.0","337,456.0","366,439.0","394,163.0","416,310.0","444,329.0","487,621.0","539,643.0","571,953.0","575,177.0","630,088.0","617,402.0","641,057.0","599,915.0","675,420.0","602,372.0","561,925.0","571,113.0","661,919.0","615,868.0","613,905.0","530,376.0","573,120.0","529,725.0","430,694.0","324,472.0","369,893.0","340,855.0","294,696.0","308,560.0","239,779.0","261,292.0","250,186.0","304,429.0","285,279.0","330,855.0","367,162.0","276,731.0","360,724.0","326,629.0","327,762.0","411,253.0","586,443.0","522,545.0","477,410.0","461,989.0","334,484.0","314,679.0","180,237.0","114,515.0","32,154.0","-74,338.0","-130,777.0","-206,987.0","-280,867.0","-346,543.0","-364,937.0","-210,919.0","-241,117.0","-180,439.0","-45,172.0","-53,130.0","-101,197.0","-89,486.0","17,113.0","109,283.0","289,813.0","305,980.0","304,008.0","408,310.0","324,230.0","430,747.0","423,450.0","446,971.0","398,890.0","519,262.0","578,729.0","583,350.0","568,124.0","....."
"22","3","  Net private saving","W202RC1","103,568.0","105,275.0","115,887.0","112,191.0","112,961.0","123,497.0","129,397.0","127,083.0","139,594.0","147,576.0","150,286.0","152,695.0","150,502.0","146,617.0","155,385.0","176,418.0","173,643.0","180,388.0","186,373.0","200,790.0","192,214.0","178,503.0","169,085.0","185,914.0","184,950.0","232,990.0","213,484.0","221,634.0","222,675.0","218,000.0","217,882.0","210,814.0","202,916.0","229,265.0","251,719.0","255,027.0","259,236.0","262,535.0","273,671.0","282,481.0","288,685.0","279,248.0","273,211.0","274,811.0","268,364.0","271,580.0","284,890.0","317,150.0","310,305.0","313,307.0","363,103.0","380,781.0","357,956.0","376,959.0","373,736.0","344,701.0","359,938.0","348,766.0","354,554.0","387,370.0","438,315.0","451,846.0","479,510.0","476,901.0","418,223.0","455,152.0","403,344.0","413,918.0","410,195.0","402,478.0","361,682.0","337,172.0","379,941.0","329,800.0","372,263.0","419,239.0","420,723.0","439,461.0","440,674.0","451,439.0","453,353.0","424,659.0","416,886.0","411,943.0","432,078.0","463,927.0","421,727.0","434,725.0","493,470.0","489,746.0","483,508.0","525,717.0","570,249.0","591,054.0","553,303.0","537,771.0","538,099.0","522,205.0","494,509.0","498,317.0","498,933.0","521,350.0","523,749.0","552,840.0","583,967.0","567,151.0","585,203.0","580,283.0","605,353.0","590,928.0","596,242.0","592,554.0","613,145.0","644,703.0","634,201.0","640,289.0","638,770.0","615,175.0","605,155.0","556,873.0","615,791.0","535,695.0","481,657.0","474,212.0","463,720.0","447,295.0","453,663.0","391,707.0","467,822.0","490,476.0","637,391.0","465,669.0","715,221.0","730,650.0","687,685.0","746,091.0","728,029.0","799,847.0","829,692.0","795,265.0","841,500.0","855,619.0","849,422.0","743,823.0","740,226.0","707,329.0","705,502.0","758,658.0","855,459.0","788,166.0","761,107.0","709,407.0","614,332.0","621,998.0","542,015.0","519,083.0","558,445.0","827,039.0","716,085.0","714,669.0","1,026,367.0","1,254,856.0","1,261,585.0","1,336,961.0","1,371,114.0","1,420,877.0","1,495,622.0","1,456,575.0","1,350,323.0","1,424,143.0","1,475,202.0","1,526,304.0","1,621,590.0","1,638,419.0","1,605,859.0","1,685,571.0","1,295,280.0","1,128,668.0","1,329,141.0","1,184,478.0","1,207,380.0","1,309,477.0","1,394,803.0","1,365,298.0","1,299,626.0","....."
"23","4","    Domestic business","A127RC1","38,052.0","35,780.0","34,010.0","28,960.0","25,687.0","29,558.0","28,419.0","25,054.0","33,750.0","35,214.0","38,352.0","42,502.0","45,046.0","46,322.0","49,115.0","51,657.0","55,364.0","51,734.0","54,032.0","52,908.0","48,008.0","43,461.0","33,392.0","33,942.0","41,026.0","49,472.0","59,702.0","66,810.0","72,331.0","69,859.0","69,931.0","68,023.0","72,642.0","86,586.0","97,262.0","89,802.0","89,174.0","103,652.0","107,020.0","111,825.0","104,156.0","104,266.0","101,448.0","95,905.0","78,670.0","65,542.0","66,790.0","78,197.0","84,548.0","85,507.0","95,790.0","91,750.0","78,422.0","91,247.0","87,932.0","84,969.0","99,364.0","113,353.0","118,632.0","131,271.0","144,127.0","144,486.0","151,460.0","158,101.0","153,779.0","157,562.0","168,281.0","150,522.0","130,874.0","113,865.0","100,760.0","88,576.0","98,298.0","120,247.0","135,161.0","139,211.0","143,440.0","146,011.0","136,277.0","147,592.0","117,524.0","115,128.0","115,004.0","93,141.0","104,016.0","118,598.0","87,275.0","100,776.0","137,126.0","134,553.0","128,808.0","128,415.0","143,185.0","139,909.0","128,161.0","137,012.0","126,566.0","138,188.0","153,885.0","163,938.0","181,420.0","187,083.0","197,408.0","205,290.0","199,329.0","221,207.0","239,734.0","244,642.0","261,092.0","249,265.0","242,968.0","250,902.0","269,390.0","279,042.0","294,019.0","281,132.0","202,829.0","199,783.0","202,574.0","189,505.0","241,430.0","239,732.0","213,451.0","199,582.0","153,238.0","132,774.0","130,923.0","108,772.0","144,890.0","189,103.0","180,187.0","206,486.0","284,634.0","296,248.0","312,674.0","365,048.0","345,165.0","389,128.0","392,786.0","387,463.0","445,614.0","425,452.0","456,225.0","325,358.0","466,041.0","478,932.0","494,406.0","499,889.0","479,281.0","455,711.0","461,938.0","391,633.0","274,816.0","306,236.0","253,465.0","223,693.0","160,300.0","193,686.0","258,562.0","56,846.0","362,706.0","475,399.0","651,597.0","721,888.0","791,846.0","771,974.0","850,523.0","833,252.0","621,923.0","724,812.0","756,591.0","832,112.0","793,610.0","732,693.0","727,329.0","511,018.0","728,285.0","518,970.0","696,462.0","634,151.0","570,154.0","685,957.0","789,061.0","750,980.0","616,291.0","....."
"24","5","      Undistributed corporate profits","B057RC1","35,270.0","33,251.0","31,294.0","29,931.0","27,423.0","27,438.0","28,312.0","25,622.0","31,664.0","34,212.0","38,012.0","40,427.0","43,453.0","44,197.0","46,716.0","52,464.0","63,431.0","65,553.0","66,149.0","69,869.0","74,972.0","76,743.0","81,680.0","68,696.0","56,295.0","61,358.0","77,795.0","85,219.0","90,766.0","92,639.0","93,004.0","91,239.0","101,271.0","108,847.0","113,603.0","113,411.0","117,367.0","134,678.0","138,683.0","148,307.0","148,886.0","155,137.0","158,204.0","152,196.0","149,836.0","118,142.0","126,582.0","131,431.0","131,506.0","115,354.0","116,464.0","110,795.0","90,655.0","93,134.0","88,197.0","80,464.0","81,193.0","99,358.0","107,891.0","110,658.0","116,063.0","114,360.0","104,913.0","104,273.0","91,177.0","90,692.0","94,057.0","94,862.0","54,858.0","48,669.0","46,710.0","51,119.0","61,820.0","87,816.0","98,830.0","103,684.0","111,175.0","122,127.0","114,330.0","119,596.0","105,901.0","90,887.0","75,366.0","69,294.0","76,140.0","89,203.0","93,514.0","99,403.0","106,607.0","108,514.0","111,168.0","114,565.0","125,656.0","135,202.0","115,987.0","120,582.0","115,984.0","126,204.0","132,588.0","143,585.0","160,762.0","165,059.0","178,794.0","185,746.0","196,992.0","214,193.0","213,343.0","209,324.0","218,768.0","208,183.0","192,761.0","195,262.0","199,095.0","209,055.0","222,867.0","217,039.0","131,100.0","125,803.0","122,544.0","111,111.0","148,537.0","165,761.0","159,176.0","164,392.0","121,234.0","101,994.0","91,790.0","74,225.0","120,648.0","151,930.0","108,224.0","86,251.0","119,966.0","165,308.0","216,724.0","283,695.0","278,480.0","279,247.0","297,065.0","312,056.0","386,399.0","396,567.0","429,762.0","324,981.0","629,197.0","634,829.0","674,930.0","702,691.0","665,422.0","673,393.0","674,145.0","595,271.0","488,870.0","519,144.0","451,757.0","476,139.0","335,661.0","399,804.0","388,669.0","-65,211.0","363,005.0","535,437.0","746,532.0","868,936.0","928,372.0","893,979.0","923,028.0","879,292.0","692,282.0","741,335.0","711,335.0","751,199.0","947,674.0","843,823.0","865,868.0","637,881.0","867,498.0","623,029.0","817,873.0","766,420.0","756,652.0","843,075.0","907,534.0","828,255.0","856,012.0","....."
"25","6","      Inventory valuation adjustment, corporate","B058RC1","-4,932.0","-5,220.0","-4,936.0","-8,392.0","-8,792.0","-4,580.0","-6,248.0","-6,588.0","-3,608.0","-4,668.0","-5,608.0","-4,452.0","-5,816.0","-5,848.0","-5,820.0","-8,956.0","-15,828.0","-21,052.0","-18,680.0","-22,716.0","-31,768.0","-36,744.0","-50,016.0","-34,356.0","-12,352.0","-6,980.0","-11,728.0","-11,116.0","-10,744.0","-14,900.0","-15,216.0","-15,592.0","-21,448.0","-15,324.0","-9,452.0","-16,568.0","-20,804.0","-23,200.0","-23,312.0","-27,520.0","-35,068.0","-39,984.0","-44,120.0","-41,380.0","-53,456.0","-34,028.0","-42,296.0","-38,752.0","-37,428.0","-24,308.0","-18,164.0","-18,604.0","-12,900.0","-4,744.0","-6,396.0","-5,980.0","2,248.0","-7,064.0","-15,152.0","-9,812.0","-6,592.0","-9,808.0","288.0","196.0","552.0","344.0","7,168.0","-7,980.0","19,736.0","13,924.0","5,436.0","-10,852.0","-13,876.0","-19,172.0","-15,724.0","-16,184.0","-18,304.0","-25,480.0","-26,148.0","-18,764.0","-33,740.0","-18,892.0","-432.0","-12,328.0","-3,572.0","2,020.0","-30,196.0","-19,820.0","11,436.0","8,600.0","1,376.0","-1,704.0","2,216.0","-10,596.0","-3,352.0","448.0","-6,088.0","-6,324.0","404.0","-4,076.0","-8,256.0","-10,176.0","-15,676.0","-15,636.0","-32,536.0","-28,208.0","-9,832.0","-2,560.0","2,136.0","-1,652.0","4,692.0","7,108.0","18,512.0","15,700.0","15,108.0","7,040.0","14,416.0","15,372.0","19,092.0","14,092.0","24,192.0","3,776.0","-14,508.0","-29,276.0","-25,240.0","-21,048.0","-9,084.0","-11,864.0","-18,352.0","-1,084.0","16,780.0","34,832.0","46,120.0","13,460.0","-14,372.0","-20,664.0","-18,252.0","6,076.0","-5,048.0","-21,008.0","-23,404.0","-45,208.0","-38,504.0","-50,696.0","-38,724.0","-18,444.0","-32,372.0","-38,988.0","-32,280.0","-53,976.0","-38,496.0","-17,948.0","-38,644.0","-32,236.0","-16,688.0","-70,524.0","-123,044.0","-149,880.0","-64,892.0","189,984.0","93,504.0","21,600.0","-20,240.0","-68,224.0","-40,092.0","-20,608.0","-18,068.0","-85,260.0","-143,904.0","-89,464.0","-32,560.0","-7,228.0","-34,964.0","11,104.0","-18,424.0","-14,480.0","-9,068.0","23,008.0","3,928.0","-4,936.0","-56,852.0","-23,956.0","15,536.0","53,532.0","99,204.0","....."
"26","7","      Capital consumption adjustment, corporate","A059RC1","7,714.0","7,749.0","7,652.0","7,421.0","7,056.0","6,700.0","6,355.0","6,020.0","5,694.0","5,670.0","5,948.0","6,527.0","7,409.0","7,973.0","8,219.0","8,149.0","7,761.0","7,233.0","6,563.0","5,755.0","4,804.0","3,462.0","1,728.0","-398.0","-2,917.0","-4,906.0","-6,365.0","-7,293.0","-7,691.0","-7,880.0","-7,857.0","-7,624.0","-7,181.0","-6,937.0","-6,889.0","-7,041.0","-7,389.0","-7,826.0","-8,351.0","-8,962.0","-9,662.0","-10,887.0","-12,636.0","-14,911.0","-17,710.0","-18,572.0","-17,496.0","-14,482.0","-9,530.0","-5,539.0","-2,510.0","-441.0","667.0","2,857.0","6,131.0","10,485.0","15,923.0","21,059.0","25,893.0","30,425.0","34,656.0","39,934.0","46,259.0","53,632.0","62,050.0","66,526.0","67,056.0","63,640.0","56,280.0","51,272.0","48,614.0","48,309.0","50,354.0","51,603.0","52,055.0","51,711.0","50,569.0","49,364.0","48,095.0","46,760.0","45,363.0","43,133.0","40,070.0","36,175.0","31,448.0","27,375.0","23,957.0","21,193.0","19,083.0","17,439.0","16,264.0","15,554.0","15,313.0","15,303.0","15,526.0","15,982.0","16,670.0","18,308.0","20,893.0","24,429.0","28,914.0","32,200.0","34,290.0","35,180.0","34,873.0","35,222.0","36,223.0","37,878.0","40,188.0","42,734.0","45,515.0","48,532.0","51,783.0","54,287.0","56,044.0","57,053.0","57,313.0","58,608.0","60,938.0","64,302.0","68,701.0","70,195.0","68,783.0","64,466.0","57,244.0","51,828.0","48,217.0","46,411.0","42,594.0","38,257.0","55,183.0","85,403.0","118,548.0","117,480.0","110,322.0","102,017.0","84,937.0","103,805.0","100,769.0","96,415.0","82,619.0","74,093.0","64,967.0","51,073.0","-124,432.0","-137,453.0","-148,152.0","-163,814.0","-153,861.0","-163,706.0","-173,711.0","-185,690.0","-175,410.0","-180,672.0","-181,604.0","-181,922.0","-52,317.0","-56,238.0","-65,215.0","-67,927.0","-93,803.0","-81,638.0","-74,695.0","-78,824.0","-96,434.0","-101,397.0","-54,437.0","39,220.0","73,545.0","72,941.0","77,816.0","88,141.0","-119,101.0","-122,234.0","-120,114.0","-112,383.0","-130,145.0","-127,067.0","-125,339.0","-127,333.0","-129,647.0","-133,162.0","-134,008.0","-130,807.0","-338,925.0","-330,630.0"
"27","8","    Households and institutions","W986RC1","65,516.0","69,495.0","81,877.0","83,231.0","87,274.0","93,939.0","100,978.0","102,029.0","105,844.0","112,362.0","111,934.0","110,193.0","105,456.0","100,295.0","106,270.0","124,761.0","118,279.0","128,654.0","132,341.0","147,882.0","144,206.0","135,042.0","135,693.0","151,972.0","143,924.0","183,518.0","153,782.0","154,824.0","150,344.0","148,141.0","147,951.0","142,790.0","130,273.0","142,678.0","154,456.0","165,225.0","170,062.0","158,884.0","166,651.0","170,656.0","184,529.0","174,982.0","171,763.0","178,906.0","189,694.0","206,038.0","218,101.0","238,952.0","225,756.0","227,800.0","267,313.0","289,031.0","279,534.0","285,712.0","285,804.0","259,733.0","260,575.0","235,413.0","235,921.0","256,099.0","294,188.0","307,361.0","328,050.0","318,800.0","264,443.0","297,589.0","235,063.0","263,396.0","279,321.0","288,614.0","260,921.0","248,597.0","281,643.0","209,552.0","237,103.0","280,027.0","277,283.0","293,450.0","304,397.0","303,847.0","335,828.0","309,531.0","301,883.0","318,803.0","328,061.0","345,328.0","334,453.0","333,948.0","356,343.0","355,193.0","354,701.0","397,303.0","427,064.0","451,146.0","425,141.0","400,760.0","411,533.0","384,017.0","340,624.0","334,378.0","317,513.0","334,266.0","326,341.0","347,552.0","384,639.0","345,943.0","345,470.0","335,640.0","344,262.0","341,664.0","353,274.0","341,652.0","343,751.0","365,665.0","340,183.0","359,157.0","435,937.0","415,396.0","402,581.0","367,368.0","374,366.0","295,963.0","268,202.0","274,629.0","310,483.0","314,521.0","322,740.0","282,934.0","322,932.0","301,374.0","457,204.0","259,184.0","430,587.0","434,402.0","375,011.0","381,042.0","382,864.0","410,718.0","436,905.0","407,802.0","395,886.0","430,167.0","393,197.0","418,466.0","274,184.0","228,398.0","211,095.0","258,769.0","376,179.0","332,456.0","299,169.0","317,774.0","339,517.0","315,762.0","288,550.0","295,391.0","398,146.0","633,354.0","457,524.0","657,822.0","663,860.0","779,807.0","610,438.0","615,572.0","582,392.0","654,371.0","652,129.0","631,134.0","728,400.0","699,331.0","718,611.0","694,191.0","827,980.0","905,726.0","878,530.0","1,174,553.0","566,995.0","609,699.0","632,679.0","550,327.0","637,227.0","623,520.0","605,741.0","614,317.0","683,335.0","640,089.0"
"28","9","      Personal saving","A071RC1","65,516.0","69,495.0","81,877.0","83,231.0","87,274.0","93,939.0","100,978.0","102,029.0","105,844.0","112,362.0","111,934.0","110,193.0","105,456.0","100,295.0","106,270.0","124,761.0","118,279.0","128,654.0","132,341.0","147,882.0","144,206.0","135,042.0","135,693.0","151,972.0","143,924.0","183,518.0","153,782.0","154,824.0","150,344.0","148,141.0","147,951.0","142,790.0","130,273.0","142,678.0","154,456.0","165,225.0","170,062.0","158,884.0","166,651.0","170,656.0","184,529.0","174,982.0","171,763.0","178,906.0","189,694.0","206,038.0","218,101.0","238,952.0","225,756.0","227,800.0","267,313.0","289,031.0","279,534.0","285,712.0","285,804.0","259,733.0","260,575.0","235,413.0","235,921.0","256,099.0","294,188.0","307,361.0","328,050.0","318,800.0","264,443.0","297,589.0","235,063.0","263,396.0","279,321.0","288,614.0","260,921.0","248,597.0","281,643.0","209,552.0","237,103.0","280,027.0","277,283.0","293,450.0","304,397.0","303,847.0","335,828.0","309,531.0","301,883.0","318,803.0","328,061.0","345,328.0","334,453.0","333,948.0","356,343.0","355,193.0","354,701.0","397,303.0","427,064.0","451,146.0","425,141.0","400,760.0","411,533.0","384,017.0","340,624.0","334,378.0","317,513.0","334,266.0","326,341.0","347,552.0","384,639.0","345,943.0","345,470.0","335,640.0","344,262.0","341,664.0","353,274.0","341,652.0","343,751.0","365,665.0","340,183.0","359,157.0","435,937.0","415,396.0","402,581.0","367,368.0","374,366.0","295,963.0","268,202.0","274,629.0","310,483.0","314,521.0","322,740.0","282,934.0","322,932.0","301,374.0","457,204.0","259,184.0","430,587.0","434,402.0","375,011.0","381,042.0","382,864.0","410,718.0","436,905.0","407,802.0","395,886.0","430,167.0","393,197.0","418,466.0","274,184.0","228,398.0","211,095.0","258,769.0","376,179.0","332,456.0","299,169.0","317,774.0","339,517.0","315,762.0","288,550.0","295,391.0","398,146.0","633,354.0","457,524.0","657,822.0","663,860.0","779,807.0","610,438.0","615,572.0","582,392.0","654,371.0","652,129.0","631,134.0","728,400.0","699,331.0","718,611.0","694,191.0","827,980.0","905,726.0","878,530.0","1,174,553.0","566,995.0","609,699.0","632,679.0","550,327.0","637,227.0","623,520.0","605,741.0","614,317.0","683,335.0","640,089.0"
"29","10","  Net government saving","A922RC1","5,915.0","2,407.0","-4,078.0","-8,253.0","-17,953.0","-28,904.0","-36,546.0","-43,798.0","-45,548.0","-51,884.0","-51,506.0","-52,023.0","-43,291.0","-40,187.0","-38,095.0","-40,297.0","-27,607.0","-31,004.0","-27,873.0","-25,704.0","-29,921.0","-34,031.0","-33,366.0","-55,998.0","-82,651.0","-138,352.0","-94,263.0","-94,902.0","-80,905.0","-74,358.0","-77,150.0","-75,809.0","-66,889.0","-59,119.0","-62,288.0","-65,564.0","-66,279.0","-40,797.0","-42,406.0","-36,042.0","-30,958.0","-31,454.0","-35,554.0","-47,310.0","-56,643.0","-85,439.0","-96,095.0","-85,313.0","-63,411.0","-70,984.0","-78,290.0","-114,031.0","-136,660.0","-143,474.0","-181,418.0","-217,359.0","-217,716.0","-201,606.0","-211,121.0","-184,486.0","-160,640.0","-165,338.0","-177,104.0","-182,571.0","-145,175.0","-195,332.0","-176,581.0","-184,326.0","-175,899.0","-204,742.0","-207,667.0","-180,612.0","-187,670.0","-122,035.0","-141,826.0","-152,840.0","-149,436.0","-142,407.0","-129,977.0","-139,603.0","-117,805.0","-144,588.0","-156,324.0","-178,151.0","-192,773.0","-205,095.0","-204,650.0","-226,967.0","-204,990.0","-269,101.0","-292,323.0","-318,800.0","-356,130.0","-367,407.0","-387,046.0","-370,083.0","-388,593.0","-346,456.0","-356,428.0","-304,632.0","-296,007.0","-266,417.0","-274,872.0","-285,304.0","-283,476.0","-286,079.0","-277,163.0","-242,826.0","-238,913.0","-196,765.0","-179,932.0","-148,225.0","-125,524.0","-105,059.0","-62,249.0","-65,112.0","-8,682.0","2,227.0","35,901.0","43,041.0","59,629.0","66,677.0","80,267.0","96,902.0","198,198.0","168,573.0","160,242.0","138,669.0","105,298.0","39,249.0","-206,697.0","-141,197.0","-345,327.0","-389,796.0","-392,989.0","-437,531.0","-488,250.0","-538,554.0","-579,506.0","-490,835.0","-556,221.0","-524,764.0","-482,259.0","-467,092.0","-379,502.0","-380,700.0","-377,740.0","-347,405.0","-269,017.0","-265,621.0","-283,696.0","-247,418.0","-279,848.0","-307,318.0","-361,779.0","-404,568.0","-526,291.0","-901,376.0","-846,862.0","-921,656.0","-1,307,234.0","-1,601,399.0","-1,626,523.0","-1,547,881.0","-1,612,231.0","-1,601,316.0","-1,540,795.0","-1,509,705.0","-1,451,520.0","-1,513,629.0","-1,458,090.0","-1,417,021.0","-1,331,776.0","-1,332,438.0","-1,301,851.0","-1,277,260.0","-971,050.0","-697,922.0","-905,691.0","-737,507.0","-808,491.0","-790,215.0","-816,074.0","-781,947.0","-731,502.0","....."
"30","11","    Federal","A923RC1","2,239.0","-1,493.0","-8,630.0","-12,548.0","-22,249.0","-32,608.0","-39,509.0","-44,680.0","-45,502.0","-52,407.0","-51,708.0","-53,677.0","-45,671.0","-51,389.0","-40,656.0","-57,828.0","-40,046.0","-40,751.0","-36,590.0","-33,369.0","-35,302.0","-37,860.0","-36,164.0","-53,258.0","-75,137.0","-132,418.0","-89,702.0","-90,651.0","-80,756.0","-76,173.0","-79,490.0","-82,997.0","-72,187.0","-66,335.0","-73,122.0","-75,984.0","-78,157.0","-58,895.0","-53,082.0","-49,165.0","-39,613.0","-39,238.0","-44,846.0","-54,378.0","-63,516.0","-87,404.0","-100,346.0","-93,740.0","-71,824.0","-75,568.0","-82,585.0","-113,286.0","-133,184.0","-139,325.0","-175,824.0","-210,175.0","-206,954.0","-200,836.0","-217,341.0","-194,904.0","-179,757.0","-189,014.0","-195,355.0","-205,225.0","-167,800.0","-217,125.0","-196,065.0","-201,469.0","-201,455.0","-224,162.0","-229,927.0","-195,099.0","-194,725.0","-141,553.0","-153,335.0","-163,055.0","-163,818.0","-155,750.0","-151,197.0","-158,607.0","-136,317.0","-158,217.0","-163,540.0","-168,497.0","-195,283.0","-201,701.0","-196,747.0","-209,943.0","-184,118.0","-244,057.0","-269,284.0","-287,373.0","-324,710.0","-331,406.0","-343,934.0","-330,574.0","-340,612.0","-305,998.0","-317,183.0","-283,446.0","-266,482.0","-236,801.0","-254,593.0","-256,855.0","-254,091.0","-241,759.0","-245,217.0","-222,294.0","-223,109.0","-179,857.0","-169,633.0","-141,421.0","-120,691.0","-102,494.0","-68,701.0","-72,771.0","-22,619.0","-8,754.0","21,694.0","20,551.0","47,466.0","62,759.0","71,536.0","84,791.0","176,163.0","146,365.0","153,698.0","149,819.0","129,970.0","92,781.0","-130,193.0","-34,748.0","-228,007.0","-266,477.0","-276,860.0","-310,590.0","-333,398.0","-401,810.0","-472,463.0","-403,842.0","-441,040.0","-402,182.0","-373,117.0","-380,538.0","-312,921.0","-310,020.0","-307,874.0","-288,124.0","-242,531.0","-244,278.0","-234,014.0","-187,299.0","-213,836.0","-251,922.0","-286,904.0","-309,931.0","-409,040.0","-780,499.0","-663,634.0","-682,786.0","-1,040,121.0","-1,334,711.0","-1,340,933.0","-1,279,615.0","-1,351,914.0","-1,338,377.0","-1,319,222.0","-1,305,336.0","-1,236,404.0","-1,313,169.0","-1,231,226.0","-1,195,772.0","-1,107,068.0","-1,101,991.0","-1,079,547.0","-1,071,623.0","-790,607.0","-525,943.0","-707,655.0","-539,560.0","-619,154.0","-629,964.0","-650,052.0","-626,725.0","-581,104.0","....."
"31","12","    State and local","A924RC1","3,676.0","3,900.0","4,552.0","4,295.0","4,296.0","3,704.0","2,963.0","882.0","-46.0","523.0","202.0","1,654.0","2,380.0","11,202.0","2,561.0","17,531.0","12,439.0","9,747.0","8,717.0","7,665.0","5,381.0","3,829.0","2,798.0","-2,740.0","-7,514.0","-5,934.0","-4,561.0","-4,251.0","-149.0","1,815.0","2,340.0","7,188.0","5,297.0","7,216.0","10,834.0","10,420.0","11,878.0","18,098.0","10,676.0","13,123.0","8,655.0","7,784.0","9,292.0","7,068.0","6,872.0","1,964.0","4,252.0","8,427.0","8,413.0","4,584.0","4,295.0","-745.0","-3,477.0","-4,149.0","-5,594.0","-7,185.0","-10,763.0","-769.0","6,220.0","10,418.0","19,118.0","23,675.0","18,251.0","22,654.0","22,624.0","21,793.0","19,484.0","17,143.0","25,557.0","19,419.0","22,260.0","14,488.0","7,054.0","19,518.0","11,509.0","10,215.0","14,382.0","13,344.0","21,220.0","19,004.0","18,512.0","13,629.0","7,216.0","-9,654.0","2,510.0","-3,393.0","-7,903.0","-17,024.0","-20,872.0","-25,044.0","-23,040.0","-31,427.0","-31,420.0","-36,001.0","-43,113.0","-39,509.0","-47,982.0","-40,458.0","-39,245.0","-21,186.0","-29,525.0","-29,616.0","-20,279.0","-28,449.0","-29,384.0","-44,321.0","-31,946.0","-20,533.0","-15,804.0","-16,908.0","-10,300.0","-6,805.0","-4,834.0","-2,565.0","6,453.0","7,659.0","13,937.0","10,981.0","14,207.0","22,490.0","12,163.0","3,917.0","8,732.0","12,111.0","22,035.0","22,208.0","6,544.0","-11,150.0","-24,673.0","-53,532.0","-76,504.0","-106,449.0","-117,320.0","-123,318.0","-116,129.0","-126,941.0","-154,852.0","-136,744.0","-107,043.0","-86,993.0","-115,181.0","-122,581.0","-109,142.0","-86,554.0","-66,581.0","-70,680.0","-69,866.0","-59,281.0","-26,486.0","-21,343.0","-49,682.0","-60,119.0","-66,011.0","-55,397.0","-74,874.0","-94,637.0","-117,251.0","-120,877.0","-183,228.0","-238,870.0","-267,113.0","-266,688.0","-285,589.0","-268,266.0","-260,317.0","-262,939.0","-221,573.0","-204,369.0","-215,116.0","-200,461.0","-226,864.0","-221,249.0","-224,709.0","-230,447.0","-222,304.0","-205,637.0","-180,443.0","-171,979.0","-198,037.0","-197,947.0","-189,337.0","-160,250.0","-166,022.0","-155,222.0","-150,398.0","....."
