"","Table 5#7#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Change in private inventories","A014RX1","5,505.0","-3,818.0","-14,894.0","-2,491.0","12,441.0","23,666.0","27,655.0","21,398.0","-2,184.0","-19,270.0","-4,222.0","-19,257.0","8,077.0","11,791.0","15,482.0","49,588.0","30,810.0","44,799.0","29,540.0","12,695.0","15,929.0","-3,874.0","17,649.0","17,698.0","14,301.0","14,031.0","8,511.0","-7,296.0","-6,484.0","-10,440.0","-8,317.0","-3,072.0","12,381.0","18,269.0","16,672.0","22,963.0","19,368.0","13,456.0","10,441.0","9,242.0","4,998.0","7,189.0","10,504.0","-9,789.0","-12,253.0","-10,681.0","5,414.0","14,243.0","11,544.0","29,230.0","3,460.0","17,127.0","42,751.0","12,215.0","17,275.0","-20,108.0","-9,167.0","7,910.0","26,249.0","21,779.0","34,416.0","21,618.0","25,354.0","15,053.0","29,606.0","19,524.0","23,173.0","16,928.0","18,068.0","17,336.0","20,773.0","19,867.0","45,521.0","32,796.0","36,934.0","29,703.0","52,041.0","50,014.0","44,456.0","61,182.0","57,259.0","25,154.0","33,895.0","32,975.0","30,126.0","52,768.0","28,805.0","23,933.0","40,124.0","33,530.0","38,746.0","20,985.0"
"21","2","Farm \1\","B018RX1","-292.0","-5,103.0","-7,710.0","-7,180.0","1,683.0","8,731.0","9,457.0","7,484.0","-1,332.0","-3,461.0","-2,661.0","-1,002.0","-1,130.0","-2,834.0","658.0","1,770.0","2,947.0","2,824.0","1,819.0","1,900.0","2,985.0","4,131.0","5,140.0","1,618.0","2,836.0","-270.0","1,969.0","4,283.0","2,440.0","569.0","890.0","-1,723.0","-1,963.0","-2,431.0","-2,233.0","-1,752.0","-3,286.0","-3,885.0","-3,634.0","-3,707.0","-1,075.0","-199.0","2,046.0","1,208.0","8,609.0","7,849.0","6,987.0","2,757.0","-3,974.0","-6,022.0","-6,098.0","-5,141.0","372.0","2,150.0","3,583.0","1,720.0","2,769.0","2,524.0","2,979.0","3,169.0","2,800.0","871.0","1,576.0","2,514.0","8,659.0","740.0","-1,983.0","-969.0","-4,408.0","-4,807.0","-4,690.0","-3,429.0","989.0","3,238.0","3,509.0","3,586.0","1,300.0","-3,111.0","-1,951.0","-2,569.0","4,368.0","8,187.0","1,586.0","-2,704.0","8,322.0","14,158.0","1,477.0","-5,482.0","3,867.0","4,255.0","-2,471.0","-5,555.0"
"22","3","Nonfarm","A015RX1","7,208.0","4,584.0","-4,081.0","11,521.0","12,829.0","13,044.0","16,505.0","12,200.0","-402.0","-16,546.0","-666.0","-20,243.0","10,698.0","17,816.0","16,699.0","55,193.0","31,824.0","48,664.0","32,161.0","12,082.0","14,044.0","-11,568.0","12,305.0","17,755.0","11,637.0","15,482.0","6,354.0","-13,549.0","-10,133.0","-11,867.0","-9,966.0","-947.0","15,362.0","22,011.0","19,634.0","24,981.0","22,838.0","17,807.0","14,555.0","13,326.0","6,230.0","7,454.0","8,277.0","-11,205.0","-22,452.0","-20,389.0","-2,696.0","11,643.0","16,415.0","37,115.0","10,593.0","23,197.0","42,818.0","9,849.0","13,303.0","-22,251.0","-12,396.0","5,123.0","23,071.0","18,441.0","31,816.0","21,076.0","24,157.0","12,447.0","20,021.0","19,116.0","25,979.0","18,333.0","23,193.0","22,773.0","26,116.0","23,857.0","44,838.0","29,596.0","33,490.0","26,049.0","51,453.0","55,116.0","48,072.0","65,835.0","53,392.0","16,111.0","32,636.0","36,409.0","20,978.0","37,210.0","27,534.0","30,519.0","36,245.0","29,174.0","42,460.0","27,969.0"
"23","4","  Manufacturing","A150RX1","5,198.0","-869.0","2,665.0","913.0","-232.0","9,086.0","8,096.0","2,641.0","3,641.0","-10,224.0","-10,276.0","-8,701.0","2,314.0","3,684.0","2,621.0","23,173.0","16,035.0","37,413.0","38,625.0","15,695.0","20,750.0","-4,498.0","2,966.0","6,956.0","8,466.0","9,781.0","4,948.0","-5,985.0","-12,652.0","-13,976.0","-10,976.0","1,770.0","3,026.0","8,677.0","10,835.0","12,778.0","16,814.0","16,019.0","9,363.0","7,776.0","4,986.0","1,558.0","1,588.0","-12,747.0","-13,308.0","-16,113.0","-3,043.0","6,424.0","5,834.0","15,512.0","4,086.0","12,044.0","15,231.0","3,645.0","8,971.0","-17,898.0","-3,851.0","1,794.0","14,191.0","9,928.0","20,835.0","11,245.0","16,505.0","1,495.0","9,949.0","9,611.0","10,612.0","605.0","10,233.0","2,408.0","11,584.0","22,260.0","14,084.0","11,485.0","22,173.0","14,329.0","27,353.0","29,111.0","37,185.0","32,671.0","36,515.0","15,045.0","17,092.0","15,988.0","6,725.0","15,416.0","20,394.0","10,552.0","17,169.0","9,090.0","15,284.0","14,422.0"
"24","5","    Durable goods","C624RX1","-1,827.0","1,961.0","3,873.0","-2,512.0","-4,627.0","-109.0","976.0","397.0","1,714.0","-7,539.0","-8,682.0","-6,462.0","-259.0","5,182.0","3,909.0","12,275.0","10,809.0","22,237.0","25,928.0","11,133.0","13,353.0","-442.0","1,985.0","5,834.0","7,150.0","7,714.0","5,064.0","-4,529.0","-9,581.0","-12,851.0","-7,645.0","652.0","952.0","4,849.0","5,660.0","7,102.0","11,708.0","9,610.0","2,569.0","6,085.0","3,144.0","2,520.0","2,779.0","-8,107.0","-11,412.0","-11,222.0","-1,584.0","2,171.0","4,070.0","9,955.0","145.0","5,898.0","12,081.0","-987.0","4,037.0","-12,952.0","-8,435.0","-2,535.0","9,659.0","6,619.0","14,066.0","4,757.0","8,840.0","-1,081.0","6,649.0","7,174.0","5,885.0","-2,626.0","5,977.0","3,691.0","8,644.0","13,435.0","11,194.0","10,168.0","16,223.0","6,449.0","17,339.0","16,938.0","29,656.0","21,661.0","21,344.0","9,852.0","11,517.0","10,331.0","4,124.0","6,683.0","10,183.0","4,453.0","12,173.0","5,679.0","6,872.0","13,145.0"
"25","6","    Nondurable goods","C625RX1","6,889.0","-2,762.0","-1,124.0","3,372.0","4,363.0","9,348.0","7,457.0","2,514.0","1,964.0","-2,514.0","-1,251.0","-2,085.0","2,858.0","-1,982.0","-1,625.0","11,197.0","5,106.0","15,336.0","12,394.0","4,248.0","7,251.0","-4,478.0","931.0","737.0","792.0","1,547.0","-713.0","-1,166.0","-2,429.0","187.0","-2,937.0","1,263.0","2,326.0","3,885.0","5,378.0","5,753.0","4,194.0","6,188.0","7,958.0","943.0","1,686.0","-1,680.0","-2,018.0","-4,260.0","-133.0","-3,934.0","-1,499.0","4,955.0","1,386.0","4,964.0","4,995.0","6,580.0","1,392.0","6,157.0","5,438.0","-3,507.0","7,714.0","6,093.0","3,701.0","2,798.0","5,623.0","7,269.0","7,900.0","3,518.0","2,793.0","1,580.0","4,774.0","4,683.0","4,160.0","-2,443.0","1,869.0","8,369.0","1,240.0","-544.0","4,086.0","8,693.0","9,049.0","11,898.0","3,206.0","9,378.0","14,771.0","4,492.0","4,608.0","4,959.0","2,424.0","9,795.0","10,902.0","6,893.0","3,656.0","3,111.0","9,304.0","-1,348.0"
"26","7","  Wholesale trade","A658RX1","6,077.0","2,688.0","-4,752.0","-5,088.0","464.0","2,632.0","5,655.0","3,628.0","1,426.0","-2,111.0","1,218.0","433.0","5,349.0","6,548.0","448.0","10,494.0","1,562.0","6,235.0","-279.0","-2,350.0","-2,526.0","-1,681.0","4,568.0","5,775.0","1,876.0","1,937.0","680.0","-2,221.0","2,234.0","2,331.0","-678.0","-91.0","1,960.0","6,431.0","4,565.0","4,462.0","1,540.0","-979.0","5,719.0","2,188.0","-779.0","909.0","-309.0","-2,552.0","-3,138.0","27.0","916.0","2,039.0","3,717.0","9,677.0","5,282.0","11,152.0","6,984.0","3,752.0","-162.0","-2,206.0","2,627.0","126.0","3,538.0","2,409.0","3,666.0","6,023.0","385.0","4,376.0","3,167.0","7,736.0","9,684.0","6,220.0","4,035.0","8,177.0","4,189.0","4,984.0","11,083.0","7,730.0","5,860.0","802.0","13,603.0","9,678.0","10,032.0","20,474.0","12,197.0","390.0","15,264.0","9,445.0","1,377.0","11,323.0","5,356.0","-868.0","11,641.0","11,987.0","9,584.0","4,116.0"
"27","8","    Durable goods","A661RX1","1,064.0","227.0","1,442.0","-1,825.0","2,001.0","2,682.0","2,823.0","2,138.0","388.0","-2,642.0","877.0","-20.0","892.0","3,776.0","-222.0","8,117.0","1,260.0","6,534.0","1,316.0","-912.0","-2,712.0","-2,984.0","-600.0","2,052.0","2,122.0","-786.0","1,225.0","-2,027.0","-197.0","40.0","-262.0","131.0","1,981.0","4,149.0","1,608.0","2,511.0","-45.0","-267.0","30.0","-91.0","-313.0","1,321.0","1,013.0","-1,477.0","-2,138.0","-620.0","660.0","1,573.0","3,270.0","6,411.0","-1,035.0","6,302.0","8,311.0","1,563.0","264.0","-1,978.0","-1,537.0","-1,740.0","3,689.0","3,583.0","2,932.0","3,271.0","2,616.0","2,941.0","1,872.0","5,187.0","3,232.0","1,304.0","1,151.0","5,144.0","3,658.0","3,445.0","7,475.0","3,893.0","4,507.0","1,271.0","11,040.0","5,492.0","6,225.0","10,916.0","5,002.0","1,735.0","4,161.0","6,696.0","1,116.0","4,752.0","2,412.0","2,005.0","6,516.0","8,527.0","5,434.0","2,574.0"
"28","9","    Nondurable goods","A664RX1","4,422.0","2,144.0","-5,148.0","-2,998.0","-1,083.0","262.0","2,730.0","1,491.0","977.0","318.0","380.0","436.0","4,216.0","2,758.0","564.0","2,719.0","341.0","240.0","-1,374.0","-1,407.0","0.0","1,033.0","4,757.0","3,590.0","-145.0","2,563.0","-491.0","-251.0","2,345.0","2,211.0","-396.0","-201.0","-6.0","2,273.0","2,920.0","1,921.0","1,630.0","-709.0","5,813.0","2,356.0","-475.0","-475.0","-1,396.0","-1,061.0","-955.0","692.0","240.0","424.0","319.0","3,100.0","6,656.0","4,751.0","-1,844.0","2,222.0","-448.0","-135.0","4,413.0","2,034.0","-339.0","-1,388.0","634.0","2,719.0","-2,436.0","1,363.0","1,263.0","2,422.0","6,570.0","5,062.0","2,965.0","2,918.0","362.0","1,435.0","3,382.0","3,822.0","1,181.0","-562.0","2,084.0","4,093.0","3,650.0","9,452.0","7,348.0","-1,545.0","11,622.0","2,450.0","203.0","6,775.0","3,025.0","-3,384.0","5,012.0","2,926.0","4,041.0","1,434.0"
"29","10","      Merchant wholesalers","A151RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,925.0","7,239.0","5,835.0","9,302.0","5,150.0","1,547.0","-570.0","-945.0","2,435.0","-1,168.0","2,264.0","285.0","1,823.0","4,039.0","-1,636.0","2,513.0","1,672.0","6,085.0","8,563.0","5,322.0","3,740.0","8,165.0","3,790.0","4,082.0","11,126.0","7,118.0","5,523.0","-162.0","12,581.0","7,141.0","7,996.0","18,096.0","7,848.0","-2,108.0","14,225.0","7,422.0","1,470.0","8,727.0","4,038.0","-1,839.0","9,401.0","10,099.0","7,993.0","3,224.0"
"30","11","        Durable goods","C626RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,822.0","4,763.0","-142.0","5,284.0","7,052.0","-28.0","113.0","-1,210.0","-1,193.0","-1,988.0","2,756.0","2,294.0","1,301.0","2,127.0","1,596.0","2,115.0","677.0","3,654.0","2,777.0","1,228.0","1,120.0","5,347.0","3,692.0","3,007.0","7,421.0","3,034.0","4,309.0","799.0","10,730.0","4,432.0","4,347.0","9,763.0","2,581.0","279.0","3,475.0","5,976.0","927.0","4,216.0","1,932.0","1,659.0","5,168.0","7,745.0","4,687.0","1,881.0"
"31","12","        Nondurable goods","C627RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","20.0","2,362.0","6,111.0","3,915.0","-2,202.0","1,618.0","-687.0","314.0","3,699.0","879.0","-576.0","-2,082.0","495.0","1,875.0","-3,272.0","357.0","986.0","2,369.0","5,738.0","4,072.0","2,614.0","2,723.0","3.0","1,015.0","3,546.0","4,055.0","1,113.0","-993.0","1,594.0","2,619.0","3,572.0","8,172.0","5,301.0","-2,440.0","10,920.0","1,247.0","533.0","4,509.0","2,116.0","-3,777.0","4,170.0","2,015.0","3,216.0","1,307.0"
"32","13","      Nonmerchant wholesalers","A152RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","799.0","2,376.0","-204.0","1,976.0","1,774.0","1,921.0","316.0","-1,101.0","270.0","1,034.0","1,172.0","1,810.0","1,640.0","1,852.0","1,651.0","1,688.0","1,344.0","1,648.0","1,288.0","972.0","390.0","319.0","483.0","923.0","364.0","779.0","486.0","822.0","1,309.0","2,443.0","2,036.0","2,670.0","4,041.0","2,109.0","1,363.0","2,003.0","-48.0","2,525.0","1,266.0","839.0","2,207.0","1,890.0","1,579.0","867.0"
"33","14","        Durable goods","C628RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","450.0","1,385.0","-636.0","966.0","1,219.0","1,111.0","111.0","-594.0","-298.0","75.0","785.0","1,012.0","1,204.0","903.0","789.0","679.0","870.0","1,248.0","451.0","112.0","75.0","112.0","149.0","448.0","375.0","745.0","334.0","370.0","701.0","953.0","1,528.0","1,263.0","1,828.0","1,042.0","646.0","782.0","176.0","565.0","426.0","318.0","1,187.0","873.0","728.0","580.0"
"34","15","        Nondurable goods","C629RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","322.0","883.0","801.0","1,044.0","322.0","717.0","241.0","-484.0","888.0","1,297.0","245.0","732.0","162.0","977.0","896.0","1,140.0","327.0","82.0","985.0","1,150.0","410.0","245.0","407.0","487.0","-163.0","-242.0","80.0","483.0","570.0","1,707.0","81.0","1,457.0","2,352.0","1,059.0","735.0","1,398.0","-414.0","2,602.0","1,025.0","607.0","870.0","1,043.0","872.0","87.0"
