"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Current receipts from the rest of the world","A1073C1","19,838.0","21,057.0","21,025.0","19,428.0","18,841.0","17,265.0","17,537.0","16,669.0","18,134.0","17,623.0","16,055.0","13,899.0","13,640.0","13,920.0","14,661.0","15,923.0","17,443.0","19,881.0","20,912.0","21,184.0","21,493.0","19,473.0","18,111.0","18,186.0","17,953.0","18,163.0","18,511.0","17,996.0","17,379.0","19,384.0","18,850.0","19,887.0","20,671.0","20,405.0","21,686.0","21,975.0","23,334.0","24,817.0","25,915.0","26,803.0","29,199.0","28,930.0","28,220.0","26,792.0","24,420.0","24,412.0","24,434.0","24,448.0","25,763.0","26,613.0","27,845.0","27,756.0","30,774.0","32,406.0","31,978.0","32,573.0","32,755.0","32,573.0","32,551.0","33,756.0","33,668.0","36,515.0","34,859.0","34,981.0","35,487.0","38,770.0","37,160.0","39,000.0","41,529.0","41,964.0","42,159.0","43,379.0","40,982.0","47,327.0","44,819.0","46,981.0","47,206.0","49,408.0","48,446.0","50,905.0","52,448.0","51,859.0","51,370.0","52,918.0","55,014.0","57,345.0","59,918.0","59,754.0","55,058.0","65,449.0","65,400.0","68,897.0"
"21","2","Exports of goods and services","B020RC1","18,394.0","19,497.0","19,433.0","17,636.0","16,917.0","15,241.0","15,405.0","14,625.0","16,082.0","15,647.0","14,115.0","12,091.0","11,704.0","11,872.0","12,293.0","13,531.0","15,043.0","17,121.0","18,052.0","18,180.0","18,679.0","16,581.0","15,246.0","15,329.0","15,128.0","15,196.0","15,755.0","15,172.0","14,424.0","16,438.0","15,878.0","16,605.0","17,273.0","16,942.0","18,145.0","18,349.0","19,365.0","20,882.0","21,822.0","23,068.0","24,919.0","24,369.0","23,759.0","23,022.0","20,534.0","20,546.0","20,595.0","20,563.0","21,801.0","22,556.0","23,466.0","23,078.0","26,005.0","27,614.0","27,044.0","27,516.0","27,455.0","27,432.0","27,235.0","28,286.0","28,264.0","30,684.0","28,950.0","28,364.0","29,068.0","32,423.0","30,619.0","32,187.0","34,241.0","34,796.0","34,806.0","36,233.0","33,058.0","39,136.0","36,931.0","39,460.0","39,407.0","41,472.0","40,376.0","42,425.0","43,995.0","43,540.0","42,439.0","43,892.0","45,498.0","47,358.0","49,529.0","49,238.0","43,974.0","53,915.0","53,340.0","56,459.0"
"22","3","  Goods \1\","A253RC1","15,728.0","16,732.0","16,792.0","15,136.0","14,576.0","13,004.0","13,128.0","12,352.0","13,676.0","13,168.0","11,884.0","10,124.0","9,624.0","9,752.0","10,180.0","11,256.0","12,508.0","14,308.0","15,096.0","15,060.0","15,416.0","13,440.0","12,400.0","12,540.0","12,132.0","12,308.0","12,864.0","12,344.0","11,588.0","13,620.0","12,900.0","13,608.0","14,180.0","13,800.0","14,780.0","14,936.0","15,900.0","17,196.0","18,052.0","19,076.0","20,640.0","20,084.0","19,416.0","18,108.0","16,560.0","16,328.0","16,448.0","16,320.0","15,552.0","15,908.0","17,504.0","16,868.0","19,540.0","20,464.0","20,928.0","20,880.0","21,200.0","20,052.0","20,996.0","21,540.0","21,192.0","22,256.0","22,264.0","21,122.0","21,290.0","23,448.0","23,764.0","24,878.0","26,148.0","26,034.0","26,988.0","27,898.0","24,484.0","28,980.0","28,116.0","30,314.0","30,658.0","30,432.0","30,974.0","32,292.0","32,889.0","32,647.0","31,954.0","32,697.0","33,966.0","35,358.0","37,106.0","36,455.0","32,063.0","40,446.0","39,960.0","42,508.0"
"23","4","    Durable","A332RC1","8,193.0","9,023.0","8,928.0","7,704.0","7,312.0","6,495.0","6,557.0","6,156.0","6,821.0","6,567.0","5,927.0","5,049.0","4,801.0","4,865.0","5,057.0","5,545.0","6,088.0","6,639.0","6,694.0","7,087.0","7,546.0","6,841.0","6,582.0","6,791.0","6,745.0","6,843.0","7,153.0","6,863.0","6,392.0","7,514.0","7,116.0","7,506.0","7,961.0","7,895.0","8,455.0","8,513.0","8,856.0","9,578.0","10,056.0","10,626.0","11,520.0","11,210.0","10,836.0","10,106.0","9,227.0","8,734.0","8,905.0","9,138.0","8,544.0","8,784.0","9,388.0","9,052.0","10,508.0","11,412.0","11,752.0","11,424.0","11,520.0","11,208.0","11,564.0","11,836.0","11,756.0","12,128.0","12,192.0","11,805.0","11,673.0","12,598.0","12,896.0","13,495.0","14,092.0","14,259.0","14,962.0","15,527.0","14,088.0","16,288.0","15,870.0","17,133.0","17,341.0","17,274.0","17,583.0","18,572.0","18,754.0","18,781.0","18,237.0","18,729.0","19,559.0","21,237.0","21,999.0","22,091.0","20,669.0","24,247.0","24,770.0","26,022.0"
"24","5","    Nondurable","A339RC1","7,535.0","7,709.0","7,864.0","7,432.0","7,264.0","6,509.0","6,571.0","6,196.0","6,855.0","6,601.0","5,957.0","5,075.0","4,823.0","4,887.0","5,123.0","5,711.0","6,420.0","7,669.0","8,402.0","7,973.0","7,870.0","6,599.0","5,818.0","5,749.0","5,387.0","5,465.0","5,711.0","5,481.0","5,196.0","6,106.0","5,784.0","6,102.0","6,219.0","5,905.0","6,325.0","6,423.0","7,044.0","7,618.0","7,996.0","8,450.0","9,120.0","8,874.0","8,580.0","8,002.0","7,333.0","7,594.0","7,543.0","7,182.0","7,008.0","7,124.0","8,116.0","7,816.0","9,032.0","9,052.0","9,176.0","9,456.0","9,680.0","8,844.0","9,432.0","9,704.0","9,436.0","10,128.0","10,072.0","9,317.0","9,617.0","10,850.0","10,868.0","11,383.0","12,056.0","11,775.0","12,026.0","12,371.0","10,396.0","12,692.0","12,246.0","13,181.0","13,317.0","13,158.0","13,391.0","13,720.0","14,135.0","13,866.0","13,717.0","13,968.0","14,407.0","14,121.0","15,107.0","14,364.0","11,394.0","16,199.0","15,190.0","16,486.0"
"25","6","  Services \1\","A646RC1","2,666.0","2,765.0","2,641.0","2,500.0","2,341.0","2,237.0","2,277.0","2,273.0","2,406.0","2,479.0","2,231.0","1,967.0","2,080.0","2,120.0","2,113.0","2,275.0","2,535.0","2,813.0","2,956.0","3,120.0","3,263.0","3,141.0","2,846.0","2,789.0","2,996.0","2,888.0","2,891.0","2,828.0","2,836.0","2,818.0","2,978.0","2,997.0","3,093.0","3,142.0","3,365.0","3,413.0","3,465.0","3,686.0","3,770.0","3,992.0","4,279.0","4,285.0","4,343.0","4,914.0","3,974.0","4,218.0","4,147.0","4,243.0","6,249.0","6,648.0","5,962.0","6,210.0","6,465.0","7,150.0","6,116.0","6,636.0","6,255.0","7,380.0","6,239.0","6,746.0","7,072.0","8,428.0","6,686.0","7,242.0","7,778.0","8,975.0","6,855.0","7,309.0","8,093.0","8,762.0","7,818.0","8,335.0","8,574.0","10,156.0","8,815.0","9,146.0","8,749.0","11,040.0","9,402.0","10,133.0","11,106.0","10,893.0","10,485.0","11,195.0","11,532.0","12,000.0","12,423.0","12,783.0","11,911.0","13,469.0","13,380.0","13,951.0"
"26","7","Income receipts","B645RC1","1,444.0","1,560.0","1,592.0","1,792.0","1,924.0","2,024.0","2,132.0","2,044.0","2,052.0","1,976.0","1,940.0","1,808.0","1,936.0","2,048.0","2,368.0","2,392.0","2,400.0","2,760.0","2,860.0","3,004.0","2,814.0","2,892.0","2,865.0","2,857.0","2,825.0","2,967.0","2,756.0","2,824.0","2,955.0","2,946.0","2,972.0","3,282.0","3,398.0","3,463.0","3,541.0","3,626.0","3,969.0","3,935.0","4,093.0","3,735.0","4,280.0","4,561.0","4,461.0","3,770.0","3,886.0","3,866.0","3,839.0","3,885.0","3,962.0","4,057.0","4,379.0","4,678.0","4,769.0","4,792.0","4,934.0","5,057.0","5,300.0","5,141.0","5,316.0","5,470.0","5,404.0","5,831.0","5,909.0","6,617.0","6,419.0","6,347.0","6,541.0","6,813.0","7,288.0","7,168.0","7,353.0","7,146.0","7,924.0","8,191.0","7,888.0","7,521.0","7,799.0","7,936.0","8,070.0","8,480.0","8,453.0","8,319.0","8,931.0","9,026.0","9,516.0","9,987.0","10,389.0","10,516.0","11,084.0","11,534.0","12,060.0","12,438.0"
"27","8","  Wage and salary receipts","B4188C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"28","9","  Income receipts on assets","W160RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","10","    Interest","A2067C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","11","    Dividends","B3375C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"31","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"32","13","Current taxes, contributions for government social insurance, and transfer receipts from the rest of the world \2\","LA0000351",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","14","  To persons","LA0000361",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"34","15","  To business","LA0000291",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"35","16","  To government","LA0000371",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"36","17","    Current payments to the rest of the world","W163RC1","10,433.0","11,184.0","10,944.0","11,631.0","13,925.0","14,241.0","16,605.0","15,873.0","15,942.0","15,915.0","15,407.0","14,931.0","14,597.0","15,165.0","17,342.0","18,412.0","19,153.0","19,531.0","18,722.0","18,506.0","17,971.0","18,347.0","19,165.0","19,420.0","19,300.0","19,990.0","19,690.0","18,927.0","17,867.0","19,048.0","18,926.0","18,979.0","20,188.0","20,634.0","20,879.0","21,548.0","22,391.0","22,586.0","22,892.0","22,272.0","23,643.0","24,124.0","23,306.0","23,198.0","22,943.0","23,591.0","23,385.0","24,591.0","27,287.0","28,721.0","28,425.0","28,632.0","29,050.0","29,919.0","28,281.0","27,795.0","27,422.0","28,556.0","28,792.0","30,011.0","30,617.0","31,747.0","30,729.0","31,733.0","31,609.0","33,452.0","32,535.0","33,036.0","33,288.0","35,223.0","34,598.0","36,053.0","35,234.0","40,289.0","38,869.0","41,086.0","42,523.0","45,492.0","45,726.0","46,990.0","48,076.0","48,303.0","48,193.0","50,091.0","53,358.0","55,127.0","58,446.0","58,972.0","53,453.0","64,804.0","63,948.0","66,183.0"
