"","Table 5#8#5A# Private Inventories and Domestic Final Sales of Bu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Private inventories \1\","A371RC1","93,041.0","94,170.0","99,541.0","106,989.0","103,462.0","105,123.0","104,335.0","102,272.0","100,229.0","95,539.0","94,795.0","92,460.0","94,095.0","97,337.0","103,667.0","114,404.0","122,701.0","123,699.0","124,797.0","127,344.0","125,905.0","124,119.0","122,831.0","118,865.0","117,433.0","116,736.0","117,047.0","117,028.0","117,275.0","115,840.0","115,571.0","115,040.0","116,532.0","115,774.0","115,932.0","115,919.0","118,811.0","122,703.0","123,119.0","124,688.0","125,640.0","126,765.0","128,092.0","127,833.0","130,881.0","129,785.0","131,239.0","131,522.0","132,760.0","134,117.0","133,372.0","133,074.0","136,782.0","135,983.0","137,393.0","136,436.0","135,910.0","134,810.0","137,703.0","139,816.0","142,661.0","143,603.0","147,058.0","147,433.0","147,908.0","148,480.0","149,271.0","149,944.0","150,355.0","150,715.0","152,993.0","154,478.0","158,855.0","163,111.0","164,551.0","169,391.0","174,786.0","179,086.0","183,528.0","185,611.0","187,588.0","190,073.0","192,023.0","194,758.0","199,197.0","203,434.0","205,723.0","208,058.0","213,724.0","218,867.0","222,545.0","227,431.0"
"21","2","Farm \2\","B372RC1","48,832.0","49,080.0","53,945.0","59,287.0","54,058.0","54,544.0","51,630.0","48,834.0","47,696.0","45,349.0","45,190.0","43,561.0","44,723.0","46,548.0","49,521.0","54,556.0","58,306.0","56,599.0","56,937.0","58,792.0","56,809.0","56,264.0","54,095.0","49,493.0","47,310.0","45,329.0","44,564.0","45,541.0","46,310.0","45,524.0","45,578.0","45,038.0","45,371.0","43,021.0","41,091.0","38,783.0","39,441.0","41,317.0","40,438.0","40,305.0","40,213.0","40,800.0","41,116.0","41,473.0","45,749.0","46,125.0","47,530.0","46,643.0","46,669.0","45,637.0","44,085.0","42,290.0","43,287.0","41,936.0","42,441.0","42,899.0","43,191.0","42,107.0","43,599.0","44,588.0","45,680.0","45,426.0","47,164.0","46,965.0","46,388.0","45,899.0","45,118.0","44,423.0","43,339.0","42,259.0","42,625.0","42,243.0","43,623.0","45,606.0","44,602.0","47,186.0","48,896.0","49,275.0","50,029.0","47,330.0","45,765.0","47,017.0","46,363.0","45,682.0","47,717.0","49,396.0","49,431.0","48,794.0","50,295.0","52,618.0","51,735.0","52,845.0"
"22","3","Nonfarm","A373RC1","44,209.0","45,090.0","45,596.0","47,702.0","49,404.0","50,579.0","52,705.0","53,438.0","52,533.0","50,190.0","49,605.0","48,899.0","49,372.0","50,789.0","54,146.0","59,848.0","64,395.0","67,100.0","67,860.0","68,552.0","69,096.0","67,855.0","68,736.0","69,372.0","70,123.0","71,407.0","72,483.0","71,487.0","70,965.0","70,316.0","69,993.0","70,002.0","71,161.0","72,753.0","74,841.0","77,136.0","79,370.0","81,386.0","82,681.0","84,383.0","85,427.0","85,965.0","86,976.0","86,360.0","85,132.0","83,660.0","83,709.0","84,879.0","86,091.0","88,480.0","89,287.0","90,784.0","93,495.0","94,047.0","94,952.0","93,537.0","92,719.0","92,703.0","94,104.0","95,228.0","96,981.0","98,177.0","99,894.0","100,468.0","101,520.0","102,581.0","104,153.0","105,521.0","107,016.0","108,456.0","110,368.0","112,235.0","115,232.0","117,505.0","119,949.0","122,205.0","125,890.0","129,811.0","133,499.0","138,281.0","141,823.0","143,056.0","145,660.0","149,076.0","151,480.0","154,038.0","156,292.0","159,264.0","163,429.0","166,249.0","170,810.0","174,586.0"
"23","4","    Durable goods \3\","A374RC1","19,883.0","20,434.0","21,203.0","21,565.0","22,414.0","22,965.0","24,366.0","25,195.0","25,218.0","23,821.0","23,731.0","23,287.0","22,932.0","23,913.0","25,212.0","28,539.0","30,488.0","32,514.0","33,944.0","34,520.0","35,099.0","34,581.0","34,894.0","35,705.0","36,722.0","37,810.0","38,848.0","38,147.0","37,339.0","36,611.0","36,392.0","36,487.0","37,278.0","38,504.0","40,083.0","41,878.0","43,364.0","44,238.0","44,675.0","45,810.0","46,237.0","46,708.0","47,627.0","47,322.0","46,104.0","44,801.0","44,732.0","45,470.0","47,092.0","48,817.0","48,699.0","49,371.0","51,691.0","51,838.0","52,222.0","51,057.0","49,633.0","49,268.0","50,125.0","50,763.0","51,971.0","52,497.0","53,680.0","53,869.0","54,443.0","55,162.0","55,976.0","56,445.0","57,511.0","58,541.0","59,843.0","60,807.0","63,063.0","64,619.0","66,523.0","67,431.0","69,965.0","72,506.0","75,290.0","78,512.0","80,464.0","80,961.0","82,587.0","85,013.0","86,498.0","87,915.0","89,092.0","91,353.0","93,962.0","94,950.0","97,656.0","100,561.0"
"24","5","    Nondurable goods \3\","A375RC1","24,326.0","24,656.0","24,393.0","26,137.0","26,990.0","27,614.0","28,339.0","28,243.0","27,315.0","26,369.0","25,874.0","25,612.0","26,440.0","26,876.0","28,934.0","31,309.0","33,907.0","34,586.0","33,916.0","34,032.0","33,997.0","33,274.0","33,842.0","33,667.0","33,401.0","33,597.0","33,635.0","33,340.0","33,626.0","33,705.0","33,601.0","33,515.0","33,883.0","34,249.0","34,758.0","35,258.0","36,006.0","37,148.0","38,006.0","38,573.0","39,190.0","39,257.0","39,349.0","39,038.0","39,028.0","38,859.0","38,977.0","39,409.0","38,999.0","39,663.0","40,588.0","41,413.0","41,804.0","42,209.0","42,730.0","42,480.0","43,086.0","43,435.0","43,979.0","44,465.0","45,010.0","45,680.0","46,214.0","46,599.0","47,077.0","47,419.0","48,177.0","49,076.0","49,505.0","49,915.0","50,525.0","51,428.0","52,169.0","52,886.0","53,426.0","54,774.0","55,925.0","57,305.0","58,209.0","59,769.0","61,359.0","62,095.0","63,073.0","64,063.0","64,982.0","66,123.0","67,200.0","67,911.0","69,467.0","71,299.0","73,154.0","74,025.0"
"25","6","  Manufacturing","A376RC1","22,866.0","23,281.0","23,675.0","24,584.0","25,228.0","25,961.0","26,942.0","27,290.0","27,064.0","25,603.0","24,754.0","24,255.0","24,632.0","25,181.0","26,660.0","29,534.0","32,016.0","34,114.0","35,584.0","36,580.0","37,613.0","36,936.0","37,280.0","37,500.0","38,109.0","38,967.0","39,698.0","39,239.0","38,454.0","37,708.0","37,238.0","37,393.0","37,781.0","38,535.0","39,896.0","41,238.0","42,876.0","44,415.0","45,220.0","46,161.0","46,862.0","46,923.0","47,302.0","46,429.0","45,483.0","44,237.0","44,245.0","44,864.0","45,340.0","46,453.0","46,829.0","47,663.0","48,757.0","49,124.0","49,849.0","48,738.0","48,540.0","48,578.0","49,471.0","50,054.0","51,306.0","52,075.0","53,192.0","53,223.0","53,775.0","54,342.0","54,928.0","55,059.0","55,792.0","56,070.0","56,964.0","58,619.0","59,647.0","60,555.0","62,213.0","63,437.0","65,404.0","67,620.0","70,491.0","73,009.0","75,784.0","76,810.0","78,227.0","79,935.0","80,908.0","82,070.0","83,856.0","85,124.0","87,357.0","88,462.0","90,733.0","92,581.0"
"26","7","    Durable goods","B377RC1","12,068.0","12,422.0","12,870.0","13,010.0","13,179.0","13,456.0","14,263.0","14,697.0","14,821.0","13,893.0","13,252.0","12,910.0","13,065.0","13,538.0","14,298.0","15,831.0","17,100.0","18,481.0","19,964.0","20,749.0","21,615.0","21,484.0","21,814.0","22,216.0","22,876.0","23,692.0","24,348.0","23,984.0","23,287.0","22,532.0","22,267.0","22,410.0","22,646.0","23,238.0","24,458.0","25,512.0","26,750.0","27,739.0","28,193.0","29,027.0","29,378.0","29,482.0","29,967.0","29,398.0","28,497.0","27,474.0","27,603.0","28,019.0","28,447.0","29,312.0","29,405.0","29,926.0","30,948.0","30,982.0","31,359.0","30,388.0","29,725.0","29,487.0","30,230.0","30,662.0","31,653.0","31,973.0","32,666.0","32,555.0","33,008.0","33,507.0","33,911.0","33,787.0","34,324.0","34,755.0","35,556.0","36,693.0","37,611.0","38,455.0","39,802.0","40,458.0","41,880.0","43,383.0","45,969.0","47,929.0","49,904.0","50,627.0","51,872.0","53,269.0","54,009.0","54,536.0","55,643.0","56,414.0","58,080.0","58,692.0","59,997.0","61,826.0"
"27","8","    Nondurable goods","B378RC1","10,798.0","10,859.0","10,805.0","11,574.0","12,049.0","12,505.0","12,679.0","12,593.0","12,243.0","11,710.0","11,502.0","11,345.0","11,567.0","11,643.0","12,362.0","13,703.0","14,916.0","15,633.0","15,620.0","15,831.0","15,998.0","15,452.0","15,466.0","15,284.0","15,233.0","15,275.0","15,350.0","15,255.0","15,167.0","15,176.0","14,971.0","14,983.0","15,135.0","15,297.0","15,438.0","15,726.0","16,126.0","16,676.0","17,027.0","17,134.0","17,484.0","17,441.0","17,335.0","17,031.0","16,986.0","16,763.0","16,642.0","16,845.0","16,893.0","17,141.0","17,424.0","17,737.0","17,809.0","18,142.0","18,490.0","18,350.0","18,815.0","19,091.0","19,241.0","19,392.0","19,653.0","20,102.0","20,526.0","20,668.0","20,767.0","20,835.0","21,017.0","21,272.0","21,468.0","21,315.0","21,408.0","21,926.0","22,036.0","22,100.0","22,411.0","22,979.0","23,524.0","24,237.0","24,522.0","25,080.0","25,880.0","26,183.0","26,355.0","26,666.0","26,899.0","27,534.0","28,213.0","28,710.0","29,277.0","29,770.0","30,736.0","30,755.0"
"28","9","  Wholesale trade","A379RC1","8,420.0","8,615.0","8,582.0","8,655.0","8,842.0","9,025.0","9,586.0","9,599.0","9,453.0","9,177.0","9,153.0","9,543.0","9,406.0","9,807.0","10,327.0","11,275.0","11,935.0","12,271.0","12,082.0","11,952.0","11,766.0","11,620.0","11,870.0","12,014.0","12,035.0","12,156.0","12,327.0","12,143.0","12,341.0","12,449.0","12,399.0","12,354.0","12,488.0","12,856.0","13,129.0","13,397.0","13,588.0","13,760.0","14,165.0","14,431.0","14,527.0","14,643.0","14,779.0","14,664.0","14,659.0","14,700.0","14,688.0","14,826.0","15,104.0","15,659.0","15,912.0","16,525.0","16,918.0","17,107.0","16,996.0","16,855.0","16,971.0","16,954.0","17,141.0","17,298.0","17,456.0","17,754.0","17,810.0","17,995.0","18,124.0","18,572.0","19,131.0","19,471.0","19,728.0","20,173.0","20,464.0","20,763.0","21,413.0","22,001.0","22,364.0","22,469.0","23,349.0","23,933.0","24,568.0","25,807.0","26,408.0","26,423.0","27,312.0","28,083.0","28,401.0","28,956.0","29,245.0","29,346.0","30,325.0","31,156.0","31,904.0","32,539.0"
"29","10","    Durable goods","A380RC1","3,725.0","3,793.0","3,921.0","3,938.0","4,084.0","4,236.0","4,600.0","4,739.0","4,773.0","4,587.0","4,586.0","5,002.0","4,646.0","4,855.0","5,001.0","5,615.0","5,861.0","6,191.0","6,244.0","6,220.0","6,118.0","5,964.0","5,926.0","6,044.0","6,164.0","6,200.0","6,333.0","6,233.0","6,234.0","6,225.0","6,240.0","6,301.0","6,438.0","6,685.0","6,882.0","7,170.0","7,247.0","7,321.0","7,400.0","7,552.0","7,596.0","7,688.0","7,805.0","7,780.0","7,745.0","7,748.0","7,699.0","7,860.0","8,125.0","8,537.0","8,458.0","8,871.0","9,339.0","9,363.0","9,334.0","9,204.0","9,085.0","9,016.0","9,190.0","9,391.0","9,530.0","9,700.0","9,869.0","10,005.0","10,092.0","10,397.0","10,611.0","10,693.0","10,820.0","11,168.0","11,405.0","11,637.0","12,063.0","12,352.0","12,668.0","12,757.0","13,518.0","13,878.0","14,294.0","15,073.0","15,380.0","15,447.0","15,853.0","16,449.0","16,743.0","16,986.0","17,270.0","17,581.0","18,268.0","18,801.0","19,352.0","19,847.0"
"30","11","    Nondurable goods","A381RC1","4,695.0","4,822.0","4,661.0","4,717.0","4,758.0","4,789.0","4,986.0","4,860.0","4,680.0","4,590.0","4,567.0","4,541.0","4,760.0","4,952.0","5,326.0","5,660.0","6,074.0","6,080.0","5,838.0","5,732.0","5,648.0","5,656.0","5,944.0","5,970.0","5,871.0","5,956.0","5,994.0","5,910.0","6,107.0","6,224.0","6,159.0","6,053.0","6,050.0","6,171.0","6,247.0","6,227.0","6,341.0","6,439.0","6,765.0","6,879.0","6,931.0","6,955.0","6,974.0","6,884.0","6,914.0","6,952.0","6,989.0","6,966.0","6,979.0","7,122.0","7,454.0","7,654.0","7,579.0","7,744.0","7,662.0","7,651.0","7,886.0","7,938.0","7,951.0","7,907.0","7,926.0","8,054.0","7,941.0","7,990.0","8,032.0","8,175.0","8,520.0","8,778.0","8,908.0","9,005.0","9,059.0","9,126.0","9,350.0","9,649.0","9,696.0","9,712.0","9,831.0","10,055.0","10,274.0","10,734.0","11,028.0","10,976.0","11,459.0","11,634.0","11,658.0","11,970.0","11,975.0","11,765.0","12,057.0","12,355.0","12,552.0","12,692.0"
"31","12","      Merchant wholesalers","A802RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,650.0","9,852.0","10,256.0","10,529.0","11,009.0","11,285.0","11,331.0","11,235.0","11,182.0","11,302.0","11,241.0","11,391.0","11,417.0","11,487.0","11,694.0","11,622.0","11,736.0","11,816.0","12,163.0","12,625.0","12,921.0","13,132.0","13,542.0","13,797.0","14,042.0","14,686.0","15,161.0","15,486.0","15,561.0","16,352.0","16,769.0","17,238.0","18,269.0","18,647.0","18,540.0","19,361.0","19,973.0","20,300.0","20,806.0","21,102.0","21,163.0","21,956.0","22,682.0","23,307.0","23,796.0"
"32","13","        Durable goods","B803RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,518.0","5,742.0","6,036.0","6,015.0","6,318.0","6,681.0","6,628.0","6,591.0","6,516.0","6,434.0","6,345.0","6,484.0","6,597.0","6,654.0","6,752.0","6,835.0","6,941.0","6,975.0","7,173.0","7,326.0","7,398.0","7,502.0","7,841.0","8,066.0","8,262.0","8,676.0","8,878.0","9,159.0","9,218.0","9,885.0","10,159.0","10,420.0","11,045.0","11,193.0","11,188.0","11,519.0","11,996.0","12,242.0","12,484.0","12,735.0","12,986.0","13,518.0","13,986.0","14,421.0","14,777.0"
"33","14","        Nondurable goods","B804RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,132.0","4,110.0","4,220.0","4,514.0","4,691.0","4,604.0","4,703.0","4,644.0","4,666.0","4,868.0","4,896.0","4,907.0","4,820.0","4,833.0","4,942.0","4,787.0","4,795.0","4,841.0","4,990.0","5,299.0","5,523.0","5,630.0","5,701.0","5,731.0","5,780.0","6,010.0","6,283.0","6,327.0","6,343.0","6,467.0","6,610.0","6,818.0","7,224.0","7,454.0","7,352.0","7,842.0","7,977.0","8,058.0","8,322.0","8,367.0","8,177.0","8,438.0","8,696.0","8,886.0","9,019.0"
