"","Table 1#5#5# Gross Domestic Product, Expanded Detail","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"63","45","Net exports of goods and services","A019RC1","383.0","323.0","1.0","43.0","58.0","322.0","-213.0","-147.0","78.0","966.0","833.0","1,471.0","1,033.0","-252.0","-2,246.0","-2,024.0","-766.0","7,182.0","10,807.0","5,487.0","5,235.0","738.0","2,513.0","1,164.0","-701.0","404.0","478.0","2,361.0","4,075.0","538.0","396.0","4,204.0","4,914.0","4,100.0","4,940.0","6,914.0","5,618.0","3,864.0","3,554.0","1,351.0","1,431.0"
"64","46","  Exports","B020RC1","5,939.0","4,444.0","2,906.0","1,975.0","1,987.0","2,561.0","2,769.0","3,007.0","4,039.0","3,811.0","3,969.0","4,897.0","5,482.0","4,375.0","4,034.0","4,880.0","6,781.0","14,156.0","18,740.0","15,547.0","14,484.0","12,350.0","17,099.0","16,459.0","15,313.0","15,836.0","17,677.0","21,284.0","24,017.0","20,560.0","22,725.0","27,045.0","27,602.0","29,065.0","31,075.0","35,019.0","37,147.0","40,921.0","43,466.0","47,907.0","51,922.0"
"65","47","    Goods","A253RC1","5,347.0","3,929.0","2,494.0","1,667.0","1,736.0","2,238.0","2,404.0","2,590.0","3,451.0","3,243.0","3,347.0","4,124.0","4,533.0","3,389.0","2,920.0","3,589.0","5,365.0","11,764.0","16,097.0","13,265.0","12,213.0","10,203.0","14,243.0","13,449.0","12,412.0","12,929.0","14,424.0","17,556.0","19,562.0","16,414.0","16,458.0","20,453.0","20,947.0","21,708.0","23,346.0","26,767.0","27,974.0","31,090.0","32,546.0","35,722.0","38,744.0"
"66","48","    Services","A646RC1","592.0","515.0","412.0","308.0","251.0","323.0","365.0","417.0","588.0","568.0","622.0","773.0","949.0","986.0","1,114.0","1,291.0","1,416.0","2,392.0","2,643.0","2,282.0","2,271.0","2,147.0","2,856.0","3,010.0","2,901.0","2,907.0","3,253.0","3,728.0","4,455.0","4,146.0","6,267.0","6,592.0","6,655.0","7,357.0","7,729.0","8,252.0","9,173.0","9,831.0","10,920.0","12,185.0","13,178.0"
"67","49","  Imports","B021RC1","5,556.0","4,121.0","2,905.0","1,932.0","1,929.0","2,239.0","2,982.0","3,154.0","3,961.0","2,845.0","3,136.0","3,426.0","4,449.0","4,627.0","6,280.0","6,904.0","7,547.0","6,974.0","7,933.0","10,060.0","9,249.0","11,612.0","14,586.0","15,295.0","16,014.0","15,432.0","17,199.0","18,923.0","19,942.0","20,022.0","22,329.0","22,841.0","22,688.0","24,965.0","26,135.0","28,105.0","31,529.0","37,057.0","39,912.0","46,556.0","50,491.0"
"68","50","    Goods","A255RC1","4,463.0","3,104.0","2,120.0","1,343.0","1,510.0","1,763.0","2,462.0","2,546.0","3,181.0","2,173.0","2,409.0","2,698.0","3,416.0","2,744.0","3,442.0","3,813.0","3,893.0","5,067.0","5,973.0","7,557.0","6,874.0","9,081.0","11,176.0","10,838.0","10,975.0","10,353.0","11,527.0","12,803.0","13,291.0","12,951.0","15,311.0","15,220.0","15,053.0","16,869.0","17,713.0","19,392.0","22,247.0","26,334.0","27,761.0","33,946.0","36,813.0"
"69","51","    Services","B656RC1","1,093.0","1,017.0","785.0","589.0","419.0","476.0","520.0","608.0","780.0","672.0","727.0","728.0","1,033.0","1,883.0","2,838.0","3,091.0","3,654.0","1,907.0","1,960.0","2,503.0","2,375.0","2,531.0","3,410.0","4,457.0","5,039.0","5,079.0","5,672.0","6,120.0","6,651.0","7,071.0","7,018.0","7,621.0","7,635.0","8,096.0","8,422.0","8,713.0","9,282.0","10,723.0","12,151.0","12,610.0","13,678.0"
"70","52","Government consumption expenditures and gross investment","A822RC1","9,625.0","10,280.0","10,185.0","8,959.0","8,890.0","10,734.0","11,171.0","13,423.0","13,148.0","14,210.0","15,203.0","15,608.0","27,882.0","65,482.0","98,068.0","108,746.0","96,560.0","43,198.0","40,029.0","43,965.0","50,025.0","50,736.0","73,543.0","89,826.0","97,013.0","92,750.0","93,258.0","98,518.0","107,536.0","114,531.0","118,881.0","121,024.0","129,844.0","140,931.0","147,879.0","155,526.0","164,885.0","186,392.0","208,066.0","226,758.0","240,401.0"
"71","53","  Federal","A823RC1","1,877.0","1,988.0","2,045.0","1,983.0","2,439.0","3,435.0","3,550.0","5,760.0","5,274.0","5,903.0","6,222.0","6,828.0","19,098.0","56,680.0","89,469.0","100,118.0","87,305.0","32,061.0","25,813.0","27,102.0","30,471.0","29,455.0","49,977.0","64,822.0","70,266.0","63,256.0","61,010.0","63,112.0","68,448.0","71,494.0","73,548.0","72,841.0","77,354.0","85,492.0","87,834.0","90,223.0","93,149.0","106,543.0","119,959.0","127,917.0","131,146.0"
"72","54","    National defense","A824RC1","1,029.0","1,067.0","1,060.0","1,030.0","980.0","923.0","1,157.0","1,387.0","1,433.0","1,500.0","1,654.0","2,779.0","15,358.0","53,483.0","86,801.0","97,321.0","84,880.0","28,086.0","21,168.0","20,973.0","22,409.0","22,705.0","43,744.0","57,448.0","61,156.0","54,472.0","52,385.0","54,982.0","59,964.0","62,227.0","60,940.0","60,899.0","64,541.0","69,704.0","69,988.0","69,724.0","70,575.0","82,474.0","95,027.0","101,356.0","102,070.0"
"73","55","      Consumption expenditures","A997RC1","976.0","981.0","952.0","930.0","861.0","786.0","1,031.0","1,101.0","1,082.0","1,152.0","1,296.0","1,940.0","7,949.0","27,118.0","48,718.0","60,567.0","60,891.0","25,345.0","19,016.0","17,716.0","18,145.0","19,044.0","33,105.0","42,196.0","44,225.0","39,853.0","39,413.0","40,940.0","44,598.0","45,990.0","42,011.0","42,627.0","44,177.0","48,559.0","50,502.0","51,389.0","53,908.0","63,761.0","73,726.0","81,437.0","82,620.0"
"74","56","      Gross investment","A788RC1","53.0","86.0","108.0","100.0","119.0","137.0","126.0","286.0","351.0","348.0","358.0","839.0","7,409.0","26,365.0","38,083.0","36,754.0","23,989.0","2,741.0","2,152.0","3,257.0","4,264.0","3,661.0","10,639.0","15,252.0","16,931.0","14,619.0","12,972.0","14,042.0","15,366.0","16,237.0","18,929.0","18,272.0","20,364.0","21,145.0","19,486.0","18,335.0","16,667.0","18,713.0","21,301.0","19,919.0","19,450.0"
"75","57","    Nondefense","A825RC1","848.0","921.0","985.0","953.0","1,459.0","2,512.0","2,393.0","4,373.0","3,841.0","4,403.0","4,568.0","4,049.0","3,740.0","3,197.0","2,668.0","2,797.0","2,425.0","3,975.0","4,645.0","6,129.0","8,062.0","6,750.0","6,233.0","7,374.0","9,110.0","8,784.0","8,625.0","8,130.0","8,484.0","9,267.0","12,608.0","11,942.0","12,813.0","15,788.0","17,846.0","20,499.0","22,574.0","24,069.0","24,932.0","26,561.0","29,076.0"
"76","58","      Consumption expenditures","A542RC1","671.0","692.0","689.0","590.0","903.0","1,779.0","1,303.0","3,370.0","2,896.0","3,466.0","3,742.0","3,249.0","2,632.0","2,153.0","1,767.0","2,142.0","1,957.0","3,637.0","4,004.0","4,967.0","6,414.0","4,884.0","4,339.0","5,405.0","7,382.0","7,306.0","7,386.0","6,420.0","6,275.0","6,567.0","9,767.0","8,322.0","8,530.0","10,431.0","10,662.0","11,719.0","12,543.0","12,694.0","14,294.0","15,374.0","17,803.0"
"77","59","      Gross investment","A798RC1","177.0","229.0","296.0","363.0","556.0","733.0","1,090.0","1,003.0","945.0","937.0","826.0","800.0","1,108.0","1,044.0","901.0","655.0","468.0","338.0","641.0","1,162.0","1,648.0","1,866.0","1,894.0","1,969.0","1,728.0","1,478.0","1,239.0","1,710.0","2,209.0","2,700.0","2,841.0","3,620.0","4,283.0","5,357.0","7,184.0","8,780.0","10,031.0","11,375.0","10,638.0","11,187.0","11,273.0"
"78","60","  State and local","A829RC1","7,748.0","8,292.0","8,140.0","6,976.0","6,451.0","7,299.0","7,621.0","7,663.0","7,874.0","8,307.0","8,981.0","8,780.0","8,784.0","8,802.0","8,599.0","8,628.0","9,255.0","11,137.0","14,216.0","16,863.0","19,554.0","21,281.0","23,566.0","25,004.0","26,747.0","29,494.0","32,248.0","35,406.0","39,088.0","43,037.0","45,333.0","48,183.0","52,490.0","55,439.0","60,045.0","65,303.0","71,736.0","79,849.0","88,107.0","98,841.0","109,255.0"
"79","61","    Consumption expenditures","A991RC1","5,076.0","5,354.0","5,458.0","5,179.0","5,097.0","5,499.0","5,985.0","4,726.0","5,272.0","5,298.0","5,571.0","5,981.0","6,505.0","7,226.0","7,691.0","7,888.0","8,403.0","9,508.0","11,326.0","12,794.0","14,157.0","15,356.0","16,528.0","17,606.0","18,752.0","20,200.0","22,103.0","24,022.0","26,433.0","29,353.0","31,247.0","34,076.0","37,238.0","39,342.0","42,276.0","46,029.0","50,571.0","56,370.0","62,385.0","70,713.0","80,438.0"
"80","62","    Gross investment","A799RC1","2,672.0","2,938.0","2,681.0","1,797.0","1,354.0","1,800.0","1,635.0","2,937.0","2,602.0","3,008.0","3,410.0","2,798.0","2,279.0","1,576.0","908.0","740.0","851.0","1,629.0","2,890.0","4,069.0","5,397.0","5,925.0","7,038.0","7,398.0","7,996.0","9,294.0","10,145.0","11,384.0","12,656.0","13,684.0","14,086.0","14,107.0","15,252.0","16,097.0","17,769.0","19,274.0","21,165.0","23,479.0","25,722.0","28,128.0","28,818.0"
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2. Gross output is net of unrelated sales, secondary sales, and sales to business, to government, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","to the rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","3. Excludes unrelated sales, secondary sales, and sales to business, to government, and to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","4. Excludes software embedded, or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
