"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross value added of corporate business \1\","A451RC1","121,178.0","125,895.0","128,712.0","134,371.0","141,646.0","145,020.0","147,730.0","150,029.0","146,674.0","142,688.0","143,461.0","139,444.0","146,719.0","156,568.0","168,500.0","176,856.0","182,120.0","184,702.0","186,517.0","190,031.0","191,324.0","190,414.0","193,180.0","205,419.0","210,002.0","212,245.0","211,698.0","203,095.0","203,347.0","204,149.0","206,357.0","213,934.0","223,847.0","230,942.0","235,698.0","242,077.0","243,916.0","248,174.0","250,709.0","257,807.0","262,483.0","262,610.0","263,627.0","258,325.0","249,860.0","249,530.0","258,329.0","270,004.0","279,508.0","291,336.0","287,753.0","291,527.0","302,220.0","300,441.0","300,012.0","297,188.0","296,390.0","304,763.0","311,897.0","322,243.0","328,033.0","333,628.0","338,737.0","343,795.0","347,550.0","355,050.0","360,675.0","366,543.0","375,656.0","382,492.0","390,415.0","395,779.0","410,258.0","418,224.0","426,505.0","440,565.0","453,187.0","461,729.0","468,837.0","477,042.0","479,979.0","484,327.0","493,880.0","506,963.0","521,255.0","536,649.0","548,637.0","562,353.0","576,797.0","586,986.0","596,629.0","602,724.0"
"21","2","Consumption of fixed capital","A438RC1","9,036.0","9,560.0","10,058.0","10,529.0","10,973.0","11,355.0","11,680.0","11,944.0","12,150.0","12,336.0","12,505.0","12,657.0","12,790.0","13,042.0","13,414.0","13,905.0","14,515.0","15,007.0","15,382.0","15,640.0","15,780.0","15,970.0","16,212.0","16,503.0","16,844.0","17,164.0","17,460.0","17,732.0","17,983.0","18,225.0","18,461.0","18,691.0","18,912.0","19,261.0","19,734.0","20,333.0","21,058.0","21,760.0","22,439.0","23,095.0","23,727.0","24,314.0","24,858.0","25,356.0","25,811.0","26,227.0","26,604.0","26,941.0","27,241.0","27,512.0","27,756.0","27,972.0","28,161.0","28,367.0","28,591.0","28,832.0","29,091.0","29,368.0","29,662.0","29,974.0","30,304.0","30,649.0","31,008.0","31,382.0","31,771.0","32,185.0","32,622.0","33,085.0","33,572.0","34,103.0","34,678.0","35,296.0","35,958.0","36,695.0","37,509.0","38,398.0","39,363.0","40,347.0","41,352.0","42,377.0","43,423.0","44,511.0","45,639.0","46,811.0","48,025.0","49,297.0","50,628.0","52,017.0","53,465.0","54,939.0","56,441.0","57,971.0"
"22","3","Net value added","A439RC1","112,142.0","116,335.0","118,654.0","123,842.0","130,673.0","133,665.0","136,050.0","138,085.0","134,524.0","130,352.0","130,956.0","126,787.0","133,929.0","143,526.0","155,086.0","162,951.0","167,605.0","169,695.0","171,135.0","174,391.0","175,544.0","174,444.0","176,968.0","188,916.0","193,158.0","195,081.0","194,238.0","185,363.0","185,364.0","185,924.0","187,896.0","195,243.0","204,935.0","211,681.0","215,964.0","221,744.0","222,858.0","226,414.0","228,270.0","234,712.0","238,756.0","238,296.0","238,769.0","232,969.0","224,049.0","223,303.0","231,725.0","243,063.0","252,267.0","263,824.0","259,997.0","263,555.0","274,059.0","272,074.0","271,421.0","268,356.0","267,299.0","275,395.0","282,235.0","292,269.0","297,729.0","302,979.0","307,729.0","312,413.0","315,779.0","322,865.0","328,053.0","333,458.0","342,084.0","348,389.0","355,737.0","360,483.0","374,300.0","381,529.0","388,996.0","402,167.0","413,824.0","421,382.0","427,485.0","434,665.0","436,556.0","439,816.0","448,241.0","460,152.0","473,230.0","487,352.0","498,009.0","510,336.0","523,332.0","532,047.0","540,188.0","544,753.0"
"23","4","  Compensation of employees","A442RC1","79,192.0","80,540.0","82,776.0","86,036.0","89,008.0","89,820.0","92,612.0","93,004.0","91,072.0","88,992.0","88,084.0","87,044.0","90,624.0","95,640.0","101,640.0","106,712.0","111,332.0","114,548.0","115,356.0","116,976.0","119,908.0","120,144.0","122,520.0","129,488.0","132,400.0","134,888.0","135,044.0","133,608.0","131,760.0","131,096.0","131,260.0","134,732.0","138,296.0","142,860.0","146,608.0","150,736.0","153,800.0","156,844.0","158,636.0","163,420.0","165,664.0","166,488.0","167,724.0","166,124.0","162,024.0","160,192.0","164,336.0","169,356.0","174,612.0","181,080.0","181,480.0","183,984.0","190,116.0","191,556.0","191,104.0","189,980.0","189,820.0","193,292.0","197,084.0","202,020.0","205,920.0","210,512.0","212,728.0","214,828.0","217,324.0","220,884.0","224,340.0","228,120.0","231,996.0","236,860.0","241,880.0","245,984.0","251,604.0","256,280.0","261,748.0","269,824.0","277,456.0","285,652.0","292,772.0","298,232.0","301,348.0","304,340.0","310,724.0","317,260.0","327,761.0","336,062.0","344,075.0","352,829.0","363,859.0","373,324.0","382,458.0","390,173.0"
"24","5","    Wages and salaries","A443RC1","75,216.0","76,488.0","78,572.0","81,688.0","84,836.0","85,648.0","88,380.0","88,732.0","86,804.0","84,608.0","83,636.0","82,512.0","85,480.0","90,192.0","95,788.0","100,496.0","104,600.0","107,560.0","108,288.0","109,684.0","112,544.0","112,732.0","114,964.0","121,720.0","124,420.0","126,744.0","126,756.0","125,284.0","123,236.0","122,616.0","122,648.0","125,900.0","128,972.0","133,184.0","136,620.0","140,500.0","143,064.0","145,828.0","147,332.0","151,796.0","153,508.0","154,096.0","155,100.0","153,404.0","149,628.0","147,824.0","151,752.0","156,368.0","161,092.0","166,472.0","166,472.0","168,524.0","173,976.0","175,240.0","174,816.0","173,792.0","173,612.0","176,724.0","180,044.0","184,360.0","187,548.0","191,472.0","193,268.0","194,996.0","197,188.0","200,316.0","203,384.0","206,780.0","210,264.0","214,652.0","219,196.0","222,888.0","227,992.0","232,092.0","236,792.0","243,736.0","249,832.0","256,764.0","262,828.0","267,572.0","270,776.0","273,488.0","279,156.0","284,844.0","294,156.0","301,699.0","308,919.0","316,879.0","325,784.0","334,373.0","342,561.0","349,395.0"
"25","6","    Supplements to wages and salaries","A444RC1","3,976.0","4,052.0","4,204.0","4,348.0","4,172.0","4,172.0","4,232.0","4,272.0","4,268.0","4,384.0","4,448.0","4,532.0","5,144.0","5,448.0","5,852.0","6,216.0","6,732.0","6,988.0","7,068.0","7,292.0","7,364.0","7,412.0","7,556.0","7,768.0","7,980.0","8,144.0","8,288.0","8,324.0","8,524.0","8,480.0","8,612.0","8,832.0","9,324.0","9,676.0","9,988.0","10,236.0","10,736.0","11,016.0","11,304.0","11,624.0","12,156.0","12,392.0","12,624.0","12,720.0","12,396.0","12,368.0","12,584.0","12,988.0","13,520.0","14,608.0","15,008.0","15,460.0","16,140.0","16,316.0","16,288.0","16,188.0","16,208.0","16,568.0","17,040.0","17,660.0","18,372.0","19,040.0","19,460.0","19,832.0","20,136.0","20,568.0","20,956.0","21,340.0","21,732.0","22,208.0","22,684.0","23,096.0","23,612.0","24,188.0","24,956.0","26,088.0","27,624.0","28,888.0","29,944.0","30,660.0","30,572.0","30,852.0","31,568.0","32,416.0","33,605.0","34,363.0","35,156.0","35,950.0","38,075.0","38,951.0","39,897.0","40,778.0"
"26","7","  Taxes on production and imports less subsidies","W321RC1","11,180.0","11,276.0","11,500.0","12,144.0","12,240.0","12,744.0","12,936.0","13,076.0","13,096.0","13,308.0","13,552.0","13,528.0","13,836.0","14,516.0","15,812.0","15,120.0","16,216.0","15,416.0","15,636.0","16,144.0","16,644.0","17,208.0","17,488.0","17,984.0","18,324.0","18,556.0","18,600.0","18,392.0","17,960.0","17,908.0","17,752.0","18,128.0","18,908.0","19,668.0","20,208.0","20,488.0","20,840.0","21,160.0","21,712.0","22,360.0","22,724.0","22,992.0","23,060.0","22,456.0","22,976.0","22,860.0","23,056.0","23,656.0","24,412.0","24,900.0","25,960.0","26,940.0","27,112.0","27,548.0","28,172.0","28,544.0","28,728.0","28,712.0","28,992.0","29,328.0","30,012.0","30,860.0","31,728.0","32,336.0","32,652.0","32,956.0","33,332.0","33,740.0","34,372.0","35,180.0","36,008.0","36,792.0","37,288.0","37,696.0","38,072.0","38,208.0","38,476.0","38,792.0","39,044.0","39,340.0","39,828.0","40,532.0","41,788.0","43,408.0","45,268.0","47,108.0","48,804.0","50,208.0","51,328.0","52,484.0","53,452.0","54,320.0"
"27","8","  Net operating surplus","W322RC1","21,770.0","24,519.0","24,378.0","25,662.0","29,425.0","31,101.0","30,502.0","32,005.0","30,356.0","28,052.0","29,320.0","26,215.0","29,469.0","33,370.0","37,634.0","41,119.0","40,057.0","39,731.0","40,143.0","41,271.0","38,992.0","37,092.0","36,960.0","41,444.0","42,434.0","41,637.0","40,594.0","33,363.0","35,644.0","36,920.0","38,884.0","42,383.0","47,731.0","49,153.0","49,148.0","50,520.0","48,218.0","48,410.0","47,922.0","48,932.0","50,368.0","48,816.0","47,985.0","44,389.0","39,049.0","40,251.0","44,333.0","50,051.0","53,243.0","57,844.0","52,557.0","52,631.0","56,831.0","52,970.0","52,145.0","49,832.0","48,751.0","53,391.0","56,159.0","60,921.0","61,797.0","61,607.0","63,273.0","65,249.0","65,803.0","69,025.0","70,381.0","71,598.0","75,716.0","76,349.0","77,849.0","77,707.0","85,408.0","87,553.0","89,176.0","94,135.0","97,892.0","96,938.0","95,669.0","97,093.0","95,380.0","94,944.0","95,729.0","99,484.0","100,201.0","104,182.0","105,130.0","107,299.0","108,145.0","106,239.0","104,278.0","100,260.0"
"28","9","    Net interest and miscellaneous payments","A453RC1","535.0","375.0","215.0","127.0","85.0","53.0","29.0","31.0","34.0","19.0","-26.0","-35.0","-51.0","-77.0","-106.0","-108.0","-117.0","-157.0","-207.0","-201.0","-197.0","-209.0","-206.0","-158.0","-69.0","1.0","52.0","135.0","204.0","238.0","244.0","277.0","265.0","246.0","211.0","196.0","157.0","123.0","82.0","108.0","156.0","220.0","283.0","401.0","636.0","717.0","684.0","585.0","153.0","-61.0","-227.0","-301.0","-212.0","-146.0","-84.0","38.0","300.0","463.0","593.0","746.0","851.0","895.0","869.0","817.0","576.0","485.0","427.0","465.0","728.0","860.0","980.0","1,111.0","1,153.0","1,261.0","1,393.0","1,582.0","1,914.0","2,209.0","2,568.0","3,029.0","3,763.0","4,153.0","4,329.0","4,383.0","3,858.0","3,920.0","4,413.0","5,329.0","6,714.0","8,013.0","9,274.0","10,488.0"
"29","10","    Business current transfer payments (net)","W323RC1","664.0","621.0","546.0","532.0","569.0","574.0","575.0","588.0","543.0","537.0","539.0","602.0","592.0","641.0","723.0","820.0","941.0","1,011.0","1,036.0","1,079.0","1,067.0","1,052.0","1,011.0","1,022.0","1,035.0","1,026.0","964.0","899.0","772.0","691.0","669.0","744.0","897.0","1,041.0","1,165.0","1,278.0","1,361.0","1,405.0","1,436.0","1,510.0","1,566.0","1,595.0","1,574.0","1,573.0","1,526.0","1,474.0","1,394.0","1,333.0","1,325.0","1,377.0","1,386.0","1,436.0","1,493.0","1,488.0","1,499.0","1,532.0","1,597.0","1,623.0","1,667.0","1,715.0","1,766.0","1,816.0","1,877.0","1,950.0","2,175.0","2,267.0","2,309.0","2,394.0","2,495.0","2,577.0","2,902.0","3,013.0","3,183.0","3,191.0","3,138.0","3,039.0","2,955.0","2,849.0","2,821.0","2,871.0","2,960.0","3,074.0","3,206.0","3,307.0","3,440.0","3,641.0","3,803.0","3,964.0","4,216.0","4,330.0","4,334.0","4,268.0"
"30","11","    Corporate profits with IVA and CCAdj","A445RC1","20,571.0","23,523.0","23,617.0","25,003.0","28,771.0","30,474.0","29,898.0","31,386.0","29,779.0","27,496.0","28,807.0","25,648.0","28,928.0","32,806.0","37,017.0","40,407.0","39,233.0","38,877.0","39,314.0","40,393.0","38,122.0","36,249.0","36,155.0","40,580.0","41,468.0","40,610.0","39,578.0","32,329.0","34,668.0","35,991.0","37,971.0","41,362.0","46,569.0","47,866.0","47,772.0","49,046.0","46,700.0","46,882.0","46,404.0","47,314.0","48,646.0","47,001.0","46,128.0","42,415.0","36,887.0","38,060.0","42,255.0","48,133.0","51,765.0","56,528.0","51,398.0","51,496.0","55,550.0","51,628.0","50,730.0","48,262.0","46,854.0","51,305.0","53,899.0","58,460.0","59,180.0","58,896.0","60,527.0","62,482.0","63,052.0","66,273.0","67,645.0","68,739.0","72,493.0","72,912.0","73,967.0","73,583.0","81,072.0","83,101.0","84,645.0","89,514.0","93,023.0","91,880.0","90,280.0","91,193.0","88,657.0","87,717.0","88,194.0","91,794.0","92,903.0","96,621.0","96,914.0","98,006.0","97,215.0","93,896.0","90,670.0","85,504.0"
"31","12","      Taxes on corporate income","A054RC1","11,560.0","10,936.0","10,796.0","11,780.0","12,144.0","12,796.0","12,580.0","12,164.0","11,044.0","9,716.0","10,120.0","9,932.0","13,628.0","16,308.0","19,924.0","21,840.0","26,280.0","22,264.0","20,144.0","21,548.0","19,804.0","18,652.0","18,608.0","20,532.0","21,616.0","21,724.0","21,232.0","16,576.0","16,404.0","16,904.0","17,920.0","19,268.0","21,344.0","21,608.0","22,156.0","23,056.0","22,040.0","22,488.0","21,144.0","22,300.0","22,824.0","21,872.0","21,428.0","19,568.0","16,920.0","17,248.0","19,388.0","22,300.0","23,500.0","25,724.0","23,116.0","22,568.0","25,104.0","23,064.0","22,024.0","20,936.0","20,656.0","22,092.0","23,392.0","25,420.0","23,904.0","23,660.0","24,364.0","24,452.0","24,556.0","26,264.0","27,004.0","27,660.0","27,904.0","27,964.0","28,584.0","28,168.0","29,556.0","30,504.0","31,084.0","33,116.0","34,168.0","34,208.0","33,872.0","33,276.0","32,500.0","32,204.0","32,484.0","34,408.0","38,728.0","39,496.0","39,664.0","40,624.0","41,460.0","40,428.0","39,140.0","38,880.0"
"32","13","      Profits after tax with IVA and CCAdj","W273RC1","9,011.0","12,587.0","12,821.0","13,223.0","16,627.0","17,678.0","17,318.0","19,222.0","18,735.0","17,780.0","18,687.0","15,716.0","15,300.0","16,498.0","17,093.0","18,567.0","12,953.0","16,613.0","19,170.0","18,845.0","18,318.0","17,597.0","17,547.0","20,048.0","19,852.0","18,886.0","18,346.0","15,753.0","18,264.0","19,087.0","20,051.0","22,094.0","25,225.0","26,258.0","25,616.0","25,990.0","24,660.0","24,394.0","25,260.0","25,014.0","25,822.0","25,129.0","24,700.0","22,847.0","19,967.0","20,812.0","22,867.0","25,833.0","28,265.0","30,804.0","28,282.0","28,928.0","30,446.0","28,564.0","28,706.0","27,326.0","26,198.0","29,213.0","30,507.0","33,040.0","35,276.0","35,236.0","36,163.0","38,030.0","38,496.0","40,009.0","40,641.0","41,079.0","44,589.0","44,948.0","45,383.0","45,415.0","51,516.0","52,597.0","53,561.0","56,398.0","58,855.0","57,672.0","56,408.0","57,917.0","56,157.0","55,513.0","55,710.0","57,386.0","54,175.0","57,125.0","57,250.0","57,382.0","55,755.0","53,468.0","51,530.0","46,624.0"
