"","Table 3#9#6# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2015     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:07:19 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","    Government consumption expenditures and gross investment","A822RX1","2,451,696.0","2,498,199.0","2,592,406.0","2,705,762.0","2,764,268.0","2,808,188.0","2,826,176.0","2,869,282.0","2,914,409.0","2,994,753.0","3,089,091.0","3,091,387.0","2,997,374.0","2,941,554.0","2,854,868.0","2,838,271.0"
"20","2","      Consumption expenditures \1\","A955RX1","1,968,155.0","1,998,431.0","2,069,138.0","2,149,166.0","2,187,831.0","2,221,694.0","2,239,465.0","2,264,125.0","2,295,732.0","2,353,884.0","2,442,062.0","2,444,861.0","2,379,985.0","2,359,064.0","2,300,321.0","2,289,927.0"
"21","3","      Gross investment \2\","A782RX1","484,936.0","500,604.0","523,840.0","556,718.0","576,396.0","586,452.0","586,636.0","605,177.0","618,730.0","640,980.0","647,029.0","646,516.0","617,134.0","581,666.0","553,502.0","547,232.0"
"22","4","        Structures","A760RX1","295,421.0","305,293.0","320,018.0","335,869.0","337,829.0","329,462.0","314,021.0","315,081.0","314,498.0","316,649.0","318,921.0","312,258.0","290,289.0","262,445.0","244,249.0","242,912.0"
"23","5","        Equipment","Y054RX1","77,344.0","79,758.0","83,095.0","92,549.0","98,049.0","105,419.0","111,353.0","122,538.0","130,990.0","147,176.0","148,263.0","150,998.0","143,377.0","140,455.0","133,294.0","131,731.0"
"24","6","        Intellectual property products","Y055RX1","123,281.0","127,220.0","133,518.0","140,377.0","150,437.0","157,947.0","164,083.0","168,672.0","173,604.0","177,156.0","179,845.0","183,205.0","183,283.0","178,839.0","176,237.0","172,867.0"
"25","7","          Software","Y056RX1","26,230.0","27,581.0","28,102.0","26,485.0","26,952.0","28,316.0","29,836.0","31,106.0","32,696.0","34,292.0","34,056.0","35,652.0","37,452.0","38,409.0","38,890.0","40,101.0"
"26","8","          Research and development","Y057RX1","96,599.0","99,104.0","104,967.0","113,806.0","123,543.0","129,692.0","134,289.0","137,593.0","140,917.0","142,862.0","145,789.0","147,568.0","145,921.0","140,620.0","137,598.0","133,150.0"
"27","9","Federal","A823RX1","815,349.0","817,722.0","849,843.0","910,844.0","972,960.0","1,017,116.0","1,034,809.0","1,060,889.0","1,078,696.0","1,152,313.0","1,217,685.0","1,270,652.0","1,236,415.0","1,213,508.0","1,144,119.0","1,116,327.0"
"28","10","    Consumption expenditures","A957RX1","643,146.0","645,853.0","670,785.0","712,312.0","758,726.0","790,315.0","799,728.0","813,471.0","821,760.0","876,473.0","933,702.0","975,213.0","949,662.0","941,577.0","888,494.0","868,188.0"
"29","11","    Gross investment","A787RX1","173,836.0","173,670.0","180,850.0","199,462.0","214,987.0","227,354.0","235,389.0","247,513.0","256,952.0","275,855.0","283,983.0","295,433.0","286,734.0","271,714.0","255,402.0","247,885.0"
"30","12","      Structures","A801RX1","25,294.0","20,750.0","19,561.0","22,842.0","24,040.0","21,659.0","18,203.0","18,955.0","22,109.0","24,855.0","29,146.0","32,817.0","29,416.0","21,430.0","16,814.0","15,690.0"
"31","13","      Equipment","Y058RX1","46,755.0","47,253.0","49,707.0","58,589.0","63,745.0","71,108.0","76,621.0","84,862.0","87,708.0","101,683.0","103,718.0","108,798.0","103,439.0","101,291.0","92,586.0","90,079.0"
"32","14","      Intellectual property products","Y059RX1","105,350.0","107,988.0","113,442.0","119,911.0","129,053.0","135,560.0","140,791.0","143,693.0","147,206.0","149,332.0","151,119.0","153,866.0","153,807.0","148,911.0","145,823.0","141,965.0"
"33","15","        Software","Y060RX1","17,701.0","18,432.0","18,710.0","17,302.0","17,217.0","17,884.0","18,982.0","19,795.0","20,982.0","22,082.0","21,832.0","23,382.0","24,557.0","24,995.0","25,038.0","25,552.0"
"34","16","        Research and development","Y061RX1","87,333.0","89,203.0","94,427.0","102,532.0","111,870.0","117,724.0","121,843.0","123,919.0","126,230.0","127,250.0","129,287.0","130,504.0","129,320.0","124,053.0","120,955.0","116,662.0"
"35","17","  National defense","A824RX1","516,945.0","512,250.0","529,992.0","567,302.0","615,433.0","652,654.0","665,519.0","678,819.0","695,617.0","748,072.0","788,276.0","813,526.0","795,010.0","768,151.0","716,583.0","689,083.0"
