"","Table 6#16C# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","325,851.0","362,888.0","386,385.0","388,804.0","394,495.0","409,066.0","415,729.0","440,227.0","423,892.0","415,852.0","416,482.0","400,739.0","413,498.0","433,404.0","407,100.0","414,607.0","453,969.0","451,488.0","449,372.0","450,488.0","476,546.0","477,827.0","463,208.0","483,503.0","481,265.0","509,386.0","523,613.0","573,729.0","581,572.0","604,480.0","638,544.0","663,060.0","664,687.0","689,236.0","723,155.0","734,986.0","768,943.0","781,398.0","786,566.0","807,306.0","835,260.0","857,730.0","892,617.0","877,468.0","808,482.0","805,150.0","813,248.0","789,562.0","842,186.0","835,620.0","819,168.0","823,944.0","803,288.0","792,760.0","775,771.0","752,991.0"
"21","2","Domestic industries","A445RC1","284,557.0","314,420.0","338,629.0","334,284.0","341,792.0","351,335.0","358,579.0","379,872.0","359,884.0","351,868.0","349,930.0","326,760.0","340,078.0","358,277.0","336,151.0","329,756.0","369,809.0","376,792.0","379,365.0","373,468.0","398,021.0","402,223.0","391,951.0","416,526.0","398,461.0","436,422.0","443,539.0","501,848.0","506,501.0","527,178.0","559,280.0","582,834.0","575,922.0","592,504.0","636,143.0","635,708.0","668,281.0","683,504.0","687,915.0","696,632.0","731,921.0","744,741.0","783,107.0","773,087.0","699,843.0","699,140.0","717,166.0","689,249.0","727,794.0","718,519.0","700,164.0","686,429.0","671,736.0","653,775.0","630,732.0","583,851.0"
"22","3","  Financial","A587RC1","50,567.0","58,860.0","63,087.0","61,956.0","56,027.0","63,288.0","67,660.0","66,729.0","73,312.0","73,553.0","75,061.0","69,974.0","75,092.0","79,755.0","81,180.0","79,640.0","101,819.0","107,341.0","111,211.0","110,448.0","124,677.0","119,181.0","112,707.0","109,925.0","97,902.0","102,316.0","103,361.0","118,307.0","110,988.0","106,931.0","120,065.0","114,776.0","122,854.0","132,897.0","140,023.0","132,742.0","142,542.0","146,033.0","143,712.0","134,809.0","157,397.0","163,183.0","167,488.0","172,553.0","149,316.0","142,175.0","140,773.0","141,790.0","158,900.0","153,144.0","167,436.0","167,757.0","162,765.0","149,645.0","153,795.0","153,589.0"
"23","4","  Nonfinancial","A463RC1","233,990.0","255,561.0","275,543.0","272,329.0","285,765.0","288,047.0","290,919.0","313,144.0","286,571.0","278,314.0","274,869.0","256,787.0","264,986.0","278,522.0","254,970.0","250,115.0","267,990.0","269,450.0","268,154.0","263,019.0","273,344.0","283,042.0","279,245.0","306,601.0","300,559.0","334,106.0","340,179.0","383,541.0","395,512.0","420,248.0","439,216.0","468,057.0","453,068.0","459,607.0","496,120.0","502,965.0","525,739.0","537,471.0","544,203.0","561,823.0","574,524.0","581,557.0","615,620.0","600,533.0","550,527.0","556,966.0","576,393.0","547,459.0","568,894.0","565,375.0","532,728.0","518,670.0","508,970.0","504,130.0","476,938.0","430,263.0"
"24","5","Rest of the world","B394RC1","41,294.0","48,468.0","47,755.0","54,520.0","52,703.0","57,730.0","57,150.0","60,355.0","64,009.0","63,984.0","66,552.0","73,979.0","73,420.0","75,127.0","70,948.0","84,853.0","84,160.0","74,697.0","70,006.0","77,021.0","78,525.0","75,603.0","71,257.0","66,976.0","82,805.0","72,963.0","80,073.0","71,883.0","75,073.0","77,303.0","79,263.0","80,226.0","88,763.0","96,734.0","87,013.0","99,278.0","100,660.0","97,893.0","98,652.0","110,675.0","103,340.0","112,988.0","109,508.0","104,382.0","108,639.0","106,010.0","96,083.0","100,313.0","114,392.0","117,100.0","119,004.0","137,516.0","131,553.0","138,984.0","145,037.0","169,141.0"
"25","6","  Receipts from the rest of the world","B933RC1","53,027.0","59,041.0","60,680.0","62,940.0","68,049.0","73,112.0","71,337.0","73,822.0","74,375.0","75,768.0","75,640.0","76,256.0","80,479.0","81,579.0","78,737.0","82,877.0","82,394.0","75,071.0","71,548.0","72,955.0","78,500.0","83,392.0","78,279.0","73,141.0","86,228.0","87,485.0","90,710.0","91,368.0","95,332.0","100,149.0","108,865.0","113,755.0","121,297.0","129,250.0","126,397.0","132,511.0","134,780.0","134,926.0","138,422.0","149,303.0","153,258.0","159,433.0","160,723.0","148,566.0","150,418.0","152,683.0","139,645.0","144,398.0","161,213.0","171,707.0","183,758.0","192,494.0","197,972.0","204,235.0","196,812.0","213,124.0"
"26","7","  Less: Payments to the rest of the world","B934RC1","11,733.0","10,573.0","12,925.0","8,420.0","15,346.0","15,382.0","14,187.0","13,467.0","10,366.0","11,784.0","9,088.0","2,277.0","7,059.0","6,452.0","7,789.0","-1,976.0","-1,766.0","374.0","1,542.0","-4,066.0","-25.0","7,789.0","7,022.0","6,165.0","3,423.0","14,522.0","10,637.0","19,485.0","20,259.0","22,846.0","29,601.0","33,529.0","32,534.0","32,517.0","39,384.0","33,233.0","34,120.0","37,033.0","39,771.0","38,629.0","49,918.0","46,445.0","51,214.0","44,185.0","41,779.0","46,673.0","43,562.0","44,085.0","46,821.0","54,607.0","64,754.0","54,978.0","66,419.0","65,251.0","51,775.0","43,983.0"
"27","8","    Corporate profits with inventory valuation adjustment","A052RC1","275,497.0","311,285.0","334,330.0","337,093.0","343,926.0","359,702.0","367,634.0","393,467.0","378,529.0","372,719.0","376,412.0","364,564.0","382,050.0","406,029.0","383,143.0","393,414.0","434,886.0","434,049.0","433,108.0","434,934.0","461,233.0","462,524.0","447,682.0","467,521.0","464,595.0","491,078.0","502,720.0","549,300.0","552,658.0","572,280.0","604,254.0","627,880.0","629,814.0","654,014.0","686,932.0","697,108.0","728,755.0","738,664.0","741,051.0","758,774.0","783,477.0","803,443.0","836,573.0","820,415.0","751,169.0","746,542.0","752,310.0","725,260.0","773,485.0","765,425.0","750,385.0","759,478.0","746,044.0","740,932.0","727,554.0","706,580.0"
"28","9","Domestic industries","A390RC1","234,204.0","262,818.0","286,574.0","282,575.0","291,222.0","301,971.0","310,485.0","333,112.0","314,523.0","308,735.0","309,860.0","290,583.0","308,629.0","330,903.0","312,195.0","308,561.0","350,726.0","359,355.0","363,101.0","357,913.0","382,709.0","386,921.0","376,425.0","400,544.0","381,789.0","418,116.0","422,649.0","477,418.0","477,584.0","494,979.0","524,990.0","547,653.0","541,051.0","557,281.0","599,920.0","597,831.0","628,095.0","640,771.0","642,399.0","648,101.0","680,142.0","690,449.0","727,062.0","716,034.0","642,536.0","640,528.0","656,229.0","624,948.0","659,090.0","648,322.0","631,384.0","621,964.0","614,492.0","601,947.0","582,515.0","537,438.0"
"29","10","  Financial","A392RC1","52,023.0","60,316.0","64,773.0","64,099.0","58,858.0","66,651.0","71,402.0","70,696.0","77,353.0","78,133.0","80,647.0","77,032.0","84,092.0","90,211.0","92,609.0","91,557.0","113,739.0","119,587.0","124,101.0","124,306.0","139,820.0","135,098.0","128,884.0","125,850.0","113,062.0","116,883.0","117,508.0","132,208.0","124,816.0","120,270.0","132,503.0","125,903.0","132,253.0","141,107.0","147,584.0","140,193.0","150,420.0","153,361.0","149,514.0","138,108.0","157,217.0","160,513.0","163,314.0","167,867.0","145,105.0","137,997.0","136,189.0","136,357.0","152,177.0","145,706.0","159,860.0","160,620.0","156,640.0","144,278.0","148,934.0","148,981.0"
"30","11","    Federal Reserve banks","J397RC1","15,471.0","16,280.0","16,558.0","16,686.0","17,360.0","17,500.0","18,149.0","19,301.0","20,138.0","21,255.0","20,346.0","20,857.0","21,019.0","21,719.0","22,690.0","21,858.0","21,412.0","20,676.0","20,634.0","20,202.0","19,244.0","18,894.0","17,814.0","17,231.0","17,016.0","16,612.0","16,571.0","16,565.0","16,737.0","17,562.0","18,989.0","20,769.0","22,418.0","23,395.0","23,155.0","22,807.0","22,302.0","22,533.0","22,532.0","22,826.0","23,411.0","24,096.0","24,599.0","25,022.0","25,411.0","25,658.0","25,787.0","25,544.0","25,252.0","25,885.0","26,556.0","29,013.0","30,371.0","30,892.0","31,559.0","32,097.0"
"31","12","    Other","B398RC1","36,552.0","44,036.0","48,215.0","47,413.0","41,498.0","49,151.0","53,253.0","51,395.0","57,215.0","56,878.0","60,301.0","56,175.0","63,073.0","68,492.0","69,919.0","69,699.0","92,327.0","98,911.0","103,467.0","104,104.0","120,576.0","116,204.0","111,070.0","108,619.0","96,046.0","100,271.0","100,937.0","115,643.0","108,079.0","102,708.0","113,514.0","105,134.0","109,835.0","117,712.0","124,429.0","117,386.0","128,118.0","130,828.0","126,982.0","115,282.0","133,806.0","136,417.0","138,715.0","142,845.0","119,694.0","112,339.0","110,402.0","110,813.0","126,925.0","119,821.0","133,304.0","131,607.0","126,269.0","113,386.0","117,375.0","116,884.0"
"32","13","  Nonfinancial","A399RC1","182,181.0","202,502.0","221,801.0","218,476.0","232,364.0","235,320.0","239,083.0","262,416.0","237,170.0","230,602.0","229,213.0","213,551.0","224,537.0","240,692.0","219,586.0","217,004.0","236,987.0","239,768.0","239,000.0","233,607.0","242,889.0","251,823.0","247,541.0","274,694.0","268,727.0","301,233.0","305,141.0","345,210.0","352,768.0","374,709.0","392,487.0","421,750.0","408,798.0","416,174.0","452,336.0","457,638.0","477,675.0","487,410.0","492,885.0","509,993.0","522,925.0","529,936.0","563,748.0","548,167.0","497,431.0","502,531.0","520,040.0","488,591.0","506,913.0","502,616.0","471,524.0","461,344.0","457,852.0","457,669.0","433,581.0","388,457.0"
"33","14","    Manufacturing","Q400RC1","79,406.0","96,060.0","115,291.0","116,406.0","124,743.0","128,436.0","132,902.0","145,037.0","134,202.0","126,991.0","120,813.0","107,283.0","121,461.0","130,620.0","117,127.0","114,275.0","111,819.0","109,639.0","111,400.0","104,341.0","105,631.0","110,279.0","111,375.0","112,029.0","105,532.0","124,567.0","117,807.0","143,718.0","149,624.0","152,881.0","165,375.0","182,478.0","185,156.0","193,172.0","208,706.0","211,990.0","212,652.0","219,754.0","221,496.0","227,697.0","230,975.0","241,979.0","263,695.0","257,239.0","219,947.0","216,661.0","226,197.0","218,731.0","224,600.0","226,103.0","217,875.0","208,860.0","221,468.0","220,342.0","205,188.0","176,576.0"
"34","15","      Durable goods","Q406RC1","50,822.0","52,259.0","55,223.0","47,109.0","51,839.0","63,272.0","62,561.0","65,876.0","64,681.0","60,270.0","54,634.0","48,537.0","53,296.0","50,904.0","47,126.0","33,096.0","30,270.0","42,447.0","42,908.0","41,683.0","43,840.0","46,200.0","45,838.0","49,374.0","45,006.0","58,558.0","58,996.0","73,568.0","80,211.0","80,122.0","84,194.0","96,113.0","96,618.0","94,315.0","100,386.0","103,004.0","104,112.0","112,240.0","112,542.0","115,552.0","116,925.0","127,385.0","145,830.0","136,915.0","113,591.0","115,690.0","123,236.0","132,745.0","108,507.0","108,206.0","107,442.0","106,775.0","107,488.0","98,668.0","88,133.0","69,436.0"
"35","16","        Primary metal industries","A407RC1","2,451.0","1,121.0","2,572.0","2,768.0","3,994.0","5,103.0","5,095.0","5,873.0","5,690.0","5,979.0","6,213.0","2,991.0","3,854.0","2,986.0","1,295.0","1,133.0","2,104.0","237.0","449.0","-525.0","-1,852.0","-2,505.0","-2,839.0","-2,743.0","-3,716.0","-561.0","-1,462.0","876.0","-394.0","-237.0","874.0","2,121.0","5,566.0","7,248.0","6,111.0","6,287.0","4,912.0","4,197.0","5,184.0","4,071.0","2,139.0","5,154.0","6,154.0","5,192.0","5,480.0","4,707.0","4,503.0","4,870.0","2,041.0","1,149.0","-584.0","-960.0","22.0","-976.0","-1,103.0","-879.0"
"36","17","        Fabricated metal products","A408RC1","4,426.0","4,455.0","6,521.0","6,227.0","7,485.0","6,892.0","5,097.0","6,058.0","7,449.0","6,186.0","6,358.0","4,445.0","6,882.0","5,913.0","5,137.0","4,419.0","3,347.0","5,619.0","5,179.0","5,563.0","5,228.0","5,519.0","6,112.0","5,315.0","4,824.0","6,845.0","7,241.0","8,553.0","9,812.0","9,322.0","10,440.0","12,652.0","11,544.0","12,281.0","11,592.0","12,035.0","13,947.0","13,134.0","15,391.0","15,875.0","16,138.0","16,448.0","17,842.0","17,740.0","14,601.0","16,381.0","18,305.0","15,659.0","15,756.0","15,450.0","15,633.0","16,473.0","18,641.0","15,499.0","14,825.0","11,496.0"
"37","18","        Industrial machinery and equipment","A409RC1","4,020.0","5,090.0","8,064.0","7,397.0","10,866.0","12,847.0","12,655.0","10,247.0","11,879.0","13,293.0","12,294.0","15,469.0","14,274.0","13,030.0","11,798.0","9,392.0","6,862.0","6,318.0","5,076.0","6,525.0","6,664.0","8,142.0","8,073.0","6,983.0","5,695.0","7,307.0","6,647.0","5,251.0","5,684.0","7,382.0","8,221.0","11,577.0","14,538.0","15,234.0","17,614.0","18,828.0","21,858.0","19,271.0","17,675.0","17,720.0","16,928.0","17,955.0","21,953.0","22,779.0","16,568.0","22,220.0","23,660.0","27,384.0","11,375.0","13,163.0","13,643.0","15,880.0","17,221.0","17,173.0","20,344.0","18,153.0"
"38","19","        Electronic and other electric equipment","A410RC1","10,054.0","12,004.0","12,002.0","8,133.0","8,592.0","11,895.0","13,615.0","13,947.0","13,272.0","13,203.0","11,503.0","13,429.0","13,931.0","12,794.0","12,076.0","9,242.0","11,344.0","13,972.0","12,921.0","13,895.0","14,110.0","12,413.0","12,870.0","14,118.0","15,010.0","14,433.0","18,109.0","19,513.0","21,313.0","23,339.0","27,363.0","30,557.0","27,960.0","26,401.0","29,428.0","30,066.0","25,982.0","29,918.0","30,689.0","35,580.0","38,010.0","41,934.0","46,508.0","42,759.0","29,205.0","25,771.0","24,338.0","25,910.0","22,515.0","22,051.0","24,864.0","23,980.0","24,487.0","25,633.0","23,832.0","20,014.0"
"39","20","        Motor vehicles and equipment","A411RC1","7,752.0","8,660.0","3,510.0","2,098.0","2,318.0","5,203.0","8,917.0","11,042.0","9,649.0","6,414.0","2,793.0","-1,317.0","-3,445.0","697.0","1,749.0","-4,681.0","-7,913.0","-2,753.0","1,767.0","1,606.0","3,994.0","6,895.0","4,318.0","7,126.0","6,052.0","11,779.0","12,593.0","22,147.0","25,813.0","21,903.0","17,283.0","16,518.0","14,025.0","8,995.0","10,001.0","8,335.0","9,805.0","14,591.0","14,888.0","8,274.0","10,312.0","7,993.0","13,780.0","11,591.0","15,557.0","14,133.0","15,190.0","18,276.0","16,007.0","11,991.0","12,580.0","10,993.0","4,819.0","3,871.0","1,016.0","-1,406.0"
"40","21","        Other","A412RC1","22,119.0","20,929.0","22,554.0","20,486.0","18,584.0","21,332.0","17,182.0","18,709.0","16,742.0","15,195.0","15,473.0","13,520.0","17,800.0","15,484.0","15,071.0","13,591.0","14,526.0","19,054.0","17,516.0","14,619.0","15,696.0","15,736.0","17,304.0","18,575.0","17,141.0","18,755.0","15,868.0","17,228.0","17,983.0","18,413.0","20,013.0","22,688.0","22,985.0","24,156.0","25,640.0","27,453.0","27,608.0","31,129.0","28,715.0","34,032.0","33,398.0","37,901.0","39,593.0","36,854.0","32,180.0","32,478.0","37,240.0","40,646.0","40,813.0","44,402.0","41,306.0","40,409.0","42,298.0","37,468.0","29,219.0","22,058.0"
"41","22","      Nondurable goods","Q401RC1","28,584.0","43,801.0","60,068.0","69,297.0","72,904.0","65,164.0","70,341.0","79,161.0","69,521.0","66,721.0","66,179.0","58,746.0","68,165.0","79,716.0","70,001.0","81,179.0","81,549.0","67,192.0","68,492.0","62,658.0","61,791.0","64,079.0","65,537.0","62,655.0","60,526.0","66,009.0","58,811.0","70,150.0","69,413.0","72,759.0","81,181.0","86,365.0","88,538.0","98,857.0","108,320.0","108,986.0","108,540.0","107,514.0","108,954.0","112,145.0","114,050.0","114,594.0","117,865.0","120,324.0","106,356.0","100,971.0","102,961.0","85,986.0","116,093.0","117,897.0","110,433.0","102,085.0","113,980.0","121,674.0","117,055.0","107,140.0"
"42","23","        Food and kindred products","A402RC1","7,922.0","10,716.0","12,573.0","12,555.0","10,350.0","8,515.0","8,274.0","10,079.0","12,425.0","9,362.0","10,567.0","10,059.0","9,379.0","13,409.0","14,561.0","15,888.0","17,450.0","17,891.0","19,991.0","16,178.0","16,377.0","19,212.0","19,232.0","16,876.0","17,021.0","15,105.0","15,761.0","15,507.0","18,336.0","18,298.0","20,434.0","22,162.0","25,014.0","27,977.0","28,724.0","28,543.0","23,578.0","19,615.0","21,051.0","25,384.0","24,619.0","24,859.0","23,588.0","26,925.0","22,943.0","24,190.0","25,177.0","12,910.0","27,861.0","28,156.0","26,642.0","27,361.0","27,182.0","25,027.0","28,199.0","20,319.0"
"43","24","        Chemicals and allied products","A403RC1","12,911.0","15,948.0","20,132.0","21,295.0","22,551.0","20,022.0","19,334.0","26,636.0","22,139.0","24,527.0","22,016.0","19,140.0","20,849.0","23,383.0","21,787.0","18,033.0","17,948.0","20,072.0","22,560.0","23,717.0","20,954.0","19,617.0","20,190.0","20,716.0","21,468.0","19,471.0","18,493.0","23,450.0","23,853.0","26,341.0","27,796.0","31,839.0","30,365.0","34,287.0","36,006.0","34,749.0","34,282.0","34,074.0","31,630.0","30,245.0","35,336.0","37,558.0","40,665.0","40,679.0","37,397.0","31,316.0","34,974.0","38,437.0","41,063.0","41,108.0","32,024.0","24,892.0","31,564.0","28,796.0","24,690.0","25,161.0"
"44","25","        Petroleum and coal products","A404RC1","-13,194.0","-3,743.0","2,264.0","9,168.0","11,132.0","8,783.0","15,324.0","16,228.0","5,874.0","6,722.0","8,706.0","5,444.0","13,651.0","17,954.0","7,992.0","26,725.0","25,894.0","6,029.0","-1,276.0","-546.0","-532.0","-795.0","-904.0","-2,329.0","-3,770.0","3,503.0","2,385.0","5,376.0","-1,427.0","-3,293.0","3,151.0","3,328.0","1,795.0","5,976.0","10,556.0","8,323.0","10,212.0","14,603.0","16,213.0","18,181.0","17,104.0","16,125.0","17,657.0","17,307.0","10,908.0","9,457.0","7,550.0","824.0","2,610.0","6,371.0","9,916.0","5,113.0","15,952.0","33,756.0","33,952.0","33,176.0"
"45","26","        Other","A405RC1","20,945.0","20,880.0","25,099.0","26,279.0","28,871.0","27,844.0","27,409.0","26,218.0","29,083.0","26,110.0","24,890.0","24,103.0","24,286.0","24,970.0","25,661.0","20,533.0","20,257.0","23,200.0","27,217.0","23,309.0","24,992.0","26,045.0","27,019.0","27,392.0","25,807.0","27,930.0","22,172.0","25,817.0","28,651.0","31,413.0","29,800.0","29,036.0","31,364.0","30,617.0","33,034.0","37,371.0","40,468.0","39,222.0","40,060.0","38,335.0","36,991.0","36,052.0","35,955.0","35,413.0","35,108.0","36,008.0","35,260.0","33,815.0","44,559.0","42,262.0","41,851.0","44,719.0","39,282.0","34,095.0","30,214.0","28,484.0"
"46","27","    Transportation and public utilities","Q416RC1","39,977.0","46,041.0","40,831.0","41,184.0","43,773.0","44,786.0","48,095.0","50,696.0","43,777.0","43,230.0","40,287.0","40,381.0","41,604.0","47,131.0","46,639.0","38,755.0","51,798.0","55,939.0","54,815.0","55,631.0","59,540.0","57,333.0","54,912.0","58,863.0","65,805.0","69,127.0","70,908.0","74,666.0","74,559.0","82,701.0","85,853.0","92,406.0","87,150.0","87,467.0","92,475.0","88,779.0","89,403.0","93,790.0","89,648.0","92,152.0","80,979.0","82,576.0","80,306.0","80,087.0","71,593.0","74,899.0","80,009.0","63,795.0","55,559.0","44,830.0","44,884.0","51,930.0","37,704.0","32,173.0","33,103.0","32,296.0"
