"","Table 1#1#5# Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2015 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2015 3:09:29 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","    Gross domestic product","A191RC1","1,019,878.0","1,075,884.0","1,167,770.0","1,282,449.0","1,428,549.0","1,548,825.0","1,688,923.0","1,877,587.0","2,085,951.0","2,356,571.0","2,632,143.0","2,862,505.0","3,210,956.0","3,344,991.0","3,638,137.0","4,040,693.0","4,346,734.0","4,590,155.0","4,870,217.0","5,252,629.0","5,657,693.0","5,979,589.0","6,174,043.0","6,539,299.0","6,878,718.0","7,308,755.0","7,664,060.0","8,100,201.0","8,608,515.0","9,089,168.0","9,660,624.0","10,284,779.0","10,621,824.0","10,977,514.0","11,510,670.0","12,274,928.0","13,093,726.0","13,855,888.0","14,477,635.0","14,718,582.0","14,418,739.0","14,964,372.0","15,517,926.0","16,155,255.0","16,663,160.0","17,348,071.0"
"20","2","Personal consumption expenditures","DPCERC1","604,486.0","647,688.0","700,990.0","769,431.0","851,143.0","931,999.0","1,032,755.0","1,150,172.0","1,276,673.0","1,426,173.0","1,589,496.0","1,754,616.0","1,937,512.0","2,073,913.0","2,286,519.0","2,498,155.0","2,722,674.0","2,898,411.0","3,092,050.0","3,346,889.0","3,592,814.0","3,825,630.0","3,960,151.0","4,215,654.0","4,471,002.0","4,741,018.0","4,984,178.0","5,268,071.0","5,560,720.0","5,903,033.0","6,307,022.0","6,792,396.0","7,103,104.0","7,384,053.0","7,765,529.0","8,260,018.0","8,794,112.0","9,303,992.0","9,750,505.0","10,013,648.0","9,846,968.0","10,202,191.0","10,689,299.0","11,050,627.0","11,392,289.0","11,865,941.0"
"21","3","  Goods","DGDSRC1","304,677.0","318,794.0","342,116.0","373,815.0","416,636.0","451,539.0","491,334.0","546,305.0","600,383.0","663,567.0","737,938.0","799,792.0","869,373.0","899,292.0","973,780.0","1,063,700.0","1,137,606.0","1,195,629.0","1,256,296.0","1,337,308.0","1,423,803.0","1,491,302.0","1,497,435.0","1,563,269.0","1,642,347.0","1,746,554.0","1,815,532.0","1,917,673.0","2,006,764.0","2,108,719.0","2,286,769.0","2,452,854.0","2,525,237.0","2,598,581.0","2,721,556.0","2,900,255.0","3,080,281.0","3,235,797.0","3,361,573.0","3,375,702.0","3,198,444.0","3,362,811.0","3,596,461.0","3,739,079.0","3,836,752.0","3,948,430.0"
"22","4","    Durable goods","DDURRC1","90,482.0","89,988.0","102,447.0","116,444.0","130,527.0","130,177.0","142,165.0","168,624.0","191,963.0","213,349.0","226,340.0","226,390.0","243,940.0","253,032.0","295,029.0","342,156.0","380,363.0","421,440.0","442,021.0","475,052.0","494,328.0","497,080.0","477,185.0","508,082.0","551,532.0","607,171.0","635,738.0","676,297.0","715,530.0","779,295.0","855,570.0","912,571.0","941,515.0","985,367.0","1,017,526.0","1,079,823.0","1,127,231.0","1,156,115.0","1,184,633.0","1,102,283.0","1,023,319.0","1,070,692.0","1,125,327.0","1,191,861.0","1,237,810.0","1,280,215.0"
"23","5","    Nondurable goods","DNDGRC1","214,195.0","228,806.0","239,669.0","257,371.0","286,109.0","321,362.0","349,169.0","377,681.0","408,420.0","450,218.0","511,598.0","573,402.0","625,433.0","646,260.0","678,751.0","721,544.0","757,243.0","774,189.0","814,275.0","862,256.0","929,475.0","994,222.0","1,020,250.0","1,055,187.0","1,090,815.0","1,139,383.0","1,179,794.0","1,241,376.0","1,291,234.0","1,329,424.0","1,431,199.0","1,540,283.0","1,583,722.0","1,613,214.0","1,704,030.0","1,820,432.0","1,953,050.0","2,079,682.0","2,176,940.0","2,273,419.0","2,175,125.0","2,292,119.0","2,471,134.0","2,547,218.0","2,598,942.0","2,668,215.0"
"24","6","  Services","DSERRC1","299,809.0","328,894.0","358,874.0","395,616.0","434,507.0","480,460.0","541,421.0","603,867.0","676,290.0","762,606.0","851,558.0","954,824.0","1,068,139.0","1,174,621.0","1,312,739.0","1,434,455.0","1,585,068.0","1,702,782.0","1,835,754.0","2,009,581.0","2,169,011.0","2,334,328.0","2,462,716.0","2,652,385.0","2,828,655.0","2,994,464.0","3,168,646.0","3,350,398.0","3,553,956.0","3,794,314.0","4,020,253.0","4,339,542.0","4,577,867.0","4,785,472.0","5,043,973.0","5,359,763.0","5,713,831.0","6,068,195.0","6,388,932.0","6,637,946.0","6,648,524.0","6,839,380.0","7,092,838.0","7,311,548.0","7,555,536.0","7,917,511.0"
"25","7","Gross private domestic investment","A006RC1","173,560.0","170,050.0","196,827.0","228,145.0","266,930.0","274,527.0","257,253.0","323,222.0","396,612.0","478,377.0","539,656.0","530,098.0","631,230.0","581,031.0","637,516.0","820,093.0","829,649.0","849,144.0","892,177.0","936,964.0","999,701.0","993,453.0","944,344.0","1,013,014.0","1,106,829.0","1,256,483.0","1,317,478.0","1,432,057.0","1,595,606.0","1,735,330.0","1,884,195.0","2,033,750.0","1,928,638.0","1,924,988.0","2,027,947.0","2,276,678.0","2,527,109.0","2,680,649.0","2,643,745.0","2,424,810.0","1,878,116.0","2,100,812.0","2,239,879.0","2,511,703.0","2,665,023.0","2,860,019.0"
"26","8","  Fixed investment","A007RC1","164,387.0","168,049.0","188,571.0","219,038.0","251,052.0","260,537.0","263,509.0","306,106.0","374,288.0","452,586.0","521,672.0","536,429.0","601,421.0","595,945.0","643,267.0","754,688.0","807,825.0","842,573.0","865,028.0","918,482.0","972,008.0","978,906.0","944,738.0","996,686.0","1,086,015.0","1,192,699.0","1,286,305.0","1,401,257.0","1,524,666.0","1,671,611.0","1,823,379.0","1,979,205.0","1,966,921.0","1,906,487.0","2,008,661.0","2,212,818.0","2,467,530.0","2,613,677.0","2,609,293.0","2,456,806.0","2,025,686.0","2,039,284.0","2,198,116.0","2,449,910.0","2,593,231.0","2,782,892.0"
