"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","    Exports of goods and services","B020RC1","51,922.0","59,710.0","62,964.0","70,844.0","95,270.0","126,651.0","138,707.0","149,515.0","159,350.0","186,885.0","230,129.0","280,773.0","305,239.0","283,209.0","276,996.0","302,383.0","303,209.0","321,000.0","363,944.0","444,601.0","504,291.0","551,874.0","594,932.0","633,053.0","654,800.0","720,939.0","812,813.0","867,590.0","953,806.0","952,981.0","991,980.0","1,096,835.0","1,026,713.0","1,002,509.0","1,040,279.0","1,181,507.0","1,308,901.0","1,476,316.0","1,664,625.0","1,841,942.0","1,587,742.0","1,852,335.0","2,106,371.0","2,198,182.0","2,263,254.0","2,341,933.0"
"20","2","Exports of goods \1\","A253RC1","38,744.0","45,038.0","46,197.0","52,587.0","75,772.0","103,495.0","112,491.0","121,484.0","128,411.0","149,909.0","187,266.0","230,429.0","245,206.0","222,550.0","214,048.0","231,289.0","227,487.0","231,448.0","265,555.0","332,055.0","374,752.0","403,265.0","430,137.0","455,310.0","467,725.0","518,372.0","592,443.0","628,784.0","699,889.0","692,566.0","711,723.0","797,256.0","743,835.0","713,161.0","741,420.0","834,384.0","926,583.0","1,049,570.0","1,166,421.0","1,298,804.0","1,065,118.0","1,279,593.0","1,466,862.0","1,525,999.0","1,560,918.0","1,617,989.0"
"21","3","  Foods, feeds, and beverages","B638RC1","4,699.0","5,874.0","6,110.0","7,505.0","15,199.0","18,638.0","19,234.0","19,829.0","19,724.0","25,680.0","30,501.0","36,278.0","38,840.0","32,195.0","32,091.0","32,196.0","24,566.0","23,522.0","25,229.0","33,770.0","36,289.0","35,110.0","35,728.0","40,263.0","40,537.0","42,355.0","50,811.0","55,954.0","51,954.0","46,833.0","45,976.0","47,872.0","49,407.0","49,615.0","55,026.0","56,570.0","58,955.0","65,963.0","84,264.0","108,349.0","93,909.0","107,718.0","126,248.0","133,049.0","136,160.0","143,751.0"
"22","4","  Industrial supplies and materials","A639RC1","11,679.0","13,762.0","12,647.0","13,897.0","19,740.0","29,853.0","29,330.0","31,639.0","33,219.0","38,415.0","53,290.0","67,951.0","65,721.0","61,799.0","57,129.0","61,926.0","59,390.0","59,030.0","67,426.0","84,208.0","95,386.0","101,941.0","106,217.0","105,168.0","102,920.0","115,398.0","140,991.0","141,322.0","153,005.0","143,251.0","145,723.0","171,108.0","159,469.0","157,282.0","173,273.0","206,276.0","236,813.0","279,121.0","316,284.0","386,918.0","293,541.0","388,562.0","485,259.0","483,232.0","492,296.0","500,007.0"
"23","5","    Durable goods","B686RC1","4,679.0","5,595.0","4,284.0","4,714.0","7,362.0","10,298.0","9,700.0","10,281.0","10,330.0","13,056.0","18,576.0","24,800.0","20,799.0","17,612.0","16,956.0","17,714.0","16,870.0","17,708.0","21,026.0","28,776.0","33,351.0","35,767.0","37,160.0","36,881.0","37,658.0","41,374.0","49,945.0","51,112.0","55,301.0","53,914.0","54,259.0","63,618.0","57,079.0","53,499.0","57,305.0","70,065.0","82,190.0","101,334.0","113,930.0","128,645.0","95,970.0","125,138.0","143,428.0","140,291.0","136,890.0","140,717.0"
"24","6","    Nondurable goods","B687RC1","7,000.0","8,167.0","8,363.0","9,183.0","12,378.0","19,555.0","19,630.0","21,358.0","22,889.0","25,359.0","34,714.0","43,151.0","44,922.0","44,187.0","40,173.0","44,212.0","42,520.0","41,322.0","46,400.0","55,432.0","62,035.0","66,174.0","69,057.0","68,287.0","65,262.0","74,024.0","91,046.0","90,210.0","97,704.0","89,337.0","91,464.0","107,490.0","102,390.0","103,783.0","115,968.0","136,211.0","154,623.0","177,787.0","202,354.0","258,273.0","197,571.0","263,424.0","341,831.0","342,941.0","355,406.0","359,290.0"
"25","7","      Petroleum and products","LA0000061",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,706.0","4,429.0","4,633.0","4,480.0","6,460.0","8,361.0","8,396.0","7,620.0","7,491.0","6,968.0","8,098.0","9,631.0","10,419.0","8,076.0","11,973.0","16,498.0","14,803.0","14,149.0","17,704.0","23,888.0","31,969.0","43,389.0","50,946.0","84,715.0","60,126.0","85,281.0","131,842.0","142,022.0","154,688.0","161,153.0"
"26","8","      Nondurable goods, excluding petroleum and products","LA0000051",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","36,815.0","36,893.0","41,767.0","50,952.0","55,575.0","57,813.0","60,661.0","60,668.0","57,771.0","67,056.0","82,948.0","80,579.0","87,285.0","81,262.0","79,492.0","90,992.0","87,587.0","89,634.0","98,264.0","112,323.0","122,654.0","134,398.0","151,408.0","173,558.0","137,445.0","178,143.0","209,989.0","200,919.0","200,718.0","198,137.0"
"27","9","  Capital goods, except automotive","A640RC1","12,423.0","14,659.0","15,372.0","16,914.0","21,999.0","30,878.0","36,639.0","39,113.0","39,766.0","47,498.0","60,181.0","76,284.0","84,174.0","76,501.0","71,661.0","77,008.0","79,321.0","82,816.0","92,708.0","119,104.0","136,941.0","152,990.0","166,605.0","176,377.0","182,710.0","205,709.0","234,418.0","253,957.0","295,832.0","299,823.0","311,249.0","357,000.0","321,725.0","290,435.0","293,673.0","327,541.0","358,426.0","404,026.0","433,019.0","457,656.0","391,497.0","447,840.0","494,200.0","527,459.0","534,524.0","551,321.0"
"28","10","    Civilian aircraft, engines, and parts","B688RC1","1,266.0","1,528.0","1,918.0","1,675.0","2,315.0","3,395.0","3,189.0","3,214.0","2,750.0","7,267.0","10,564.0","14,121.0","13,895.0","10,070.0","11,146.0","10,162.0","13,527.0","15,449.0","16,387.0","21,209.0","26,935.0","32,194.0","36,610.0","37,726.0","32,787.0","31,475.0","26,129.0","30,792.0","41,359.0","53,548.0","52,921.0","48,091.0","52,619.0","50,425.0","46,723.0","46,075.0","55,889.0","64,503.0","73,019.0","73,999.0","74,755.0","71,922.0","80,353.0","94,309.0","104,991.0","113,071.0"
"29","11","    Computers, peripherals, and parts","B850RC1","786.0","1,237.0","1,262.0","1,341.0","1,717.0","2,198.0","2,228.0","2,588.0","3,264.0","4,288.0","5,727.0","7,808.0","8,914.0","9,353.0","11,057.0","14,224.0","14,703.0","15,650.0","18,818.0","23,966.0","24,128.0","25,889.0","27,295.0","28,764.0","29,316.0","33,320.0","39,654.0","43,719.0","49,360.0","45,248.0","46,724.0","55,541.0","47,555.0","38,552.0","39,925.0","42,805.0","45,537.0","47,580.0","45,546.0","43,898.0","37,717.0","43,814.0","48,459.0","49,216.0","48,087.0","48,789.0"
"30","12","    Other","B689RC1","10,371.0","11,894.0","12,192.0","13,898.0","17,967.0","25,285.0","31,222.0","33,311.0","33,752.0","35,943.0","43,890.0","54,355.0","61,365.0","57,078.0","49,458.0","52,622.0","51,091.0","51,717.0","57,503.0","73,929.0","85,878.0","94,907.0","102,700.0","109,887.0","120,607.0","140,914.0","168,635.0","179,446.0","205,113.0","201,027.0","211,604.0","253,368.0","221,551.0","201,458.0","207,025.0","238,661.0","257,000.0","291,943.0","314,454.0","339,759.0","279,025.0","332,104.0","365,388.0","383,934.0","381,446.0","389,461.0"
"31","13","  Automotive vehicles, engines, and parts","B641RC1","3,931.0","3,899.0","4,729.0","5,526.0","6,952.0","8,815.0","10,794.0","12,229.0","13,535.0","15,163.0","17,898.0","17,443.0","19,693.0","17,230.0","18,462.0","22,422.0","24,944.0","25,096.0","27,583.0","33,397.0","35,141.0","36,195.0","39,899.0","46,883.0","51,555.0","57,532.0","61,395.0","64,360.0","73,436.0","72,511.0","75,257.0","80,356.0","75,435.0","78,943.0","80,633.0","89,212.0","98,407.0","107,263.0","121,264.0","121,452.0","81,714.0","112,008.0","133,036.0","146,158.0","152,670.0","159,690.0"
"32","14","  Consumer goods, except food and automotive","A642RC1","2,604.0","2,798.0","2,913.0","3,583.0","4,800.0","6,399.0","6,560.0","8,022.0","8,931.0","11,381.0","13,979.0","17,751.0","17,697.0","16,128.0","14,924.0","15,085.0","14,594.0","16,730.0","20,307.0","26,982.0","35,873.0","43,503.0","46,577.0","51,235.0","54,460.0","59,711.0","64,152.0","69,323.0","77,031.0","79,369.0","80,868.0","89,305.0","88,284.0","84,323.0","89,878.0","103,195.0","115,228.0","129,034.0","145,864.0","161,158.0","149,287.0","164,909.0","174,718.0","180,994.0","188,370.0","198,300.0"
"33","15","    Durable goods","B690RC1","1,190.0","1,189.0","1,270.0","1,702.0","2,432.0","3,271.0","3,137.0","3,952.0","4,172.0","5,913.0","7,266.0","9,763.0","8,963.0","7,758.0","6,793.0","6,739.0","6,398.0","7,594.0","9,473.0","13,341.0","19,510.0","23,572.0","24,346.0","26,360.0","28,172.0","30,322.0","32,507.0","35,005.0","39,533.0","40,769.0","41,764.0","46,669.0","46,360.0","43,911.0","46,051.0","53,890.0","62,051.0","71,060.0","82,617.0","90,576.0","75,278.0","87,376.0","96,879.0","98,704.0","104,040.0","110,813.0"
"34","16","    Nondurable goods","B691RC1","1,414.0","1,609.0","1,643.0","1,881.0","2,368.0","3,128.0","3,423.0","4,070.0","4,759.0","5,468.0","6,713.0","7,988.0","8,734.0","8,370.0","8,131.0","8,346.0","8,196.0","9,136.0","10,834.0","13,641.0","16,363.0","19,931.0","22,231.0","24,875.0","26,288.0","29,389.0","31,645.0","34,318.0","37,498.0","38,600.0","39,104.0","42,636.0","41,924.0","40,412.0","43,827.0","49,305.0","53,177.0","57,974.0","63,247.0","70,582.0","74,009.0","77,533.0","77,839.0","82,290.0","84,330.0","87,487.0"
"35","17","  Other \2\","A643RC1","3,408.0","4,046.0","4,426.0","5,162.0","7,082.0","8,912.0","9,934.0","10,652.0","13,236.0","11,772.0","11,417.0","14,722.0","19,081.0","18,697.0","19,781.0","22,652.0","24,672.0","24,254.0","32,302.0","34,594.0","35,122.0","33,526.0","35,111.0","35,384.0","35,543.0","37,667.0","40,676.0","43,868.0","48,631.0","50,779.0","52,650.0","51,615.0","49,515.0","52,563.0","48,937.0","51,590.0","58,754.0","64,163.0","65,726.0","63,271.0","55,170.0","58,556.0","53,401.0","55,107.0","56,898.0","64,920.0"
"36","18","Exports of services \1\","A646RC1","13,178.0","14,672.0","16,767.0","18,257.0","19,498.0","23,156.0","26,216.0","28,031.0","30,939.0","36,976.0","42,863.0","50,344.0","60,033.0","60,659.0","62,948.0","71,094.0","75,722.0","89,552.0","98,389.0","112,546.0","129,539.0","148,609.0","164,795.0","177,743.0","187,075.0","202,567.0","220,370.0","238,806.0","253,917.0","260,415.0","280,257.0","299,579.0","282,878.0","289,348.0","298,859.0","347,123.0","382,318.0","426,746.0","498,204.0","543,138.0","522,624.0","572,742.0","639,509.0","672,184.0","702,336.0","723,944.0"
"37","19","  Transport","Y800RC1","3,102.0","3,669.0","3,915.0","4,278.0","5,440.0","6,801.0","6,879.0","7,976.0","8,456.0","9,739.0","12,127.0","14,209.0","15,671.0","15,495.0","16,203.0","17,878.0","19,088.0","21,021.0","24,029.0","28,287.0","31,185.0","37,340.0","38,489.0","38,148.0","38,485.0","40,753.0","44,990.0","46,495.0","47,872.0","45,703.0","43,217.0","45,759.0","41,715.0","41,911.0","41,445.0","47,723.0","52,622.0","57,462.0","65,825.0","74,973.0","62,190.0","71,655.0","79,830.0","83,944.0","87,415.0","90,031.0"
"38","20","  Travel (for all purposes including education)","Y801RC1","2,043.0","2,331.0","2,534.0","2,817.0","3,412.0","4,032.0","4,697.0","5,742.0","6,150.0","7,183.0","8,441.0","10,588.0","15,565.0","15,524.0","14,513.0","21,302.0","22,353.0","25,483.0","29,002.0","35,159.0","42,959.0","50,891.0","56,665.0","63,976.0","67,881.0","69,356.0","74,892.0","81,836.0","86,240.0","85,070.0","92,338.0","100,188.0","86,733.0","81,869.0","80,332.0","92,387.0","101,469.0","105,140.0","119,037.0","133,761.0","119,902.0","137,010.0","150,867.0","161,632.0","172,901.0","177,241.0"
"39","21","  Charges for the use of intellectual property n.e.c.","B684RC1","2,019.0","2,331.0","2,544.0","2,770.0","3,225.0","3,931.0","4,411.0","4,463.0","5,031.0","6,005.0","6,313.0","7,213.0","7,438.0","5,602.0","5,779.0","6,178.0","6,678.0","8,114.0","10,170.0","12,140.0","13,819.0","16,636.0","17,818.0","20,843.0","21,694.0","26,713.0","30,289.0","32,470.0","33,229.0","35,625.0","47,731.0","51,808.0","49,487.0","53,857.0","56,814.0","67,093.0","74,449.0","83,549.0","97,803.0","102,125.0","98,406.0","107,521.0","123,333.0","124,440.0","127,927.0","130,362.0"
"40","22","  Other business services \3\","Y802RC1","924.0","1,043.0","1,278.0","1,482.0","1,690.0","2,961.0","3,687.0","4,500.0","4,919.0","6,163.0","7,259.0","8,574.0","10,509.0","13,780.0","14,061.0","14,520.0","14,810.0","23,262.0","24,178.0","25,707.0","30,296.0","32,728.0","39,853.0","41,082.0","43,527.0","49,931.0","53,581.0","61,345.0","71,153.0","78,063.0","79,560.0","83,145.0","87,874.0","95,128.0","102,106.0","118,405.0","128,478.0","150,803.0","183,852.0","202,307.0","210,900.0","226,672.0","249,403.0","263,560.0","276,705.0","292,494.0"
"41","23","  Government goods and services n.e.c.","Y803RC1","3,998.0","4,054.0","5,181.0","5,418.0","3,914.0","3,096.0","3,837.0","2,598.0","3,351.0","4,316.0","4,273.0","4,775.0","5,126.0","5,601.0","6,439.0","5,017.0","4,353.0","3,699.0","3,625.0","3,668.0","3,706.0","3,915.0","4,808.0","5,348.0","5,761.0","4,786.0","5,572.0","6,213.0","4,892.0","5,979.0","7,813.0","8,520.0","7,749.0","7,244.0","8,486.0","11,338.0","14,544.0","18,615.0","20,422.0","18,035.0","19,833.0","18,523.0","22,797.0","21,663.0","22,006.0","19,301.0"
"42","24","  Other","B980RC1","1,092.0","1,244.0","1,315.0","1,492.0","1,817.0","2,335.0","2,705.0","2,752.0","3,032.0","3,570.0","4,450.0","4,985.0","5,724.0","4,657.0","5,953.0","6,199.0","8,440.0","7,973.0","7,385.0","7,585.0","7,574.0","7,099.0","7,162.0","8,346.0","9,727.0","11,028.0","11,046.0","10,447.0","10,531.0","9,975.0","9,598.0","10,159.0","9,320.0","9,339.0","9,676.0","10,177.0","10,756.0","11,177.0","11,265.0","11,937.0","11,393.0","11,361.0","13,279.0","16,945.0","15,382.0","14,516.0"
"43","25","    Imports of goods and services","B021RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,993.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,248,611.0","1,472,630.0","1,395,396.0","1,428,973.0","1,543,934.0","1,800,677.0","2,030,086.0","2,247,263.0","2,383,167.0","2,565,009.0","1,983,178.0","2,364,992.0","2,686,366.0","2,763,844.0","2,771,653.0","2,871,928.0"
"44","26","Imports of goods \1\","A255RC1","36,813.0","40,855.0","46,550.0","56,934.0","71,843.0","104,520.0","99,000.0","124,632.0","152,630.0","177,410.0","212,788.0","248,571.0","267,815.0","250,541.0","272,677.0","336,316.0","343,294.0","370,006.0","414,769.0","452,124.0","484,793.0","508,072.0","500,723.0","544,929.0","592,762.0","676,813.0","757,448.0","807,448.0","885,656.0","930,751.0","1,051,210.0","1,251,475.0","1,176,696.0","1,199,336.0","1,296,192.0","1,511,563.0","1,719,374.0","1,899,658.0","2,003,771.0","2,149,379.0","1,590,294.0","1,949,814.0","2,244,732.0","2,305,824.0","2,301,877.0","2,388,513.0"
"45","27","  Foods, feeds, and beverages","B647RC1","5,236.0","6,147.0","6,364.0","7,258.0","9,119.0","10,568.0","9,642.0","11,546.0","13,981.0","15,825.0","18,029.0","18,564.0","18,557.0","17,477.0","18,824.0","21,880.0","21,849.0","24,376.0","24,809.0","24,929.0","24,894.0","26,402.0","26,197.0","27,601.0","27,861.0","30,956.0","33,190.0","35,733.0","39,704.0","41,260.0","44,080.0","46,488.0","47,218.0","50,318.0","56,522.0","62,999.0","69,072.0","76,081.0","82,975.0","90,439.0","82,860.0","92,493.0","108,256.0","111,127.0","116,004.0","126,683.0"
"46","28","  Industrial supplies and materials","LA0000041","14,307.0","15,163.0","17,231.0","20,629.0","27,603.0","53,627.0","50,584.0","63,055.0","78,417.0","81,872.0","105,446.0","126,851.0","130,412.0","107,323.0","106,167.0","120,674.0","110,613.0","96,747.0","109,027.0","116,278.0","129,676.0","140,488.0","127,395.0","133,984.0","140,188.0","156,229.0","175,605.0","197,330.0","206,485.0","193,124.0","221,908.0","301,289.0","276,785.0","270,660.0","317,754.0","418,088.0","531,130.0","610,204.0","644,595.0","794,857.0","464,350.0","603,092.0","754,863.0","723,164.0","678,938.0","666,951.0"
"47","29","    Durable goods","A820RC1","7,147.0","7,462.0","8,329.0","9,918.0","12,149.0","17,073.0","14,068.0","16,258.0","19,900.0","23,648.0","26,696.0","26,493.0","28,363.0","22,285.0","26,292.0","32,804.0","30,511.0","33,381.0","33,995.0","39,643.0","40,153.0","38,477.0","35,625.0","39,171.0","43,064.0","53,455.0","59,679.0","63,005.0","69,067.0","75,969.0","80,064.0","90,146.0","81,983.0","83,196.0","86,083.0","121,451.0","137,097.0","164,352.0","159,943.0","161,489.0","95,502.0","125,189.0","149,594.0","150,394.0","150,876.0","168,986.0"
"48","30","    Nondurable goods","LA0000071","7,160.0","7,701.0","8,902.0","10,711.0","15,454.0","36,554.0","36,516.0","46,797.0","58,517.0","58,223.0","78,750.0","100,357.0","102,048.0","85,038.0","79,875.0","87,870.0","80,102.0","63,366.0","75,032.0","76,634.0","89,524.0","102,011.0","91,771.0","94,814.0","97,125.0","102,774.0","115,926.0","134,325.0","137,418.0","117,155.0","141,844.0","211,143.0","194,802.0","187,464.0","231,671.0","296,637.0","394,034.0","445,852.0","484,652.0","633,368.0","368,848.0","477,903.0","605,269.0","572,769.0","528,062.0","497,966.0"
"49","31","      Petroleum and products","B648RC1","2,649.0","2,927.0","3,650.0","4,650.0","8,415.0","26,608.0","27,018.0","34,572.0","44,982.0","42,554.0","60,430.0","79,514.0","78,373.0","61,951.0","55,088.0","58,050.0","51,384.0","34,279.0","42,944.0","39,632.0","50,912.0","62,296.0","51,740.0","51,579.0","51,482.0","51,276.0","56,029.0","72,746.0","71,771.0","50,904.0","72,118.0","126,141.0","109,424.0","109,288.0","140,407.0","189,921.0","263,175.0","316,667.0","346,689.0","476,129.0","267,710.0","353,647.0","462,149.0","434,342.0","387,760.0","350,927.0"
"50","32","      Nondurable goods, excluding petroleum and products","B696RC1","4,511.0","4,774.0","5,252.0","6,061.0","7,039.0","9,946.0","9,498.0","12,225.0","13,535.0","15,670.0","18,320.0","20,844.0","23,675.0","23,087.0","24,787.0","29,819.0","28,717.0","29,087.0","32,088.0","37,002.0","38,611.0","39,715.0","40,031.0","43,234.0","45,643.0","51,499.0","59,897.0","61,579.0","65,648.0","66,251.0","69,727.0","85,002.0","85,379.0","78,176.0","91,264.0","106,716.0","130,859.0","129,186.0","137,963.0","157,240.0","101,138.0","124,256.0","143,120.0","138,427.0","140,302.0","147,038.0"
"51","33","  Capital goods, except automotive","A650RC1","3,422.0","3,978.0","4,334.0","5,919.0","8,263.0","9,819.0","10,166.0","12,282.0","13,985.0","19,288.0","24,610.0","31,578.0","37,135.0","38,447.0","43,734.0","60,367.0","61,287.0","71,990.0","85,129.0","102,202.0","112,294.0","116,369.0","121,107.0","134,815.0","153,153.0","185,016.0","222,147.0","228,415.0","253,579.0","269,830.0","296,096.0","347,708.0","299,150.0","284,923.0","297,643.0","346,117.0","382,833.0","422,612.0","449,116.0","458,698.0","374,056.0","450,407.0","513,430.0","551,777.0","557,893.0","595,732.0"
"52","34","    Civilian aircraft, engines, and parts","B932RC1","177.0","191.0","226.0","477.0","618.0","636.0","547.0","406.0","592.0","848.0","1,382.0","3,136.0","3,862.0","3,521.0","3,215.0","3,692.0","5,288.0","6,067.0","6,577.0","7,888.0","9,436.0","10,474.0","11,737.0","12,581.0","11,294.0","11,298.0","10,709.0","12,671.0","16,598.0","21,814.0","23,784.0","26,403.0","31,381.0","25,484.0","24,116.0","24,340.0","25,818.0","28,465.0","34,489.0","35,501.0","30,683.0","31,295.0","35,535.0","40,137.0","46,960.0","53,173.0"
"53","35","    Computers, peripherals, and parts","B852RC1",".....",".....",".....","265.0","350.0","390.0","405.0","565.0","660.0","965.0","1,239.0","1,473.0","1,945.0","2,694.0","5,528.0","8,298.0","8,365.0","10,989.0","14,839.0","18,358.0","21,455.0","22,919.0","25,974.0","31,687.0","38,037.0","46,161.0","56,277.0","61,514.0","70,176.0","72,474.0","81,479.0","89,813.0","74,063.0","75,226.0","76,611.0","88,775.0","93,498.0","101,608.0","105,471.0","101,222.0","94,177.0","117,258.0","119,719.0","122,254.0","121,209.0","121,661.0"
