"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","      National income","A032RC1","899,520.0","940,149.0","1,017,016.0","1,122,976.0","1,256,980.0","1,350,769.0","1,451,148.0","1,614,767.0","1,798,653.0","2,029,939.0","2,248,153.0","2,426,752.0","2,722,132.0","2,840,412.0","3,060,514.0","3,443,987.0","3,684,189.0","3,848,203.0","4,119,198.0","4,493,372.0","4,782,194.0","5,036,095.0","5,186,125.0","5,499,748.0","5,754,784.0","6,140,229.0","6,479,476.0","6,899,394.0","7,380,370.0","7,857,280.0","8,324,399.0","8,907,019.0","9,184,633.0","9,436,823.0","9,864,188.0","10,540,946.0","11,239,820.0","12,004,751.0","12,321,373.0","12,427,821.0","12,126,078.0","12,739,542.0","13,352,255.0","14,061,878.0","14,458,333.0","15,076,508.0"
"20","2","Domestic business","A368RC1","705,003.0","726,677.0","781,240.0","865,620.0","976,812.0","1,045,714.0","1,119,498.0","1,256,068.0","1,410,514.0","1,604,416.0","1,775,544.0","1,901,761.0","2,143,048.0","2,204,380.0","2,375,075.0","2,705,141.0","2,901,030.0","3,018,134.0","3,225,567.0","3,515,605.0","3,723,619.0","3,879,385.0","3,956,146.0","4,191,364.0","4,380,195.0","4,707,605.0","4,976,826.0","5,335,186.0","5,751,633.0","6,145,738.0","6,499,345.0","6,954,491.0","7,098,041.0","7,224,897.0","7,517,365.0","8,053,757.0","8,641,141.0","9,318,063.0","9,464,849.0","9,347,201.0","8,947,318.0","9,433,099.0","9,944,497.0","10,606,990.0","10,940,179.0","11,450,455.0"
"21","3","  Corporate business","A439RC1","535,081.0","550,470.0","593,472.0","659,726.0","738,541.0","793,905.0","852,449.0","962,736.0","1,092,525.0","1,248,264.0","1,381,677.0","1,490,657.0","1,690,316.0","1,746,243.0","1,887,052.0","2,132,095.0","2,278,950.0","2,362,587.0","2,531,577.0","2,751,880.0","2,901,823.0","3,022,001.0","3,083,235.0","3,254,312.0","3,407,142.0","3,668,890.0","3,890,285.0","4,150,375.0","4,479,598.0","4,766,515.0","5,040,938.0","5,382,785.0","5,331,144.0","5,398,288.0","5,602,780.0","5,984,995.0","6,432,433.0","6,897,748.0","6,991,575.0","6,833,228.0","6,563,308.0","6,973,002.0","7,312,992.0","7,797,795.0","8,048,933.0","8,423,109.0"
"22","4","    Compensation of employees","A442RC1","377,454.0","398,010.0","421,650.0","468,170.0","526,064.0","577,322.0","607,817.0","682,786.0","771,696.0","884,698.0","1,004,441.0","1,102,003.0","1,220,566.0","1,275,114.0","1,352,980.0","1,501,072.0","1,615,931.0","1,723,353.0","1,847,640.0","2,002,309.0","2,119,332.0","2,234,926.0","2,277,820.0","2,420,482.0","2,515,738.0","2,649,014.0","2,787,890.0","2,953,697.0","3,176,578.0","3,447,481.0","3,684,312.0","4,008,927.0","4,015,623.0","3,973,903.0","4,042,039.0","4,241,482.0","4,444,536.0","4,683,235.0","4,892,970.0","4,939,704.0","4,609,952.0","4,706,933.0","4,937,864.0","5,191,841.0","5,355,179.0","5,640,775.0"
"23","5","      Wages and salaries","A443RC1","338,028.0","355,982.0","376,191.0","414,773.0","464,577.0","508,899.0","528,426.0","591,170.0","662,696.0","756,219.0","855,631.0","935,607.0","1,033,425.0","1,073,098.0","1,132,638.0","1,256,796.0","1,351,389.0","1,432,276.0","1,536,556.0","1,666,051.0","1,756,511.0","1,849,276.0","1,875,310.0","1,977,815.0","2,049,051.0","2,160,314.0","2,296,100.0","2,448,245.0","2,650,834.0","2,883,173.0","3,092,422.0","3,363,793.0","3,354,183.0","3,296,666.0","3,336,993.0","3,503,553.0","3,665,554.0","3,886,095.0","4,068,784.0","4,106,358.0","3,816,738.0","3,903,297.0","4,105,243.0","4,332,112.0","4,467,014.0","4,725,003.0"
"24","6","      Supplements to wages and salaries","A444RC1","39,426.0","42,028.0","45,459.0","53,397.0","61,487.0","68,423.0","79,391.0","91,616.0","109,000.0","128,479.0","148,810.0","166,396.0","187,141.0","202,016.0","220,342.0","244,276.0","264,542.0","291,077.0","311,084.0","336,258.0","362,821.0","385,650.0","402,510.0","442,667.0","466,687.0","488,700.0","491,790.0","505,452.0","525,744.0","564,308.0","591,890.0","645,134.0","661,440.0","677,237.0","705,046.0","737,929.0","778,982.0","797,140.0","824,186.0","833,346.0","793,214.0","803,636.0","832,621.0","859,729.0","888,166.0","915,773.0"
"25","7","    Corporate profits with IVA and CCAdj","A445RC1","91,821.0","79,144.0","92,792.0","107,677.0","118,492.0","108,236.0","124,228.0","157,790.0","186,670.0","215,699.0","214,369.0","188,088.0","217,815.0","197,270.0","244,711.0","301,313.0","316,390.0","284,899.0","317,973.0","357,895.0","347,109.0","341,065.0","374,858.0","402,180.0","445,068.0","543,948.0","610,070.0","684,084.0","758,214.0","701,349.0","708,225.0","635,025.0","583,644.0","748,412.0","889,738.0","1,078,313.0","1,238,650.0","1,390,341.0","1,175,609.0","878,365.0","1,039,782.0","1,351,238.0","1,394,720.0","1,587,826.0","1,622,600.0","1,654,718.0"
"26","8","    Net interest and miscellaneous payments","A453RC1","8,622.0","12,606.0","12,812.0","12,699.0","15,056.0","23,441.0","27,659.0","23,163.0","28,135.0","31,259.0","37,035.0","59,948.0","83,260.0","95,926.0","92,436.0","107,185.0","106,702.0","105,426.0","107,683.0","113,312.0","134,208.0","127,550.0","88,968.0","71,799.0","70,828.0","67,620.0","70,677.0","70,433.0","93,509.0","134,064.0","140,532.0","186,642.0","170,447.0","107,725.0","87,341.0","39,187.0","72,906.0","120,144.0","172,933.0","234,482.0","157,539.0","129,123.0","149,141.0","209,313.0","216,260.0","226,330.0"
"27","9","    Taxes on production and imports less subsidies plus business current transfer payments","W460RC1","57,184.0","60,710.0","66,218.0","71,180.0","78,929.0","84,906.0","92,745.0","98,997.0","106,024.0","116,608.0","125,832.0","140,618.0","168,675.0","177,933.0","196,925.0","222,525.0","239,927.0","248,909.0","258,281.0","278,364.0","301,174.0","318,460.0","341,589.0","359,851.0","375,508.0","408,308.0","421,648.0","442,161.0","451,297.0","483,621.0","507,869.0","552,191.0","561,430.0","568,248.0","583,662.0","626,013.0","676,341.0","704,028.0","750,063.0","780,677.0","756,035.0","785,708.0","831,267.0","808,815.0","854,894.0","901,285.0"
"28","10","  Noncorporate business","W461RC1","169,920.0","176,204.0","187,764.0","205,887.0","238,270.0","251,817.0","267,057.0","293,327.0","317,972.0","356,132.0","393,839.0","411,077.0","452,704.0","458,117.0","488,026.0","573,079.0","622,086.0","655,547.0","693,993.0","763,725.0","821,793.0","857,385.0","872,908.0","937,053.0","973,053.0","1,038,715.0","1,086,545.0","1,184,814.0","1,272,037.0","1,379,224.0","1,458,408.0","1,571,707.0","1,766,896.0","1,826,607.0","1,914,587.0","2,068,764.0","2,208,704.0","2,420,310.0","2,473,273.0","2,513,970.0","2,384,010.0","2,460,098.0","2,631,507.0","2,809,195.0","2,891,247.0","3,027,346.0"
"29","11","    Compensation of employees","W462RC1","63,012.0","66,350.0","68,571.0","72,195.0","80,681.0","87,602.0","93,866.0","101,649.0","109,030.0","120,081.0","133,589.0","145,446.0","157,333.0","165,242.0","174,379.0","190,886.0","205,565.0","215,248.0","224,342.0","237,280.0","253,187.0","271,708.0","279,466.0","295,705.0","309,575.0","325,899.0","341,683.0","359,330.0","381,864.0","411,579.0","438,821.0","476,492.0","579,118.0","613,992.0","669,502.0","751,153.0","821,362.0","913,678.0","1,003,969.0","1,024,118.0","981,709.0","993,937.0","1,030,314.0","1,075,025.0","1,104,712.0","1,162,247.0"
"30","12","      Wages and salaries","W463RC1","57,133.0","59,746.0","60,997.0","63,753.0","71,025.0","76,815.0","81,721.0","87,993.0","93,940.0","104,695.0","116,456.0","126,855.0","137,031.0","143,890.0","150,841.0","164,445.0","176,497.0","184,499.0","193,774.0","201,416.0","212,564.0","226,766.0","231,921.0","244,078.0","255,282.0","270,231.0","284,144.0","299,868.0","320,185.0","344,952.0","367,670.0","398,983.0","482,875.0","510,132.0","553,023.0","617,586.0","676,311.0","756,679.0","835,892.0","849,464.0","807,424.0","818,401.0","848,994.0","887,430.0","911,105.0","962,759.0"
"31","13","      Supplements to wages and salaries","W464RC1","5,879.0","6,604.0","7,574.0","8,442.0","9,656.0","10,787.0","12,145.0","13,656.0","15,090.0","15,386.0","17,132.0","18,592.0","20,301.0","21,352.0","23,539.0","26,441.0","29,067.0","30,749.0","30,569.0","35,863.0","40,623.0","44,942.0","47,545.0","51,626.0","54,293.0","55,667.0","57,539.0","59,462.0","61,678.0","66,628.0","71,150.0","77,508.0","96,243.0","103,858.0","116,479.0","133,567.0","145,051.0","156,999.0","168,077.0","174,654.0","174,284.0","175,534.0","181,320.0","187,595.0","193,607.0","199,488.0"
"32","14","    Proprietors' income with IVA and CCAdj","A041RC1","77,005.0","77,803.0","83,904.0","95,094.0","112,521.0","112,213.0","118,238.0","130,974.0","144,492.0","165,974.0","179,438.0","171,569.0","179,680.0","171,191.0","186,250.0","228,247.0","241,052.0","256,479.0","286,468.0","325,843.0","341,938.0","354,449.0","355,956.0","402,362.0","430,510.0","459,500.0","484,456.0","547,371.0","587,854.0","644,194.0","700,438.0","757,771.0","836,785.0","871,037.0","900,067.0","962,053.0","978,957.0","1,053,685.0","979,170.0","1,026,474.0","972,996.0","1,032,693.0","1,143,667.0","1,241,371.0","1,285,096.0","1,346,675.0"
"33","15","    Rental income of persons with CCAdj","W155RC1","5,961.0","6,216.0","6,301.0","7,360.0","8,584.0","8,389.0","8,537.0","8,535.0","8,987.0","9,601.0","10,647.0","13,755.0","19,105.0","23,221.0","25,300.0","28,117.0","32,569.0","30,228.0","28,916.0","27,572.0","26,645.0","30,247.0","34,927.0","42,940.0","49,252.0","53,187.0","58,029.0","61,340.0","63,856.0","64,912.0","64,098.0","63,097.0","68,478.0","66,323.0","67,983.0","70,404.0","75,521.0","78,159.0","87,411.0","108,715.0","109,641.0","126,690.0","149,088.0","160,304.0","159,921.0","167,602.0"
"34","16","    Net interest","W468RC1","10,381.0","11,963.0","13,747.0","15,737.0","19,490.0","23,373.0","26,358.0","28,895.0","32,378.0","36,500.0","44,054.0","52,927.0","64,673.0","73,372.0","78,488.0","95,708.0","107,080.0","116,597.0","115,494.0","127,019.0","146,442.0","144,785.0","138,723.0","125,381.0","117,901.0","122,113.0","119,546.0","123,214.0","131,887.0","144,912.0","139,892.0","158,922.0","165,004.0","140,192.0","134,754.0","134,512.0","180,031.0","206,566.0","234,855.0","199,419.0","161,694.0","142,210.0","140,623.0","147,150.0","148,086.0","154,632.0"
"35","17","    Taxes on production and imports less subsidies plus business current transfer payments \1\","W469RC1","13,556.0","15,071.0","16,939.0","16,657.0","19,198.0","22,923.0","24,412.0","25,980.0","26,419.0","26,823.0","29,323.0","32,431.0","37,084.0","28,885.0","25,921.0","31,496.0","34,513.0","35,032.0","36,606.0","40,971.0","46,909.0","52,963.0","55,997.0","60,736.0","55,044.0","66,187.0","67,213.0","76,669.0","89,122.0","97,365.0","98,989.0","104,697.0","112,349.0","128,070.0","138,392.0","152,439.0","159,230.0","177,534.0","184,309.0","176,451.0","178,600.0","187,454.0","192,327.0","204,633.0","212,218.0","214,450.0"
"36","18","    Current surplus of government enterprises \1\","A108RC1","5.0","-1,199.0","-1,698.0","-1,156.0","-2,204.0","-2,683.0","-4,354.0","-2,706.0","-3,334.0","-2,847.0","-3,212.0","-5,051.0","-5,171.0","-3,794.0","-2,312.0","-1,375.0","1,307.0","1,963.0","2,167.0","5,040.0","6,672.0","3,233.0","7,839.0","9,929.0","10,771.0","11,829.0","15,618.0","16,890.0","17,454.0","16,262.0","16,170.0","10,728.0","5,162.0","6,993.0","3,889.0","-1,797.0","-6,397.0","-9,312.0","-16,441.0","-21,207.0","-20,630.0","-22,886.0","-24,512.0","-19,288.0","-18,787.0","-18,260.0"
"37","19","    Sole proprietorships and partnerships","A1641C1","139,933.0","144,049.0","153,341.0","167,387.0","196,286.0","206,799.0","218,977.0","240,398.0","261,431.0","294,714.0","327,512.0","337,266.0","367,188.0","363,779.0","384,697.0","458,220.0","492,413.0","519,888.0","551,956.0","611,111.0","660,557.0","688,153.0","690,096.0","742,147.0","776,200.0","835,007.0","874,074.0","965,377.0","1,043,848.0","1,143,692.0","1,215,855.0","1,322,463.0","1,511,473.0","1,564,158.0","1,649,016.0","1,792,971.0","1,924,085.0","2,124,693.0","2,164,541.0","2,178,218.0","2,048,689.0","2,109,864.0","2,261,649.0","2,421,408.0","2,499,719.0","2,622,237.0"
"38","20","      Compensation of employees","A1642C1","48,051.0","49,150.0","49,637.0","51,612.0","58,056.0","62,271.0","65,813.0","71,595.0","76,823.0","84,960.0","95,055.0","102,181.0","108,949.0","114,512.0","119,993.0","132,094.0","142,146.0","149,581.0","155,859.0","163,934.0","175,163.0","186,905.0","191,338.0","201,795.0","214,337.0","226,437.0","239,526.0","253,611.0","271,638.0","294,728.0","315,689.0","343,776.0","440,324.0","467,172.0","517,924.0","589,156.0","655,709.0","741,996.0","825,754.0","840,683.0","799,072.0","808,942.0","843,394.0","887,825.0","914,701.0","968,555.0"
"39","21","        Wages and salaries","B1643C1","44,184.0","45,066.0","45,329.0","46,821.0","52,418.0","56,111.0","58,978.0","63,719.0","68,017.0","76,166.0","85,208.0","91,755.0","97,947.0","102,977.0","107,257.0","117,397.0","126,182.0","132,148.0","138,478.0","142,650.0","150,878.0","160,589.0","163,191.0","171,851.0","181,973.0","193,827.0","205,431.0","218,200.0","235,021.0","254,633.0","273,162.0","297,250.0","377,753.0","398,958.0","439,444.0","498,104.0","554,659.0","630,554.0","705,032.0","714,883.0","674,121.0","685,365.0","714,986.0","753,179.0","775,397.0","824,113.0"
"40","22","        Supplements to wages and salaries","B1644C1","3,867.0","4,084.0","4,308.0","4,791.0","5,638.0","6,160.0","6,835.0","7,876.0","8,806.0","8,794.0","9,848.0","10,426.0","11,002.0","11,536.0","12,736.0","14,697.0","15,964.0","17,433.0","17,382.0","21,284.0","24,285.0","26,316.0","28,147.0","29,944.0","32,363.0","32,610.0","34,095.0","35,411.0","36,618.0","40,095.0","42,527.0","46,526.0","62,571.0","68,214.0","78,480.0","91,052.0","101,050.0","111,442.0","120,722.0","125,801.0","124,951.0","123,576.0","128,408.0","134,645.0","139,304.0","144,442.0"
"41","23","      Proprietors' income with IVA and CCAdj","A1645C1","76,557.0","77,356.0","83,429.0","94,537.0","111,921.0","111,651.0","117,690.0","130,405.0","143,879.0","165,343.0","178,772.0","171,001.0","179,080.0","170,467.0","185,252.0","226,990.0","240,034.0","255,497.0","284,842.0","323,995.0","340,028.0","352,913.0","354,165.0","400,462.0","428,571.0","457,069.0","481,969.0","545,045.0","585,225.0","642,227.0","698,995.0","756,425.0","835,415.0","869,790.0","898,868.0","959,780.0","976,570.0","1,050,753.0","975,655.0","1,022,234.0","968,342.0","1,027,801.0","1,138,958.0","1,235,950.0","1,279,477.0","1,340,860.0"
"42","24","        Farm","B042RC1","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,981.0","22,795.0","28,894.0","26,790.0","33,025.0","32,156.0","26,783.0","34,758.0","31,356.0","34,651.0","22,007.0","37,319.0","32,370.0","28,449.0","28,107.0","31,476.0","32,066.0","19,929.0","38,047.0","50,439.0","46,367.0","35,975.0","38,103.0","46,991.0","35,462.0","45,998.0","75,542.0","61,563.0","88,755.0","78,123.0"
"43","25","        Nonfarm","A1646C1","63,724.0","64,462.0","70,043.0","77,514.0","82,846.0","88,183.0","95,691.0","113,195.0","127,915.0","145,421.0","156,622.0","159,294.0","160,052.0","157,153.0","179,079.0","206,052.0","219,053.0","232,702.0","255,948.0","297,205.0","307,003.0","320,757.0","327,382.0","365,704.0","397,215.0","422,418.0","459,962.0","507,726.0","552,855.0","613,778.0","670,888.0","724,949.0","803,349.0","849,861.0","860,821.0","909,341.0","930,203.0","1,014,778.0","937,552.0","975,243.0","932,880.0","981,803.0","1,063,416.0","1,174,387.0","1,190,722.0","1,262,737.0"
"44","26","      Net interest","B1649C1","5,058.0","6,049.0","7,177.0","8,408.0","11,227.0","14,002.0","15,484.0","17,091.0","19,291.0","22,145.0","28,074.0","34,845.0","44,481.0","51,270.0","54,701.0","69,321.0","77,545.0","83,016.0","79,330.0","88,185.0","104,486.0","101,415.0","94,702.0","85,273.0","82,460.0","88,710.0","86,631.0","91,441.0","100,260.0","113,425.0","107,559.0","124,610.0","130,644.0","106,129.0","101,790.0","100,983.0","143,695.0","167,152.0","191,559.0","152,374.0","115,445.0","98,569.0","98,320.0","105,788.0","107,575.0","112,557.0"
"45","27","      Taxes on production and imports less subsidies plus business current transfer payments","W471RC1","10,267.0","11,494.0","13,098.0","12,830.0","15,082.0","18,875.0","19,990.0","21,307.0","21,438.0","22,266.0","25,611.0","29,239.0","34,678.0","27,530.0","24,751.0","29,815.0","32,688.0","31,794.0","31,925.0","34,997.0","40,880.0","46,920.0","49,891.0","54,617.0","50,832.0","62,791.0","65,948.0","75,280.0","86,725.0","93,312.0","93,612.0","97,652.0","105,090.0","121,067.0","130,434.0","143,052.0","148,111.0","164,792.0","171,573.0","162,927.0","165,830.0","174,552.0","180,977.0","191,846.0","197,966.0","200,266.0"
"46","28","    Other private business","A1650C1","18,044.0","19,367.0","20,636.0","22,825.0","25,680.0","26,745.0","29,100.0","30,707.0","33,364.0","35,387.0","37,924.0","43,208.0","50,539.0","56,069.0","60,528.0","67,498.0","75,656.0","79,186.0","83,020.0","86,030.0","89,086.0","94,268.0","100,084.0","104,864.0","104,996.0","106,976.0","109,705.0","112,605.0","117,563.0","122,173.0","124,802.0","129,463.0","136,446.0","136,568.0","138,582.0","145,265.0","155,536.0","164,572.0","179,249.0","207,392.0","207,154.0","221,810.0","242,220.0","256,307.0","257,649.0","268,911.0"
"47","29","      Compensation of employees","A1651C1","3,022.0","3,213.0","3,449.0","3,752.0","4,117.0","4,374.0","4,718.0","5,125.0","5,695.0","6,243.0","6,918.0","7,610.0","8,236.0","8,667.0","9,274.0","10,056.0","10,710.0","11,157.0","11,633.0","11,803.0","12,546.0","13,072.0","13,239.0","13,796.0","14,151.0","14,558.0","15,010.0","15,776.0","17,054.0","19,754.0","21,551.0","23,664.0","24,979.0","27,931.0","28,478.0","29,672.0","30,174.0","31,324.0","32,290.0","33,868.0","33,839.0","33,684.0","34,769.0","36,435.0","37,346.0","39,233.0"
"48","30","        Wages and salaries","B1652C1","2,778.0","2,944.0","3,144.0","3,394.0","3,699.0","3,921.0","4,207.0","4,513.0","4,996.0","5,647.0","6,250.0","6,854.0","7,393.0","7,777.0","8,284.0","8,939.0","9,495.0","9,883.0","10,331.0","10,481.0","11,124.0","11,538.0","11,636.0","12,066.0","12,345.0","12,622.0","13,013.0","13,666.0","14,781.0","17,013.0","18,516.0","20,183.0","20,967.0","23,334.0","23,862.0","24,659.0","25,118.0","26,205.0","27,057.0","28,306.0","27,939.0","28,490.0","29,224.0","30,646.0","31,390.0","33,103.0"
"49","31","        Supplements to wages and salaries","B1653C1","244.0","269.0","305.0","358.0","418.0","453.0","511.0","612.0","699.0","596.0","668.0","756.0","842.0","890.0","990.0","1,116.0","1,216.0","1,274.0","1,302.0","1,322.0","1,422.0","1,534.0","1,603.0","1,730.0","1,805.0","1,936.0","1,997.0","2,110.0","2,273.0","2,741.0","3,035.0","3,481.0","4,012.0","4,597.0","4,616.0","5,013.0","5,056.0","5,119.0","5,233.0","5,562.0","5,900.0","5,194.0","5,545.0","5,789.0","5,956.0","6,130.0"
"50","32","      Proprietors' income with IVA and CCAdj","A1654C1","448.0","447.0","475.0","557.0","600.0","562.0","548.0","569.0","613.0","631.0","666.0","568.0","600.0","724.0","998.0","1,257.0","1,018.0","982.0","1,626.0","1,848.0","1,910.0","1,536.0","1,791.0","1,900.0","1,939.0","2,431.0","2,487.0","2,326.0","2,629.0","1,967.0","1,443.0","1,346.0","1,370.0","1,247.0","1,199.0","2,273.0","2,387.0","2,932.0","3,515.0","4,240.0","4,654.0","4,892.0","4,709.0","5,420.0","5,619.0","5,816.0"
"51","33","      Rental income of persons with CCAdj","W155RC1","5,961.0","6,216.0","6,301.0","7,360.0","8,584.0","8,389.0","8,537.0","8,535.0","8,987.0","9,601.0","10,647.0","13,755.0","19,105.0","23,221.0","25,300.0","28,117.0","32,569.0","30,228.0","28,916.0","27,572.0","26,645.0","30,247.0","34,927.0","42,940.0","49,252.0","53,187.0","58,029.0","61,340.0","63,856.0","64,912.0","64,098.0","63,097.0","68,478.0","66,323.0","67,983.0","70,404.0","75,521.0","78,159.0","87,411.0","108,715.0","109,641.0","126,690.0","149,088.0","160,304.0","159,921.0","167,602.0"
"52","34","      Net interest","B1657C1","5,323.0","5,914.0","6,570.0","7,329.0","8,263.0","9,371.0","10,874.0","11,804.0","13,087.0","14,355.0","15,980.0","18,082.0","20,192.0","22,102.0","23,787.0","26,387.0","29,535.0","33,581.0","36,164.0","38,834.0","41,956.0","43,370.0","44,021.0","40,108.0","35,441.0","33,403.0","32,915.0","31,773.0","31,627.0","31,487.0","32,333.0","34,312.0","34,360.0","34,063.0","32,964.0","33,529.0","36,336.0","39,414.0","43,296.0","47,045.0","46,249.0","43,641.0","42,303.0","41,362.0","40,510.0","42,076.0"
