"","Table 1#10# Gross Domestic Income by Type of Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","    Gross domestic income","A261RC1","1,018,268.0","1,070,539.0","1,158,287.0","1,275,315.0","1,422,441.0","1,541,417.0","1,675,681.0","1,857,129.0","2,066,695.0","2,333,421.0","2,587,355.0","2,818,574.0","3,174,243.0","3,338,218.0","3,583,975.0","4,002,031.0","4,295,477.0","4,513,409.0","4,829,662.0","5,253,102.0","5,593,515.0","5,888,232.0","6,085,664.0","6,428,396.0","6,726,384.0","7,171,936.0","7,573,501.0","8,043,632.0","8,596,223.0","9,149,317.0","9,698,129.0","10,384,252.0","10,736,809.0","11,050,292.0","11,524,294.0","12,283,513.0","13,129,207.0","14,073,170.0","14,460,142.0","14,619,183.0","14,343,412.0","14,915,164.0","15,556,259.0","16,358,511.0","16,840,801.0","17,560,109.0"
"20","2","Compensation of employees, paid","A4002C1","585,994.0","625,094.0","667,009.0","733,642.0","815,052.0","890,342.0","950,218.0","1,051,271.0","1,169,047.0","1,320,324.0","1,481,106.0","1,626,327.0","1,795,424.0","1,894,511.0","2,014,080.0","2,217,615.0","2,389,180.0","2,545,626.0","2,725,666.0","2,950,907.0","3,143,851.0","3,344,977.0","3,454,749.0","3,674,097.0","3,823,991.0","4,014,144.0","4,206,739.0","4,426,235.0","4,719,095.0","5,082,386.0","5,417,479.0","5,863,146.0","6,053,751.0","6,149,710.0","6,372,705.0","6,748,777.0","7,097,917.0","7,513,698.0","7,908,767.0","8,089,957.0","7,795,655.0","7,969,482.0","8,277,112.0","8,618,544.0","8,848,749.0","9,258,363.0"
"21","3","  Wages and salaries","A4102C1","518,311.0","551,537.0","584,528.0","638,786.0","708,775.0","772,304.0","814,881.0","899,782.0","994,220.0","1,120,669.0","1,253,385.0","1,373,520.0","1,511,529.0","1,587,709.0","1,677,686.0","1,845,126.0","1,982,765.0","2,104,117.0","2,257,623.0","2,440,649.0","2,584,336.0","2,743,506.0","2,817,229.0","2,968,506.0","3,082,660.0","3,240,604.0","3,422,112.0","3,620,594.0","3,881,246.0","4,186,179.0","4,465,176.0","4,832,430.0","4,961,641.0","5,004,210.0","5,146,089.0","5,431,176.0","5,703,075.0","6,068,763.0","6,405,673.0","6,543,570.0","6,260,078.0","6,385,559.0","6,641,241.0","6,938,912.0","7,123,474.0","7,487,203.0"
"22","4","      To persons","W270RC1","518,096.0","551,309.0","584,281.0","638,503.0","708,467.0","771,952.0","814,481.0","899,360.0","993,756.0","1,120,166.0","1,252,884.0","1,372,957.0","1,510,862.0","1,586,977.0","1,676,939.0","1,844,296.0","1,981,904.0","2,101,427.0","2,255,273.0","2,438,787.0","2,582,034.0","2,740,027.0","2,813,188.0","2,963,745.0","3,077,520.0","3,234,646.0","3,415,843.0","3,614,288.0","3,874,574.0","4,179,179.0","4,453,760.0","4,821,470.0","4,949,923.0","4,991,841.0","5,133,176.0","5,417,199.0","5,687,163.0","6,052,334.0","6,389,948.0","6,526,504.0","6,245,656.0","6,371,594.0","6,627,055.0","6,923,963.0","7,107,644.0","7,470,863.0"
"23","5","      To the rest of the world","B4189C1","215.0","228.0","247.0","283.0","308.0","352.0","400.0","422.0","464.0","503.0","501.0","563.0","667.0","732.0","747.0","830.0","861.0","2,690.0","2,350.0","1,862.0","2,302.0","3,479.0","4,041.0","4,761.0","5,140.0","5,958.0","6,269.0","6,306.0","6,672.0","7,000.0","11,416.0","10,960.0","11,718.0","12,369.0","12,913.0","13,977.0","15,912.0","16,429.0","15,725.0","17,066.0","14,422.0","13,965.0","14,186.0","14,949.0","15,830.0","16,340.0"
"24","6","  Supplements to wages and salaries","A038RC1","67,683.0","73,557.0","82,481.0","94,856.0","106,277.0","118,038.0","135,337.0","151,489.0","174,827.0","199,655.0","227,721.0","252,807.0","283,895.0","306,802.0","336,394.0","372,489.0","406,415.0","441,509.0","468,043.0","510,258.0","559,515.0","601,471.0","637,520.0","705,591.0","741,331.0","773,540.0","784,627.0","805,641.0","837,849.0","896,207.0","952,303.0","1,030,716.0","1,092,110.0","1,145,500.0","1,226,616.0","1,317,601.0","1,394,842.0","1,444,935.0","1,503,094.0","1,546,387.0","1,535,577.0","1,583,923.0","1,635,871.0","1,679,632.0","1,725,275.0","1,771,160.0"
"25","7","Taxes on production and imports","W056RC1","83,856.0","91,413.0","100,493.0","107,928.0","117,220.0","124,902.0","135,292.0","146,388.0","159,664.0","170,898.0","180,101.0","200,330.0","235,644.0","240,933.0","263,281.0","289,773.0","308,133.0","323,373.0","347,545.0","374,464.0","398,867.0","424,990.0","457,091.0","483,376.0","503,125.0","545,248.0","557,903.0","580,754.0","611,615.0","639,473.0","673,585.0","708,556.0","727,690.0","762,602.0","808,004.0","863,941.0","934,530.0","991,945.0","1,034,562.0","1,041,917.0","1,026,146.0","1,057,110.0","1,102,626.0","1,132,054.0","1,177,995.0","1,213,737.0"
"26","8","Less: Subsidies \1\","A107RC1","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,387.0","60,910.0","51,467.0","54,584.0","52,558.0","58,348.0","55,861.0","60,065.0","58,035.0","59,360.0","57,929.0"
"27","9","Net operating surplus","W271RC1","228,094.0","222,030.0","246,587.0","279,475.0","317,322.0","323,328.0","357,139.0","405,382.0","456,750.0","526,070.0","563,553.0","575,706.0","669,614.0","683,489.0","767,374.0","921,407.0","982,878.0","987,141.0","1,058,783.0","1,174,846.0","1,242,112.0","1,258,430.0","1,270,185.0","1,341,287.0","1,432,351.0","1,589,495.0","1,720,891.0","1,895,859.0","2,059,368.0","2,153,557.0","2,251,412.0","2,344,152.0","2,410,111.0","2,517,303.0","2,665,425.0","2,885,482.0","3,175,712.0","3,482,969.0","3,307,044.0","3,176,491.0","3,211,579.0","3,562,841.0","3,785,943.0","4,131,742.0","4,240,589.0","4,399,229.0"
"28","10","  Private enterprises","W260RC1","228,089.0","223,229.0","248,285.0","280,631.0","319,526.0","326,011.0","361,493.0","408,088.0","460,084.0","528,917.0","566,765.0","580,757.0","674,785.0","687,283.0","769,686.0","922,782.0","981,571.0","985,178.0","1,056,616.0","1,169,806.0","1,235,440.0","1,255,197.0","1,262,346.0","1,331,358.0","1,421,580.0","1,577,666.0","1,705,273.0","1,878,969.0","2,041,914.0","2,137,295.0","2,235,242.0","2,333,424.0","2,404,949.0","2,510,310.0","2,661,536.0","2,887,279.0","3,182,109.0","3,492,281.0","3,323,485.0","3,197,698.0","3,232,209.0","3,585,727.0","3,810,455.0","4,151,030.0","4,259,376.0","4,417,488.0"
"29","11","    Net interest and miscellaneous payments, domestic industries","W272RC1","34,091.0","41,201.0","45,502.0","50,255.0","59,516.0","75,436.0","87,462.0","89,567.0","104,647.0","119,959.0","143,638.0","187,369.0","234,962.0","273,368.0","289,556.0","336,178.0","360,564.0","385,935.0","398,673.0","428,198.0","483,716.0","489,147.0","450,637.0","422,771.0","412,974.0","416,034.0","436,595.0","447,914.0","493,738.0","557,809.0","575,661.0","667,591.0","677,833.0","592,896.0","557,449.0","510,145.0","632,153.0","758,143.0","880,736.0","916,383.0","760,855.0","670,577.0","655,249.0","691,850.0","668,901.0","677,966.0"
"30","12","    Business current transfer payments (net)","B029RC1","4,798.0","4,357.0","4,157.0","4,779.0","5,740.0","6,788.0","9,036.0","9,136.0","8,081.0","10,374.0","12,752.0","13,997.0","16,913.0","19,316.0","21,681.0","29,158.0","34,060.0","35,961.0","33,294.0","32,755.0","38,266.0","39,179.0","38,889.0","39,719.0","39,389.0","40,714.0","44,965.0","52,649.0","50,061.0","64,079.0","67,813.0","85,315.0","99,145.0","80,663.0","76,259.0","81,350.0","93,908.0","82,591.0","98,560.0","114,370.0","124,876.0","128,464.0","131,524.0","104,659.0","119,386.0","127,295.0"
"31","13","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","77,005.0","77,803.0","83,904.0","95,094.0","112,521.0","112,213.0","118,238.0","130,974.0","144,492.0","165,974.0","179,438.0","171,569.0","179,680.0","171,191.0","186,250.0","228,247.0","241,052.0","256,479.0","286,468.0","325,843.0","341,938.0","354,449.0","355,956.0","402,362.0","430,510.0","459,500.0","484,456.0","547,371.0","587,854.0","644,194.0","700,438.0","757,771.0","836,785.0","871,037.0","900,067.0","962,053.0","978,957.0","1,053,685.0","979,170.0","1,026,474.0","972,996.0","1,032,693.0","1,143,667.0","1,241,371.0","1,285,096.0","1,346,675.0"
"32","14","    Rental income of persons with capital consumption adjustment","A048RC1","20,374.0","20,724.0","21,930.0","22,826.0","23,257.0","23,338.0","22,529.0","20,621.0","16,194.0","16,911.0","16,568.0","19,734.0","25,415.0","26,138.0","27,488.0","27,886.0","29,505.0","21,904.0","20,208.0","25,115.0","24,411.0","31,357.0","42,006.0","64,326.0","93,639.0","117,470.0","129,187.0","146,951.0","152,047.0","169,864.0","183,105.0","187,722.0","207,542.0","217,302.0","238,023.0","255,418.0","238,441.0","207,521.0","189,410.0","262,106.0","333,700.0","402,755.0","485,295.0","525,324.0","563,392.0","610,834.0"
"33","15","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1","91,821.0","79,144.0","92,792.0","107,677.0","118,492.0","108,236.0","124,228.0","157,790.0","186,670.0","215,699.0","214,369.0","188,088.0","217,815.0","197,270.0","244,711.0","301,313.0","316,390.0","284,899.0","317,973.0","357,895.0","347,109.0","341,065.0","374,858.0","402,180.0","445,068.0","543,948.0","610,070.0","684,084.0","758,214.0","701,349.0","708,225.0","635,025.0","583,644.0","748,412.0","889,738.0","1,078,313.0","1,238,650.0","1,390,341.0","1,175,609.0","878,365.0","1,039,782.0","1,351,238.0","1,394,720.0","1,587,826.0","1,622,600.0","1,654,718.0"
"34","16","      Taxes on corporate income","A054RC1","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,360.0","445,530.0","309,100.0","269,444.0","370,571.0","379,095.0","447,623.0","468,890.0","513,858.0"
"35","17","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1","51,844.0","44,387.0","54,627.0","65,336.0","68,519.0","55,451.0","72,582.0","92,502.0","112,229.0","130,841.0","124,353.0","100,898.0","133,476.0","130,771.0","164,063.0","203,782.0","216,984.0","175,224.0","187,532.0","216,265.0","201,041.0","195,641.0","236,267.0","253,492.0","274,034.0","350,807.0","392,232.0","452,615.0","512,793.0","452,983.0","449,441.0","369,933.0","380,348.0","556,076.0","645,971.0","772,220.0","826,266.0","916,981.0","730,079.0","569,265.0","770,338.0","980,667.0","1,015,625.0","1,140,203.0","1,153,710.0","1,140,861.0"
"36","18","        Net dividends","A449RC1","20,403.0","20,371.0","20,337.0","21,942.0","23,107.0","23,454.0","26,404.0","30,055.0","33,690.0","39,609.0","41,479.0","47,322.0","58,311.0","61,331.0","71,319.0","78,515.0","85,709.0","88,297.0","95,607.0","98,025.0","126,374.0","144,088.0","156,186.0","161,482.0","184,738.0","197,807.0","226,178.0","263,137.0","292,242.0","314,802.0","306,370.0","355,444.0","329,910.0","352,279.0","401,878.0","501,771.0","319,666.0","648,104.0","678,479.0","628,101.0","456,493.0","442,534.0","548,762.0","680,078.0","777,707.0","724,406.0"
"37","19","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1","31,441.0","24,016.0","34,290.0","43,394.0","45,412.0","31,997.0","46,178.0","62,447.0","78,539.0","91,232.0","82,874.0","53,576.0","75,165.0","69,440.0","92,744.0","125,267.0","131,275.0","86,927.0","91,925.0","118,240.0","74,667.0","51,553.0","80,081.0","92,010.0","89,296.0","153,000.0","166,054.0","189,478.0","220,551.0","138,181.0","143,071.0","14,489.0","50,438.0","203,797.0","244,093.0","270,449.0","506,600.0","268,877.0","51,600.0","-58,836.0","313,845.0","538,133.0","466,863.0","460,124.0","376,003.0","416,455.0"
"38","20","  Current surplus of government enterprises \1\","A108RC1","5.0","-1,199.0","-1,698.0","-1,156.0","-2,204.0","-2,683.0","-4,354.0","-2,706.0","-3,334.0","-2,847.0","-3,212.0","-5,051.0","-5,171.0","-3,794.0","-2,312.0","-1,375.0","1,307.0","1,963.0","2,167.0","5,040.0","6,672.0","3,233.0","7,839.0","9,929.0","10,771.0","11,829.0","15,618.0","16,890.0","17,454.0","16,262.0","16,170.0","10,728.0","5,162.0","6,993.0","3,889.0","-1,797.0","-6,397.0","-9,312.0","-16,441.0","-21,207.0","-20,630.0","-22,886.0","-24,512.0","-19,288.0","-18,787.0","-18,260.0"
"39","21","Consumption of fixed capital","A262RC1","124,863.0","136,783.0","148,865.0","160,897.0","178,080.0","206,168.0","237,537.0","259,209.0","288,334.0","325,063.0","371,133.0","426,007.0","485,046.0","534,316.0","560,546.0","594,334.0","636,653.0","682,163.0","727,952.0","782,387.0","836,110.0","886,829.0","931,125.0","959,725.0","1,003,598.0","1,055,572.0","1,122,783.0","1,176,020.0","1,239,955.0","1,310,271.0","1,400,861.0","1,514,240.0","1,603,979.0","1,662,068.0","1,727,220.0","1,831,699.0","1,981,956.0","2,136,019.0","2,264,350.0","2,363,373.0","2,368,382.0","2,381,591.0","2,450,643.0","2,534,207.0","2,632,832.0","2,746,709.0"
"40","22","  Private","A024RC1","89,433.0","98,258.0","107,635.0","117,491.0","131,489.0","153,158.0","178,791.0","196,512.0","221,124.0","252,114.0","290,731.0","334,975.0","381,930.0","420,392.0","438,786.0","463,517.0","496,411.0","531,572.0","566,307.0","608,301.0","650,083.0","688,983.0","722,354.0","744,159.0","779,967.0","824,325.0","882,581.0","931,035.0","990,071.0","1,054,941.0","1,135,914.0","1,236,574.0","1,317,695.0","1,368,015.0","1,422,369.0","1,509,299.0","1,635,298.0","1,765,009.0","1,864,974.0","1,936,872.0","1,925,653.0","1,923,533.0","1,971,064.0","2,037,976.0","2,126,622.0","2,229,911.0"
"41","23","  Government","A264RC1","35,430.0","38,525.0","41,230.0","43,406.0","46,591.0","53,010.0","58,746.0","62,697.0","67,210.0","72,949.0","80,402.0","91,032.0","103,116.0","113,924.0","121,760.0","130,817.0","140,242.0","150,591.0","161,645.0","174,086.0","186,027.0","197,846.0","208,771.0","215,566.0","223,631.0","231,247.0","240,202.0","244,985.0","249,884.0","255,330.0","264,947.0","277,666.0","286,284.0","294,053.0","304,851.0","322,400.0","346,658.0","371,010.0","399,376.0","426,501.0","442,729.0","458,058.0","479,579.0","496,231.0","506,210.0","516,798.0"
"42",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","24","  Statistical discrepancy","A030RC1","1,610.0","5,345.0","9,483.0","7,134.0","6,108.0","7,408.0","13,242.0","20,458.0","19,256.0","23,150.0","44,788.0","43,931.0","36,713.0","6,773.0","54,162.0","38,662.0","51,257.0","76,746.0","40,555.0","-473.0","64,178.0","91,357.0","88,379.0","110,903.0","152,334.0","136,819.0","90,559.0","56,569.0","12,292.0","-60,149.0","-37,505.0","-99,473.0","-114,985.0","-72,778.0","-13,624.0","-8,585.0","-35,481.0","-217,282.0","17,493.0","99,399.0","75,327.0","49,208.0","-38,333.0","-203,256.0","-177,642.0","-212,037.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Prior to 1959, subsidies (line 8) and the current surplus of government enterprises (line 20) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
