"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35"
"21","2","Personal consumption expenditures","DPCECX1","479,094.0","484,979.0","488,907.0","495,841.0","499,192.0","503,972.0","510,844.0","515,101.0","525,255.0","534,494.0","544,318.0","545,852.0","558,020.0","564,206.0","573,919.0","590,050.0","598,737.0","600,252.0","607,086.0","609,590.0","613,142.0","621,506.0","624,671.0","628,481.0","643,419.0","653,236.0","665,492.0","668,511.0","675,992.0","680,318.0","683,616.0","689,083.0"
"22","3","  Goods","DGDSCX1","235,073.0","237,392.0","239,208.0","242,948.0","245,216.0","247,248.0","249,727.0","250,575.0","256,376.0","261,771.0","267,878.0","265,914.0","274,575.0","276,562.0","282,222.0","293,099.0","298,611.0","297,118.0","301,398.0","300,767.0","301,546.0","306,803.0","305,891.0","307,102.0","316,880.0","321,616.0","329,498.0","328,958.0","333,369.0","333,609.0","334,202.0","335,403.0"
"23","4","    Durable goods","DDURCX1","54,930.0","56,403.0","56,814.0","59,317.0","60,500.0","61,799.0","62,564.0","63,550.0","66,026.0","67,749.0","69,987.0","67,837.0","74,148.0","74,267.0","76,806.0","80,044.0","83,850.0","80,504.0","83,144.0","83,113.0","81,539.0","85,045.0","84,363.0","84,578.0","89,835.0","91,750.0","95,877.0","95,311.0","97,107.0","96,845.0","96,569.0","96,198.0"
"24","5","    Nondurable goods","DNDGCX1","181,561.0","182,287.0","183,704.0","184,735.0","185,745.0","186,378.0","188,083.0","187,845.0","191,061.0","194,708.0","198,512.0","198,893.0","200,794.0","202,713.0","205,747.0","213,381.0","214,932.0","216,969.0","218,529.0","217,921.0","220,371.0","222,012.0","221,805.0","222,810.0","227,192.0","229,986.0","233,649.0","233,701.0","236,296.0","236,816.0","237,701.0","239,293.0"
"25","6","  Services","DSERCX1","243,885.0","247,527.0","249,654.0","252,804.0","253,808.0","256,594.0","261,094.0","264,653.0","268,905.0","272,644.0","276,212.0","280,005.0","283,217.0","287,525.0","291,480.0","296,429.0","299,480.0","302,713.0","305,175.0","308,484.0","311,337.0","314,348.0","318,620.0","321,269.0","326,231.0","331,314.0","335,553.0","339,253.0","342,277.0","346,480.0","349,246.0","353,593.0"
"26","7","Gross private domestic investment","A006CX1","128,881.0","127,864.0","130,037.0","126,233.0","132,874.0","134,988.0","139,144.0","140,834.0","146,104.0","145,578.0","148,975.0","150,390.0","164,729.0","165,162.0","170,913.0","172,044.0","185,790.0","183,040.0","181,689.0","182,754.0","178,269.0","171,819.0","176,858.0","180,673.0","184,295.0","191,344.0","186,126.0","188,150.0","199,230.0","198,056.0","202,077.0","192,320.0"
"27","8","  Fixed investment","A007CX1","118,446.0","121,805.0","122,785.0","122,411.0","124,011.0","129,537.0","132,727.0","136,699.0","141,427.0","141,165.0","143,464.0","144,717.0","151,253.0","155,537.0","159,743.0","163,443.0","169,533.0","167,876.0","168,059.0","163,601.0","160,507.0","164,472.0","166,450.0","171,447.0","175,279.0","174,846.0","177,562.0","181,752.0","186,809.0","187,793.0","190,486.0","186,247.0"
"28","9","    Nonresidential","A008CX1","77,405.0","79,502.0","80,485.0","80,184.0","80,376.0","82,875.0","85,151.0","87,636.0","89,474.0","91,568.0","94,517.0","96,531.0","102,676.0","106,452.0","110,322.0","114,808.0","119,619.0","121,584.0","123,191.0","123,190.0","121,190.0","120,900.0","120,692.0","123,120.0","126,746.0","125,192.0","126,910.0","130,369.0","133,706.0","135,163.0","138,237.0","137,514.0"
"29","10","      Structures","B009CX1","31,105.0","32,238.0","33,088.0","32,287.0","31,164.0","32,640.0","32,867.0","33,538.0","34,407.0","35,572.0","36,739.0","37,031.0","38,930.0","41,643.0","42,081.0","44,018.0","45,062.0","44,193.0","45,178.0","43,641.0","44,095.0","42,842.0","43,294.0","43,364.0","44,210.0","43,833.0","43,548.0","44,437.0","45,124.0","45,483.0","47,627.0","47,294.0"
"30","11","      Equipment","Y033CX1","36,722.0","37,654.0","37,788.0","37,900.0","38,599.0","39,374.0","41,071.0","42,679.0","43,728.0","44,627.0","46,207.0","47,574.0","51,200.0","52,118.0","54,907.0","57,040.0","60,177.0","62,296.0","62,578.0","63,470.0","60,952.0","61,611.0","60,769.0","62,703.0","65,090.0","63,517.0","65,087.0","67,348.0","69,802.0","70,529.0","71,446.0","70,848.0"
"31","12","      Intellectual property products","Y001CX1","10,503.0","10,618.0","10,739.0","10,982.0","11,338.0","11,729.0","11,939.0","12,083.0","12,035.0","12,153.0","12,376.0","12,642.0","13,199.0","13,630.0","14,082.0","14,564.0","15,064.0","15,507.0","15,928.0","16,329.0","16,616.0","16,734.0","17,022.0","17,317.0","17,640.0","18,089.0","18,395.0","18,657.0","18,787.0","19,153.0","19,291.0","19,499.0"
"32","13","    Residential","A011CX1","41,702.0","42,994.0","42,960.0","42,892.0","44,407.0","47,591.0","48,501.0","50,024.0","53,097.0","50,455.0","49,648.0","48,766.0","49,006.0","49,433.0","49,668.0","48,695.0","49,915.0","46,032.0","44,504.0","39,835.0","38,738.0","43,204.0","45,502.0","48,137.0","48,280.0","49,458.0","50,458.0","51,157.0","52,875.0","52,379.0","51,964.0","48,392.0"
"33","14","  Change in private inventories","A014CX1","11,095.0","6,969.0","8,173.0","4,853.0","9,544.0","6,294.0","7,470.0","5,457.0","5,825.0","5,589.0","6,697.0","6,404.0","14,675.0","10,572.0","11,906.0","9,575.0","16,776.0","16,123.0","14,331.0","19,723.0","18,458.0","8,109.0","10,926.0","10,630.0","9,712.0","17,011.0","9,286.0","7,715.0","12,935.0","10,809.0","12,490.0","6,765.0"
"34","15","Net exports of goods and services","A019CX1","3,943.0","6,772.0","4,076.0","2,832.0","4,510.0","8,199.0","5,033.0","7,184.0","9,826.0","9,777.0","8,456.0","8,810.0","5,117.0","8,639.0","5,623.0","7,009.0","5,006.0","6,066.0","1,572.0","2,666.0","2,879.0","2,807.0","913.0","-262.0","-1,824.0","-1,607.0","-1,764.0","-1,991.0","-3,255.0","-2,546.0","-3,190.0","-433.0"
"35","16","  Exports","A020CX1","36,998.0","40,548.0","38,280.0","37,455.0","38,331.0","42,816.0","40,530.0","42,564.0","45,172.0","45,919.0","45,568.0","46,925.0","41,861.0","49,719.0","46,872.0","50,270.0","49,382.0","51,546.0","49,602.0","51,237.0","52,208.0","51,745.0","50,494.0","51,933.0","53,446.0","54,506.0","57,722.0","56,994.0","50,166.0","61,414.0","59,942.0","62,005.0"
"36","17","    Goods","A253CX1","27,047.0","28,810.0","28,861.0","27,357.0","27,456.0","30,306.0","30,843.0","32,308.0","33,780.0","33,762.0","34,714.0","35,448.0","30,288.0","35,991.0","34,914.0","37,879.0","37,520.0","36,934.0","37,096.0","37,906.0","37,762.0","37,661.0","37,017.0","37,730.0","39,006.0","39,607.0","42,347.0","41,357.0","35,772.0","45,255.0","44,099.0","45,634.0"
"37","18","    Services","A646CX1","9,923.0","11,782.0","9,330.0","10,077.0","10,896.0","12,564.0","9,567.0","10,136.0","11,304.0","12,110.0","10,727.0","11,366.0","11,581.0","13,734.0","11,875.0","12,267.0","11,712.0","14,662.0","12,399.0","13,261.0","14,480.0","14,086.0","13,446.0","14,208.0","14,430.0","14,908.0","15,346.0","15,646.0","14,454.0","16,117.0","15,803.0","16,325.0"
"38","19","  Imports","A021CX1","33,055.0","33,776.0","34,204.0","34,622.0","33,821.0","34,617.0","35,496.0","35,380.0","35,346.0","36,142.0","37,112.0","38,116.0","36,744.0","41,080.0","41,248.0","43,261.0","44,376.0","45,480.0","48,031.0","48,571.0","49,330.0","48,938.0","49,580.0","52,195.0","55,270.0","56,113.0","59,486.0","58,984.0","53,421.0","63,960.0","63,132.0","62,438.0"
"39","20","    Goods","A255CX1","21,951.0","22,638.0","23,045.0","23,006.0","22,705.0","23,479.0","24,091.0","24,032.0","23,842.0","24,663.0","25,588.0","26,441.0","25,225.0","29,192.0","29,453.0","30,898.0","31,707.0","32,197.0","34,272.0","34,682.0","34,791.0","33,783.0","34,057.0","37,225.0","40,207.0","41,193.0","44,038.0","43,312.0","37,741.0","47,794.0","46,818.0","45,632.0"
"40","21","    Services","B656CX1","11,085.0","11,112.0","11,131.0","11,593.0","11,089.0","11,109.0","11,373.0","11,317.0","11,479.0","11,448.0","11,486.0","11,632.0","11,476.0","11,847.0","11,755.0","12,321.0","12,627.0","13,236.0","13,713.0","13,844.0","14,486.0","15,087.0","15,451.0","14,925.0","15,035.0","14,901.0","15,438.0","15,653.0","15,626.0","16,164.0","16,301.0","16,784.0"
"41","22","Government consumption expenditures and gross investment","A822CX1","224,798.0","225,873.0","231,075.0","232,682.0","229,539.0","229,734.0","239,924.0","237,543.0","238,283.0","240,434.0","240,724.0","240,638.0","240,375.0","243,283.0","251,320.0","256,104.0","260,890.0","265,818.0","273,051.0","277,763.0","289,394.0","288,255.0","291,481.0","293,763.0","298,985.0","300,559.0","301,498.0","301,769.0","302,522.0","301,573.0","302,270.0","298,316.0"
"42","23","  Federal","A823CX1","134,324.0","134,787.0","138,822.0","139,473.0","134,730.0","134,115.0","141,720.0","138,078.0","137,387.0","137,319.0","136,550.0","135,411.0","134,249.0","134,503.0","139,480.0","142,610.0","146,012.0","150,018.0","155,866.0","157,621.0","167,780.0","165,970.0","168,728.0","168,850.0","171,788.0","170,877.0","169,934.0","169,107.0","168,635.0","166,505.0","166,844.0","163,078.0"
"43","24","    National defense","A824CX1","113,118.0","111,957.0","113,860.0","113,942.0","109,807.0","109,131.0","113,517.0","110,455.0","108,787.0","107,449.0","107,228.0","105,696.0","103,854.0","103,405.0","106,562.0","109,582.0","113,390.0","115,859.0","122,815.0","125,965.0","133,085.0","133,318.0","136,396.0","135,175.0","138,174.0","138,066.0","135,748.0","134,587.0","133,530.0","130,990.0","131,017.0","128,547.0"
"44","25","    Nondefense","A825CX1","22,004.0","23,561.0","25,654.0","26,202.0","25,560.0","25,610.0","28,779.0","28,175.0","29,102.0","30,306.0","29,777.0","30,130.0","30,755.0","31,426.0","33,229.0","33,377.0","33,036.0","34,556.0","33,571.0","32,253.0","35,279.0","33,300.0","33,020.0","34,323.0","34,293.0","33,509.0","34,819.0","35,129.0","35,685.0","36,052.0","36,358.0","35,073.0"
"45","26","  State and local","A829CX1","90,554.0","91,170.0","92,302.0","93,262.0","94,974.0","95,807.0","98,341.0","99,676.0","101,159.0","103,440.0","104,546.0","105,653.0","106,597.0","109,309.0","112,368.0","114,010.0","115,371.0","116,263.0","117,615.0","120,602.0","122,059.0","122,731.0","123,205.0","125,371.0","127,664.0","130,139.0","132,016.0","133,109.0","134,321.0","135,459.0","135,814.0","135,581.0"
"46","27","Residual","A960CX1","-7,600.0","-8,000.0","-8,500.0","-8,300.0","-6,700.0","-6,700.0","-7,600.0","-7,500.0","-6,500.0","-6,100.0","-5,200.0","-5,200.0","-4,100.0","-3,900.0","-3,800.0","-3,500.0","-2,600.0","-3,500.0","-3,500.0","-3,600.0","-5,300.0","-4,700.0","-5,100.0","-6,200.0","-4,800.0","-4,500.0","-3,800.0","-4,500.0","-3,800.0","-2,900.0","-3,300.0","-2,800.0"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Note. Chained (1972) dollar series are calculated as the product of the chain-type quantity index rebased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","with the reference year 1972 equal to 100 and of the 1972 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
