"","Table 3#1# Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 28, 2003   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2003 11:54:56 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","    Current receipts","A315RC",10.6,10,8.7,8.2,8.7,9.8,10.5,11.9,14.3,13.9,14.3,16.7,23.8,31.3,47.7,49.5,51.4,50.5,55.5,56.9,53.7,66.2,82,86.6,90.9,86.1,96.8,104.3,110,108.3,122.1,131.2,135.8,147,157.9,162.1,175.4,197.8,212.1,245.3,276.3,279.6,295.9,338.1,380.3,419.6,430.5,492.6,552.8,626,702.7,767.1,877.6,890.3,944.5,1047.8,1135.8,1206.7,1322.5,1410.9,1530.9,1607.7,1656.6,1744.4,1857.9,1993,2117.1,2269.1,2440,2613.8,2780.3,3000.6,2992.3,2872.1
"9","2","Personal tax and nontax receipts","A066RC",2.1,1.9,1.3,1,1,1.1,1.3,1.5,2.1,2.1,1.7,1.9,2.5,5.1,17,18,19.8,17.5,20.1,19.6,17.1,19.3,27.5,32.5,33.8,30.7,33.4,37.2,39.6,39.2,42.8,46.6,47.9,52.3,55.3,52.8,58.4,67.3,74.2,88.3,105.9,104.6,103.4,125.6,134.5,153.3,150.3,175.5,201.2,233.5,273.3,304.2,351.5,361.6,360.9,387.2,428.5,449.9,503,519.7,583.5,609.6,610.5,635.8,674.6,722.6,778.3,869.7,968.8,1070.4,1159.1,1286.4,1292.1,1111.9
"10","3","Corporate profits tax accruals","A054RC",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.6,22.7,22.8,24,26.2,28,30.9,33.7,32.7,39.4,39.7,34.4,37.7,41.9,49.3,51.8,50.9,64.2,73,83.5,88,84.8,81.1,63.1,77.2,94,96.5,106.5,127.1,137.2,141.5,140.6,133.6,143.1,165.4,186.7,211,223.6,237.2,238.8,247.8,259.4,199.3,213.3
"11","4","Indirect business tax and nontax accruals","A028RC",7.1,7.2,6.9,6.8,7.1,7.8,8.2,8.7,9.2,9.2,9.4,10.1,11.4,11.9,12.8,14.2,15.6,17.2,18.6,20.3,21.5,23.5,25.3,27.8,29.8,29.7,32.3,35.1,37.6,38.7,41.9,45.5,48.1,51.7,54.7,58.8,62.7,65.4,70.4,79,86.6,94.3,103.6,111.4,121,129.3,140,151.6,165.5,177.8,188.7,212,249.3,256.7,280.3,309.1,329.4,346.8,369.3,392.6,420.7,447.3,482.3,510.6,540.1,575.3,594.6,620,646.2,681.3,712.9,753.6,774.8,800.4
"12","5","Contributions for social insurance","A061RC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.6,5.6,4.6,4.9,5.5,6.6,6.9,7.1,8.1,9.1,10,11.4,11.4,13.8,16.4,17,19.1,21.7,22.4,23.4,31.3,34.9,38.7,44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455,477.8,508.4,533.2,555.8,587.8,623.3,660.4,701.3,726.1,746.5
"13","6","    Current expenditures","A954RC",8.1,8.5,9.9,8.9,9.2,10.7,11.3,12.9,12.1,13.3,14.4,15.1,19.7,38.5,60.4,74.9,79,54.2,48.9,52.1,58,59.4,69.9,79.9,85.7,84.6,87.7,92.5,102.6,111,115.1,119.9,129.1,139.4,147,154.9,165.7,187.3,213.4,239.2,258.7,286.9,316.3,345,375.8,424.2,497.4,538.3,584.8,634.3,701.1,812,923.7,1025.1,1113.5,1192.1,1290.7,1378.1,1458.2,1532.7,1641.6,1778,1879.7,2046.9,2130.5,2196.7,2293.7,2384.5,2462.4,2529.3,2630.1,2775.8,2951.6,3126.2
"14","7","Consumption expenditures","A955RC",6.6,6.9,6.9,6.6,6.8,7.9,8.1,9,9.1,9.6,10.2,10.7,15.8,34.2,55.9,68.9,69.1,36.3,31.8,33.6,37.1,37.1,50.7,61.6,66.8,64,65.8,68.9,75.7,80,83.2,85.5,90.2,98.9,104.9,110.5,118.2,134,151.6,168.1,180.2,192.4,207,223.7,238.5,264.9,296.5,318.1,347.8,378.5,415,469.4,524.5,572.1,613.1,661.5,719.5,769.1,813.6,850.7,902.6,965.7,1015.2,1047.4,1072.1,1102.3,1133.9,1171.8,1223.3,1261.4,1336.3,1431.2,1522.2,1621
"15","8","Transfer payments (net)","A084RC",0.8,0.9,2,1.3,1.3,1.4,1.6,2.7,1.7,2.2,2.3,2.4,2.3,2.4,2,2.6,5.5,12.4,12.4,13.7,16,17,13.7,13.1,13.7,15.6,16.8,17.5,20,24.1,24.7,26.3,30.2,30.9,32.4,33.4,36,39.7,47.5,54.9,60.6,73.5,87.5,97,110.5,131.5,166.4,180.4,192,206.1,230.2,275,311.8,348.5,376.4,387.4,414.2,440.4,458,486.5,529.6,583.1,620.1,745.4,793.2,825.4,869.9,916,945,965.9,998.5,1050.8,1146.6,1267.3
"16","9","  To persons","A063RC",0.8,0.9,1.9,1.3,1.3,1.3,1.6,2.7,1.6,2.1,2.2,2.4,2.3,2.3,2.1,2.7,5.1,10.1,10.4,9.9,10.9,13.4,10.5,11,11.7,13.7,14.8,15.6,18.1,22.2,22.9,24.4,28.1,28.8,30.3,31.3,33.9,37.5,45.4,53,58.8,71.6,85.2,94.6,108.1,128.4,163,176.9,188.7,202.5,226.4,270.2,307,342.3,369.4,378.3,403.1,428.4,447.8,476.1,519.2,573.1,649.1,729.2,776.5,810.1,860.1,902.4,934.4,955,987.2,1037.3,1137,1252.9
