"","Table 1#2B# Real Gross Domestic Product, Chained (1952) Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Billions of chained (1952) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1942 To 1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 28, 2000     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2003 11:50:04 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
"8","1","    Gross domestic product","A191BX1B",258.4,300.9,325.7,321.8,286.1,284.1,296.4,294.7,320.5,344.9,358.6,375.1,372.5,399,406.9,415,411,440.7,451.6,462.1,490.1
"9","2","Personal consumption expenditures","A002BX1B",145.8,149.8,154.2,163.8,184,187.8,191.9,197.2,209.8,212.9,219.7,230.2,235,252,259.4,265.7,267.9,282.8,290.5,296.4,311
"10","3","  Durable goods","B003BX1B",11.5,10.1,9.2,10.4,19.8,23.5,25.1,27.1,33.1,30.2,29.3,33,32.9,40.1,38.5,38.9,35.7,40.1,40.9,39.3,43.9
"11","4","  Nondurable goods","B004BX1B",86.6,89.5,93,99.7,105.2,102.4,102.7,104.3,107.5,110.4,114.7,118.4,119.9,125.7,130,132.4,133.6,139.1,141.2,143.8,148.4
"12","5","  Services","B005BX1B",47.8,50.3,52,53.8,58.9,61.8,64.2,65.8,69.1,72.4,75.6,78.9,82.1,86.3,90.8,94.2,97.9,103,107.5,111.8,117.4
"13","6","Gross private domestic investment","A006BX1B",18.3,10.8,13.4,17.7,44.8,43.2,55.1,42,59.5,59.7,54,56.6,53.9,67.1,66.2,63.3,58,69.8,69.8,69.4,78.1
"14","7","  Fixed investment","A007BX1B",15.7,12.1,14.9,20.4,37.1,44.7,49.2,45,53.7,51.5,50.5,54,54.9,62,62.3,61.6,57.1,65.1,65.7,65.5,71.4
"15","8","    Nonresidential","A008BX1B",11.3,9.5,12.6,17.7,25.6,29.8,31.4,28.5,31.1,32.5,31.9,34.8,34,37.8,40,40.6,36.1,39,41.2,40.9,44.5
"16","9","      Structures","B009BX1B",4.5,3.3,4.3,5.8,11.5,10.5,11,10.6,11.4,12.3,12.2,13.3,13.8,14.8,16.3,16.3,15.3,15.7,16.9,17.2,17.9
"17","10","      Equipment and software","B010BX1B",6.8,6.2,8.2,11.8,14.2,19.3,20.4,17.8,19.7,20.3,19.7,21.5,20.3,23.1,23.7,24.3,20.8,23.3,24.2,23.8,26.5
"18","11","    Residential","A011BX1B",4.6,2.7,2.3,2.8,11.6,14.9,17.9,16.5,22.6,18.9,18.6,19.3,20.8,24.2,22.3,20.9,21.1,26.5,24.6,24.7,27
