"","Table 7#1# Quantity and Price Indexes for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229"
"11","2","      Chain-type quantity index","B191RA",18.96,19.06,19.11,19.41,19.68,19.99,20.07,20.11,19.83,19.78,20,19.79,20.61,21.23,22.05,22.45,22.7,23.09,23.55,23.59,23.87,23.89,24.04,24.83,25.29,25.5,25.34,24.93,24.81,24.84,25.11,25.61,26.34,26.76,27.12,27.26,27.15,27.36,27.33,27.78,27.94,27.87,28.14,27.85,27.1,27.26,27.87,28.5,29.09,29.85,29.84,29.94,30.6,30.45,30.51,30.12,30.29,30.86,31.36,32,32.56,32.91,33.24,33.32,33.71,34.15,34.81,35.06,35.84,36.27,36.76,36.85,37.76,38.27,39.05,39.98,40.97,41.13,41.39,41.75,42.13,42.1,42.41,42.73,43.6,44.35,44.66,44.85,45.54,45.66,45.93,45.71,45.65,45.74,46.14,45.65,46.92,47.18,47.54,47.66,48.6,49.71,50.2,51.07,52.38,52.9,52.69,53.13,52.72,52.86,52.28,51.99,51.32,51.77,52.67,53.34,54.6,55.05,55.32,55.77,56.45,57.46,58.5,58.57,58.73,61,61.58,62.41,62.57,62.61,63.05,63.26,63.47,62.18,62.08,63.18,64.41,63.96,64.72,63.96,62.9,63.17,62.87,62.91,63.64,65.14,66.3,67.67,69.14,70.32,70.92,71.46,72.05,72.62,73.7,74.31,74.99,75.3,76,76.4,76.96,77.78,78.43,79.79,80.32,81.27,81.69,82.75,83.75,84.21,84.61,84.9,85.96,86.16,86,85.3,84.87,85.35,85.56,86.02,86.82,87.63,88.31,89.47,89.45,89.99,90.39,91.75,92.53,93.82,94.33,95.49,95.85,96.03,96.78,97.55,98.25,99.87,100.37,101.51,102.6,104.08,105.16,105.88,107.46,108.06,109.16,110.94,111.78,112.32,113.74,115.7,116.44,117.82,117.99,118.31,118.13,117.66,117.58,118.37,119.84,120.21,121.41,121.82,122.26,123.2
"12","3","      Chain-type price index","B191RG",15.92,16.15,16.44,16.78,16.97,17.16,17.47,17.45,17.42,17.31,17.16,17.17,17.11,17.19,17.53,17.82,18.44,18.53,18.59,18.83,18.82,18.91,19.06,19.14,19.16,19.2,19.27,19.33,19.42,19.45,19.45,19.47,19.55,19.66,19.8,19.93,20.13,20.32,20.54,20.67,20.91,21.05,21.21,21.33,21.52,21.62,21.69,21.74,21.79,21.84,21.9,21.99,22.04,22.14,22.23,22.33,22.36,22.4,22.45,22.51,22.64,22.71,22.77,22.84,22.93,22.95,22.98,23.12,23.2,23.27,23.39,23.49,23.6,23.71,23.81,23.97,24.11,24.33,24.57,24.79,24.9,25.06,25.29,25.57,25.86,26.15,26.39,26.76,27.02,27.39,27.79,28.15,28.54,28.94,29.17,29.55,30,30.4,30.71,30.96,31.42,31.61,31.92,32.3,32.73,33.27,33.9,34.48,35.18,35.97,37.07,38.2,39.08,39.63,40.35,41.05,41.49,41.93,42.51,43.25,43.97,44.69,45.32,46.08,46.86,47.79,48.64,49.62,50.58,51.73,52.79,53.86,55.08,56.35,57.62,59.16,60.67,61.75,62.95,64.1,65,65.84,66.75,67.44,67.98,68.59,69.17,69.75,70.59,71.18,71.74,72.24,73.01,73.49,73.88,74.4,74.69,75.04,75.51,76.05,76.73,77.27,77.83,78.46,78.99,79.79,80.73,81.36,82.2,83.02,83.62,84.24,85.19,86.17,87,87.76,88.78,89.41,89.99,90.47,91.16,91.68,91.98,92.56,93.33,93.83,94.26,94.79,95.28,95.72,96.29,96.74,97.45,97.86,98.31,98.79,99.4,99.74,100.23,100.63,101.36,101.82,102.12,102.49,102.76,103.02,103.38,103.66,104.12,104.52,104.84,105.28,106.08,106.69,107.13,107.68,108.66,109.32,109.92,109.78,110.14,110.48,110.76,111.25,111.9,112.14
"13","4","      Implicit price deflator","A191RD",16.03,16.16,16.4,16.8,16.95,17.14,17.49,17.54,17.45,17.25,17.15,17.17,17.12,17.19,17.56,17.89,18.57,18.68,18.68,18.89,18.85,18.88,19.11,19.16,19.17,19.2,19.28,19.33,19.4,19.41,19.45,19.5,19.59,19.67,19.82,20.02,20.22,20.33,20.59,20.67,20.96,21.1,21.23,21.23,21.47,21.55,21.7,21.82,21.83,21.83,21.88,21.98,22.08,22.15,22.23,22.3,22.35,22.4,22.46,22.53,22.67,22.71,22.76,22.83,22.91,22.94,22.98,23.16,23.22,23.28,23.37,23.49,23.61,23.71,23.81,23.97,24.13,24.32,24.58,24.79,24.89,25.05,25.31,25.59,25.88,26.14,26.39,26.76,27.03,27.39,27.79,28.15,28.55,28.94,29.18,29.56,30,30.4,30.71,30.96,31.41,31.61,31.92,32.32,32.71,33.25,33.86,34.58,35.2,36.02,37.09,38.2,39.08,39.63,40.33,41.05,41.5,41.92,42.5,43.27,43.97,44.69,45.23,46.16,46.86,47.77,48.6,49.59,50.55,51.71,52.81,53.9,55.11,56.34,57.6,59.13,60.66,61.76,62.95,64.1,64.99,65.83,66.75,67.45,67.95,68.56,69.16,69.77,70.59,71.16,71.73,72.24,73,73.5,73.85,74.39,74.68,75.05,75.51,76.01,76.7,77.27,77.84,78.46,78.98,79.79,80.71,81.33,82.2,83.01,83.62,84.24,85.18,86.16,86.99,87.74,88.76,89.4,89.99,90.47,91.16,91.67,91.97,92.55,93.32,93.82,94.24,94.79,95.28,95.71,96.28,96.74,97.45,97.86,98.3,98.78,99.39,99.74,100.22,100.63,101.34,101.82,102.12,102.49,102.76,103.01,103.38,103.65,104.12,104.51,104.83,105.27,106.07,106.68,107.12,107.68,108.65,109.32,109.92,109.78,110.14,110.48,110.76,111.25,111.9,112.14
"14",NA,"Personal consumption expenditures:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","5","  Current dollars","A002RT",2.99,3.06,3.13,3.21,3.26,3.33,3.39,3.41,3.39,3.42,3.4,3.45,3.5,3.58,3.84,3.79,4,3.92,3.97,4.04,4.07,4.15,4.2,4.36,4.43,4.46,4.48,4.47,4.51,4.56,4.61,4.7,4.81,4.91,4.99,5.07,5.1,5.15,5.21,5.31,5.39,5.44,5.53,5.56,5.55,5.61,5.71,5.78,5.93,6.04,6.14,6.18,6.25,6.36,6.36,6.4,6.41,6.5,6.56,6.7,6.8,6.9,6.98,7.1,7.17,7.25,7.38,7.47,7.65,7.8,7.97,8.02,8.23,8.36,8.54,8.81,9.01,9.11,9.28,9.39,9.48,9.65,9.79,9.93,10.27,10.54,10.85,11.01,11.24,11.46,11.66,11.88,12.1,12.29,12.52,12.65,13.02,13.28,13.52,13.83,14.16,14.51,14.86,15.33,15.81,16.1,16.46,16.75,17.1,17.63,18.17,18.31,18.8,19.35,20,20.54,21.21,21.6,22.16,22.84,23.51,24.06,24.67,25.39,25.96,27.09,27.73,28.46,29.24,29.92,30.93,31.82,32.76,32.83,33.93,35.12,36.14,36.79,37.62,37.93,38.63,39.12,39.98,41.08,41.78,43.15,44.29,45.4,46.34,47.38,48.06,49.03,50.27,51.21,52.5,53.19,53.94,54.55,55.92,56.71,57.5,58.84,60.06,60.77,62.24,63.38,64.67,66.06,67.05,68.22,69.25,70.17,71.69,72.67,73.92,74.34,74.55,75.58,76.34,76.82,78.72,79.65,80.68,82.45,83.07,84.42,85.69,87.04,88.09,89.31,90.75,92.05,92.96,94.39,95.56,96.58,97.96,99.63,100.5,101.92,103.67,104.45,106.46,107.7,109.21,111.12,112.56,114.35,116.02,118.29,120.28,122.47,125.1,126.75,128.61,129.99,131.83,132.88,133.34,135.56,136.98,138.51,140.54,141.77,143.44,145.02
"16","6","  Chain-type quantity index","B002RA",18.39,18.69,18.74,18.75,18.84,19.05,19.09,19.25,19.26,19.56,19.6,19.88,20.22,20.54,21.6,20.96,21.44,20.84,21.08,21.2,21.26,21.67,21.77,22.54,22.82,22.96,22.91,22.76,22.84,23.13,23.43,23.92,24.44,24.9,25.21,25.52,25.57,25.66,25.72,26.07,26.24,26.28,26.5,26.52,26.16,26.37,26.78,27.09,27.59,28.03,28.33,28.37,28.63,28.99,28.87,28.9,28.88,29.31,29.46,30.06,30.37,30.74,30.99,31.43,31.64,31.94,32.38,32.65,33.29,33.89,34.52,34.61,35.37,35.77,36.38,37.41,37.97,38.07,38.5,38.67,38.9,39.42,39.62,39.86,40.79,41.43,42.21,42.39,42.86,43.13,43.32,43.66,43.93,44.14,44.53,44.39,45.25,45.66,46.01,46.78,47.39,48.26,48.99,50.15,51.06,51.01,51.22,51.09,50.64,50.83,51.02,50.18,50.57,51.46,52.21,52.79,53.93,54.43,54.99,55.74,56.42,56.72,57.26,58.12,58.44,59.71,60.01,60.48,60.88,60.8,61.36,61.59,61.53,60.13,60.74,61.47,61.73,61.78,62.06,61.58,61.94,62.12,62.52,63.57,64.16,65.49,66.53,67.63,68.35,69.28,69.76,70.66,71.73,72.39,73.72,73.97,74.61,75.43,76.75,77.27,77.32,78.31,79.18,79.34,80.72,81.28,81.94,82.89,83.19,83.53,84.27,84.57,85.27,85.51,85.84,85.11,84.73,85.35,85.62,85.44,86.77,87.19,87.84,89.09,89.26,90.15,91.21,92.07,92.92,93.71,94.41,95.34,95.69,96.6,97.36,97.99,98.79,99.85,100.32,101.04,102.16,102.64,104.29,105.15,106.47,108.07,109.09,110.45,111.72,113.28,114.56,115.96,117.46,118.34,119.46,120.07,120.78,121.2,121.64,123.42,124.37,124.92,126.2,126.74,127.37,128.56
"17","7","  Chain-type price index","B002RG",16.25,16.4,16.71,17.13,17.32,17.51,17.77,17.7,17.57,17.46,17.37,17.36,17.34,17.43,17.79,18.09,18.67,18.81,18.83,19.07,19.15,19.16,19.29,19.33,19.4,19.43,19.54,19.63,19.73,19.71,19.65,19.63,19.7,19.72,19.79,19.85,19.93,20.06,20.26,20.38,20.56,20.69,20.86,20.96,21.23,21.28,21.32,21.34,21.48,21.56,21.68,21.8,21.84,21.96,22.04,22.15,22.19,22.19,22.27,22.29,22.38,22.47,22.53,22.59,22.66,22.69,22.79,22.87,22.98,23.02,23.1,23.18,23.26,23.38,23.47,23.54,23.73,23.92,24.11,24.3,24.36,24.48,24.71,24.92,25.19,25.44,25.7,25.99,26.24,26.58,26.91,27.23,27.54,27.85,28.12,28.5,28.77,29.1,29.38,29.57,29.89,30.07,30.33,30.59,30.96,31.56,32.13,32.78,33.75,34.69,35.6,36.49,37.17,37.62,38.31,38.93,39.34,39.68,40.31,40.97,41.69,42.44,43.08,43.7,44.44,45.39,46.21,47.07,48.04,49.21,50.42,51.67,53.26,54.6,55.86,57.13,58.55,59.55,60.62,61.59,62.36,62.98,63.95,64.64,65.14,65.9,66.58,67.15,67.81,68.4,68.9,69.4,70.09,70.75,71.23,71.91,72.3,72.33,72.86,73.4,74.37,75.14,75.86,76.61,77.11,77.99,78.93,79.71,80.61,81.68,82.18,82.97,84.08,84.98,86.12,87.34,87.99,88.56,89.16,89.92,90.73,91.35,91.86,92.56,93.07,93.65,93.96,94.54,94.81,95.31,96.13,96.56,97.15,97.71,98.16,98.57,99.16,99.79,100.18,100.87,101.49,101.77,102.09,102.43,102.58,102.83,103.18,103.54,103.86,104.44,105,105.62,106.52,107.11,107.67,108.26,109.15,109.64,109.62,109.84,110.14,110.89,111.36,111.87,112.62,112.81
"18","8","  Implicit price deflator","A002RD",16.25,16.39,16.71,17.13,17.32,17.5,17.76,17.7,17.57,17.46,17.37,17.36,17.33,17.42,17.78,18.09,18.67,18.81,18.83,19.07,19.15,19.15,19.29,19.33,19.4,19.43,19.54,19.63,19.73,19.71,19.65,19.63,19.7,19.72,19.79,19.85,19.93,20.06,20.26,20.37,20.56,20.69,20.86,20.96,21.23,21.28,21.31,21.34,21.48,21.56,21.68,21.8,21.84,21.95,22.04,22.15,22.19,22.19,22.26,22.29,22.38,22.46,22.52,22.59,22.65,22.68,22.79,22.87,22.98,23.02,23.1,23.18,23.26,23.38,23.47,23.54,23.73,23.92,24.11,24.3,24.36,24.48,24.71,24.92,25.19,25.44,25.7,25.98,26.23,26.57,26.91,27.22,27.54,27.85,28.12,28.5,28.76,29.09,29.38,29.56,29.88,30.06,30.33,30.58,30.96,31.56,32.13,32.79,33.76,34.69,35.61,36.49,37.16,37.61,38.3,38.92,39.33,39.68,40.3,40.97,41.68,42.43,43.08,43.69,44.43,45.38,46.2,47.05,48.03,49.21,50.41,51.66,53.25,54.6,55.86,57.13,58.55,59.55,60.62,61.59,62.36,62.97,63.94,64.62,65.13,65.89,66.56,67.13,67.8,68.39,68.89,69.39,70.08,70.74,71.22,71.9,72.29,72.32,72.86,73.39,74.36,75.13,75.85,76.6,77.1,77.98,78.92,79.7,80.6,81.67,82.18,82.97,84.08,84.98,86.12,87.34,87.99,88.56,89.16,89.92,90.72,91.35,91.85,92.55,93.06,93.64,93.96,94.54,94.81,95.31,96.13,96.55,97.15,97.71,98.16,98.56,99.15,99.78,100.18,100.87,101.48,101.77,102.08,102.42,102.58,102.82,103.17,103.53,103.85,104.43,104.99,105.61,106.51,107.11,107.66,108.26,109.15,109.64,109.62,109.84,110.14,110.89,111.36,111.86,112.62,112.81
"19",NA,"  Durable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","9","    Current dollars","A003RT",3.15,3.24,3.3,3.57,3.57,3.65,3.84,3.79,3.7,4.03,4.18,4.35,4.5,4.56,5.78,5.12,5.48,4.69,4.59,4.61,4.7,4.73,4.47,5.15,5.4,5.37,5.3,5.16,5.04,5.16,5.09,5.39,5.93,6.29,6.57,6.39,6.11,6.13,6.11,6.4,6.58,6.51,6.45,6.39,6.06,5.93,6.05,6.25,6.73,7.01,7.15,6.79,7.01,7.16,7.07,6.87,6.47,6.64,6.83,7.17,7.32,7.53,7.62,7.94,8.11,8.32,8.44,8.61,8.96,9.18,9.48,9.14,10.04,10.01,10.31,10.68,11.18,10.75,11.16,11.21,10.97,11.51,11.54,11.68,12.51,12.83,13.52,13.55,13.88,13.94,13.97,13.98,13.77,13.96,14.1,13.32,15.04,15.5,15.86,16.47,17.02,17.53,18.08,18.99,20.31,20.14,20.08,19.64,19.29,19.95,20.89,19.24,19.99,20.8,22.38,23.42,25,25.36,25.9,26.81,28.17,29.01,29.71,30.69,30.33,33.2,33.26,34.1,34.31,34.12,35.51,35.18,35.69,32.41,34.56,36.3,37.87,37.04,38.8,36.39,37.96,38.37,38.79,40.75,41.48,44.77,46.76,49.45,51.37,52.9,52.99,54.82,57.07,57.84,61.49,59.3,60.46,62.82,68.89,68.21,64.45,67.68,71.02,69.19,72.43,72.75,72.23,74.7,74.7,75.83,77.66,75.32,78.9,76.11,75.22,73.16,71.27,71.6,72.82,71.78,74.45,75.15,76.93,78.94,79.09,82.32,84.48,87.26,88.6,89.81,91.37,94.09,93.79,94.8,96.72,97.32,98.37,100.78,100.04,100.82,103.02,101.29,105.82,106.78,108.17,111.81,112.2,117.63,118.2,121.64,124.11,126.5,131.13,129.66,131.49,129.32,132.49,133.07,133.66,143.17,139.34,139.01,145.63,141.76,139.7,146.04
"21","10","    Chain-type quantity index","B003RA",9.32,9.5,9.63,10.3,10.21,10.29,10.48,10.31,10.07,11.01,11.57,12.01,12.49,12.56,15.72,13.73,14.15,12.04,11.78,11.69,11.81,12.01,11.23,13.28,13.78,13.7,13.62,13.21,12.79,13.44,13.5,14.37,15.71,16.59,17.15,16.65,15.87,15.89,15.58,16.1,16.43,16.01,15.88,15.69,14.63,14.38,14.66,15.2,16.08,16.69,17.02,16.16,16.71,17.1,16.97,16.51,15.54,15.87,16.26,17.07,17.45,17.91,18.06,18.9,19.31,19.75,19.98,20.31,21.08,21.64,22.36,21.61,23.69,23.75,24.59,25.64,26.88,25.76,26.64,26.65,26.14,27.3,27.05,27.09,28.82,29.38,30.71,30.5,31.07,30.97,30.89,30.73,30.19,30.5,30.59,28.38,31.57,32.29,33.15,34.61,35.45,36.32,37.27,39.29,41.84,41.16,40.84,39.81,38.71,39.08,39.4,35.22,36.04,36.81,39.16,40.35,42.48,42.58,42.98,43.77,45.58,46.68,47.31,48.23,46.95,50.62,49.9,50.27,49.75,48.61,50.01,48.68,48.03,42.66,44.7,46.15,47.54,45.62,47.11,43.63,45.14,45.28,45.65,47.83,48.36,52.01,54.06,56.81,59.03,60.4,60.39,62.35,64.56,65.25,69.45,66.81,68.1,70.37,76.5,75.35,70.6,73.61,76.69,74.45,78.14,78.11,77.03,79.17,78.77,79.88,81.54,78.83,82.2,79.36,78.42,76.05,73.42,73.65,74.66,73.45,76.03,76.46,78.21,80.11,80.36,83.26,85.11,87.58,88.72,89.49,90.47,93.16,92.53,93.66,95.81,96.62,97.61,100.64,100.26,101.5,104.06,103.25,108.77,110.45,112.34,116.75,117.95,124.46,126.14,130.45,133.68,136.94,142.67,141.34,144.12,142.18,146.09,148,149.66,160.91,158.3,159.08,167.47,163.92,163.08,172.14
"22","11","    Chain-type price index","B003RG",33.8,34.1,34.28,34.72,34.95,35.43,36.71,36.77,36.75,36.55,36.12,36.18,36,36.35,36.78,37.28,38.74,38.94,38.99,39.46,39.75,39.33,39.78,38.75,39.16,39.19,38.93,39.06,39.38,38.37,37.7,37.46,37.73,37.92,38.28,38.39,38.52,38.6,39.2,39.74,40.07,40.65,40.63,40.69,41.44,41.28,41.26,41.15,41.82,42.02,42.03,42.01,41.92,41.84,41.69,41.62,41.62,41.83,42.02,41.97,41.98,42.07,42.17,42,42.01,42.13,42.25,42.4,42.49,42.42,42.39,42.31,42.35,42.16,41.93,41.66,41.59,41.73,41.91,42.07,41.96,42.17,42.67,43.13,43.41,43.67,44.03,44.44,44.67,45,45.22,45.5,45.59,45.76,46.09,46.93,47.64,47.99,47.85,47.58,48,48.28,48.51,48.33,48.55,48.92,49.15,49.31,49.78,50.99,52.96,54.6,55.48,56.56,57.2,58.11,58.89,59.56,60.26,61.27,61.82,62.15,62.82,63.66,64.63,65.62,66.68,67.85,68.98,70.19,70.99,72.25,74.3,75.96,77.3,78.62,79.62,81.15,82.33,83.37,84.08,84.74,84.99,85.22,85.82,86.11,86.53,87.07,87.04,87.59,87.75,87.93,88.4,88.65,88.54,88.77,88.81,89.3,90.08,90.55,91.31,91.96,92.62,92.95,92.69,93.15,93.76,94.36,94.83,94.93,95.24,95.55,95.99,95.9,95.92,96.2,97.07,97.21,97.54,97.73,97.93,98.28,98.37,98.55,98.44,98.88,99.27,99.65,99.88,100.36,101,101,101.36,101.22,100.94,100.72,100.78,100.13,99.77,99.32,98.99,98.08,97.27,96.65,96.27,95.75,95.11,94.49,93.69,93.23,92.83,92.37,91.91,91.74,91.24,90.95,90.68,89.89,89.29,88.95,88,87.36,86.94,86.46,85.64,84.82
"23","12","    Implicit price deflator","A003RD",33.79,34.09,34.27,34.71,34.94,35.43,36.7,36.76,36.74,36.56,36.15,36.21,36,36.32,36.73,37.26,38.76,38.97,39,39.46,39.77,39.35,39.82,38.77,39.16,39.19,38.93,39.06,39.41,38.4,37.72,37.48,37.73,37.92,38.27,38.38,38.51,38.6,39.2,39.75,40.08,40.66,40.63,40.7,41.45,41.28,41.26,41.15,41.81,42.02,42.02,42.01,41.92,41.84,41.68,41.62,41.62,41.83,42.02,41.96,41.97,42.07,42.17,42,42.01,42.13,42.24,42.39,42.48,42.42,42.39,42.31,42.35,42.17,41.94,41.67,41.59,41.73,41.9,42.07,41.96,42.17,42.66,43.12,43.4,43.66,44.02,44.43,44.66,45,45.22,45.5,45.6,45.77,46.11,46.94,47.64,48,47.85,47.58,48,48.27,48.51,48.33,48.55,48.92,49.16,49.33,49.83,51.05,53.02,54.64,55.46,56.52,57.15,58.05,58.87,59.54,60.25,61.27,61.81,62.14,62.8,63.64,64.6,65.6,66.66,67.83,68.97,70.19,71,72.26,74.31,75.97,77.32,78.64,79.66,81.19,82.37,83.4,84.09,84.74,84.98,85.2,85.79,86.08,86.5,87.05,87.02,87.58,87.75,87.93,88.4,88.65,88.54,88.76,88.79,89.27,90.05,90.52,91.29,91.94,92.61,92.94,92.69,93.15,93.76,94.36,94.83,94.92,95.24,95.55,95.99,95.9,95.92,96.21,97.07,97.21,97.54,97.73,97.93,98.28,98.37,98.54,98.42,98.87,99.26,99.63,99.87,100.35,100.99,101,101.36,101.22,100.95,100.72,100.78,100.14,99.78,99.33,99,98.1,97.29,96.68,96.29,95.77,95.13,94.51,93.71,93.24,92.84,92.38,91.91,91.74,91.24,90.96,90.7,89.91,89.31,88.97,88.02,87.38,86.96,86.48,85.66,84.84
"24",NA,"  Nondurable goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","13","    Current dollars","A004RT",5.57,5.72,5.85,5.95,6.04,6.16,6.16,6.18,6.12,6.06,5.94,5.99,6.02,6.12,6.41,6.41,6.85,6.82,6.95,7.12,7.08,7.23,7.36,7.49,7.5,7.51,7.47,7.46,7.54,7.55,7.62,7.71,7.77,7.88,7.94,8.1,8.2,8.26,8.34,8.43,8.54,8.63,8.84,8.82,8.86,8.95,9.07,9.14,9.28,9.38,9.48,9.58,9.58,9.76,9.72,9.78,9.86,9.91,9.94,10.08,10.2,10.29,10.38,10.5,10.57,10.61,10.76,10.8,11.06,11.27,11.5,11.58,11.75,11.99,12.24,12.7,12.98,13.21,13.41,13.45,13.59,13.7,13.85,14.03,14.49,14.82,15.21,15.37,15.65,15.95,16.21,16.51,16.91,17.14,17.39,17.69,17.81,18.05,18.21,18.49,18.8,19.33,19.79,20.36,20.99,21.41,22.08,22.71,23.45,24.16,24.89,25.21,25.7,26.4,27.18,27.64,28.3,28.76,29.39,30.02,30.74,31.27,31.68,32.64,33.31,34.49,35.48,36.55,37.73,38.79,40.39,41.78,43.18,43.62,44.44,45.64,47.38,48.04,48.48,48.93,49.31,49.46,50.38,51,51.22,52.35,53.51,54.13,55.04,56.15,56.52,57.09,57.84,58.71,59.26,60.2,60.82,60.39,60.79,61.57,63.17,64.28,64.93,65.63,66.67,68,69.58,70.93,72.06,73.78,74.59,75.72,77.61,78.35,79.95,80.74,80.54,81.38,81.63,81.42,82.92,83.17,84.24,85.85,86.13,87.06,87.65,88.63,89.56,90.53,92.12,93.21,93.76,94.8,95.46,96.47,97.81,99.7,100.3,102.18,103.35,103.38,105.02,105.4,106.46,107.82,109.06,110.82,112.64,115.27,116.98,120.18,122.42,124.83,126.35,127.76,129.06,129.9,129.88,129.88,132.47,133.93,134.49,136.59,140.2,139.9
