"","Table 1#7# Gross Domestic Product by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 28, 2003   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2003 11:51:02 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"8","1","    Gross domestic product","A191RC",103.7,91.3,76.6,58.8,56.4,66,73.3,83.7,91.9,86.1,92,101.3,126.7,161.8,198.4,219.7,223,222.3,244.4,269.6,267.7,294.3,339.5,358.6,379.9,381.1,415.2,438,461.5,467.9,507.4,527.4,545.7,586.5,618.7,664.4,720.1,789.3,834.1,911.5,985.3,1039.7,1128.6,1240.4,1385.5,1501,1635.2,1823.9,2031.4,2295.9,2566.4,2795.6,3131.3,3259.2,3534.9,3932.7,4213,4452.9,4742.5,5108.3,5489.1,5803.2,5986.2,6318.9,6642.3,7054.3,7400.5,7813.2,8318.4,8781.5,9274.3,9824.6,10082.2,10446.2
"9","2","Business \1\","A195RC",95.7,83.3,68.8,51.8,49.3,57.7,64.5,73.4,81.6,75.1,80.9,89.8,112.9,140.4,163.6,175,173.6,184.8,211.4,236.6,233.3,259.1,296.8,310.9,329.9,329.4,360.2,378.9,398.3,400.5,436.6,451.3,465.1,500,526.3,565.2,613.9,671,703.4,766.1,825.4,863.1,935.7,1030,1156.8,1250.5,1356.8,1521.6,1702.8,1937.3,2174.9,2358.8,2647.3,2729.8,2968.1,3313.9,3546.8,3740.9,3976,4281.2,4600.9,4842,4962.4,5242.1,5518,5886.6,6190.1,6556,7010.5,7418,7847.7,8311.4,8482.7,8759.1
"10","3","  Nonfarm \2\","A358RC",86,75.6,62.6,47.3,44.7,53,57.5,67,73.3,68.5,74.6,83.3,104,127.4,148.3,159.7,157.7,166,191.2,213.4,214.6,239.3,273.8,288.8,309.8,309.9,341.6,360.4,380,380,417.7,431.5,445,479.8,506,546,592.1,648.2,681.1,743.4,800.2,836.9,907.6,997.3,1107.1,1203.1,1308.1,1475.1,1655.6,1882.5,2110.5,2302.7,2577.4,2664.6,2918.9,3245.3,3479.7,3678,3910.9,4217.4,4524.7,4762.4,4889.2,5161.6,5444.4,5803,6116.9,6463.8,6922.2,7337.4,7772.5,8233.6,8402.1,8680.2
"11","4","    Nonfarm less housing","A498RC",77.1,66.9,54.4,40,38.4,47.2,51.7,61,66.9,61.7,67.7,76.1,96.3,118.9,139.3,150.3,148,155.9,180.3,201,200.8,223.8,256.5,269.2,287.9,285.7,315.6,332.4,349.6,347.2,382.1,392.9,403.6,435.2,458.5,495.8,538.5,591.2,620.3,678.6,730.3,761.9,825.9,908.6,1010.1,1097.2,1193.8,1350.1,1516.2,1726.7,1934.4,2097.6,2342.2,2405.2,2642.2,2942.8,3147.4,3318.9,3523.9,3799,4074.5,4281.1,4381.3,4626.2,4895.5,5218.3,5499.4,5820.9,6255.6,6631.8,7018.9,7435.9,7571.1,7814.4
"12","5","    Housing","B499RC",9,8.7,8.2,7.3,6.3,5.9,5.9,6,6.4,6.8,7,7.2,7.7,8.5,9,9.4,9.7,10.1,11,12.4,13.8,15.4,17.4,19.6,22,24.2,26,28.1,30.4,32.9,35.6,38.6,41.4,44.6,47.4,50.2,53.5,57,60.8,64.8,69.9,74.9,81.7,88.7,96.9,105.9,114.3,125,139.4,155.8,176.1,205.1,235.2,259.4,276.7,302.6,332.3,359,387,418.4,450.2,481.3,507.9,535.4,548.9,584.7,617.5,642.8,666.7,705.6,753.6,797.8,831.1,865.8
"13","6","  Farm","B359RC",9.7,7.6,6.3,4.5,4.6,4.7,7,6.4,8.2,6.5,6.3,6.4,8.9,13,15.3,15.3,16,18.8,20.2,23.3,18.7,19.9,22.9,22.1,20.1,19.5,18.6,18.4,18.3,20.5,18.9,19.8,20.1,20.2,20.4,19.3,21.9,22.9,22.2,22.7,25.2,26.2,28.1,32.6,49.8,47.4,48.8,46.4,47.2,54.7,64.5,56.1,69.9,65.1,49.2,68.5,67.1,63,65.1,63.8,76.2,79.6,73.2,80.5,73.6,83.6,73.2,92.2,88.3,80.6,75.2,77.8,80.6,78.9
"14","7","Households and institutions","A193RC",2.9,2.7,2.3,1.9,1.7,1.8,1.9,2,2.3,2.2,2.3,2.4,2.5,2.9,3.2,3.7,4.1,4.5,5.1,5.6,5.9,6.5,6.9,7.2,7.8,8.1,9.1,9.9,10.6,11.5,12.4,13.9,14.5,15.6,16.7,17.9,19.3,21.3,23.4,26.1,29.5,32.4,35.6,38.9,43,47.1,52,57.1,62.4,69.7,77.3,87.1,97.6,108.2,119.2,131.2,141,153.7,173.3,195.1,214.6,237.9,257.5,279.5,297,313.3,330.3,348.6,363.2,383.8,403.1,431.1,459.6,486.1
"15","8","  Private households","B701RC",1.7,1.5,1.1,0.8,0.7,0.9,0.9,1,1.2,1,1.1,1.2,1.2,1.5,1.6,1.9,2.1,2.1,2.4,2.4,2.4,2.6,2.7,2.6,2.7,2.6,3.1,3.3,3.3,3.5,3.6,3.8,3.7,3.8,3.8,3.9,4,4,4.2,4.4,4.4,4.5,4.6,4.6,4.8,4.6,4.6,5.4,5.9,6.5,6.4,6.1,6.2,6.3,6.3,7.3,7.3,7.7,7.7,8.3,8.9,9.4,9.1,10.1,10.7,11.1,11.9,12,12,14,12.7,13.6,11.9,10.8
"16","9","  Nonprofit institutions","B702RC",1.1,1.2,1.1,1,0.9,1,1,1,1.1,1.1,1.1,1.2,1.3,1.4,1.6,1.8,2,2.4,2.8,3.2,3.6,3.9,4.3,4.6,5.1,5.5,6.1,6.6,7.3,8,8.9,10.1,10.7,11.8,12.8,14,15.3,17.2,19.2,21.7,25,27.9,31,34.3,38.2,42.6,47.3,51.6,56.4,63.2,70.9,81,91.4,102,112.9,123.9,133.6,146,165.6,186.8,205.7,228.6,248.4,269.4,286.3,302.2,318.4,336.5,351.2,369.8,390.4,417.5,447.7,475.3
