"","Table 5#7#6B# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"1","[Billions of chained (2000) dollars]; Seasonally adjusted quarterly totals                                                                ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1996 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 20, 2007 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/19/2007 1:08:08 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Private inventories \1\","A371RX1",NA,NA,NA,1251.6,1260.2,1283.8,1301.9,1322.7,1351.9,1364.5,1380.6,1395.3,1415.2,1425.6,1438.3,1464.2,1470.9,1495.7,1509.8,1520.7,1518.7,1518.1,1510.6,1488.9,1486.4,1487,1494,1501.4,1507.5,1506.8,1509.5,1515.7,1524.4,1540.7,1555.7,1570,1585.8,1588.3,1589.8,1603.2,1612.8,1625.7,1639.1,1643.5,1643.5,1645,1652.6
"10","2","Farm","B372RX1",NA,NA,NA,126.4,124.1,125.8,127.9,129.3,130.7,130.2,130.7,130.7,130.9,131.2,128.3,127.8,124.2,125.7,125,126.4,127.8,127.5,127.7,126.5,126.7,124.4,124.1,124,125.2,125.3,125,124.4,125.5,128.7,129.9,130.3,129.2,128.9,129.3,129.8,130,128.7,128,128.9,130.1,131.1,132.1
"11","3","Mining, utilities, and construction","N238RX1",NA,NA,NA,33.6,33.7,35.1,36.3,36.1,37.8,39.6,40.9,43.3,44,44.2,43.6,42.7,43.7,43,43.1,41.1,43.1,46.5,49.1,51.7,51.8,50.1,49.2,48.1,48.4,49.5,50.9,53.4,51.9,51.8,53,53.9,54.3,56,55.9,55.7,55.4,57,58.2,59.6,60.6,61.1,60.5
"12","4","Manufacturing","N376RX1",NA,NA,NA,409.9,413.6,419.4,424.8,430.7,439.1,443.9,446.7,449.3,452.7,454.8,458.8,466.3,465.6,470.6,471.5,474.2,472,466.1,458.9,452.8,449.1,446.3,447.1,447,446.4,442.7,438.5,437.5,437.4,438.9,438.6,440.1,447.9,448,448.9,451.7,452.7,455.8,458,457.6,456.3,455.3,456.1
"13","5","  Durable goods industries","N377RX1",NA,NA,NA,248.3,250.8,254.9,258.7,262,269.3,274.1,277.3,279.9,282,282,284.3,288.4,287.1,290.8,291.7,295.7,294.6,290.5,283.8,277.5,273.1,270.2,269.2,270.7,269.6,265.6,262.2,264.2,263.1,263.8,264.3,265.9,271.4,272.1,274.5,276.9,276.2,277.6,280.5,282.9,283.1,281.3,281.6
