"","Table 7#19# Comparison of Personal Income in the National Income","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1947 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 16, 2007  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/19/2007 1:16:12 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","Personal income, NIPAs","A065RC1",191,209.8,207.1,229,258,275.4,291.9,294.5,316.1,339.6,358.7,369,392.8,411.5,429,456.7,479.6,514.6,555.7,603.9,648.3,712,778.5,838.8,903.5,992.7,1110.7,1222.6,1335,1474.8,1633.2,1837.7,2062.2,2307.9,2591.3,2775.3,2960.7,3289.5,3526.7,3722.4,3947.4,4253.7,4587.8,4878.6,5051,5362,5558.5,5842.5,6152.3,6520.6,6915.1,7423,7802.4,8429.7,8724.1,8881.9,9163.6,9727.2,10301.1,10983.4
"9","2","Less: Portion of personal income not included in adjusted gross income","A1457C1",26.2,32,31.2,34.1,37.3,41.9,43.9,47.4,50,53.7,60.4,68.9,69.8,76.3,83.2,87.7,92.6,99,107.9,120.3,140.9,156.9,171.1,193.2,221.1,239.7,268.1,308.1,384.6,416.5,460.8,512.7,574.7,663.8,788.2,907.3,1005.5,1125,1248.2,1329.5,1321.1,1403.4,1531.8,1669.9,1789.2,1929,2019.5,2135.5,2234.2,2355.2,2489.9,2629.5,2757.5,2971.3,3108.3,3243.9,3368.7,3575.8,3662.4,NA
"10","3","        Nontaxable personal current transfer receipts","B1458C1",10.8,10.3,11.2,14,11.4,11.9,12.5,14.3,15.7,16.8,19.5,23.5,24.2,25.7,29.5,30.4,32.2,33.5,36.2,39.6,48,56.1,62.3,74.7,88.1,97.9,112.6,133.3,170,184,194.2,209.6,233.9,276.6,315.2,345.4,373.7,378,401.9,426.4,434.8,463.1,505.7,551.2,611.7,678.7,721,753.2,797.5,838.6,859.1,883.9,915.4,962,1056,1126.5,1187.3,1262.4,1350.1,NA
"11","4","        Employer contributions for employee pension and insurance funds","B1459C1",3,3.4,3.8,4.7,5.7,6.4,7,7.3,8.4,9.8,11.2,11.9,13.3,14.3,15.2,16.6,18,20.3,22.7,25.5,28.1,32.4,36.5,41.8,47.9,55.2,62.7,73.3,87.6,105.2,125.3,143.4,162.4,185.2,204.7,222.4,238.1,261.5,281.5,297.5,313.2,329.6,355.2,377.8,407.1,442.5,472.4,493.3,493.6,492.5,497.5,529.7,562.4,609.9,642.7,745.1,815.6,868.5,927.7,NA
"12","5","        Imputed income in personal income \1\","B4801C1",7.5,8,8.1,8.9,10.4,11.5,12.6,13.4,13.8,14.2,14.6,15.3,16.3,17.5,18.5,19.5,19.8,20.5,21.1,22.5,23.6,23.7,26,27.9,30,30.6,31.7,35.5,42.7,41,40.4,45.6,46.4,48,49,53.5,77.2,74.3,84.9,89,95.4,102.2,101.8,114.1,133.1,158.3,172.1,192.2,186.7,202.7,210.5,231.5,255.3,265.8,294,294.8,271.6,274.1,208.4,NA
"13","6","        Investment income of life insurance carriers and pension plans","B1471C1",1.7,1.7,1.8,2.1,2.3,2.6,2.9,3.3,3.7,4.1,4.6,4.1,5.8,6.5,7.2,7.9,8.8,9.7,10.7,11.7,12.5,13.7,15.2,17,18.8,20.7,23.5,28,33.1,38,44.6,54.8,62.4,80,94.1,113.2,136.6,173.2,204.2,231.7,254.1,258.8,283.8,304.2,306.5,313.4,330.4,332.3,369.1,380.8,425.3,441.2,446.1,497.3,445.5,432,429.2,435.3,492.1,NA
"14","7","        Investment income received by nonprofit institutions or retained by fiduciaries","B1462C1",2,2.1,2,2.2,2.2,2.3,2.6,2.9,3.1,3.4,3.7,3.9,4.1,4.3,4.3,4.4,4.6,5,5.5,6,6.3,6.8,7.1,7.8,8.1,8.5,9,10.1,11.6,11.7,12.6,13.4,15.8,19.7,22.9,29.3,30.7,34.4,37.5,37.1,39.2,44.2,49.3,51.6,51.7,49.7,49.2,52.2,60,64,79.1,62.5,69.6,75.6,70.6,60,55.8,62.1,63.7,NA
"15","8","        Differences in accounting treatment between NIPAs and tax regulations, net","B1463C1",-2.1,3.3,1.6,0.7,2.5,3.7,2.7,2.3,1.5,1.2,2.3,5.7,1.3,2.7,3.2,2.7,2.5,2.5,2.7,2.6,7.4,7.1,6.2,5.9,10,8.9,10.5,5.7,15.1,10.7,15,12.6,15,10.6,41.8,47.4,32.3,65.9,83.4,85.7,76.9,84.8,101.4,110.4,103.2,104.1,82.8,90.5,83.8,102.7,118.1,136.6,141.3,159.4,176.8,146,142,157.3,43,NA
"16","9","        Other personal income exempt or excluded from adjusted gross income","B1464C1",3.2,3.3,2.7,1.6,2.8,3.6,3.6,3.9,3.9,4.2,4.4,4.5,4.8,5.2,5.3,6.2,6.7,7.6,9.1,12.4,15,17.1,17.8,18,18.2,17.8,18.1,22.2,24.4,26.1,28.6,33.2,38.9,43.6,60.5,96.1,117,137.7,154.8,162.1,107.4,120.7,134.6,160.6,175.8,182.3,191.6,221.8,243.4,273.9,300.2,344.1,367.5,401.4,422.7,439.5,467.2,516.2,577.4,NA
"17","10","Plus: Portion of adjusted gross income not included in personal income","A1465C1",5.6,5.9,5.7,7.6,8.6,8.1,8.1,10.3,12.5,13.6,14.2,15.7,18.8,18.7,22.1,21,23.9,28.3,32.8,37.6,43.9,50.4,52.4,50.8,60.4,71.5,82.4,88.9,96.3,109.8,123.7,141.4,166.7,186.3,213.2,230.7,270.4,308.1,353.1,460.3,494.8,561.6,593.6,589.7,595.1,658.9,706.4,766.7,841.7,979.2,1152.7,1326.7,1508.5,1667.1,1389.2,1338.9,1440,1735.1,2069.7,NA
"18","11","        Employee and self-employed contributions for government social insurance","B228RC1",1.6,1.6,1.5,2.1,2.5,2.8,2.9,3.5,3.9,4.3,5,5,6,7.2,7.4,7.9,9.3,9.8,10.3,14.5,16.8,18.7,21.4,22.5,24.7,28,35.7,40.5,42.6,46.9,52,59.7,70.2,77.2,92.1,99.1,106.1,118.4,133.6,145.6,156.9,176.8,191.6,203.7,215.1,226.6,237.8,254.1,268.8,280.3,297.7,317.2,338.1,359.2,374.5,384.8,396.5,420.5,445.7,475.7
"19","12","        Net gain from the sale of assets","B1467C1",2.1,2.2,1.5,2.8,2.9,2.4,2,3.3,4.6,4.3,3.4,4.2,6.2,5.2,7.5,5.6,6.2,7.8,9.9,9.7,13.4,17.6,14.3,8.6,13,17.3,17,13.9,14.2,18.7,21.4,24.5,29.4,29.7,31.1,35,50.6,56.2,69.8,133.6,138,155.6,146.7,115.7,100.6,115.6,140.3,139.1,167.4,249.5,354.6,444.5,553,645.4,324.6,236.4,294,476.2,671.7,NA
"20","13","        Taxable pensions","B1468C1",0.5,0.6,0.7,0.8,0.9,1.1,1.3,1.5,1.7,2.1,2.3,2.7,3.1,3.5,4,4.5,5.1,5.9,6.7,7.9,9,10.3,11.9,13.9,16.4,19.2,21.9,26.2,31.6,37.3,43,49.2,57.1,68.2,82.2,95,110.5,129.2,145,175.1,181.5,183.1,204.2,215.9,229.3,245.8,254.1,272.6,293.2,312.7,335.2,357.5,386.5,414.2,435.8,462.7,491.4,522.7,560,NA
"21","14","        Small business corporation income","B1469C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.5,0,1.8,1.7,2,2.1,2.1,2.6,2.1,1.9,2,2.3,2.2,0.7,-0.8,-0.9,2,6.2,6.3,7.6,17.7,34.5,35.6,36.4,31.7,47.9,51.9,71.7,79.2,89.3,103.7,114.1,126,128.2,130.6,138.5,148.6,195.1,250.7,NA
"22","15","        Other types of income","B1470C1",1.4,1.5,1.9,1.9,2.2,1.8,2,2.1,2.3,2.9,3.5,3.8,3.5,2.8,3.2,3,3.3,4.9,5.8,4.3,3.1,3.7,3,4.1,4.3,4.8,5.6,5.8,5.9,4.9,5.4,5.7,7.7,10.4,8.7,2.4,1.3,-1.9,-1.7,-1.7,0.7,11.6,15.6,18.1,18.5,23.2,22.3,29.3,33.2,47.3,61.5,93.4,104.9,120,123.6,116.5,109.4,120.6,141.6,NA
"23","16","Equals: BEA-derived adjusted gross income","A1637C1",170.4,183.7,181.6,202.5,229.3,241.6,256.1,257.3,278.7,299.4,312.6,315.8,341.8,354,368,390,411,443.9,480.6,521.2,551.3,605.6,659.8,696.4,742.8,824.5,925,1003.5,1046.8,1168,1296.1,1466.4,1654.1,1830.3,2016.3,2098.6,2225.6,2472.6,2631.6,2853.2,3121.1,3411.9,3649.7,3798.4,3856.8,4092,4245.4,4473.7,4759.8,5144.5,5578,6120.2,6553.5,7125.4,7005,6976.8,7234.9,7886.4,8708.4,NA
"24","17","Adjusted gross income, IRS","B1456C1",149.7,163.5,160.6,179.1,202.3,215.3,228.7,229.2,248.5,267.7,280.3,281.2,305.1,315.5,329.9,348.7,368.8,396.7,429.2,468.5,504.8,554.4,603.5,631.7,673.6,746,827.1,905.5,947.8,1053.9,1158.5,1302.4,1465.4,1613.7,1772.6,1852.1,1942.6,2139.9,2306,2481.7,2773.8,3083,3256.4,3405.4,3464.5,3629.1,3723.3,3907.5,4189.4,4536,4970,5416,5855.5,6365.4,6170.6,6033.6,6207.1,6788.8,7422.5,NA
"25","18","Adjusted gross income (AGI) gap \2\","B1671C1",20.7,20.2,21,23.4,26.9,26.3,27.4,28.1,30.2,31.7,32.2,34.7,36.7,38.5,38.1,41.3,42.2,47.2,51.4,52.7,46.4,51.1,56.3,64.7,69.1,78.6,97.8,97.9,99,114.1,137.6,164,188.7,216.6,243.7,246.5,283,332.7,325.6,371.5,347.3,328.9,393.3,393,392.3,462.9,522.1,566.2,570.4,608.5,608,704.3,698,760.1,834.4,943.2,1027.8,1097.6,1285.9,NA
"26","19","      AGI gap (line 18) as a percentage of BEA-derived AGI (line 16)","A1639C1",12.1,11,11.6,11.5,11.5,10.9,10.7,10.9,10.8,10.6,10.3,11,10.7,10.9,10.4,10.6,10.3,10.6,10.7,10.1,8.4,8.4,8.5,9.3,9.3,9.5,10.6,9.8,9.5,9.8,10.6,11.2,11.4,11.8,12.1,11.7,12.7,13.5,12.4,13,11.1,9.6,10.8,10.3,10.2,11.3,12.3,12.7,12,11.8,10.9,11.5,10.7,10.7,11.9,13.5,14.2,13.9,14.8,NA
"27","20","      AGI of IRS (line 17) as a percentage of BEA-derived AGI (line 16)","A1640C1",87.9,89,88.4,88.5,88.5,89.1,89.3,89.1,89.2,89.4,89.7,89,89.3,89.1,89.6,89.4,89.7,89.4,89.3,89.9,91.6,91.6,91.5,90.7,90.7,90.5,89.4,90.2,90.5,90.2,89.4,88.8,88.6,88.2,87.9,88.3,87.3,86.5,87.6,87,88.9,90.4,89.2,89.7,89.8,88.7,87.7,87.3,88,88.2,89.1,88.5,89.3,89.3,88.1,86.5,85.8,86.1,85.2,NA
"28",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","21","  Misreporting adjustment included in personal income \3\","W715RC1",NA,NA,NA,0.2,0.3,0.3,0.4,0.4,0.5,0.7,0.7,0.8,10.3,10.9,11.9,13.1,13.9,15.4,16,17.5,18.5,20.5,21.7,23.3,27.2,32.8,38.8,45.7,51.6,63.2,71,86.3,96.9,107.7,111.7,122.2,132.3,161.4,176.2,179.6,189.1,194.6,206.9,220.1,221,233.1,244.8,258.1,275.5,288.9,295.4,318,353.6,378.3,388.2,401.5,425.4,461,507.9,NA
