"","Table 6#6D# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","[Dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 01, 2007   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/19/2007 1:10:37 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006
"8","1","      Wage and salary accruals per full-time equivalent employee","A4401C0",35201,36754,38846,39667,40394,41783,43450,44946,46954
"9","2","Domestic industries","A4402C0",35121,36664,38762,39538,40263,41628,43280,44764,46758
"10","3","  Private industries","A4403C0",34719,36294,38446,39104,39610,40901,42505,43953,45995
"11","4","    Agriculture, forestry, fishing, and hunting","N4404C0",24204,24767,25847,23246,23700,23152,26022,27286,28768
"12","5","      Farms \1\","N4405C0",23970,24438,25552,24034,24026,22454,26690,28572,30355
"13","6","      Forestry, fishing, and related activities","N4406C0",24528,25192,26225,22300,23299,24028,25232,25878,27081
"14","7","    Mining","N4407C0",51538,54451,58291,60595,61069,63237,67649,72936,79162
"15","8","      Oil and gas extraction","N4408C0",78065,89445,93382,93847,93818,97268,109235,118037,132407
"16","9","      Mining, except oil and gas","N4409C0",45607,46843,48122,49456,49860,51635,53923,56608,59520
"17","10","      Support activities for mining","N4410C0",41051,41092,47295,51748,51574,53332,56020,62832,68096
"18","11","    Utilities","N4411C0",56854,58731,64271,66470,68268,69404,72718,76375,79001
"19","12","    Construction","N4412C0",34032,35375,37196,39647,40394,41364,41493,43619,46263
"20","13","    Manufacturing","N4413C0",39147,40930,44216,43778,44864,46753,48659,50137,52307
"21","14","      Durable goods","N4414C0",41110,43240,47007,46063,47047,49046,51096,52416,54961
"22","15","        Wood products","N4415C0",28340,28858,30360,30644,31058,32124,33866,35132,35376
"23","16","        Nonmetallic mineral products","N4416C0",35012,36641,38879,39230,40481,41657,42935,44814,46103
"24","17","        Primary metals","N4417C0",42674,44464,45745,45799,46575,48499,51715,52682,55522
"25","18","        Fabricated metal products","N4418C0",34871,35487,37688,38169,39147,40335,41918,42977,45051
"26","19","        Machinery","N4419C0",42596,43846,46882,46022,47117,48976,51593,52997,55213
"27","20","        Computer and electronic products","N4420C0",53572,59829,71372,65528,66344,70695,74417,78050,83109
"28","21","        Electrical equipment, appliances, and components","N4421C0",37228,40204,42732,40861,42051,43983,46935,48175,50443
"29","22","        Motor vehicles, bodies and trailers, and parts","N4422C0",45235,47838,49727,48732,51390,54204,54649,54236,56591
"30","23","        Other transportation equipment","N4423C0",49443,50723,52612,55175,57952,59859,62606,64231,68571
"31","24","        Furniture and related products","N4424C0",26778,27631,29660,29911,30823,32088,33062,33950,35165
"32","25","        Miscellaneous manufacturing","N4425C0",34414,36135,38504,39630,40973,43153,45696,46140,48143
"33","26","      Nondurable goods","N4426C0",35863,37030,39420,39895,41264,43028,44615,46236,47685
"34","27","        Food and beverage and tobacco products","N4427C0",31253,31933,34110,34702,35482,36788,37622,38681,39624
"35","28","        Textile mills and textile product mills","N4428C0",25138,26671,29018,29537,30632,31219,32673,33407,34604
"36","29","        Apparel and leather and allied products","N4429C0",22873,23115,24769,24568,26365,27883,29516,31140,32797
"37","30","        Paper products","N4430C0",42087,43652,45578,46911,48497,50192,51338,52937,54232
"38","31","        Printing and related support activities","N4431C0",36271,37138,38966,37476,38384,39353,40537,41856,43031
"39","32","        Petroleum and coal products","N4432C0",60920,59769,62310,64768,65972,68709,75222,82368,87074
"40","33","        Chemical products","N4433C0",55421,57284,60928,61393,62782,66223,69092,71931,73955
"41","34","        Plastics and rubber products","N4434C0",32868,33718,35375,35794,37212,38433,39764,40206,41433
"42","35","    Wholesale trade","N4435C0",44024,46601,48017,50974,51506,52964,55212,57167,60021
"43","36","      Durable goods","N4436C0",45982,49029,50688,53177,53277,54655,57060,59151,62036
"44","37","      Nondurable goods","N4437C0",41132,43015,44071,47735,48984,50590,52627,54370,57143
"45","38","    Retail trade","N4438C0",23945,25013,26307,26027,26675,27393,28181,28664,29390
"46","39","      Motor vehicle and parts dealers","N4439C0",37976,40193,41764,42283,43130,43909,44688,45609,46686
"47","40","      Food and beverage stores","N4440C0",20867,21209,21650,21315,22087,22677,23228,23376,23820
"48","41","      General merchandise stores","N4441C0",17917,18441,19744,19457,20297,21250,21759,22095,22894
"49","42","      Other retail \2\","N4442C0",23867,25117,26683,26315,26705,27343,28296,28883,29627
"50","43","    Transportation and warehousing","N4443C0",36297,37612,39463,39426,40116,40854,42526,43029,44536
"51","44","      Air transportation","N4444C0",46790,48466,50969,55336,57370,56771,58134,55918,58409
"52","45","      Rail transportation","N4445C0",60530,60538,62728,63517,64404,67174,71007,70866,73190
"53","46","      Water transportation","N4446C0",47422,51803,51361,54850,56386,57398,60869,61913,65334
"54","47","      Truck transportation","N4447C0",34533,35341,36736,36204,36954,37793,39531,40919,42432
"55","48","      Transit and ground passenger transportation","N4448C0",21988,22880,23795,23121,23512,24129,24868,25508,26616
"56","49","      Pipeline transportation","N4449C0",71496,77984,96703,99717,81404,83188,88573,88105,97166
"57","50","      Other transportation and support activities \3\","N4450C0",33444,35299,36806,35846,37226,38545,40794,41724,43406
"58","51","      Warehousing and storage","N4451C0",30120,31663,34269,33842,34763,36115,37467,38183,38731
"59","52","    Information","N4452C0",51165,57920,63217,60917,59681,61812,65733,67509,70846
"60","53","      Publishing industries (includes software)","N4453C0",50374,58312,64243,66203,64063,66428,68330,70066,73342
"61","54","      Motion picture and sound recording industries","N4454C0",51596,50418,55355,54776,54877,55991,60424,62035,65727
"62","55","      Broadcasting and telecommunications","N4455C0",54805,61361,63594,57023,57302,59521,63589,65062,67685
"63","56","      Information and data processing services","N4456C0",42531,52583,64837,67055,62151,64304,71686,74349,79447
"64","57","    Finance and insurance","N4457C0",54626,57822,64049,66562,65721,68356,72500,77362,82770
