"","Table 5#4#6# Real Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/22/2010 7:25:26 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Private fixed investment in structures","A349RX1",787.8,844,878.9,936.9,971,1006.7,1003.4,960,997.6,1066.6,1116.9,1093.4,1020.7,916.6,718.4
"9","2","Nonresidential","B009RX1",342,361.4,387.9,407.7,408.2,440,433.3,356.6,343,346.7,351.8,384,438.2,464.2,369.6
"10","3","  Commercial and health care","W001RX1",126.7,136.5,150.8,160.2,166.1,177.2,168.6,142.8,133.8,137.1,135.9,144.2,158.6,152.8,107
"11","4","    Office \1\","W031RX1",44.2,47.2,55.2,64.6,68.6,76.6,70.6,48.9,41.2,41.7,42.8,47.8,53,52.5,34.9
"12","5","    Health care","W032RX1",23.7,24.5,27.8,27.4,27.2,27.6,26.5,29.8,31.3,32,32.1,33.2,35.2,37.3,36
"13","6","      Hospitals and special care","C311RX1",18.8,19.3,21.5,21.1,20,20.4,20.2,23.3,23.5,22.8,23,25.8,27.3,28.3,28.4
"14","7","        Hospitals","W033RX1",14.8,13.7,16,14.6,14.1,14.4,15.4,18.6,19.7,19.7,20.5,22.7,24.3,24.8,25.3
"15","8","        Special care","W034RX1",4,5.5,5.5,6.5,5.9,6,4.8,4.7,3.8,3.1,2.5,3,3,3.5,3.1
