"","Table 2#5#3 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 11:56:21 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Personal consumption expenditures","DPCERA3",8.352,7.904,7.657,6.97,6.816,7.302,7.748,8.537,8.853,8.71,9.197,9.673,10.359,10.114,10.397,10.693,11.355,12.767,13.012,13.305,13.674,14.551,14.78,15.246,15.974,16.31,17.513,18.026,18.473,18.634,19.692,20.233,20.65,21.671,22.564,23.908,25.42,26.862,27.667,29.263,30.359
"9","2","Household consumption expenditures \1\","DPHCRA3",8.563,8.089,7.828,7.124,6.977,7.493,7.961,8.782,9.116,8.96,9.467,9.955,10.671,10.408,10.689,10.986,11.675,13.143,13.414,13.717,14.101,15.015,15.256,15.722,16.476,16.817,18.071,18.587,19.049,19.203,20.265,20.794,21.221,22.277,23.197,24.56,26.121,27.61,28.427,30.062,31.199
"10","3","  Food and beverages purchased for off-premises consumption","DFXARA3",21.3,20.77,20.654,19.151,20.005,21.955,23.11,26.277,27.003,27.574,27.928,29.102,30.08,29.942,29.168,30.431,32.078,35.94,35.944,35.651,35.823,36.577,36.778,37.781,39.218,40.268,42.211,43.611,44.65,44.837,46.691,47.025,47.68,47.996,48.389,50.037,52.542,54.593,55.841,58.317,59.925
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRA3",25.383,24.69,24.371,22.423,22.847,22.087,22.541,25.327,26.074,27.301,27.612,29.033,29.891,29.355,28.16,29.686,31.321,35.76,35.965,36.46,36.944,37.649,38.162,39.491,41.214,42.731,45.04,46.699,48.214,48.498,50.508,51,51.784,51.929,52.259,54.078,57.006,59.202,60.579,63.007,64.294
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRA3",NA,NA,NA,NA,1.135,9.785,13.374,17.138,17.752,16.152,16.373,16.8,18.324,19.521,19.524,20.413,21.663,23.197,23.633,20.898,20.523,21.586,20.834,20.694,21.425,20.805,21.392,21.883,21.549,21.611,22.848,22.977,23.168,24.58,25.327,26.343,27.305,28.829,29.649,32.309,35.3
"13","6","    Food produced and consumed on farms","DFFDRA3",2494.487,2488.001,2649.447,2636.834,2849.453,2721.161,2518.632,2570.526,2559.354,2591.067,2658.096,2602.599,2483.316,2442.594,2597.914,2460.252,2531.606,2600.797,2335.564,2242.588,2095.917,2049.429,1978.076,1928.705,1803.656,1747.799,1686.536,1627.075,1474.277,1399.681,1354.908,1224.904,1196.23,1052.645,1005.499,942.504,829.93,764.906,710.984,657.331,609.16
"14","7","  Clothing, footwear, and related services","DCAFRA3",12,10.826,10.517,9.233,8.322,8.823,9.551,10.43,10.404,10.5,11.26,11.685,12.641,13.216,14.499,14.12,14.662,15.175,14.571,14.696,14.722,15.033,14.938,15.673,15.824,15.855,16.54,16.92,16.786,16.878,17.694,17.808,18.089,18.828,19.13,20.5,21.324,22.607,22.724,23.565,23.957
"15","8","    Clothing","DCLTRA3",11.078,10.063,9.697,8.274,7.457,7.822,8.632,9.409,9.258,9.382,10.231,10.651,11.524,12.023,13.517,13.171,13.564,13.859,13.414,13.621,13.6,13.807,13.993,14.796,14.928,15.006,15.576,16.011,15.911,15.873,16.731,16.848,17.15,17.897,18.261,19.574,20.429,21.716,21.815,22.55,22.836
"16","9","      Garments","DGARRA3",9.431,8.543,8.378,7.221,6.501,6.79,7.492,8.129,7.91,8.054,8.869,9.161,9.589,9.5,10.287,9.926,10.17,10.845,10.555,10.774,10.783,10.953,11.076,11.864,12.018,12.129,12.673,13.078,13.01,13.026,13.802,13.97,14.277,14.966,15.316,16.56,17.311,18.508,18.672,19.373,19.718
"17","10","        Women's and girls' clothing","DWGCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.405,12.619,12.955,13.699,14.091,15.257,15.859,16.896,16.757,17.376,17.633
"18","11","        Men's and boys' clothing","DMBCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.878,16.912,17.11,17.656,17.833,19.299,20.251,21.77,22.511,23.33,23.598
"19","12","        Children's and infants' clothing","DCICRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.316,6.692,7.258,7.776,8.78,8.796,10.506,11.34,12.305,13.322,16.594
"20","13","      Other clothing materials","DOCMRA3",15.625,14.383,14.117,12.321,10.918,10.947,12.356,13.188,12.775,13.369,14.974,16.459,28.474,49.767,70.731,69.917,70.992,37.29,29.608,28.546,29.692,31.932,36.3,33.168,30.303,27.462,27.579,28.74,28.774,29.059,30.354,29.601,30.255,32.247,31.945,29.965,31.816,35.609,33.352,33.861,31.749
"21","14","      Cleaning, repair, and rental of clothing","DCRCRA3",89.218,82.318,70.388,56.071,51.058,55.842,61.277,69.474,74.081,72.106,72.984,79.058,90.022,96.357,113.301,116.598,126.481,148.485,149.856,149.703,145.186,143.915,141.647,145.48,147.66,149.058,149.581,149.417,147.191,142.983,145.997,143.207,141.712,142.507,143.558,149.642,153.698,154.374,152.818,154.017,152.629
"22","15","        Laundry and dry cleaning services","DDRYRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.771,143.555,139.737,138.258,137.21,147.103,159.464,168.441,171.877,172.126,168.538
"23","16","        Clothing repair, rental, and alterations","DLGRRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.647,143.896,145.19,148.759,152.405,153.767,147.443,137.757,129.992,132.371,133.689
"24","17","    Footwear \2\","DFTWRA3",18.675,16.289,16.481,16.482,14.858,16.522,16.321,17.987,19.152,18.97,18.764,19.163,20.713,21.89,20.86,20.248,22.175,24.813,22.772,22.11,22.554,23.755,21.249,21.329,21.623,21.258,22.829,22.726,22.327,23.427,23.871,23.956,24.079,24.726,24.564,26.289,26.852,28.059,28.294,29.847,30.945
"25","18","  Housing, utilities, and fuels","DHUFRA3",7.563,7.525,7.411,7.266,7.177,7.545,7.661,7.883,8.018,8.074,8.349,8.686,9.134,9.588,9.916,10.252,10.574,11.509,12.444,13.162,13.725,14.788,15.811,16.721,17.535,18.449,19.477,20.471,21.432,22.496,23.609,24.722,25.767,27.173,28.444,29.823,31.396,32.801,34.201,35.727,37.509
"26","19","    Housing","DHSGRA3",6.548,6.47,6.407,6.295,6.178,6.511,6.564,6.666,6.774,6.881,7.042,7.253,7.666,8.057,8.36,8.68,8.865,9.627,10.401,11.023,11.745,12.57,13.497,14.378,15.154,15.894,16.696,17.524,18.416,19.309,20.351,21.41,22.457,23.708,24.774,25.955,27.361,28.599,29.869,31.365,33.069
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRA3",12.635,12.729,12.919,12.969,12.294,13.686,13.878,14.24,14.678,15.116,15.603,16.162,16.936,17.485,17.485,17.374,16.778,17.562,18.302,19.127,20.219,21.196,22.35,23.31,24.211,24.808,25.305,25.883,26.964,28.052,29.334,30.628,32.221,33.998,35.691,37.561,39.627,41.401,43.135,45.769,48.106
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRA3",4.101,3.987,3.869,3.73,3.768,3.814,3.826,3.853,3.871,3.894,3.965,4.072,4.373,4.715,5.075,5.493,5.865,6.601,7.351,7.934,8.567,9.35,10.217,11.081,11.826,12.602,13.484,14.371,15.212,16.07,17.086,18.117,19.046,20.202,21.14,22.158,23.417,24.537,25.683,26.914,28.475
"29","22","      Rental value of farm dwellings","DFARRA3",47.979,47.791,47.581,47.256,46.961,46.646,46.622,46.652,46.813,46.779,46.946,47.373,47.924,48.169,48.229,48.192,48.045,49.178,50.032,51.173,52.179,52.986,53.692,54.181,54.63,54.968,55.068,55.315,55.5,55.621,55.911,56.048,56.427,56.693,56.976,57.342,57.565,57.929,58.358,58.727,59.023
"30","23","      Group housing","DGRHRA3",101.816,98.196,93.066,84.026,82.438,94.406,101.816,110.651,115.901,115.124,118.505,125.957,134.34,131.455,150.543,163.126,178.961,193.414,241.048,217.555,206.073,207.174,214.951,221.909,228.917,235.875,244.343,256.593,272.309,266.896,240.384,224.53,217.688,198.921,184.438,195.877,209.527,215.566,252.853,265.595,294.158
"31","24","    Household utilities and fuels","DUTFRA3",13.004,13.277,12.822,12.476,12.584,13.129,13.6,14.504,14.79,14.522,15.484,16.576,17.183,17.971,18.419,18.814,19.947,21.844,23.666,24.906,24.468,26.88,28.377,29.347,30.278,32.194,34.555,36.481,37.723,39.744,41.107,42.37,43.186,45.365,47.785,50.242,52.629,54.89,56.88,58.257,60.164
"32","25","      Water supply and sanitation","DWRSRA3",11.045,11.74,11.74,11.377,12.061,13.305,13.099,13.723,13.929,13.762,14.596,14.917,15.462,15.94,16.229,16.503,16.65,17.748,18.339,18.967,19.698,20.193,20.91,21.302,21.808,22.13,22.186,23.057,22.849,21.965,23.903,26.242,27.486,29.28,32.037,33.441,34.888,35.258,35.482,36.773,39.32
