"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2010     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 11:58:00 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Government consumption expenditures \1\","A955RA3",6.411,6.829,7.09,7.11,7.291,8.053,8.188,8.894,8.784,9.333,10.131,10.688,15.142,32.943,52.517,63.402,60.528,24.983,20.48,20.987,22.358,22.229,28.879,34.432,36.647,33.999,33.32,33.333,35.126,35.614,36.064,36.532,37.746,40.287,41.708,42.672,44.171,48.084,52.153,54.612,55.404
"9","2","        Gross output of general government","W101RA3",6.192,6.645,6.918,6.906,7.548,8.826,9.022,10.705,10.039,11.123,11.627,11.757,15.515,31.036,48.236,58.315,57.152,25.304,19.295,19.657,20.915,20.967,27.036,31.866,33.854,31.596,31.373,31.216,33.041,33.605,34.091,34.505,35.669,38.129,39.607,40.622,42.209,46.033,49.725,52.154,52.997
"10","3","          Value added","W102RA3",11.994,12.559,12.778,12.611,13.31,15.024,16.019,18.754,17.884,19.288,19.654,20.587,25.297,38.682,63.513,76.972,77.238,41.874,32.993,31.599,31.482,31.92,38.146,41.361,42.137,42.19,42.355,43.152,44.061,44.504,45.115,46.676,48.327,50.213,51.711,53.49,55.29,58.749,61.869,64.297,65.936
"11","4","            Compensation of general government employees","A194RA3",16.284,17.051,17.255,16.881,17.888,20.472,21.868,25.98,24.419,26.423,26.772,27.981,34.345,51.163,82.182,94.267,90.106,39.95,30.293,30.843,32.338,34.052,43.117,46.707,46.623,45.81,45.655,46.539,47.577,47.97,48.402,50.085,51.952,53.981,55.487,57.44,59.51,63.712,67.307,70.04,71.919
"12","5","            Consumption of general government fixed capital \2\","A265RA3",3.152,3.302,3.466,3.613,3.718,3.856,4.064,4.318,4.53,4.784,5.056,5.371,6.64,11.531,20.886,31.523,37.819,36.183,30.692,26.249,23.374,21.434,21.344,23.218,25.368,27.004,27.743,28.219,28.704,29.158,30.023,31.047,31.937,33.178,34.404,35.484,36.347,37.437,38.886,40.174,40.947
"13","6","          Intermediate goods and services purchased \3\","W104RA3",1.795,2.054,2.267,2.331,2.777,3.511,3.28,4.008,3.619,4.26,4.698,4.41,6.658,18.424,26.953,32.496,30.776,8.159,5.405,7.046,9.13,8.881,13.699,18.873,21.463,17.778,17.29,16.395,18.665,19.24,19.564,18.861,19.425,22.147,23.444,23.589,24.805,28.656,32.631,34.862,34.764
"14","7","            Durable goods","W105RA3",1.067,1.078,1.179,1.076,1.618,2.585,2.855,3.984,3.533,4.396,4.352,4.015,17.406,83.499,152.698,166.113,181.832,8.119,5.466,9.642,11.305,17.776,39.539,68.355,76.255,56.427,48.102,45.887,48.366,49.912,36.737,31.912,27.306,33.535,34.444,30.707,32.724,44.774,44.188,50.293,43.933
"15","8","            Nondurable goods","W106RA3",3.221,3.848,4.357,4.626,5.367,6.672,6.034,7.665,6.827,8.218,9.477,8.733,9.507,25.498,31.966,38.747,27.964,7.734,6.876,9.086,14.229,10.641,12.598,15.497,25.701,20.892,17.306,12.78,13.946,15.17,22.916,18.193,18.096,22.958,22.191,23.256,24.95,26.881,36.11,41.36,42.993
"16","9","            Services","W107RA3",1.16,1.29,1.39,1.399,1.67,2.077,1.949,2.227,2.048,2.326,2.507,2.411,3.333,5.085,5.683,9.547,10.408,8.15,4.466,5.399,6.028,6.356,9.757,12.231,10.769,10.092,12.158,13.057,15.735,15.88,15.291,17.053,18.812,20.057,22.288,22.738,23.635,26.919,29.589,30.035,30.288
"17","10","        Less: Own-account investment \4\","W108RA3",12.403,13.869,13.085,9.599,59.028,116.889,124.149,241.694,179.955,237.742,213.04,172.975,147.83,101.221,36.288,14.552,19.74,7.337,9.926,13.711,18.04,19.797,26.619,34.637,34.405,32.853,30.149,32.198,33.837,36.55,45.404,43.08,45.052,46.893,49.099,48.214,49.645,53.156,49.067,49.564,49.059
"18","11","              Sales to other sectors","W109RA3",3.905,4.572,5.051,5.093,5.043,5.361,5.407,4.476,4.706,5.078,5.436,5.79,6.451,8.358,13.393,19.536,31.612,30.237,9.912,8.681,8.656,10.114,11.076,9.376,9.645,10.663,14.732,12.787,14.978,16.019,15.898,16.142,16.792,18.652,20.599,22.323,24.77,27.931,29.147,31.6,33.097
"19","12","Federal consumption expenditures \1\","A957RA3",3.621,3.86,3.76,3.616,4.238,5.691,5.213,9.223,8.15,9.267,10.306,10.831,20.357,60.553,106.273,132.108,124.986,42.155,30.901,31.914,33.573,32.023,48.292,61.695,66.397,58.717,55.321,54.366,57.309,56.201,55.967,55.15,56.176,61.508,63.11,62.714,63.529,70.498,78.516,81.222,79.449
"20","13","      Gross output of general government","W110RA3",3.697,3.904,3.777,3.618,5.026,6.498,6.719,10.24,8.989,9.958,11.041,11.58,21.039,61.017,106.609,133.203,129.778,47.716,31.326,31.982,33.375,32.095,48.52,61.28,65.899,58.431,55.886,54.322,57.662,56.558,56.147,55.256,56.202,61.499,63.113,62.713,63.589,70.795,78.245,80.828,79.096
"21","14","        Value added","W111RA3",8.711,9.341,8.94,8.547,10.544,14.032,15.563,25.716,22.288,25.17,25.66,28.089,42.743,86.334,167.375,211.768,211.885,99.292,70.06,64.716,61.813,61.819,81.4,90.722,91.169,88.966,86.941,86.058,85.797,83.396,82.691,84.282,86.053,89.614,90.42,91.325,91.934,97.993,104.368,106.147,106.463
"22","15","          Compensation of general government employees","B568RA3",14.688,16.038,15.192,14.373,18.319,25.06,27.613,47.506,40.271,45.652,46.264,50.565,76.087,145.995,273.628,324.227,305.829,107.071,67.643,68.423,70.311,75.299,112.602,125.932,122.014,114.624,109.912,107.974,107.249,102.779,100.642,102.222,104.425,109.12,109.094,109.691,110.288,119.79,129.256,131.258,131.65
"23","16","          Consumption of general government fixed capital \2\","B995RA3",1.543,1.526,1.536,1.547,1.584,1.734,2.018,2.337,2.533,2.763,2.973,3.295,5.422,14.458,32.89,54.055,66.67,63.506,52.527,43.404,37.299,33.031,32.431,35.797,39.681,42.397,43.22,43.494,43.703,43.789,44.615,45.815,46.725,48.289,49.731,50.748,51.235,52.067,53.523,54.673,54.834
"24","17","        Intermediate goods and services purchased \3\","W113RA3",1.018,1.036,1.03,0.992,1.834,2.226,1.95,2.303,2.122,2.186,3.168,2.945,7.717,32.699,51.758,63.762,59.923,11.63,5.021,8.747,12.099,10.429,21.699,33.379,39.158,30.592,28.326,26.736,31.279,31.086,30.963,28.655,28.937,34.536,36.437,35.222,36.163,43.243,50.483,53.295,50.321
"25","18","          Durable goods","W114RA3",0.26,0.384,0.386,0.351,1.057,1.965,2.68,2.332,2.214,2.364,2.575,3.119,26.404,139.094,257.152,279.995,306.481,12.533,7.46,14.025,16.682,27.681,64.71,113.729,127.096,92.875,78.723,74.537,77.944,80.549,57.608,49.144,40.995,51.217,52.386,45.593,48.206,68.215,66.766,75.787,63.369
"26","19","          Nondurable goods","W115RA3",2.059,2.332,2.213,1.879,4.019,4.96,4.377,5.693,5.512,5.491,10.369,9.032,12.418,67.414,91.12,113.893,78.541,12.854,8.168,18.405,34.642,17.099,29.845,43.146,90.71,67.866,47.682,29.577,34.192,33.231,60.537,36.714,33.216,53.957,47.618,48.547,52.14,58.205,98.053,116.871,117.396
"27","20","          Services","W116RA3",0.647,0.613,0.623,0.639,1.036,1.144,0.871,1.061,0.935,0.978,1.219,1.133,2.488,5.115,6.71,14.374,15.781,11.233,3.722,5.441,6.067,5.815,12.065,16.855,14.131,12.585,15.58,17.413,22.023,21.485,20.761,23.776,26.518,28.6,32.156,31.68,31.854,36.748,40.34,39.466,37.661
"28","21","      Less: Own-account investment \4\","W117RA3",6.039,6.557,8.281,10.385,162.594,171.175,302.508,225.185,185.28,160.728,171.722,177.532,186.479,225.28,134.055,59.31,82.649,14.147,12.802,22.159,28.461,34.089,61.983,90.159,93.774,81.121,67.374,66.908,74.669,81.723,88.249,85.507,89.219,89.66,81.504,79.106,81.778,90.308,74.504,67.212,63.249
"29","22","            Sales to other sectors","W118RA3",8.242,6.22,3.55,1.357,1.399,2.008,1.344,1.048,1.828,2.078,2.579,2.192,9.922,41.861,131.84,241.342,454.743,432.667,59.838,34.819,17.69,31.35,51.198,17.954,17.282,25.807,81.792,40.336,67.785,64.037,49.501,44.495,38.895,43.283,49.599,49.797,54.106,76.982,52.393,50.05,52.356
"30","23","    Defense consumption expenditures \1\","A997RA3",2.905,3.031,2.936,2.981,2.802,2.397,3.056,3.2,3.111,3.313,3.718,5.772,23.447,85.456,157.281,194.337,186.016,56.207,38.382,36.679,36.707,37.523,63.848,82.528,86.241,75.141,70.247,70.419,75.205,73.546,67.967,68.785,70.49,75.345,76.168,74.181,74.436,84.941,96.109,100.214,96.286
"31","24","      Gross output of general government","W085RA3",3.039,3.121,2.987,3.002,2.827,2.43,3.085,3.222,3.144,3.345,3.742,5.801,23.658,86.085,158.416,196.472,191.931,62.402,38.011,36.515,36.482,37.299,64.138,81.931,85.633,74.662,70.293,70.323,75.24,73.816,67.817,68.732,70.297,75.19,75.903,74.051,74.479,85.377,95.625,99.497,95.61
"32","25","        Value added","W086RA3",8.033,8.178,7.972,7.549,6.831,6.691,7.782,7.894,8.278,8.734,9.34,15.011,45.97,120.845,242.367,312.697,310.735,133.719,87.307,77.566,73.93,72.185,103.041,117.557,119.683,117.139,113.926,112.243,111.427,107.219,106.111,107.136,109.314,113.533,113.199,113.671,113.668,121.506,129.687,131.517,131.56
