"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 23, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/22/2010 7:27:17 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","      National income without capital consumption adjustment","A422RC1",9061.6,9085.5,9019.2,9005.4,9093.6,9172.6,9217.2,9341.2,9441.3,9556.8,9700.2,9902.9,10107.7,10281.1,10486.5,10620.6,11082.4,11228.5,11444.9,11659.9,11954,12059.3,12177.5,12316.6,12353.8,12468.7,12517.6,12659.8,12523.4,12504.6,12569.4,12179.4,12114.3,12079.3,12144.1,12354.4,12706.6,12868,12986.3
"10","2","Domestic industries","A423RC1",9020.4,9035.9,8992.3,8915.4,9042.6,9139.8,9169.8,9276,9389.5,9491.2,9634.6,9811.1,9997.1,10195.2,10389.7,10548.9,10975.6,11132.3,11337.8,11581.5,11873.5,11983.8,12115.5,12244.9,12283.5,12389.3,12372.9,12461.2,12331,12329.1,12365.1,12053.4,11991.8,11949.6,11976.9,12188.8,12515.4,12672.7,12796.5
"11","3","  Private industries","A736RC1",7973.7,7975,7908.4,7824,7922.8,8007.8,8020.5,8108.9,8189.9,8276.3,8411.4,8579.8,8738.4,8924,9109.4,9256,9653.7,9803,9997.2,10231.9,10497,10593.9,10709.2,10823.6,10834.2,10928.6,10897.6,10972.1,10813.5,10795.3,10813.1,10485.6,10410.7,10350.1,10375.1,10582.2,10891.9,11039.6,11170.1
"12","4","    Agriculture, forestry, fishing, and hunting","N5004C1",73.7,71.5,72.8,72.5,63.5,61.4,70.5,74.9,75.9,83.1,85,89.3,108.5,108,98.7,101.2,92.8,92.7,93.2,92.5,86.6,88.9,92.7,99.6,106.9,106.3,108,118.7,129.1,119.9,117.9,107.2,99.6,97.3,96.5,106.1,106.7,110.4,NA
"13","5","    Mining","N5005C1",109.9,107.2,98.1,82.1,75.7,78.8,81.4,89,100.1,100.9,105.3,106.8,118.8,123.3,123.8,134.1,145.7,152.5,162.7,191.6,200.2,193.2,201.4,200.5,188.1,206.4,208,215.5,230.1,254.3,278.1,251.9,217.3,183.8,182.7,200.5,240,229.5,NA
"14","6","    Utilities","N5006C1",136.3,137.4,146.3,140.1,129,134.2,136,138.5,136.5,134.4,137.5,138.9,144.4,148.4,149.3,154.5,158.3,160,154.7,172,185,194.4,203.5,203,199.1,197.6,206.7,190,167.1,134.3,219.5,204.8,194.5,187.7,174.8,180.3,197.5,189.8,NA
"15","7","    Construction","N5007C1",511.8,511.8,510.6,503,510.1,510.9,514.3,521.7,529.7,526.7,534.3,548.4,551.6,570.9,596.7,614.1,626.7,650.3,667.4,683.6,717.2,707.3,696.8,685.9,692.4,690,680.9,680.1,657.4,642.9,616.8,587.3,543.1,515,511.1,505.4,503.4,511.9,NA
"16","8","    Manufacturing","N5008C1",1127.6,1113.9,1060.1,986.9,1023.9,1042.3,1038.6,1047.5,1060.8,1049.5,1066,1121.5,1123.3,1159.6,1193.5,1210.2,1282.5,1286.4,1315.3,1335,1385.4,1392.8,1428.1,1397.2,1416.1,1435.3,1367.2,1417.7,1349.4,1316.6,1361.2,1294.9,1227.9,1201.4,1199.3,1232.5,1314,1360.9,NA
"17","9","      Durable goods","N5009C1",665.6,637.4,584.2,537,577.8,600,601.8,603.7,610.4,605.3,602.5,637.2,634.3,654.8,672.2,677.1,723.3,736.8,753.2,762.8,795.3,763.4,801.5,805.2,804.8,796.9,786.4,815.7,786.3,746.9,770.2,717.6,683.3,678.6,680.3,717.3,774.2,799.1,NA
