"","Table 1#15# Price, Costs, and Profit Per Unit of Real Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2010     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 11:55:12 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Price per unit of real gross value added of nonfinancial corporate business \1\","A455RD3",0.157,0.151,0.13,0.111,0.111,0.123,0.125,0.126,0.133,0.126,0.124,0.127,0.137,0.152,0.162,0.165,0.166,0.179,0.204,0.217,0.213,0.214,0.232,0.234,0.233,0.232,0.234,0.242,0.25,0.254,0.256,0.257,0.258,0.26,0.261,0.263,0.267,0.273,0.279,0.29,0.302
"9","2","Compensation of employees (unit labor cost)","A460RD3",0.1,0.097,0.087,0.076,0.075,0.077,0.078,0.078,0.084,0.081,0.079,0.078,0.083,0.093,0.102,0.105,0.107,0.121,0.133,0.137,0.134,0.132,0.145,0.15,0.153,0.152,0.148,0.157,0.163,0.166,0.164,0.168,0.168,0.167,0.166,0.167,0.167,0.174,0.18,0.187,0.2
"10","3","Unit nonlabor cost","A467RD3",0.029,0.031,0.035,0.039,0.041,0.039,0.036,0.032,0.031,0.034,0.03,0.027,0.026,0.024,0.023,0.024,0.027,0.031,0.035,0.037,0.04,0.038,0.039,0.043,0.042,0.043,0.042,0.044,0.047,0.051,0.05,0.05,0.052,0.051,0.05,0.05,0.05,0.049,0.053,0.057,0.061
