"","Table 6#18B# Taxes on Corporate Income by Industry              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 12:03:17 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Taxes on corporate income \1\","A054RC0",12421,10203,17925,22559,19399,20287,17624,22041,21993,21423,18964,23727,22782,22890,24095,26371,28155,31065,33881,32899,39628,39977
"9","2","Domestic industries","A3102C0",12421,10203,17925,22559,19399,20287,17624,22041,21993,21423,18964,23727,22782,22890,24095,26371,28155,31065,33881,32899,39628,39977
"10","3","  Agriculture, forestry, and fishing","A3103C0",72,58,91,91,58,56,49,51,52,43,55,46,51,68,74,86,89,98,99,73,105,117
"11","4","    Farms","B3104C0",69,50,88,88,54,52,45,48,50,42,55,45,48,62,54,65,70,81,75,54,75,86
"12","5","    Agricultural services, forestry, and fishing","B3105C0",3,8,3,3,4,4,4,3,2,1,0,1,3,6,20,21,19,17,24,19,30,31
"13","6","  Mining","A3106C0",370,221,384,412,326,230,272,409,437,333,213,204,212,245,207,296,285,265,285,193,260,280
"14","7","    Metal mining","B3107C0",77,37,99,125,79,96,91,179,184,106,49,43,66,77,53,74,66,78,102,27,45,83
"15","8","    Coal mining","B3108C0",132,50,80,63,37,31,19,34,56,55,33,25,22,29,20,35,46,37,51,33,36,16
"16","9","    Oil and gas extraction","B3109C0",117,94,142,153,156,46,100,117,119,121,67,89,85,102,84,118,112,98,87,81,114,109
"17","10","    Nonmetallic minerals, except fuels","B3110C0",44,40,63,71,54,57,62,79,78,51,64,47,39,37,50,69,61,52,45,52,65,72
"18","11","  Construction","B3111C0",253,232,298,347,353,315,322,298,395,457,402,412,337,373,402,414,460,533,609,711,759,828
"19","12","  Manufacturing","A3112C0",6996,5631,10880,14304,11442,12330,9743,13068,12446,11748,9219,12629,11374,11265,12179,13673,14437,17042,18655,16916,20658,19915
"20","13","    Durable goods","A3113C0",3543,3061,6349,8305,6874,7515,5651,7971,7216,7083,4979,7106,6216,6030,7001,7970,8469,10421,11119,9823,11983,11371
"21","14","      Lumber and wood products","B3114C0",205,111,282,246,168,139,146,212,155,101,123,172,93,93,103,130,146,172,156,158,328,316
"22","15","      Furniture and fixtures","B3115C0",72,55,113,124,112,95,91,129,134,118,89,120,103,109,124,131,139,185,198,180,228,258
