"","Table 7#3#4# Price Indexes for Farm Sector Output, Gross Value A","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 12:04:17 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Farm output","A2000G3",23.636,20.149,14.284,10.753,11.456,14.346,16.907,17.604,18.995,15.708,14.207,15.893,18.916,24.58,29.229,29.93,30.975,35.258,41.657,43.231,37.376,38.078,44.826,42.634,37.718,36.369,34.592,34.129,34.648,37.578,35.5,35.249,35.376,36.017,35.738,34.902,36.618,39.097,37.094,37.929,39.971
"9","2","  Cash receipts from farm marketings","A2001G3",18.992,16.065,11.249,8.529,9.339,12.02,14.074,14.673,15.932,13.539,12.179,13.788,16.352,21.326,25.333,25.978,26.805,30.946,36.734,38.224,33.165,34.075,40.044,38.051,33.741,32.614,31.08,30.633,31.105,33.896,32.035,31.853,31.948,32.526,32.317,31.618,33.173,35.342,33.496,34.33,36.216
"10","3","    Crops","B1005G3",21.178,18.045,11.919,9.245,11.789,16.933,16.059,16.649,18.646,14.885,12.449,15.929,17.43,24.149,29.873,32.561,31.832,37.061,43.651,42.323,36.83,38.368,43.97,44.355,39.729,40.379,39.34,39.293,37.128,36.968,36.962,37.024,37.728,38.599,39.817,39.852,39.12,40.455,37.979,38.094,36.819
"11","4","    Livestock","B1006G3",17.962,15.107,11.021,8.225,7.983,9.321,12.916,13.529,14.329,12.725,12.134,12.442,15.637,19.53,22.532,22.054,23.805,27.288,32.596,35.757,30.962,31.462,37.674,34.284,30.173,28.03,26.199,25.519,27.456,31.867,28.858,28.523,28.259,28.66,27.598,26.466,29.382,32.038,30.582,31.831,35.666
"12","5","  Farm products consumed on farms","B1008G3",17.642,16.02,12.492,9.5,9.1,10.434,13.017,13.533,14.044,12.218,11.536,11.862,14.73,18.614,22.933,23.426,25.034,25.426,29.005,30.167,26.571,25.518,30.439,30.743,29.254,27.131,26.007,25.878,27.169,28.814,27.772,27.026,27.063,27.538,26.739,25.862,28.526,31.447,30.219,31.931,35.031
"13","6","  Other farm income","B1009G3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.502,22.168,23.215,23.733,23.548,23.875,24.598,25.752,29.419,27.443,27.791,28.435,28.744,29.239,26.607,27.405,28.72,29.935,31.51,33.551
"14","7","  Change in farm finished goods inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","8","    Crops","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","9","    Livestock","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","Less: Intermediate goods and services consumed","A2003G3",12.774,11.563,9.181,7.752,7.826,9.211,9.91,9.96,10.884,9.693,9.608,9.932,10.674,12.453,14.218,14.984,15.26,16.71,19.513,21.31,19.679,20.281,22.486,22.701,21.044,20.959,20.566,20.25,20.167,21.771,21.315,21.141,21.298,21.565,21.771,21.417,21.898,23.097,23.021,22.93,23.755
"18","11","      Other than rent","W249RG3",12.962,11.832,9.616,8.219,8.119,9.396,10.084,10.079,11.023,10.072,9.959,10.243,10.859,12.449,14.028,14.784,15.047,16.33,19.044,21.048,19.519,20.151,22.291,22.485,20.891,20.805,20.381,20.109,20.088,21.776,21.329,21.146,21.29,21.545,21.721,21.351,21.892,22.914,22.935,22.802,23.684
"19","12","        Intermediate goods and services purchased, other than rent","B1012G3",12.96,11.831,9.615,8.218,8.118,9.395,10.082,10.077,11.021,10.07,9.958,10.241,10.858,12.448,14.026,14.782,15.045,16.328,19.042,21.045,19.516,20.149,22.288,22.481,20.888,20.802,20.378,20.106,20.085,21.773,21.326,21.143,21.287,21.542,21.718,21.347,21.889,22.911,22.932,22.799,23.681
"20","13","        Less: Change in farm materials and supplies inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","      Rent paid to nonoperator landlords","B1013G3",12.809,11.09,7.616,5.886,6.925,9.067,9.9,10.28,11.169,8.207,8.301,8.942,10.545,13.615,16.774,17.681,18.076,20.993,24.731,24.774,22.114,22.446,25.392,25.83,23.469,23.38,23.337,22.491,21.654,22.274,21.706,21.649,21.945,22.357,22.887,22.702,22.596,25.605,24.456,24.839,25.045
"22","15","Equals: Gross farm value added","B359RG3",51.951,43.068,28.977,20.698,22.632,29.248,36.059,38.196,40.958,32.671,28.097,32.951,41.754,57.387,69.603,70.231,73.31,85.241,101.392,102.128,84.825,85.765,105.145,95.912,82.03,77.21,71.63,70.791,73.08,79.582,72.687,72.25,72.24,73.968,72.021,69.751,75.337,81.552,72.989,77.065,82.883
"23","16","Less: Consumption of fixed capital","B366RG3",7.339,7.131,6.752,6.393,6.389,6.63,6.451,6.478,6.679,6.823,6.621,6.601,6.993,8.102,8.392,9.004,9.198,9.252,10.98,12.153,12.7,12.928,13.89,14.48,14.622,14.664,14.64,15.337,16.025,16.446,16.941,16.922,17.065,17.286,17.461,17.674,18.031,18.445,18.977,19.573,20.398
"24","17","Equals: Net farm value added","A365RG3",97.891,79.868,51.478,35.206,39.072,52.174,66.133,70.42,75.791,58.98,50.028,59.777,77.176,107.543,131.773,132.462,138.457,162.391,193.186,193.24,157.028,158.639,197.671,177.219,147.835,137.681,126.068,123.202,126.875,139.804,124.562,123.684,123.452,126.683,122.4,117.356,128.435,140.821,121.794,129.418,140.376
