"","Table 3#9#1# Percent Change From Preceding Period in Real Govern","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 23, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/22/2010 7:18:32 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Government consumption expenditures and gross investment","A822RL1",-0.2,-2.4,-2.2,-0.7,-0.4,2.5,2.3,0.4,1.1,2.9,1.9,1.9,0.9,1.8,3.7,3.4,7,6.1,2.4,1.3,2.7,3.2,1.1,0.5,-0.8,0,0.6,1,1.9,2.1,3.6,2,3.8,4.7,2.2,1.4,0.3,1.4,1.3,2.8,1.6
"9","2","      Consumption expenditures \1\","A955RL1",1.5,-1.3,-0.2,0.5,-1,2,2.3,0.2,1.9,2,1,1.7,1.8,2.4,2.9,1.6,5.6,5.4,1.7,1.7,2.5,2.4,1.2,0.4,-0.2,0.3,0.2,0.4,1.7,1.8,2.8,1.8,3.7,4.5,2.2,1.4,0.6,1,1.3,2.5,1.9
"10","3","      Gross investment \2\","A782RL1",-6.6,-6.9,-10.7,-6.6,2.9,4.9,1.9,1.5,-2.9,7.7,6.2,2.9,-3,-1.2,7.7,12.4,13.7,9.1,5.7,-0.6,4,6.5,0.5,0.9,-3.7,-1.7,2.4,3.8,2.8,3.5,7.4,3.3,4.3,5.5,2.4,0.9,-0.8,3.3,1.7,4.3,0.2
