"","Table 2#3#2# Contributions to Percent Change in Real Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"1","; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2010     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 11:55:36 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","    Personal consumption expenditures (PCE)","DPCERL1",NA,6.8,1.3,0.1,2,4.7,0.6,3.2,0.6,6.3,0.9,6,6.8,6.8,22.1,-11.5,10,-10.8,4.7,2.4,0.9,8.1,2,14.9,4.9,2.4,-0.9,-2.6,1.5,5.3,5.5,8.7,9.3,7.9,5,5.1,0.7,1.3,0.9,5.6,2.8,0.7,3.2,0.2,-5.3,3.3,6.7,5.4,7.6,6.3,4.2,0.4,3.9,5.2,-1.6,0.5,-0.1,6.1,2,8.3,4.3,5,3.3,5.8,2.7,3.9,5.6,3.4,8.1,7.2,7.6,1.1,9.2,4.5,7.1,11.7,6,1,4.7,1.7,2.4,5.6,2.1,2.5,9.9,6.3,7.7,1.8,4.6,2.6
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","Goods","DGDSRZ2",NA,4.57,1.73,1.07,0.56,2.45,-0.15,1.7,-0.37,5.42,1.12,5.34,4.42,2.45,19.49,-12.47,5.91,-11.81,2.81,2.02,-1.28,5.39,-0.23,12.37,3.09,0.36,-2.05,-1.49,-0.22,2.14,2.42,6.47,7.15,6.59,3.19,1.62,-1.07,-0.39,-0.99,3.24,2.08,-0.78,1.97,-1.64,-5.05,0.7,4.07,3.98,4.79,3.25,1.6,-1.8,2.3,3.13,-1.33,-1.27,-2.03,3.22,1.36,4.79,2.49,2.11,1.61,3.32,1.95,1.75,2.14,0.72,4.9,4.45,4.94,-1.51,6.89,1.54,4.32,8.28,4.01,-1.04,3.04,-0.42,0.56,3.63,-0.6,0.81,6.65,3.12,5.12,-0.32,2.77,0.17
"13","3","  Durable goods","DDURRZ2",NA,1.17,0.76,3.47,-0.24,0.49,1.06,-0.61,-0.8,5.11,2.83,2.26,2.07,0.35,16.25,-8.69,2.69,-9.3,-0.96,-0.17,0.1,0.98,-3.42,9.6,1.96,-0.43,-0.49,-1.73,-1.91,2.66,0.21,3.53,5.39,3.47,2.13,-1.65,-2.81,0.12,-1.03,1.92,1.07,-1.43,-0.37,-0.63,-3.68,-0.83,1.07,1.82,2.76,2.02,1.04,-2.78,1.84,1.31,-0.43,-1.38,-2.95,1.07,1.24,2.59,1.17,1.46,0.41,2.43,1.11,1.21,0.73,0.9,2.27,1.54,1.97,-1.8,5.42,0.12,2.05,2.62,2.88,-2.45,1.94,-0.02,-1.11,2.5,-0.47,0.15,3.71,1.31,2.77,-0.36,1.17,-0.16
"14","4","    Motor vehicles and parts","DMOTRZ2",NA,0.31,-0.87,2.08,1.12,-1,0.52,1.13,0.84,4.69,0.96,0.19,2.08,1.36,6.63,-2.2,-1.17,-4.31,-1.86,-1.31,0.39,1.04,-3.72,7.79,2.09,-0.57,-0.24,-1.63,-1.35,2.36,-0.66,2.21,4.21,2.74,1.07,-1.97,-2.98,-0.85,-0.74,1.68,1.63,-1.04,-0.7,0.1,-3.61,-0.28,0.03,1.26,2.08,1.4,0.94,-2.99,2.34,0.91,0.44,-1.35,-2.94,0.55,0.61,1.88,1.06,0.91,-0.32,1.98,0.73,0.68,0.05,0.51,0.64,0.29,1.23,-2.35,5.01,-0.54,0.9,0.34,1.63,-2.65,0.73,-0.13,-1.19,2.03,-0.71,-0.67,3.04,0.42,1.55,-0.32,0.66,-0.48
