"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Index numbers, 2005=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 31, 2013      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2013 8:09:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","S1 PN04472AMG       Retail and food services","T070013",85.683,87.38,88.873,90.18,91.907,92.683,91.829,92.933,95.237,95.702,95.239,95.629,97.66,100,101.644,103.327,106.288,103.724,105.836,109.656,110.94
"9","2","S1 PN44ZZZZMG Retail trade","T070023",87.218,88.959,90.488,91.748,93.451,94.054,92.852,93.841,96.154,96.355,95.568,95.789,97.731,100,101.483,102.938,105.706,102.432,104.634,108.579,109.629
"10","3","S1 PN441ZZZMG   Motor vehicle and parts dealers","T070033",85.672,88.772,92.367,95.752,97.482,97.914,97.491,98.415,99.328,100.272,100.222,98.33,98.357,100,100.959,101.052,100.413,101.011,106.186,109.586,111.27
"11","4","S4 PN4411ZZMG     Automobile dealers","T070043",84.925,88.567,92.615,96.358,98.266,98.777,98.316,99.311,100.188,100.991,100.799,98.497,98.4,100,100.525,100.333,99.048,99.299,104.991,108.354,109.927
