"","Table 2#3#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57"
"1","[Index numbers, 2005=100; quarters and months are seasonally adjusted]                                                                                                                                                                                    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 31, 2013      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2013 7:25:44 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8",NA,"Personal consumption expenditures by major type of product (From NIPA table 2.3.4):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Personal consumption expenditures (PCE)","DPCERG3",18.314,18.615,18.81,19.032,19.254,19.536,19.819,20.322,20.834,21.645,22.626,23.685,24.692,25.536,26.913,29.716,32.198,33.966,36.171,38.705,42.137,46.663,50.833,53.64,55.948,58.065,59.965,61.427,63.618,66.151,69.025,72.18,74.789,76.989,78.679,80.302,82.078,83.864,85.433,86.246,87.636,89.818,91.53,92.778,94.658,97.121,100,102.723,105.499,108.943,109.004,111.087,113.79,115.79
"10","2","Goods","DGDSRG3",28.957,29.184,29.294,29.444,29.689,30.013,30.328,30.996,31.542,32.642,33.907,35.2,36.258,37.186,39.404,44.322,47.903,49.777,52.435,55.653,60.916,67.737,72.769,74.753,76.102,77.541,78.785,78.417,80.939,83.072,86.268,89.801,91.996,93.106,93.915,94.87,95.757,96.809,96.696,95.237,95.735,97.655,97.563,96.563,96.492,97.929,100,101.441,102.764,105.912,103.105,104.852,108.822,110.203
"11","3","  Durable goods","DDURRG3",50.883,50.691,50.819,51.037,51.232,51.463,51.041,50.93,51.748,53.406,54.912,56.096,58.033,58.673,59.542,63.451,69.129,72.91,76.177,80.441,85.773,93.216,99.45,103.329,105.421,106.98,108.112,109.301,112.446,114.301,116.384,117.54,119.263,120.087,121.269,123.642,124.544,123.287,120.593,117.181,114.005,111.953,109.733,106.92,103.113,101.124,100,98.361,96.43,94.628,92.83,91.611,90.799,89.576
"12","4","    Motor vehicles and parts","DMOTRG3",31.913,31.317,31.494,32.006,32.258,32.522,32.256,32.037,32.474,33.593,34.27,35.304,37.011,37.104,37.273,39.569,43.479,46.803,49.538,52.971,56.965,61.187,65.921,69.046,71.193,73.227,74.923,76.989,80.512,81.777,84.193,84.464,86.84,88.479,91.964,96.233,100.045,102.051,102.436,101.321,101.625,102.001,102.401,101.863,99.078,98.401,100,100.108,99.622,97.822,97.948,104.027,107.528,108.994
"13","5","    Furnishings and durable household equipment","DFDHRG3",45.566,45.968,46.123,46.067,46.09,46.141,45.844,46.223,47.263,49.119,50.873,51.98,52.92,53.672,54.938,59.415,65.322,68.132,70.645,74.219,78.849,85.255,91.556,96.275,98.518,99.712,100.805,101.867,103.477,104.952,105.265,106.33,106.936,108.203,108.777,110.457,110.284,110.597,110.433,110.341,108.906,108.118,106.266,104.082,101.164,99.914,100,99.6,98.887,98.141,97.811,93.728,92.359,92.179
"14","6","    Recreational goods and vehicles","DREQRG3",170.09,171.249,170.332,168.465,168.129,166.091,163.802,161.985,162.965,166.162,169.99,170.219,176.274,178.829,181.567,189.612,202.162,209.123,215.139,222.858,232.778,245.713,256.731,262.659,259.515,255.842,251.345,243.369,240.293,238.753,238.118,236.186,233.188,226.024,217.915,213.375,204.407,189.919,174.023,159.335,145.426,136.287,126.989,118.777,111.283,105.762,100,93.79,87.159,82.654,77.352,71.721,66.873,62.771
"15","7","    Other durable goods","DODGRG3",31.692,31.78,31.713,31.579,31.745,32.559,32.392,32.383,33.153,33.882,35.56,36.484,37.485,38.698,39.961,43.035,46.307,48.563,50.693,53.507,57.921,69.768,73.606,74.316,76.713,78.351,79.206,81.077,86.597,92.252,96.541,102.626,106.424,109.234,110.075,111.833,113.694,113.016,111.43,109.393,106.639,105.228,105.563,103.61,101.907,101.544,100,101.801,105.531,109.088,110.352,110.881,114.252,114.98
"16","8","  Nondurable goods","DNDGRG3",21.706,21.965,22.057,22.177,22.398,22.697,23.107,23.846,24.281,25.157,26.245,27.425,28.199,29.103,31.45,36.206,39.004,40.274,42.582,45.304,50.186,56.344,60.695,62.072,63.138,64.45,65.657,64.818,67.023,69.154,72.584,76.745,78.986,80.133,80.784,81.215,82.064,83.922,84.798,84.169,86.268,90.016,90.961,90.888,92.797,96.114,100,103.23,106.49,112.567,109.177,112.622,119.43,122.427
"17","9","    Food and beverages purchased for off-premises consumption","DFXARG3",19.841,20.007,20.108,20.26,20.473,20.886,21.308,22.207,22.235,22.909,23.936,25.271,25.847,27.079,30.506,35.145,37.787,38.49,40.757,44.657,49.043,53.166,56.954,58.452,59.124,60.9,61.563,63.012,65,66.938,70.469,73.911,76.232,76.817,77.891,79.195,80.912,83.38,84.969,86.037,87.446,89.499,92.13,93.542,95.296,98.255,100,101.688,105.647,112.066,113.366,113.724,118.23,120.887
"18","10","    Clothing and footwear","DCLORG3",52.763,53.471,53.779,53.94,54.414,54.926,55.405,56.936,59.283,62.633,66.021,68.477,70.911,72.199,74.595,80.129,83.723,86.408,90.096,91.799,93.595,97.027,100.231,101.699,103.091,103.626,105.85,105.414,108.451,111.94,113.578,117.281,119.512,120.402,119.759,117.744,114.993,113.609,113.644,111.576,110.099,108.788,106.632,103.824,101.246,100.905,100,99.592,98.619,97.875,98.765,98.076,99.778,103.382
"19","11","    Gasoline and other energy goods","DGOERG3",11.147,11.345,11.359,11.416,11.445,11.338,11.725,12.004,12.396,12.622,13.009,13.192,13.407,13.566,14.981,20.834,22.297,23.365,25.033,26.185,35.271,49.045,55.319,52.75,50.711,50.186,50.294,39.485,40.944,41.25,44.906,51.424,50.563,50.178,49.685,49.808,50.475,53.913,53.911,47.001,50.888,65.775,63.487,59.385,69.378,81.545,100,112.928,123.9,146.278,106.008,125.273,157.728,163.843
"20","12","    Other nondurable goods","DONGRG3",19.065,19.361,19.408,19.472,19.742,20.035,20.314,20.719,21.226,22.039,22.855,23.921,24.837,25.456,26.15,28.723,32.021,33.678,35.629,37.567,40.024,43.679,47.382,51.049,54.565,56.587,58.777,61.117,63.579,66.424,70.094,73.641,77.564,80.484,81.841,82.414,83.874,85.461,86.354,87.979,91.415,93.42,95.588,97.166,97.347,98.505,100,102.184,103.608,106.135,110.777,112.772,114.571,116.471
"21","13","Services","DSERRG3",13.229,13.58,13.826,14.089,14.305,14.572,14.845,15.276,15.785,16.467,17.324,18.285,19.284,20.102,21.077,22.866,24.834,26.556,28.558,30.777,33.35,36.802,40.555,43.709,46.429,48.846,51.049,53.375,55.409,58.123,60.84,63.808,66.581,69.236,71.294,73.2,75.365,77.473,79.812,81.689,83.509,85.818,88.422,90.801,93.686,96.688,100,103.414,106.981,110.584,112.157,114.418,116.435,118.779
"22","14","  Household consumption expenditures (for services)","DHCERG3",12.635,13.012,13.251,13.506,13.712,13.976,14.233,14.642,15.13,15.787,16.603,17.531,18.488,19.273,20.198,21.871,23.749,25.409,27.33,29.465,31.914,35.226,38.879,42.082,44.905,47.388,49.631,52.021,54.101,56.857,59.733,62.925,65.925,68.863,71.11,73.081,75.317,77.45,79.758,81.522,83.299,85.516,88.057,90.498,93.565,96.708,100,103.469,107.123,110.854,112.655,115.078,117.164,119.646
"23","15","    Housing and utilities","DHUTRG3",15.567,15.86,16.072,16.244,16.417,16.563,16.704,16.935,17.226,17.62,18.185,18.977,19.949,20.705,21.634,22.831,24.626,26.409,28.748,30.777,33.266,36.749,40.804,44.566,47.45,49.864,52.49,54.988,56.964,59.22,61.606,64.282,66.415,68.268,70.242,72.055,74.004,76.193,78.269,80.114,82.02,84.79,88.725,91.304,94.172,96.667,100,104.288,107.967,111.798,113.071,113.379,115.037,117.175
"24","16","    Health care","DHLCRG3",7.035,7.508,7.677,7.872,8.094,8.37,8.631,9.015,9.589,10.194,10.913,11.737,12.342,12.866,13.474,14.753,16.413,17.994,19.494,21.139,23.2,26.009,29.185,32.47,35.441,38.093,40.403,42.806,45.559,49.111,53.429,57.989,62.469,66.861,70.434,73.297,75.97,77.758,79.315,80.811,82.585,84.91,87.759,90.056,93.473,96.927,100,103.053,106.866,109.749,112.724,115.566,117.675,119.866
"25","17","    Transportation services","DTRSRG3",15.542,15.889,16.353,16.705,16.777,16.998,17.292,17.606,18.265,19.087,20.263,21.829,23.362,24.251,25.324,27.494,30.534,32.811,35.088,37.41,40.737,47.285,53.036,55.974,58.098,60.391,61.583,62.2,64.836,67.866,70.85,73.558,75.577,77.725,80.428,81.409,83.206,84.255,86.122,87.639,88.947,91.616,92.634,93.063,95.06,96.456,100,104.217,106.643,112.467,115.663,118.125,121.355,123.834
"26","18","    Recreation services","DRCARG3",16.473,17.084,17.557,17.975,18.364,18.878,19.263,19.77,20.462,21.557,22.473,23.51,24.544,25.173,26.067,27.874,29.93,31.411,32.914,34.882,37.186,39.997,42.547,44.866,46.814,48.837,50.945,52.914,54.965,57.074,59.911,63.182,66.467,68.53,70.725,72.235,73.827,76.287,78.753,80.703,83.298,86.522,89.358,91.929,94.755,97.266,100,103.384,106.274,109.555,111,112.181,114.064,117.248
"27","19","    Food services and accommodations","DFSARG3",13.05,13.403,13.673,14.012,14.315,14.537,14.824,15.396,16.25,17.098,18.122,19.461,20.499,21.258,22.711,25.337,27.62,29.447,31.58,34.341,38.048,41.734,45.461,48.061,50.136,52.397,54.65,56.89,59.204,61.75,64.546,67.501,70.196,71.686,73.092,74.375,76.13,78.181,80.499,82.656,84.792,87.162,89.647,91.821,93.775,96.894,100,103.365,107.41,111.62,114.211,115.765,118.699,122.112
"28","20","    Financial services and insurance","DIFSRG3",11.639,12.148,12.558,13.076,13.091,13.639,13.986,14.829,15.169,16.293,17.749,18.66,19.779,20.991,21.487,23.208,24.926,25.932,27.924,31.609,33.331,35.909,38.623,40.852,44.791,47.623,49.655,52.432,53.824,57.095,59.093,62.045,64.777,69.662,70.439,71.599,74.446,77.453,82.042,83.994,84.833,85.582,85.099,87.439,91.399,96.478,100,102.262,106.822,110.197,108.99,116.468,118.374,120.969
"29","21","    Other services","DOTSRG3",13.964,14.353,14.517,14.754,15.074,15.409,15.805,16.262,16.782,17.524,18.372,19.258,20.394,21.438,22.699,25.153,26.957,28.641,30.113,31.693,33.993,37.081,40.878,44.059,46.546,48.915,50.697,53.356,54.645,56.932,59.079,61.487,64.425,67.157,69.488,72.091,74.478,76.638,78.785,80.393,82.356,83.94,86.537,89.91,93.232,96.358,100,103.42,106.437,110.877,113.516,116.377,118.613,121.291
