"","Table 3#25U# Compensation of General Government Employees","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2013 7:57:41 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","  Compensation of general government employees","A194RC1",820.7,863.1,912,967.1,1034.1,1109.4,1165.9,1227.8,1287.3,1361.4,1438.4,1491.5,1533.5,1551.4
"9","2","    Wage and salary accruals","W881RC1",629.2,659.1,699.8,739.7,787.7,826.4,861.2,898.5,938.9,989.3,1042.1,1074.2,1091,1094.5
"10","3","    Supplements to wages and salaries","W882RC1",191.5,203.9,212.2,227.5,246.4,283,304.7,329.3,348.3,372,396.3,417.2,442.5,456.9
"11","4","      Employer contributions for employee pension and insurance funds","W883RC1",151.4,161.9,167.9,180.4,196,229.6,248.9,271.4,287.6,308.3,329.9,347.3,369.8,383.1
"12","5","        Publicly administered government employee retirement plans","W884RC1",93.1,93.5,94.5,96.1,104.7,126.8,136.1,148.1,159.4,174.1,189,200.2,210.7,215.7
"13","6","        Other","W885RC1",58.3,68.4,73.4,84.3,91.3,102.9,112.8,123.3,128.3,134.2,140.9,147,159.1,167.4
"14","7","      Employer contributions for government social insurance","W886RC1",40.1,42,44.2,47,50.4,53.4,55.8,57.9,60.7,63.7,66.4,70,72.7,73.8
"15","8","Compensation of federal general government employees","B568RC1",214.3,220.6,233,242.1,268.4,297.8,323,344.4,360.1,379.7,404.3,435.1,465.8,477
"16","9","  Wage and salary accruals","A4178C1",141.9,145.8,154.2,159.5,176.9,195,207.9,221.1,228.4,239.7,253.8,271.2,288.4,292.4
"17","10","  Supplements to wages and salaries","W887RC1",72.3,74.8,78.7,82.6,91.5,102.7,115.1,123.3,131.8,140.1,150.4,163.9,177.3,184.6
"18","11","    Employer contributions for employee pension and insurance funds","W888RC1",62.1,64.1,67.4,70.5,78.1,88,99.2,106.7,114.3,121.9,130.8,142.1,153.1,159
"19","12","      Publicly administered government employee retirement plans","W889RC1",53.4,54.7,57.1,59.2,65.1,73.5,83.5,89.9,96,103.2,111.4,121.3,130.5,134.4
"20","13","        Civilian","W890RC1",27.1,28.1,28.9,29.7,31.4,32.3,36.7,37.8,40.7,42.8,45.5,48.2,52.5,52.7
"21","14","        Military","W891RC1",26.3,26.6,28.2,29.4,33.7,41.2,46.8,52.1,55.3,60.5,66,73.1,78,81.7
"22","15","      Other","W892RC1",8.7,9.5,10.3,11.3,13,14.5,15.7,16.8,18.2,18.7,19.3,20.8,22.6,24.6
"23","16","    Employer contributions for government social insurance","W893RC1",10.2,10.6,11.3,12.1,13.4,14.7,15.9,16.6,17.5,18.2,19.7,21.8,24.2,25.6
"24","17","Compensation of state and local general government employees","B251RC1",606.4,642.5,679,725,765.8,811.7,842.9,883.3,927.1,981.7,1034.1,1056.4,1067.7,1074.4
"25","18","  Wage and salary accruals","A4183C1",487.3,513.3,545.6,580.2,610.8,631.4,653.3,677.3,710.6,749.7,788.3,803.1,802.6,802.2
"26","19","  Supplements to wages and salaries","W894RC1",119.1,129.1,133.4,144.9,154.9,180.3,189.6,206,216.6,232,245.9,253.3,265.1,272.3
"27","20","    Employer contributions for employee pension and insurance funds","W895RC1",89.3,97.8,100.5,110,117.9,141.6,149.8,164.7,173.4,186.4,199.2,205.2,216.7,224.1
"28","21","      Publicly administered government employee retirement plans","W896RC1",39.6,38.8,37.4,37,39.7,53.3,52.7,58.2,63.3,70.9,77.6,79,80.1,81.3
"29","22","      Other","W897RC1",49.6,58.9,63.1,73,78.3,88.4,97.1,106.5,110,115.5,121.6,126.2,136.6,142.9
"30","23","    Employer contributions for government social insurance","W898RC1",29.8,31.4,32.9,34.9,37,38.7,39.9,41.3,43.2,45.6,46.7,48.2,48.5,48.2
