"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 30, 2013      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2013 11:05:05 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Gross domestic product","B191RG3",23.13,24.349,25.567,26.67,28.148,30.695,33.606,35.535,37.796,40.447,43.811,47.817,52.326,55.514,57.705,59.874,61.686,63.057,64.818,67.047,69.579,72.274,74.826,76.602,78.288,79.935,81.602,83.154,84.627,85.58,86.84,88.724,90.731,92.192,94.134,96.784,100,103.237,106.231,108.565,109.532,111.002,113.369,115.388
"9","2","Business \1\","B195RG3",26.259,27.393,28.555,29.572,31.105,34.119,37.448,39.429,41.795,44.743,48.546,52.932,57.849,61.13,63.217,65.052,66.595,67.681,69.224,71.424,74.039,76.689,79.172,80.691,82.287,83.701,85.203,86.545,87.925,88.519,89.229,90.865,92.46,93.188,94.458,96.87,100,102.899,105.568,107.443,107.94,109.589,112.043,113.968
"10","3","  Nonfarm \2\","B358RG3",25.682,26.818,27.976,28.864,29.881,32.952,36.498,38.511,40.942,43.679,47.39,51.971,56.99,60.497,62.432,64.218,66.061,67.187,68.718,70.814,73.381,76.084,78.729,80.293,81.885,83.358,84.839,86.011,87.613,88.281,89.145,90.887,92.403,93.221,94.386,96.617,100,102.993,105.375,107.256,108.111,109.599,111.678,113.62
