"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180"
"11","2","    Gross domestic income","A261RC1",954.2,972.8,993.9,1005.2,1012,1025.6,1042.6,1045.5,1083,1105.2,1125.9,1149.2,1183.1,1206,1238.1,1288.4,1327.5,1355.4,1385.3,1428.7,1443.6,1472,1509.2,1533.7,1550.4,1587.7,1650.7,1696.8,1750.5,1780.3,1817.3,1856.4,1905.7,1981.9,2045.3,2102.8,2144.5,2250.9,2303.5,2372,2435.1,2480.8,2538,2607.2,2662.1,2669.8,2745.7,2893.9,2993,3048.4,3151,3168.7,3187.9,3241.6,3272.3,3292,3357.7,3438.1,3522,3621.8,3766.1,3869.9,3945.7,4015.6,4093.2,4141.6,4206.4,4259.4,4326.4,4359.9,4411,4472,4551.4,4648.4,4754.9,4859.3,4955.6,5059.1,5157.8,5267.3,5356.3,5395.2,5454.5,5498.1,5611.1,5715.1,5761.3,5777.9,5827.5,5884.4,5941.6,5995.8,6119.3,6204.9,6252.9,6352.1,6391.5,6498.2,6546.5,6690,6802.1,6917.6,7032.5,7153.2,7231.4,7298.3,7417.8,7501.1,7614.9,7763.3,7863.6,8008.5,8146.2,8259.7,8423.7,8555.8,8661.4,8804.6,8967.3,9081.9,9244.5,9339.2,9458.9,9655.5,9930.4,10036.1,10171,10204.4,10376.7,10410.3,10394.8,10376.4,10541.9,10647.2,10681.1,10787.4,10895.5,11037.6,11194.2,11374.8,11567.3,11778.4,11989.3,12167.5,12408.4,12584.5,12809.1,13070.2,13375.7,13538.5,13706.3,13857.5,13925.1,14039.1,14040.6,14157.9,14332.7,14386.3,14403.7,14053.2,13867.9,13752.9,13793.6,14007.1,14254.6,14373.8,14579.9,14694,14865.3,14978.5,15080.7,15250.7,15477.1,15507.9,15672.6,15920.8,16066
"12","3","    Net domestic product \1\","A362RC1",865.2,878.1,896,901.6,911.5,925.3,941.1,942.2,984.2,1002,1019.9,1030.1,1066.7,1100,1121,1155.3,1200.5,1233,1248,1284.4,1293.4,1325.1,1346.4,1378.1,1387.4,1416.9,1469,1516,1570.5,1598.7,1627.5,1668.9,1716.4,1776.8,1831.2,1869,1899.9,2017.7,2069.8,2142,2180,2233,2295.7,2344.6,2398.1,2390.1,2435.2,2552.8,2676,2696.6,2777.5,2783.8,2762.9,2809.7,2836.2,2869.9,2935.8,3033.8,3134.1,3230.3,3343.4,3435.7,3498.4,3548.7,3623.9,3674.6,3748.8,3800.8,3856.5,3888.7,3948.6,3992.6,4052.7,4120.5,4189.4,4298.5,4353.2,4453.3,4526.7,4624.5,4723.9,4807.2,4876.5,4915.2,5031.3,5110.8,5154.5,5140.7,5166.4,5240.7,5305.4,5358.5,5452,5552,5643.4,5744.4,5782.5,5849.5,5904.7,6020.6,6114.1,6231.5,6307.6,6410.8,6456.3,6491.7,6576.9,6655.9,6742,6893.7,6975,7093.1,7193.4,7319.7,7439.6,7521.4,7603.3,7686.7,7819.3,7982.5,8085.4,8169.4,8300.9,8480.7,8557.9,8774.7,8821.6,8914.4,8931.6,9051.3,9040.8,9096.1,9210.4,9302.4,9391.2,9445.3,9554.2,9665.7,9894.7,10038,10193.2,10343.4,10491.9,10653.4,10866.2,10975.8,11172.6,11311.8,11543.4,11682.3,11757.5,11882.9,12024.6,12219.2,12348,12452.9,12456.5,12572.7,12525.4,12195.2,12038,12017.7,12097.8,12276,12407.2,12546,12700.6,12848.2,12910.6,13076.2,13214.3,13354.5,13493.4,13580.8,13791.3,13826.7,13942.4
"13","4","    Net domestic income \1\","W256RC1",858.6,874.8,893.7,902.4,906.4,917.8,933.2,935.1,969.2,988.4,1006.7,1027.8,1059.7,1080.4,1109.9,1157.1,1193,1217,1242.6,1281.3,1290.6,1312.3,1341.9,1359,1368.3,1399.5,1457.3,1498.9,1549,1574.8,1607.1,1640.8,1683.7,1753.5,1810.5,1860.9,1895.3,1993.9,2038.1,2098,2151.8,2187.3,2234,2292.3,2336.1,2331.8,2395.8,2531.4,2617.6,2660.7,2751.5,2757.8,2765.9,2810.3,2834.1,2849.3,2912.6,2989.7,3069,3163.9,3302.1,3399.3,3468.2,3530.4,3599.9,3640.5,3696.9,3741.5,3800.5,3825.4,3868.2,3921.3,3993,4082.2,4179.7,4274.7,4360.1,4453.2,4541.6,4640.8,4719.9,4748.8,4798.1,4831.6,4934.3,5028.5,5065.1,5072.6,5113.7,5163.1,5213.4,5261.8,5380.6,5461.7,5506.5,5603,5629.6,5724.9,5762.9,5896.8,5999.8,6104.9,6208.3,6315.8,6380,6434.1,6542.1,6614.4,6718.7,6857,6945.9,7078.6,7202.6,7302.6,7453.4,7571.5,7664.1,7792.7,7939.4,8036.9,8181.4,8256.1,8354.7,8528.5,8778.8,8861.6,8975.2,8989,9143.2,9160.3,9130.4,9099.3,9253.7,9347.7,9370.6,9465.7,9562.4,9691.8,9833.8,9998,10170.6,10358.9,10544.9,10697,10912.8,11060.3,11253.1,11480.5,11757.7,11890.3,12031.1,12156.2,12191.2,12281.4,12262.3,12357.7,12515.2,12543.6,12534.1,12166.7,11982.5,11885.2,11939.1,12149.5,12391.5,12506.3,12704.4,12806.4,12961,13051,13131.8,13284.2,13492.3,13503.1,13652.8,13883.4,14003.9
"14",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","5","    Gross national product","A001RC1",967.2,982.3,1002.3,1010.5,1023.4,1039.7,1057.1,1058.7,1105.5,1126.7,1146.3,1159.1,1198.3,1233.7,1258.2,1295.6,1345.8,1383.1,1404.6,1446.1,1463.6,1501.2,1528.9,1566.1,1580.8,1616.6,1675.4,1729.9,1787.7,1820.9,1854.8,1902.4,1959.3,2026,2086.9,2129.6,2171.2,2293.5,2356.1,2440.6,2489,2555.9,2635.8,2695.9,2762.1,2763.8,2819.6,2943.8,3082.8,3114.3,3209.7,3232.3,3220.9,3281.9,3309.4,3346.6,3415,3519,3625,3727.8,3844.4,3943.8,4013.3,4067.2,4143.5,4204.3,4282.5,4345.8,4406,4439.7,4509.8,4555.3,4625.2,4705.2,4782.5,4903.1,4974,5082.6,5163.9,5274.7,5383.9,5476.6,5558.4,5613.4,5738.3,5828.5,5877.2,5895.8,5918.1,5988.9,6057.2,6123.8,6221.4,6325.5,6416.8,6522.1,6581.1,6653,6724.8,6835.2,6944.6,7068.7,7153.8,7269.8,7339.2,7390.3,7473.1,7574.6,7676.6,7829.9,7919.3,8054.7,8160.1,8307.7,8433.1,8522.3,8626,8721.4,8856.8,9039,9171.4,9280.5,9430.1,9643.2,9740.5,9983.5,10048,10184.9,10206.2,10350.9,10332.2,10463.1,10549.7,10634.7,10749.1,10832.2,10939.2,11077.1,11320.7,11506.6,11700.5,11848.8,12033.1,12195.5,12468.7,12596.2,12835.7,12979.8,13242,13406,13494.7,13655.9,13828.8,14056.3,14270.9,14451.8,14452.5,14596.8,14594,14199.5,14041.7,14001.3,14115.2,14310.8,14461.7,14629.3,14793,14948.9,15050.1,15253.6,15421.5,15585,15693.2,15832.9,16054.2,16130.8,16236.8
"16","6","    Gross national income","A023RC1",960.6,979,999.9,1011.3,1018.3,1032.2,1049.2,1051.6,1090.4,1113.1,1133.1,1156.9,1191.3,1214.2,1247.1,1297.4,1338.2,1367,1399.2,1443,1460.7,1488.4,1524.4,1547,1561.8,1599.3,1663.7,1712.8,1766.2,1796.9,1834.4,1874.3,1926.5,2002.6,2066.2,2121.6,2166.6,2269.6,2324.4,2396.6,2460.7,2510.2,2574.1,2643.7,2700,2705.6,2780.1,2922.4,3024.4,3078.4,3183.7,3206.3,3223.9,3282.5,3307.3,3326.1,3391.8,3474.9,3559.9,3661.5,3803.2,3907.5,3983.1,4048.9,4119.5,4170.2,4230.6,4286.5,4349.9,4376.3,4429.5,4484,4565.5,4666.9,4772.9,4879.2,4980.9,5082.4,5178.9,5291,5379.8,5418.3,5480,5529.8,5641.2,5746.2,5787.8,5827.7,5865.4,5911.4,5965.1,6027.1,6150,6235.2,6280,6380.6,6428.1,6528.4,6583,6711.4,6830.4,6942.1,7054.5,7174.8,7262.9,7332.8,7438.3,7533.2,7653.3,7793.2,7890.1,8040.2,8169.3,8290.6,8446.9,8572.4,8686.8,8827.4,8977,9093.4,9267.3,9367.2,9483.9,9691,9961.4,10070.5,10201.6,10259.5,10417.8,10459.9,10421.7,10466.3,10593,10680,10728.5,10852.6,10947.3,11103.2,11259.8,11466.6,11677.9,11864.2,12086.1,12239.1,12515.3,12680.7,12916.2,13148.6,13456.2,13614,13768.2,13929.2,13995.4,14118.5,14185.3,14356.5,14511.3,14567.6,14602.7,14171,13986.2,13868.8,13956.5,14184.2,14446.1,14589.6,14796.8,14907.1,15100.5,15228.5,15338.9,15514.7,15692.1,15755.3,15915.7,16187.4,16298.3
"17","7","    Net national product \1\","A027RC1",871.6,884.3,902,907.6,917.8,931.9,947.7,948.3,991.6,1010,1027.1,1037.8,1074.8,1108.1,1129.9,1164.3,1211.2,1244.7,1261.9,1298.7,1310.5,1341.5,1361.7,1391.4,1398.8,1428.5,1482,1532,1586.2,1615.4,1644.6,1686.8,1737.2,1797.6,1852.1,1887.7,1922,2036.4,2090.7,2166.6,2205.7,2262.5,2331.8,2381.1,2436.1,2425.9,2469.7,2581.3,2707.4,2726.6,2810.2,2821.4,2798.8,2850.6,2871.2,2904,2969.9,3070.6,3172,3269.9,3380.4,3473.2,3535.8,3582,3650.2,3703.2,3773,3827.8,3880.1,3905.1,3967,4004.5,4066.8,4139,4207.4,4318.4,4378.5,4476.7,4547.7,4648.2,4747.5,4830.3,4901.9,4946.8,5061.4,5141.9,5181,5190.5,5204.3,5267.6,5328.9,5389.8,5482.7,5582.3,5670.5,5772.9,5819.1,5879.7,5941.2,6042,6142.4,6256,6329.5,6432.4,6487.8,6526.2,6597.4,6687.9,6780.4,6923.6,7001.6,7124.8,7216.6,7350.6,7462.9,7538,7628.7,7709.5,7828.9,7994,8108.2,8197.4,8325.9,8516.1,8588.9,8809.1,8852.2,8969.4,8972.8,9100.9,9067.8,9186,9261.4,9335.2,9438.6,9510.5,9606,9731.3,9960.2,10129.8,10303.8,10429.2,10588.7,10725,10973,11072.1,11279.7,11390.2,11624,11757.8,11819.5,11954.6,12094.9,12298.7,12492.7,12651.5,12635.1,12754,12724.4,12313,12156.2,12133.5,12260.7,12453.1,12598.6,12761.8,12917.5,13061.2,13145.8,13326.2,13472.6,13618.4,13708.3,13828.1,14034.4,14093.4,14174.7
"18","8","    National income \2\","A032RC1",864.9,881,899.6,908.4,912.7,924.4,939.8,941.1,976.6,996.4,1013.9,1035.6,1067.8,1088.6,1118.8,1166.1,1203.6,1228.6,1256.5,1295.6,1307.6,1328.7,1357.2,1372.3,1379.7,1411.2,1470.3,1514.9,1564.8,1591.4,1624.2,1658.7,1704.4,1774.2,1831.4,1879.7,1917.4,2012.6,2059,2122.6,2177.4,2216.8,2270.1,2328.8,2374.1,2367.7,2430.2,2559.9,2649,2690.8,2784.2,2795.4,2801.9,2851.2,2869.1,2883.4,2946.6,3026.5,3106.9,3203.6,3339.2,3436.9,3505.5,3563.6,3626.2,3669.2,3721.1,3768.5,3824,3841.8,3886.7,3933.3,4007.1,4100.7,4197.8,4294.6,4385.5,4476.5,4562.7,4664.5,4743.4,4771.9,4823.5,4863.2,4964.4,5059.7,5091.7,5122.5,5151.6,5190,5236.9,5293.1,5411.3,5492,5533.7,5631.4,5666.2,5755.2,5799.4,5918.2,6028.1,6129.3,6230.2,6337.3,6411.5,6468.6,6562.7,6646.5,6757.1,6886.9,6972.4,7110.3,7225.8,7333.4,7476.6,7588.1,7689.5,7815.4,7949,8048.4,8204.2,8284,8379.7,8563.9,8809.8,8896,9005.7,9044,9184.4,9209.9,9157.3,9189.2,9304.7,9380.5,9418,9530.9,9614.2,9757.3,9899.4,10089.8,10281.2,10444.7,10641.6,10768.7,11019.6,11156.6,11360.2,11559,11838.2,11965.9,12093,12227.9,12261.4,12360.9,12407.1,12556.3,12693.9,12724.9,12733.1,12284.4,12100.7,12001,12102.1,12326.6,12583,12722.1,12921.3,13019.4,13196.3,13301.1,13390.1,13548.1,13707.2,13750.5,13895.9,14150,14236.2
"19",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","9","    Gross domestic purchases","A712RC1",960.7,974.9,995.3,1001.1,1013.7,1027.7,1046.6,1049.5,1093.6,1119,1139.1,1153,1193.7,1229.8,1251.9,1289.7,1336.5,1369,1384.3,1422.8,1440.1,1487.6,1520.6,1552.7,1553,1583.4,1650.4,1700.1,1767.3,1804.7,1841.8,1891.1,1959.6,2026.4,2086.5,2140.4,2187.7,2297.3,2359,2432.4,2481.5,2548.6,2622.8,2686.2,2759.9,2743.2,2779.7,2922,3065.6,3097.8,3184.6,3209.4,3201.2,3245.3,3304,3342.1,3405.5,3527.7,3652.3,3759.5,3902.4,4010.6,4079.8,4141.7,4209.1,4291.1,4376.9,4453.6,4509.9,4553,4630.6,4676.9,4752.1,4834.1,4910.2,5028.8,5073,5166.4,5243,5359.7,5462.5,5543.1,5609.2,5665.3,5797.3,5865.7,5925,5924.5,5925.8,5983.6,6053.2,6113.7,6209.2,6326.2,6426.1,6538.9,6598.8,6684.7,6756.2,6887.2,6997,7135.5,7228.5,7350.5,7413.9,7466.4,7527.9,7613.1,7727.3,7893.7,8006.8,8111.3,8245.1,8361.5,8506.1,8622.2,8735.1,8860.4,9021.1,9204.7,9360.5,9503.5,9688,9910.2,10067.4,10313.5,10413.4,10539.8,10560.5,10665,10672.2,10730.9,10873.6,11020,11137.6,11246.8,11390.9,11515.9,11754.6,11923.9,12136.2,12369,12572.2,12810.4,13039.3,13190.2,13462.6,13690.7,13937.2,14111.9,14238.5,14298.5,14483.4,14706.6,14829.6,14947.4,15016.2,15161.5,15151.9,14675.4,14308.9,14217,14350.8,14572.9,14760.4,14934.7,15109.2,15238,15370.3,15576.1,15712.7,15915.9,16094,16162.5,16327.8,16394.4,16547.5
"21","10","    Final sales to domestic purchasers \3\","A713RC1",949.2,965.6,985.1,995.3,1011.9,1022.6,1041.6,1053.5,1081.4,1108.1,1129,1153.3,1190.4,1217.8,1238.2,1282.2,1326,1350.8,1374.5,1397.9,1427.6,1470.1,1515.1,1532.3,1563,1597.4,1651.8,1699.8,1752.6,1782.3,1821,1880.6,1944.8,2006.9,2055.7,2116.3,2162.3,2273.1,2334,2404,2457.6,2521.2,2610.6,2677.6,2750,2735.5,2813.6,2931.1,3026.9,3086.1,3140.6,3184.6,3222.7,3249.5,3298.2,3381.9,3440.6,3535.3,3656.5,3735.6,3829.4,3941.3,4008.5,4093.7,4192.9,4269.5,4360.6,4420.5,4479.5,4537.4,4637.6,4689.6,4724.1,4817.6,4909.2,4965.7,5056,5146.7,5224.8,5340.7,5414.3,5507.1,5599.3,5648.7,5783.4,5832,5903.1,5935.8,5941.3,6001.6,6052.3,6082.5,6209,6303,6405.6,6517.6,6562.9,6660.6,6749.6,6870.6,6951.7,7054.1,7175.3,7275.3,7352.8,7432.7,7516.6,7594.7,7720.4,7863.3,7955.6,8076.6,8195.2,8273.1,8438.2,8544.4,8630,8823.1,8968.7,9144.6,9277.2,9468.4,9647.4,9825.9,10051.4,10223.1,10356.2,10485.3,10591.1,10676.6,10702.3,10811.7,10887,11006.8,11119.3,11216.9,11362.3,11519,11750.4,11888.1,12084.8,12293,12511.5,12738.9,12948.6,13174.3,13451.5,13608.5,13871.3,14039.4,14169.4,14266.2,14466.4,14659.1,14790.2,14934.8,15035.7,15179.8,15196,14757.9,14475.6,14419.7,14551.3,14619.7,14727.2,14892.9,14999.7,15189,15336.6,15541.3,15716.8,15833.8,16021.5,16107.8,16245.6,16371.6,16499.2
"22",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","11","    Disposable personal income","A067RC1",648.4,663.4,685.2,698.2,709.8,730.3,747.4,754.6,776.8,797.4,808.8,822.5,836.4,849.1,874.1,916.4,938,965.6,988.2,1020.8,1035,1055.2,1087,1109.6,1125.9,1193,1198.8,1231.3,1263.3,1284.4,1315.7,1346.1,1371.4,1410.8,1453.6,1504.1,1538.6,1588.2,1629.3,1673.2,1723.3,1757.9,1811.8,1870.4,1931.8,1951.4,2017.5,2110,2157.4,2193.6,2279.1,2318.4,2350.4,2389.4,2437.6,2473.3,2514.3,2555.9,2628.5,2700.6,2789.5,2865.1,2932.4,2978.8,3003.1,3085.6,3086,3142.6,3202.9,3241.4,3282.4,3308.5,3373,3365.9,3461.5,3540.9,3616.1,3690,3764.3,3834.9,3925.3,3960.8,4008.3,4071.1,4164,4236.7,4293.9,4321.5,4362.5,4422.1,4465.1,4529.8,4634.1,4701.9,4756.8,4854.1,4805.9,4908.4,4936.2,5036,5035.7,5148.8,5229,5323.7,5387.2,5419.1,5482.7,5539,5630.8,5728.3,5803.6,5875.9,5959.1,6019.9,6106.1,6213.2,6357.6,6463.4,6553.2,6621.6,6687.4,6740.8,6819.9,6965.1,7174.9,7280.5,7400.6,7452.7,7561.4,7576.8,7771.1,7684.6,7909.9,8015.4,8028.3,8085.1,8173.2,8303,8473.5,8561.5,8670.5,8820.7,8934.4,9132.1,9074.3,9194.4,9353.5,9487.1,9705.2,9863.8,9982.5,10111.2,10255.5,10358.6,10456.9,10623.4,10879.6,11220,11081.2,10917.3,10727.8,10758.1,10669.2,10734.6,10932.9,11117.5,11185.4,11272.4,11484.1,11542.3,11572.6,11598.3,11776.4,11861.8,11929.7,12235.2,11998.1
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1. In this table, net measures are the corresponding gross measures less the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2. Equals gross national income less the depreciation of fixed assets as measured by the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
