"","Table 5#8#4A# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"1","[Index numbers, 2005=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/29/2013 5:41:45 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
"8","1","      Gross government fixed investment \1\","B782RG3",24.808,26.841,28.787,31.486,33.608,38.492,42.386,43.955,46.045,48.795,52.754,58.099,63.881,67.938,69.002,69.666,69.819,69.782,70.242,71.357,72.877,74.698,75.929,76.221,77.816,79.702,81.941,82.905,83.367
"9","2","        Federal","B787RG3",34.502,37.193,39.579,47.864,49.884,52.874,57.18,60.935,64.821,68.584,72.561,77.579,84.014,89.386,91.264,92.612,91.451,88.414,86.323,86.563,88.149,89.959,91.723,92.113,94.112,96.305,98.429,98.523,96.911
"10","3","          National defense","B788RG3",32.506,34.86,37.085,49.4,51.249,53.203,56.45,60.768,65.158,69.704,73.283,77.747,84.061,89.758,92.18,93.848,92.067,87.935,85.002,84.75,86.191,87.933,89.786,90.595,93.058,95.841,98.204,98.76,96.927
"11","4","          Nondefense","B798RG3",35.549,38.933,41.454,43.249,45.446,50.089,56.276,58.73,61.435,63.662,68.274,74.17,80.605,85.053,85.435,85.86,86.695,87.584,88.571,90.548,92.592,94.578,96.045,95.352,96.318,97.278,98.913,98.156,96.933
"12","5","        State and local","B799RG3",20.612,22.345,24.049,25.339,27.31,32.304,35.854,36.705,38.131,40.445,44.265,49.575,55.017,58.508,59.192,59.503,60.423,62.202,64.31,66.018,67.569,69.47,70.464,70.715,72.158,73.945,76.258,77.571,78.783
