"","Table 2#8#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"1","[Index numbers, 2005=100; seasonally adjusted]                                                                                                                                                                                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Monthly data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 8:24:24 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1959,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1963,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1964,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1965,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1966,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969,1969
"8",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
"9","1","    Personal consumption expenditures (PCE)","DPCERG3",18.166,18.181,18.193,18.229,18.238,18.29,18.328,18.354,18.402,18.447,18.458,18.479,18.47,18.488,18.499,18.566,18.586,18.594,18.629,18.66,18.672,18.693,18.757,18.76,18.763,18.781,18.77,18.76,18.77,18.78,18.82,18.836,18.858,18.857,18.859,18.864,18.901,18.952,18.976,18.998,19.009,19.021,19.01,19.037,19.129,19.108,19.122,19.115,19.163,19.181,19.165,19.163,19.193,19.235,19.272,19.298,19.294,19.332,19.359,19.389,19.43,19.459,19.471,19.487,19.489,19.517,19.543,19.559,19.589,19.602,19.629,19.658,19.679,19.687,19.712,19.743,19.787,19.844,19.859,19.864,19.873,19.88,19.913,19.985,20.009,20.092,20.141,20.212,20.237,20.288,20.328,20.406,20.471,20.525,20.556,20.598,20.6,20.624,20.635,20.669,20.709,20.775,20.845,20.91,20.973,21.031,21.1,21.133,21.23,21.317,21.386,21.452,21.532,21.6,21.666,21.755,21.831,21.927,22.002,22.048,22.136,22.192,22.297,22.396,22.487,22.596,22.695,22.759,22.854,22.932,23.031,23.136
"10","2","Goods","DGDSRG3",28.859,28.872,28.866,28.887,28.876,28.939,28.965,28.971,29.039,29.086,29.056,29.063,29.012,29.026,29.043,29.187,29.177,29.152,29.187,29.237,29.216,29.246,29.372,29.352,29.364,29.378,29.336,29.249,29.246,29.22,29.296,29.321,29.323,29.29,29.257,29.242,29.271,29.378,29.402,29.441,29.413,29.399,29.338,29.398,29.656,29.565,29.562,29.51,29.576,29.61,29.552,29.526,29.559,29.663,29.745,29.795,29.748,29.788,29.825,29.884,29.964,29.987,29.97,29.98,29.936,29.978,30.019,29.991,30.051,30.045,30.095,30.136,30.156,30.137,30.184,30.234,30.312,30.456,30.452,30.406,30.369,30.338,30.369,30.522,30.533,30.715,30.812,30.91,30.891,30.927,30.968,31.131,31.212,31.254,31.269,31.326,31.265,31.261,31.25,31.264,31.319,31.416,31.56,31.68,31.76,31.836,31.948,31.946,32.107,32.218,32.29,32.38,32.494,32.562,32.654,32.789,32.89,33.037,33.141,33.143,33.252,33.307,33.455,33.606,33.701,33.907,34.032,34.1,34.219,34.284,34.437,34.583
"11","3","  Durable goods","DDURRG3",50.707,50.736,50.8,50.851,50.936,51.037,51.062,50.824,50.911,50.875,50.916,50.939,50.83,50.913,50.764,50.825,50.82,50.681,50.686,50.697,50.476,50.433,50.764,50.397,50.518,50.536,50.566,50.674,50.794,50.87,50.909,50.991,51.13,51.083,50.844,50.913,50.869,50.945,51.047,50.958,50.971,51.131,51.169,51.175,51.219,50.98,50.999,50.98,50.905,51.016,51.087,51.096,51.129,51.252,51.213,51.187,51.509,51.515,51.435,51.445,51.493,51.597,51.526,51.549,51.492,51.487,51.516,51.441,51.404,51.279,51.366,51.409,51.384,51.355,51.339,51.298,51.347,50.952,50.914,50.963,50.955,50.547,50.559,50.884,50.479,50.661,50.648,50.791,50.799,50.849,51,51.042,51.072,51.153,51.201,51.461,51.21,51.13,51.154,51.291,51.41,51.468,51.762,51.964,52.142,52.411,52.571,52.461,52.704,52.814,52.946,53.037,53.15,53.244,53.4,53.568,53.789,53.973,54.184,54.068,54.163,54.372,54.637,54.738,54.76,54.896,54.99,55.087,55.103,55.339,55.435,55.425
