"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 30, 2013      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/30/2013 11:03:46 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","    Gross domestic product","A191RX1",4258.2,4266.3,4409.5,4643.8,4912.8,4885.7,4875.4,5136.9,5373.1,5672.8,5850.1,5834,5982.1,5865.9,6130.9,6571.5,6843.4,7080.5,7307,7607.4,7879.2,8027.1,8008.3,8280,8516.2,8863.1,9086,9425.8,9845.9,10274.7,10770.7,11216.4,11337.5,11543.1,11836.4,12246.9,12623,12958.5,13206.4,13161.9,12757.9,13063,13299.1,13593.2
"9","2","Personal consumption expenditures","DPCERX1",2676.2,2738.9,2843.3,3018.1,3167.7,3141.4,3212.6,3391.5,3534.3,3690.1,3777.8,3764.5,3821.6,3874.9,4096.4,4313.6,4538.3,4722.4,4868,5064.3,5207.5,5313.7,5321.7,5503.2,5698.6,5916.2,6076.2,6288.3,6520.4,6862.3,7237.6,7604.6,7810.3,8018.3,8244.5,8515.8,8803.5,9054.5,9262.9,9211.7,9032.6,9196.2,9428.8,9603.3
"10","3","  Goods","DGDSRX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1896,1980.9,2075.3,2215.5,2392,2518.2,2597.3,2702.9,2827.2,2953.3,3076.7,3178.9,3273.5,3192.9,3098.2,3209.1,3331,3432.9
