"","Table 7#2#5A# Auto Output","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1947 To 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 17, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 8:31:59 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966
"8","1","      Auto output","A133RC1",7.2,8.8,11.9,15.4,13.3,12,16.1,14.7,21.2,16.9,19.4,14.4,19.4,21.4,17.7,22.4,25.1,25.9,31.3,30.3
"9","2","Final sales","A134RC1",7.1,8.6,11.8,15.2,13.2,11.9,15.6,14.8,20.1,17,18.8,15,19.2,20.4,18.5,22.3,24.7,26,30.4,29.5
"10","3","  Personal consumption expenditures","A135RC1",4.8,6.2,9,11.7,10.1,9.4,12,11.1,15.6,13.5,15,12.5,15.9,16.6,14.7,17.9,20.5,21.7,25.2,25
"11","4","    New autos","A136RC1",4,5,7.7,10.3,8.6,8,11.1,10.8,13.8,11.6,12.6,9.7,13.2,14,12.1,15,17.2,18.3,21.4,21
"12","5","    Net purchases of used autos","A137RC1",0.8,1.2,1.3,1.4,1.5,1.4,0.9,0.2,1.8,1.9,2.4,2.8,2.7,2.6,2.6,2.9,3.2,3.4,3.8,3.9
"13","6","  Private fixed investment","A138RC1",1.8,2,2.5,3.2,2.6,2.2,3.2,3.3,4,3.2,3.6,2.6,3.7,3.8,3.5,4.3,4,4.2,5.1,4.8
"14","7","    New autos","B139RC1",1.9,2.3,3,3.8,3.4,3.1,4.1,4.1,4.8,4,4.5,3.6,4.7,4.8,4.6,5.5,5.4,5.5,6.6,6.6
"15","8","    Net purchases of used autos","B140RC1",-0.1,-0.3,-0.5,-0.6,-0.8,-0.9,-0.9,-0.8,-0.8,-0.8,-0.9,-1,-1,-0.9,-1.1,-1.2,-1.3,-1.4,-1.5,-1.8
"16","9","  Net exports","A141RC1",0.4,0.3,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.2,0,-0.2,-0.5,-0.3,-0.1,-0.2,-0.2,-0.2,-0.3,-0.7
"17","10","    Exports","B142RC1",0.4,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.6
"18","11","    Imports","B143RC1",0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,0.8,0.5,0.3,0.4,0.5,0.6,0.7,1.2
"19","12","  Gross government investment","B144RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4
"20","13","Change in private inventories of new and used autos","A145RC1",0.1,0.2,0.1,0.2,0.1,0,0.5,-0.1,1.1,-0.2,0.6,-0.6,0.1,1,-0.8,0.1,0.4,-0.1,0.9,0.8
"21","14","  New","B146RC1",0.1,0.2,0.1,0.1,0,-0.1,0.4,-0.3,0.9,-0.3,0.6,-0.3,0.1,0.9,-0.6,0.1,0.4,-0.1,0.9,0.7
"22","15","  Used","B147RC1",0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,-0.1,-0.3,0.1,0.1,-0.2,0,0,0,0,0.1
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Domestic output of new autos \1\","B148RC1",6.4,7.7,11,14.4,12.3,11.2,15.9,15,19.9,15.4,17.7,12.5,16.9,19.1,15.9,20.3,22.7,23.3,28.3,27.1
"25","17","  Sales of imported new autos \2\","B149RC1",0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.4,0.8,1.3,1,0.8,0.7,0.8,1,1.3,1.9
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2. Consists of sales of imported new autos in personal consumption expenditures, in private fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
