"","Table 7#18# Relation of Wages and Salaries in the National Incom","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1982 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2015 4:43:20 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","Total wages and salaries, BLS \1\","BA06RC1","1,479,187.0","1,563,540.0","1,718,002.0","1,847,999.0","1,961,526.0","2,107,867.0","2,280,602.0","2,415,119.0","2,564,522.0","2,626,972.0","2,781,676.0","2,884,472.0","3,033,677.0","3,215,921.0","3,414,515.0","3,674,032.0","3,967,072.0","4,235,579.0","4,587,709.0","4,695,225.0","4,714,375.0","4,826,252.0","5,087,562.0","5,351,949.0","5,692,569.0","6,018,089.0","6,142,159.0","5,859,232.0","5,975,676.0","6,217,286.0","6,491,224.0","6,671,941.0"
"20",NA,"Plus:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2","  Adjustment for misreporting on employment tax returns \2\","BA07RC1","25,604.0","26,951.0","28,156.0","29,935.0","31,851.0","33,399.0","36,321.0","38,194.0","40,237.0","42,548.0","43,578.0","44,958.0","46,481.0","48,041.0","49,630.0","52,432.0","54,786.0","57,686.0","60,451.0","65,396.0","67,352.0","70,735.0","74,032.0","70,130.0","73,521.0","73,431.0","70,311.0","69,732.0","69,681.0","73,598.0","80,142.0","82,472.0"
"22","3","  Adjustment for wages and salaries not covered or not fully covered by unemployment insurance","W873RC1","82,730.0","87,466.0","98,536.0","104,846.0","108,958.0","115,000.0","122,859.0","129,738.0","136,390.0","145,008.0","140,287.0","149,910.0","156,431.0","154,060.0","152,324.0","150,380.0","159,758.0","164,740.0","177,704.0","193,815.0","214,684.0","240,860.0","260,338.0","269,879.0","291,312.0","303,647.0","319,399.0","322,431.0","332,168.0","342,275.0","360,710.0","370,288.0"
"23","4","    Government","W787RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","69,871.0","70,307.0","72,063.0","70,913.0","69,663.0","71,863.0","75,925.0","79,705.0","78,925.0","89,547.0","102,881.0","110,744.0","119,869.0","123,233.0","128,597.0","137,435.0","145,125.0","149,000.0","150,313.0","150,837.0","149,723.0"
"24","5","    Other","W786RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","80,039.0","86,124.0","81,997.0","81,411.0","80,717.0","87,895.0","88,815.0","97,999.0","114,890.0","125,137.0","137,979.0","149,594.0","150,010.0","168,079.0","175,050.0","181,964.0","177,306.0","183,168.0","191,962.0","209,873.0","220,565.0"
"25","6","  Timing adjustment for accrual basis","Y663RC1","-4.0","-445.0","220.0","-230.0","0.0","0.0","0.0","0.0","50.0","-50.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"26","7","Equals: Wages and salaries, NIPAs","A576RC1","1,587,517.0","1,677,513.0","1,844,915.0","1,982,550.0","2,102,335.0","2,256,267.0","2,439,782.0","2,583,051.0","2,741,199.0","2,814,478.0","2,965,541.0","3,079,340.0","3,236,589.0","3,418,022.0","3,616,469.0","3,876,844.0","4,181,616.0","4,458,006.0","4,825,865.0","4,954,436.0","4,996,411.0","5,137,847.0","5,421,933.0","5,691,959.0","6,057,402.0","6,395,167.0","6,531,869.0","6,251,396.0","6,377,525.0","6,633,159.0","6,932,076.0","7,124,701.0"
