"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67"
"1","[Millions of chained (2009) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 30, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2015 10:20:07 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Personal consumption expenditures (PCE)","DPCERX1","7,618,691.0","7,731,528.0","7,819,273.0","7,934,144.0","8,054,859.0","8,132,194.0","8,211,276.0","8,284,400.0","8,319,403.0","8,340,761.0","8,371,247.0","8,499,132.0","8,524,579.0","8,568,126.0","8,628,043.0","8,674,353.0","8,712,527.0","8,809,507.0","8,939,387.0","9,008,815.0","9,096,415.0","9,155,468.0","9,243,002.0","9,337,837.0","9,409,222.0","9,511,451.0","9,585,233.0","9,621,339.0","9,729,225.0","9,781,025.0","9,838,106.0","9,938,409.0","9,990,657.0","10,024,604.0","10,069,158.0","10,081,798.0","10,060,966.0","10,077,940.0","10,005,097.0","9,884,724.0","9,850,832.0","9,806,377.0","9,865,864.0","9,864,805.0","9,917,689.0","9,998,389.0","10,063,083.0","10,166,127.0","10,217,123.0","10,237,676.0","10,282,234.0","10,316,777.0","10,387,551.0","10,420,180.0","10,470,382.0","10,520,581.0","10,613,655.0","10,660,396.0","10,713,300.0","10,811,431.0","10,844,293.0","10,912,567.0","10,999,543.0","11,114,915.0"
"21","2","Goods","DGDSRX1","2,393,599.0","2,449,834.0","2,478,775.0","2,521,287.0","2,559,102.0","2,572,582.0","2,599,387.0","2,621,931.0","2,628,045.0","2,635,071.0","2,653,920.0","2,749,540.0","2,742,596.0","2,753,580.0","2,788,314.0","2,796,217.0","2,811,721.0","2,872,229.0","2,953,462.0","2,980,393.0","3,012,806.0","3,029,450.0","3,066,039.0","3,099,389.0","3,136,535.0","3,177,837.0","3,195,493.0","3,198,775.0","3,262,214.0","3,267,844.0","3,294,479.0","3,345,579.0","3,363,481.0","3,376,314.0","3,392,331.0","3,394,925.0","3,348,724.0","3,360,387.0","3,296,562.0","3,185,498.0","3,188,798.0","3,166,888.0","3,222,890.0","3,215,201.0","3,246,978.0","3,288,034.0","3,319,130.0","3,380,462.0","3,404,859.0","3,398,248.0","3,405,495.0","3,438,505.0","3,477,983.0","3,488,971.0","3,516,870.0","3,542,294.0","3,593,656.0","3,605,168.0","3,636,105.0","3,668,962.0","3,678,323.0","3,731,609.0","3,774,513.0","3,824,346.0"
"22","3","  Durable goods","DDURRX1","664,025.0","695,778.0","712,454.0","720,989.0","761,222.0","747,154.0","759,844.0","765,106.0","777,690.0","777,013.0","785,934.0","851,425.0","840,968.0","849,219.0","874,118.0","862,044.0","864,685.0","904,370.0","944,695.0","956,807.0","972,679.0","982,167.0","1,001,345.0","1,015,506.0","1,026,252.0","1,055,365.0","1,067,330.0","1,038,837.0","1,081,348.0","1,080,152.0","1,095,075.0","1,109,606.0","1,122,037.0","1,138,252.0","1,150,899.0","1,155,460.0","1,122,489.0","1,118,994.0","1,084,703.0","1,006,754.0","1,008,610.0","1,002,566.0","1,050,555.0","1,031,542.0","1,045,163.0","1,076,300.0","1,093,761.0","1,127,409.0","1,141,775.0","1,134,221.0","1,148,617.0","1,181,511.0","1,212,000.0","1,218,770.0","1,242,413.0","1,269,702.0","1,295,721.0","1,309,988.0","1,325,866.0","1,344,507.0","1,354,992.0","1,400,378.0","1,431,539.0","1,457,472.0"
"23","4","    Motor vehicles and parts","DMOTRX1","320,664.0","343,486.0","344,517.0","334,334.0","362,723.0","336,659.0","342,687.0","343,673.0","353,227.0","347,326.0","351,460.0","404,553.0","375,776.0","377,863.0","401,703.0","377,911.0","377,403.0","393,801.0","406,582.0","400,511.0","402,409.0","401,972.0","407,284.0","410,304.0","401,196.0","414,390.0","416,623.0","367,774.0","382,073.0","381,919.0","388,514.0","388,023.0","390,477.0","396,212.0","393,296.0","391,170.0","371,918.0","355,180.0","337,369.0","298,790.0","307,597.0","308,944.0","342,159.0","309,531.0","306,206.0","319,712.0","325,749.0","341,956.0","342,720.0","324,192.0","325,170.0","343,011.0","351,354.0","351,695.0","359,456.0","369,080.0","374,127.0","373,995.0","375,487.0","380,532.0","385,658.0","402,852.0","413,734.0","420,235.0"
