"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","    Government consumption expenditures and gross investment","A822RC1","240,401.0","254,196.0","269,331.0","288,245.0","306,365.0","343,113.0","382,937.0","405,824.0","435,759.0","477,387.0","525,537.0","590,847.0","654,734.0","710,021.0","765,744.0","825,169.0","908,430.0","974,467.0","1,030,760.0","1,078,168.0","1,151,919.0","1,238,361.0","1,298,163.0","1,345,371.0","1,366,061.0","1,403,740.0","1,452,162.0","1,496,449.0","1,554,159.0","1,613,514.0","1,726,038.0","1,834,428.0","1,958,765.0","2,094,937.0","2,220,849.0","2,357,402.0","2,493,690.0","2,642,194.0","2,801,927.0","3,003,191.0","3,089,091.0","3,174,026.0","3,168,743.0","3,169,155.0","3,143,909.0","3,174,546.0"
"20","2","      Consumption expenditures \1\","A955RC1","180,861.0","194,403.0","210,822.0","227,554.0","240,724.0","266,951.0","298,540.0","316,184.0","342,602.0","371,821.0","405,437.0","454,895.0","507,389.0","553,072.0","594,579.0","631,991.0","688,558.0","736,383.0","776,119.0","819,773.0","881,488.0","947,994.0","1,004,071.0","1,049,253.0","1,074,176.0","1,109,568.0","1,144,482.0","1,176,498.0","1,224,627.0","1,272,113.0","1,357,572.0","1,444,173.0","1,545,131.0","1,651,364.0","1,755,592.0","1,868,942.0","1,980,048.0","2,089,846.0","2,209,721.0","2,368,565.0","2,442,062.0","2,522,209.0","2,530,861.0","2,549,731.0","2,547,591.0","2,585,308.0"
"21","3","      Gross investment \2\","A782RC1","59,541.0","59,793.0","58,509.0","60,691.0","65,640.0","76,162.0","84,397.0","89,640.0","93,158.0","105,567.0","120,100.0","135,952.0","147,345.0","156,949.0","171,165.0","193,178.0","219,872.0","238,084.0","254,641.0","258,395.0","270,431.0","290,367.0","294,092.0","296,117.0","291,886.0","294,171.0","307,680.0","319,951.0","329,532.0","341,401.0","368,466.0","390,254.0","413,634.0","443,572.0","465,256.0","488,461.0","513,641.0","552,347.0","592,206.0","634,626.0","647,029.0","651,817.0","637,882.0","619,424.0","596,318.0","589,239.0"
"22","4","        Structures","A760RC1","28,959.0","29,167.0","31,239.0","31,605.0","34,356.0","40,317.0","44,529.0","44,877.0","44,287.0","51,491.0","57,814.0","65,309.0","66,357.0","64,983.0","65,719.0","72,504.0","81,116.0","88,986.0","95,509.0","98,998.0","101,968.0","112,621.0","116,981.0","119,744.0","121,075.0","124,685.0","134,748.0","144,381.0","155,556.0","160,157.0","175,790.0","189,735.0","205,777.0","221,937.0","228,554.0","235,697.0","246,775.0","268,479.0","292,522.0","310,343.0","318,921.0","313,162.0","301,145.0","283,997.0","273,325.0","277,847.0"
"23","5","        Equipment","Y054RC1","12,858.0","13,042.0","9,216.0","9,780.0","10,940.0","14,356.0","16,589.0","19,241.0","20,979.0","23,052.0","27,275.0","31,082.0","35,967.0","42,313.0","50,229.0","58,446.0","67,762.0","73,891.0","77,415.0","74,273.0","80,677.0","86,622.0","85,692.0","84,767.0","79,413.0","77,453.0","78,888.0","80,078.0","75,638.0","78,949.0","86,143.0","87,370.0","88,176.0","95,598.0","100,156.0","107,231.0","112,997.0","123,266.0","130,703.0","147,128.0","148,263.0","151,214.0","145,102.0","142,609.0","134,611.0","129,444.0"
"24","6","        Intellectual property products","Y055RC1","17,724.0","17,584.0","18,054.0","19,305.0","20,344.0","21,489.0","23,279.0","25,522.0","27,892.0","31,023.0","35,010.0","39,561.0","45,021.0","49,653.0","55,217.0","62,229.0","70,994.0","75,207.0","81,717.0","85,124.0","87,786.0","91,124.0","91,418.0","91,607.0","91,397.0","92,034.0","94,044.0","95,492.0","98,339.0","102,296.0","106,533.0","113,150.0","119,681.0","126,037.0","136,547.0","145,533.0","153,869.0","160,602.0","168,981.0","177,155.0","179,845.0","187,440.0","191,635.0","192,818.0","188,381.0","181,948.0"
"25","7","          Software","Y056RC1","541.0","752.0","826.0","944.0","1,168.0","1,463.0","1,814.0","1,973.0","2,121.0","2,510.0","3,167.0","3,901.0","4,765.0","5,445.0","6,386.0","7,672.0","8,926.0","9,750.0","10,795.0","12,427.0","14,711.0","16,150.0","17,396.0","18,370.0","18,598.0","18,393.0","18,558.0","19,213.0","20,675.0","23,247.0","25,043.0","27,113.0","27,836.0","26,071.0","26,206.0","27,267.0","28,848.0","30,454.0","32,347.0","34,421.0","34,056.0","35,526.0","37,545.0","38,650.0","39,337.0","40,265.0"
"26","8","          Research and development","Y057RC1","17,183.0","16,832.0","17,228.0","18,361.0","19,176.0","20,026.0","21,465.0","23,549.0","25,771.0","28,513.0","31,843.0","35,660.0","40,256.0","44,208.0","48,831.0","54,557.0","62,068.0","65,457.0","70,922.0","72,697.0","73,075.0","74,974.0","74,022.0","73,237.0","72,799.0","73,641.0","75,486.0","76,279.0","77,664.0","79,049.0","81,490.0","86,037.0","91,845.0","99,966.0","110,341.0","118,266.0","125,021.0","130,148.0","136,634.0","142,734.0","145,789.0","151,914.0","154,090.0","154,168.0","149,044.0","141,683.0"
"27","9","Federal","A823RC1","131,146.0","132,749.0","134,409.0","141,521.0","145,565.0","158,128.0","172,772.0","183,753.0","198,795.0","216,707.0","237,733.0","272,364.0","311,729.0","345,614.0","380,191.0","407,620.0","449,276.0","478,377.0","500,219.0","508,819.0","531,380.0","560,019.0","580,738.0","586,605.0","578,383.0","572,690.0","575,360.0","578,210.0","582,401.0","584,096.0","610,427.0","632,433.0","669,236.0","740,604.0","824,808.0","892,379.0","946,320.0","1,001,989.0","1,049,772.0","1,155,606.0","1,217,685.0","1,303,864.0","1,303,451.0","1,291,389.0","1,231,526.0","1,219,025.0"
"28","10","    Consumption expenditures","A957RC1","100,423.0","102,292.0","106,611.0","112,172.0","113,913.0","122,466.0","132,925.0","139,004.0","149,597.0","161,965.0","175,989.0","202,111.0","231,300.0","255,658.0","277,853.0","292,030.0","316,751.0","336,493.0","347,772.0","360,836.0","380,163.0","401,815.0","423,941.0","430,211.0","427,700.0","427,331.0","427,659.0","428,418.0","438,696.0","436,433.0","455,570.0","475,057.0","505,391.0","560,327.0","628,454.0","681,373.0","723,441.0","763,940.0","798,350.0","879,822.0","933,702.0","1,003,905.0","1,006,061.0","1,003,610.0","963,047.0","965,009.0"
"29","11","    Gross investment","A787RC1","30,723.0","30,457.0","27,798.0","29,349.0","31,652.0","35,662.0","39,847.0","44,749.0","49,198.0","54,742.0","61,744.0","70,253.0","80,429.0","89,956.0","102,338.0","115,590.0","132,525.0","141,884.0","152,447.0","147,983.0","151,217.0","158,204.0","156,797.0","156,394.0","150,683.0","145,359.0","147,701.0","149,792.0","143,705.0","147,663.0","154,857.0","157,376.0","163,845.0","180,277.0","196,354.0","211,006.0","222,879.0","238,049.0","251,422.0","275,784.0","283,983.0","299,959.0","297,390.0","287,779.0","268,479.0","254,016.0"
"30","12","      Structures","A801RC1","3,380.0","3,378.0","4,286.0","4,499.0","5,219.0","5,577.0","6,393.0","6,729.0","7,376.0","8,645.0","8,774.0","10,251.0","10,936.0","10,738.0","11,497.0","11,968.0","13,563.0","14,779.0","16,688.0","14,205.0","13,241.0","14,082.0","13,801.0","15,512.0","16,588.0","15,975.0","17,492.0","17,543.0","16,026.0","16,595.0","16,112.0","13,760.0","13,467.0","16,093.0","17,417.0","16,556.0","15,242.0","17,233.0","21,368.0","25,054.0","29,146.0","32,625.0","30,092.0","22,441.0","17,832.0","17,133.0"
"31","13","      Equipment","Y058RC1","10,277.0","10,257.0","6,283.0","6,448.0","7,101.0","9,752.0","11,502.0","13,963.0","15,538.0","16,951.0","20,174.0","23,007.0","27,432.0","32,930.0","39,437.0","45,772.0","53,003.0","57,523.0","60,197.0","55,700.0","58,754.0","62,690.0","62,227.0","60,721.0","54,557.0","49,392.0","48,429.0","49,590.0","43,592.0","44,237.0","48,746.0","48,590.0","49,807.0","57,559.0","62,594.0","70,068.0","75,913.0","84,207.0","86,831.0","101,410.0","103,718.0","109,435.0","105,771.0","103,595.0","94,477.0","88,196.0"
"32","14","      Intellectual property products","Y059RC1","17,066.0","16,822.0","17,229.0","18,402.0","19,332.0","20,333.0","21,952.0","24,057.0","26,284.0","29,146.0","32,796.0","36,995.0","42,061.0","46,288.0","51,404.0","57,850.0","65,959.0","69,582.0","75,562.0","78,078.0","79,222.0","81,432.0","80,769.0","80,161.0","79,538.0","79,992.0","81,780.0","82,659.0","84,087.0","86,831.0","89,999.0","95,026.0","100,571.0","106,625.0","116,343.0","124,382.0","131,724.0","136,609.0","143,223.0","149,320.0","151,119.0","157,899.0","161,527.0","161,743.0","156,170.0","148,687.0"
"33","15","        Software","Y060RC1","400.0","577.0","649.0","740.0","927.0","1,171.0","1,448.0","1,561.0","1,684.0","1,978.0","2,474.0","3,062.0","3,765.0","4,246.0","4,952.0","5,906.0","6,854.0","7,515.0","8,385.0","9,489.0","10,652.0","11,384.0","11,990.0","12,307.0","12,270.0","12,119.0","12,304.0","12,761.0","13,315.0","15,087.0","16,382.0","17,610.0","18,027.0","16,630.0","16,477.0","17,054.0","18,253.0","19,281.0","20,692.0","22,110.0","21,832.0","23,306.0","24,647.0","25,164.0","25,339.0","25,712.0"
"34","16","        Research and development","Y061RC1","16,666.0","16,245.0","16,580.0","17,662.0","18,405.0","19,162.0","20,504.0","22,496.0","24,600.0","27,168.0","30,322.0","33,933.0","38,296.0","42,042.0","46,452.0","51,944.0","59,105.0","62,067.0","67,177.0","68,589.0","68,570.0","70,048.0","68,779.0","67,854.0","67,268.0","67,873.0","69,476.0","69,898.0","70,772.0","71,744.0","73,617.0","77,416.0","82,544.0","89,995.0","99,866.0","107,328.0","113,471.0","117,328.0","122,531.0","127,210.0","129,287.0","134,593.0","136,880.0","136,579.0","130,831.0","122,975.0"
"35","17","  National defense","A824RC1","102,070.0","100,713.0","97,991.0","100,638.0","102,041.0","109,199.0","116,971.0","123,786.0","132,845.0","143,023.0","157,785.0","180,963.0","211,186.0","242,784.0","269,346.0","294,660.0","325,960.0","349,188.0","369,943.0","379,614.0","388,639.0","402,759.0","411,952.0","404,718.0","390,067.0","380,316.0","376,049.0","376,548.0","371,434.0","367,702.0","382,716.0","391,702.0","412,726.0","456,844.0","519,884.0","570,230.0","608,254.0","642,390.0","678,726.0","754,127.0","788,276.0","832,766.0","836,938.0","818,015.0","769,943.0","761,392.0"
"36","18","    Consumption expenditures","A997RC1","82,620.0","81,789.0","82,338.0","84,362.0","84,277.0","88,835.0","94,334.0","98,172.0","104,923.0","112,983.0","122,940.0","140,789.0","162,942.0","184,598.0","199,577.0","213,602.0","230,544.0","245,782.0","259,180.0","274,166.0","283,473.0","295,432.0","310,642.0","307,546.0","300,844.0","294,542.0","291,089.0","291,545.0","292,468.0","288,460.0","301,226.0","308,297.0","325,059.0","358,098.0","408,923.0","446,791.0","475,918.0","500,319.0","526,072.0","582,787.0","613,288.0","653,213.0","662,276.0","650,467.0","616,428.0","618,733.0"
"37","19","    Gross investment","A788RC1","19,450.0","18,924.0","15,653.0","16,276.0","17,764.0","20,364.0","22,637.0","25,614.0","27,922.0","30,040.0","34,845.0","40,174.0","48,244.0","58,186.0","69,769.0","81,058.0","95,416.0","103,406.0","110,763.0","105,448.0","105,166.0","107,327.0","101,310.0","97,172.0","89,223.0","85,774.0","84,960.0","85,003.0","78,966.0","79,242.0","81,490.0","83,405.0","87,667.0","98,746.0","110,961.0","123,439.0","132,336.0","142,071.0","152,654.0","171,340.0","174,988.0","179,553.0","174,662.0","167,548.0","153,515.0","142,659.0"
"38","20","      Structures","A808RC1","1,491.0","1,321.0","1,827.0","1,789.0","2,112.0","2,177.0","2,320.0","2,145.0","2,378.0","2,509.0","2,521.0","3,177.0","3,210.0","3,954.0","4,763.0","4,934.0","6,219.0","6,774.0","7,657.0","7,357.0","6,358.0","6,090.0","4,633.0","5,220.0","5,347.0","5,763.0","6,696.0","6,287.0","6,117.0","5,834.0","5,386.0","5,396.0","5,333.0","6,134.0","7,090.0","6,939.0","7,159.0","7,791.0","10,010.0","13,667.0","17,128.0","16,654.0","13,348.0","8,103.0","6,520.0","5,321.0"
"39","21","      Equipment","Y050RC1","9,716.0","9,546.0","5,452.0","5,314.0","5,954.0","8,215.0","9,856.0","12,138.0","13,250.0","14,279.0","17,448.0","19,790.0","24,123.0","29,069.0","35,179.0","41,091.0","47,862.0","52,722.0","54,970.0","49,578.0","51,521.0","54,636.0","53,350.0","50,701.0","44,706.0","41,894.0","39,835.0","39,855.0","33,628.0","34,048.0","36,847.0","37,767.0","39,853.0","45,583.0","50,189.0","56,675.0","60,708.0","66,825.0","70,758.0","83,827.0","86,029.0","90,286.0","87,471.0","85,077.0","78,305.0","72,281.0"
"40","22","      Intellectual property products","Y052RC1","8,243.0","8,057.0","8,374.0","9,173.0","9,698.0","9,972.0","10,461.0","11,331.0","12,294.0","13,252.0","14,876.0","17,207.0","20,911.0","25,163.0","29,827.0","35,033.0","41,335.0","43,910.0","48,136.0","48,513.0","47,287.0","46,601.0","43,327.0","41,251.0","39,170.0","38,117.0","38,429.0","38,861.0","39,221.0","39,360.0","39,257.0","40,242.0","42,481.0","47,029.0","53,682.0","59,825.0","64,469.0","67,455.0","71,886.0","73,846.0","71,831.0","72,613.0","73,843.0","74,368.0","68,690.0","65,057.0"
"41","23","        Software","Y053RC1","140.0","206.0","225.0","257.0","321.0","394.0","491.0","526.0","565.0","661.0","832.0","1,003.0","1,262.0","1,443.0","1,687.0","2,247.0","2,745.0","3,224.0","3,627.0","4,262.0","4,818.0","5,189.0","5,428.0","5,635.0","5,439.0","5,305.0","5,291.0","5,507.0","5,584.0","5,871.0","5,943.0","6,045.0","5,753.0","5,612.0","5,447.0","5,684.0","5,926.0","6,186.0","6,516.0","6,893.0","6,836.0","7,304.0","7,685.0","7,728.0","7,718.0","7,811.0"
"42","24","        Research and development","Y076RC1","8,103.0","7,851.0","8,149.0","8,916.0","9,377.0","9,578.0","9,970.0","10,805.0","11,729.0","12,591.0","14,044.0","16,204.0","19,649.0","23,720.0","28,140.0","32,786.0","38,590.0","40,686.0","44,509.0","44,251.0","42,469.0","41,412.0","37,899.0","35,616.0","33,731.0","32,812.0","33,138.0","33,354.0","33,637.0","33,489.0","33,314.0","34,197.0","36,728.0","41,417.0","48,235.0","54,141.0","58,543.0","61,269.0","65,370.0","66,953.0","64,995.0","65,309.0","66,158.0","66,640.0","60,972.0","57,246.0"
"43","25","  Nondefense","A825RC1","29,076.0","32,036.0","36,418.0","40,883.0","43,524.0","48,929.0","55,801.0","59,967.0","65,950.0","73,684.0","79,948.0","91,401.0","100,543.0","102,830.0","110,845.0","112,960.0","123,316.0","129,189.0","130,276.0","129,205.0","142,741.0","157,260.0","168,786.0","181,887.0","188,316.0","192,374.0","199,311.0","201,662.0","210,967.0","216,394.0","227,711.0","240,731.0","256,510.0","283,760.0","304,924.0","322,149.0","338,066.0","359,599.0","371,046.0","401,479.0","429,409.0","471,098.0","466,513.0","473,374.0","461,583.0","457,633.0"
"44","26","    Consumption expenditures","A542RC1","17,803.0","20,503.0","24,273.0","27,810.0","29,636.0","33,631.0","38,591.0","40,832.0","44,674.0","48,982.0","53,049.0","61,322.0","68,358.0","71,060.0","78,276.0","78,428.0","86,207.0","90,711.0","88,592.0","86,670.0","96,690.0","106,383.0","113,299.0","122,665.0","126,856.0","132,789.0","136,570.0","136,873.0","146,228.0","147,973.0","154,344.0","166,760.0","180,332.0","202,229.0","219,531.0","234,582.0","247,523.0","263,621.0","272,278.0","297,035.0","320,414.0","350,692.0","343,785.0","353,143.0","346,619.0","346,276.0"
"45","27","    Gross investment","A798RC1","11,273.0","11,533.0","12,145.0","13,073.0","13,888.0","15,298.0","17,210.0","19,135.0","21,276.0","24,702.0","26,899.0","30,079.0","32,185.0","31,770.0","32,569.0","34,532.0","37,109.0","38,478.0","41,684.0","42,535.0","46,051.0","50,877.0","55,487.0","59,222.0","61,460.0","59,585.0","62,741.0","64,789.0","64,739.0","68,421.0","73,367.0","73,971.0","76,178.0","81,531.0","85,393.0","87,567.0","90,543.0","95,978.0","98,768.0","104,444.0","108,995.0","120,406.0","122,728.0","120,231.0","114,964.0","111,357.0"
"46","28","      Structures","A830RC1","1,889.0","2,057.0","2,459.0","2,710.0","3,107.0","3,400.0","4,073.0","4,584.0","4,998.0","6,136.0","6,253.0","7,074.0","7,726.0","6,784.0","6,734.0","7,034.0","7,344.0","8,005.0","9,031.0","6,848.0","6,883.0","7,992.0","9,168.0","10,292.0","11,241.0","10,212.0","10,796.0","11,256.0","9,909.0","10,761.0","10,726.0","8,364.0","8,134.0","9,959.0","10,327.0","9,617.0","8,083.0","9,442.0","11,358.0","11,387.0","12,018.0","15,971.0","16,744.0","14,338.0","11,312.0","11,812.0"
"47","29","      Equipment","Y066RC1","561.0","711.0","831.0","1,134.0","1,147.0","1,537.0","1,646.0","1,825.0","2,288.0","2,672.0","2,726.0","3,217.0","3,309.0","3,861.0","4,258.0","4,681.0","5,141.0","4,801.0","5,227.0","6,122.0","7,233.0","8,054.0","8,877.0","10,020.0","9,851.0","7,498.0","8,594.0","9,735.0","9,964.0","10,189.0","11,899.0","10,823.0","9,954.0","11,976.0","12,405.0","13,393.0","15,205.0","17,382.0","16,073.0","17,583.0","17,689.0","19,149.0","18,300.0","18,518.0","16,172.0","15,915.0"
"48","30","      Intellectual property products","Y067RC1","8,823.0","8,765.0","8,855.0","9,229.0","9,634.0","10,361.0","11,491.0","12,726.0","13,990.0","15,894.0","17,920.0","19,788.0","21,150.0","21,125.0","21,577.0","22,817.0","24,624.0","25,672.0","27,426.0","29,565.0","31,935.0","34,831.0","37,442.0","38,910.0","40,368.0","41,875.0","43,351.0","43,798.0","44,866.0","47,471.0","50,742.0","54,784.0","58,090.0","59,596.0","62,661.0","64,557.0","67,255.0","69,154.0","71,337.0","75,474.0","79,288.0","85,286.0","87,684.0","87,375.0","87,480.0","83,630.0"
"49","31","        Software","Y068RC1","260.0","371.0","424.0","483.0","606.0","777.0","957.0","1,035.0","1,119.0","1,317.0","1,642.0","2,059.0","2,503.0","2,803.0","3,265.0","3,659.0","4,109.0","4,291.0","4,758.0","5,227.0","5,834.0","6,195.0","6,562.0","6,672.0","6,831.0","6,814.0","7,013.0","7,254.0","7,731.0","9,216.0","10,439.0","11,565.0","12,274.0","11,018.0","11,030.0","11,370.0","12,327.0","13,095.0","14,176.0","15,217.0","14,996.0","16,002.0","16,962.0","17,436.0","17,621.0","17,901.0"
"50","32","        Research and development","Y069RC1","8,563.0","8,394.0","8,431.0","8,746.0","9,028.0","9,584.0","10,534.0","11,691.0","12,871.0","14,577.0","16,278.0","17,729.0","18,647.0","18,322.0","18,312.0","19,158.0","20,515.0","21,381.0","22,668.0","24,338.0","26,101.0","28,636.0","30,880.0","32,238.0","33,537.0","35,061.0","36,338.0","36,544.0","37,135.0","38,255.0","40,303.0","43,219.0","45,816.0","48,578.0","51,631.0","53,187.0","54,928.0","56,059.0","57,161.0","60,257.0","64,292.0","69,284.0","70,722.0","69,939.0","69,859.0","65,729.0"
"51","33","State and local","A829RC1","109,255.0","121,447.0","134,922.0","146,724.0","160,800.0","184,985.0","210,165.0","222,071.0","236,964.0","260,680.0","287,804.0","318,483.0","343,005.0","364,407.0","385,553.0","417,549.0","459,154.0","496,090.0","530,541.0","569,349.0","620,539.0","678,342.0","717,425.0","758,766.0","787,678.0","831,050.0","876,802.0","918,239.0","971,758.0","1,029,418.0","1,115,611.0","1,201,995.0","1,289,529.0","1,354,333.0","1,396,041.0","1,465,023.0","1,547,370.0","1,640,205.0","1,752,155.0","1,847,585.0","1,871,406.0","1,870,162.0","1,865,292.0","1,877,766.0","1,912,383.0","1,955,521.0"
"52","34","  Consumption expenditures","A991RC1","80,438.0","92,111.0","104,211.0","115,382.0","126,811.0","144,485.0","165,615.0","177,180.0","193,005.0","209,856.0","229,448.0","252,784.0","276,089.0","297,414.0","316,726.0","339,961.0","371,807.0","399,890.0","428,347.0","458,937.0","501,325.0","546,179.0","580,130.0","619,042.0","646,476.0","682,237.0","716,823.0","748,080.0","785,931.0","835,680.0","902,002.0","969,116.0","1,039,740.0","1,091,037.0","1,127,138.0","1,187,569.0","1,256,607.0","1,325,906.0","1,411,371.0","1,488,743.0","1,508,360.0","1,518,304.0","1,524,800.0","1,546,121.0","1,584,544.0","1,620,299.0"
"53","35","  Gross investment","A799RC1","28,818.0","29,336.0","30,711.0","31,342.0","33,988.0","40,500.0","44,550.0","44,891.0","43,960.0","50,825.0","58,356.0","65,699.0","66,916.0","66,993.0","68,827.0","77,588.0","87,347.0","96,200.0","102,194.0","110,412.0","119,214.0","132,163.0","137,295.0","139,723.0","141,203.0","148,812.0","159,979.0","170,159.0","185,827.0","193,738.0","213,609.0","232,878.0","249,789.0","263,295.0","268,902.0","277,455.0","290,762.0","314,298.0","340,784.0","358,842.0","363,046.0","351,858.0","340,492.0","331,645.0","327,839.0","335,223.0"
