"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","Net value added","A439RC1","49,577.0","43,097.0","33,094.0","23,620.0","22,867.0","29,395.0","32,963.0","38,477.0","43,596.0","38,180.0","42,499.0","49,065.0","64,371.0","81,090.0","96,930.0","100,518.0","93,853.0","97,838.0","117,744.0","134,618.0","130,656.0","148,873.0","170,707.0","178,969.0","191,960.0","188,605.0","213,582.0","228,064.0","237,198.0","230,533.0","259,910.0","271,476.0","279,298.0","305,213.0","325,038.0","351,673.0","386,748.0","424,340.0","446,192.0","492,234.0","535,081.0"
"22","4","  Compensation of employees","A442RC1","34,242.0","30,808.0","25,369.0","19,013.0","18,002.0","21,045.0","23,056.0","26,274.0","30,548.0","27,266.0","29,816.0","32,856.0","41,598.0","52,849.0","64,141.0","67,074.0","64,069.0","69,854.0","82,136.0","91,111.0","88,798.0","98,654.0","114,553.0","123,015.0","133,985.0","132,212.0","144,625.0","158,175.0","166,500.0","163,977.0","180,289.0","190,689.0","195,554.0","210,997.0","222,667.0","239,180.0","259,864.0","288,528.0","308,418.0","340,182.0","377,454.0"
"23","5","    Wages and salaries","A443RC1","33,818.0","30,399.0","24,996.0","18,690.0","17,706.0","20,714.0","22,697.0","25,645.0","29,256.0","25,848.0","28,288.0","31,218.0","39,612.0","50,520.0","61,311.0","63,907.0","60,916.0","66,473.0","77,991.0","86,899.0","84,390.0","92,989.0","107,533.0","115,490.0","125,801.0","123,600.0","134,819.0","147,005.0","154,027.0","151,393.0","165,640.0","174,456.0","178,685.0","191,821.0","201,917.0","216,750.0","235,153.0","259,249.0","277,066.0","305,414.0","338,028.0"
"24","6","    Supplements to wages and salaries","A444RC1","424.0","409.0","373.0","323.0","296.0","331.0","359.0","629.0","1,292.0","1,418.0","1,528.0","1,638.0","1,986.0","2,329.0","2,830.0","3,167.0","3,153.0","3,381.0","4,145.0","4,212.0","4,408.0","5,665.0","7,020.0","7,525.0","8,184.0","8,612.0","9,806.0","11,170.0","12,473.0","12,584.0","14,649.0","16,233.0","16,869.0","19,176.0","20,750.0","22,430.0","24,711.0","29,279.0","31,352.0","34,768.0","39,426.0"
"25","7","  Taxes on production and imports less subsidies","W321RC1","2,999.0","3,037.0","2,842.0","2,942.0","3,467.0","4,090.0","4,155.0","4,364.0","4,621.0","4,575.0","4,751.0","5,136.0","6,052.0","6,421.0","6,810.0","7,531.0","8,322.0","9,774.0","11,525.0","12,749.0","13,371.0","14,821.0","15,853.0","17,331.0","18,468.0","17,937.0","19,818.0","21,518.0","22,808.0","23,137.0","25,553.0","27,844.0","28,940.0","31,234.0","33,170.0","35,588.0","37,816.0","38,913.0","41,389.0","47,847.0","52,896.0"
"26","8","  Net operating surplus","W322RC1","12,336.0","9,252.0","4,883.0","1,665.0","1,398.0","4,260.0","5,752.0","7,839.0","8,427.0","6,339.0","7,932.0","11,073.0","16,721.0","21,820.0","25,979.0","25,913.0","21,462.0","18,210.0","24,083.0","30,758.0","28,487.0","35,398.0","40,301.0","38,623.0","39,507.0","38,456.0","49,139.0","48,371.0","47,890.0","43,419.0","54,068.0","52,943.0","54,804.0","62,982.0","69,201.0","76,905.0","89,068.0","96,899.0","96,385.0","104,205.0","104,731.0"
"27","9","    Net interest and miscellaneous payments","A453RC1","1,381.0","1,538.0","1,522.0","1,397.0","1,168.0","1,414.0","1,525.0","1,359.0","1,304.0","1,321.0","1,336.0","1,120.0","1,000.0","981.0","925.0","692.0","603.0","85.0","313.0","50.0","-1.0","-86.0","-170.0","-192.0","30.0","240.0","231.0","118.0","265.0","655.0","-109.0","-101.0","525.0","857.0","488.0","920.0","1,347.0","2,430.0","4,157.0","4,380.0","8,622.0"
"28","10","    Business current transfer payments (net)","W323RC1","355.0","354.0","406.0","425.0","404.0","390.0","368.0","353.0","342.0","311.0","328.0","347.0","419.0","428.0","526.0","672.0","749.0","573.0","591.0","576.0","555.0","694.0","1,017.0","1,038.0","981.0","718.0","1,095.0","1,428.0","1,577.0","1,431.0","1,381.0","1,502.0","1,650.0","1,853.0","2,286.0","2,747.0","3,138.0","2,875.0","3,137.0","3,713.0","4,288.0"
"29","11","    Corporate profits with IVA and CCAdj","A445RC1","10,600.0","7,360.0","2,955.0","-157.0","-174.0","2,456.0","3,859.0","6,127.0","6,781.0","4,707.0","6,268.0","9,606.0","15,302.0","20,411.0","24,528.0","24,549.0","20,110.0","17,552.0","23,179.0","30,132.0","27,933.0","34,790.0","39,454.0","37,777.0","38,496.0","37,498.0","47,813.0","46,825.0","46,048.0","41,333.0","52,796.0","51,542.0","52,629.0","60,272.0","66,427.0","73,238.0","84,583.0","91,594.0","89,091.0","96,112.0","91,821.0"
"30","12","      Taxes on corporate income","A054RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0"
"31","13","      Profits after tax with IVA and CCAdj","W273RC1","9,231.0","6,518.0","2,457.0","-542.0","-695.0","1,712.0","2,908.0","4,718.0","5,279.0","3,678.0","4,827.0","6,772.0","7,692.0","8,996.0","10,454.0","11,600.0","9,421.0","8,448.0","11,911.0","17,711.0","17,730.0","16,865.0","16,895.0","18,378.0","18,209.0","19,874.0","25,772.0","24,832.0","24,625.0","22,369.0","29,069.0","28,760.0","29,739.0","36,177.0","40,056.0","45,083.0","53,518.0","57,713.0","56,192.0","56,484.0","51,844.0"
"32","14","        Net dividends","A449RC1","5,569.0","5,331.0","4,070.0","2,578.0","2,040.0","2,507.0","2,685.0","4,419.0","4,538.0","2,918.0","3,582.0","3,782.0","4,200.0","4,029.0","4,208.0","4,324.0","4,372.0","5,149.0","5,632.0","6,200.0","6,406.0","7,854.0","7,408.0","7,461.0","7,751.0","7,860.0","8,899.0","9,467.0","9,856.0","9,832.0","10,708.0","11,410.0","11,506.0","12,356.0","13,562.0","14,991.0","16,874.0","17,828.0","18,330.0","20,167.0","20,403.0"
"33","15","        Undistributed profits with IVA and CCAdj","W274RC1","3,662.0","1,187.0","-1,613.0","-3,120.0","-2,735.0","-795.0","223.0","299.0","741.0","760.0","1,245.0","2,990.0","3,492.0","4,967.0","6,246.0","7,276.0","5,049.0","3,299.0","6,279.0","11,511.0","11,324.0","9,011.0","9,487.0","10,917.0","10,458.0","12,014.0","16,873.0","15,365.0","14,769.0","12,537.0","18,361.0","17,350.0","18,233.0","23,821.0","26,494.0","30,092.0","36,644.0","39,885.0","37,862.0","36,317.0","31,441.0"
"34","16","    Gross value added of financial corporate business \1\","A454RC1","3,980.0","2,918.0","2,415.0","2,139.0","1,899.0","2,015.0","2,216.0","2,541.0","2,589.0","2,758.0","2,880.0","3,027.0","3,275.0","3,445.0","3,802.0","4,022.0","4,245.0","5,074.0","5,336.0","6,072.0","6,784.0","7,306.0","8,219.0","9,225.0","10,228.0","10,783.0","11,754.0","12,907.0","13,836.0","14,680.0","15,882.0","17,492.0","18,407.0","19,254.0","19,646.0","21,578.0","23,158.0","25,134.0","28,112.0","31,317.0","36,202.0"
"35","17","    Gross value added of nonfinancial corporate business \1\","A455RC1","50,825.0","45,259.0","35,431.0","25,721.0","24,976.0","31,484.0","34,931.0","40,184.0","45,751.0","40,242.0","44,443.0","51,078.0","66,680.0","84,033.0","99,680.0","103,244.0","96,576.0","100,764.0","122,204.0","140,034.0","136,284.0","154,855.0","177,624.0","185,860.0","199,032.0","196,162.0","221,388.0","237,245.0","247,926.0","242,249.0","271,648.0","282,472.0","290,415.0","316,795.0","337,808.0","364,507.0","400,730.0","440,066.0","463,176.0","510,909.0","554,583.0"
"36","18","Consumption of fixed capital","B456RC1","5,016.0","4,872.0","4,560.0","4,076.0","3,860.0","3,944.0","4,020.0","4,080.0","4,556.0","4,632.0","4,636.0","4,844.0","5,364.0","6,124.0","6,304.0","6,496.0","6,736.0","7,752.0","9,476.0","11,120.0","12,008.0","12,848.0","14,636.0","15,580.0","16,728.0","17,724.0","18,912.0","21,356.0","23,756.0","25,496.0","26,688.0","27,560.0","28,564.0","29,824.0","31,340.0","33,252.0","35,828.0","39,392.0","43,452.0","48,092.0","53,484.0"
"37","19","Net value added","A457RC1","45,809.0","40,387.0","30,871.0","21,645.0","21,116.0","27,540.0","30,911.0","36,104.0","41,195.0","35,610.0","39,807.0","46,234.0","61,316.0","77,909.0","93,376.0","96,748.0","89,840.0","93,012.0","112,728.0","128,914.0","124,276.0","142,007.0","162,988.0","170,280.0","182,304.0","178,438.0","202,476.0","215,889.0","224,170.0","216,753.0","244,960.0","254,912.0","261,851.0","286,971.0","306,468.0","331,255.0","364,902.0","400,674.0","419,724.0","462,817.0","501,099.0"
"38","20","  Compensation of employees","A460RC1","32,147.0","28,791.0","23,522.0","17,432.0","16,597.0","19,585.0","21,537.0","24,641.0","28,781.0","25,513.0","28,023.0","31,010.0","39,642.0","50,790.0","61,991.0","64,833.0","61,658.0","66,853.0","78,763.0","87,467.0","84,902.0","94,387.0","109,808.0","117,770.0","128,198.0","125,945.0","137,886.0","150,770.0","158,411.0","155,209.0","170,794.0","180,409.0","184,516.0","199,256.0","210,106.0","225,657.0","245,400.0","272,851.0","291,064.0","320,869.0","356,064.0"
"39","21","    Wages and salaries","B461RC1","31,763.0","28,419.0","23,183.0","17,139.0","16,324.0","19,277.0","21,207.0","24,059.0","27,562.0","24,183.0","26,588.0","29,469.0","37,755.0","48,561.0","59,278.0","61,781.0","58,611.0","63,608.0","74,759.0","83,441.0","80,689.0","88,948.0","103,053.0","110,547.0","120,353.0","117,730.0","128,511.0","140,085.0","146,487.0","143,301.0","156,935.0","165,053.0","168,575.0","181,160.0","190,566.0","204,546.0","222,158.0","245,240.0","261,618.0","288,123.0","318,844.0"
"40","22","    Supplements to wages and salaries","B462RC1","384.0","372.0","339.0","293.0","273.0","308.0","330.0","582.0","1,219.0","1,330.0","1,435.0","1,541.0","1,887.0","2,229.0","2,713.0","3,052.0","3,047.0","3,245.0","4,004.0","4,026.0","4,213.0","5,439.0","6,755.0","7,223.0","7,845.0","8,215.0","9,375.0","10,685.0","11,924.0","11,908.0","13,859.0","15,356.0","15,941.0","18,096.0","19,540.0","21,111.0","23,242.0","27,611.0","29,446.0","32,746.0","37,220.0"
"41","23","  Taxes on production and imports less subsidies","W325RC1","2,953.0","2,991.0","2,796.0","2,894.0","3,405.0","4,017.0","4,076.0","4,282.0","4,529.0","4,484.0","4,652.0","5,027.0","5,918.0","6,277.0","6,641.0","7,338.0","8,098.0","9,525.0","11,192.0","12,378.0","12,955.0","14,363.0","15,365.0","16,797.0","17,885.0","17,317.0","19,160.0","20,803.0","22,049.0","22,306.0","24,397.0","26,600.0","27,620.0","29,869.0","31,667.0","33,878.0","36,022.0","36,973.0","39,311.0","45,535.0","50,181.0"
"42","24","  Net operating surplus","W326RC1","10,709.0","8,605.0","4,553.0","1,319.0","1,114.0","3,938.0","5,298.0","7,181.0","7,885.0","5,613.0","7,132.0","10,197.0","15,756.0","20,842.0","24,744.0","24,577.0","20,084.0","16,634.0","22,773.0","29,069.0","26,419.0","33,257.0","37,815.0","35,713.0","36,221.0","35,176.0","45,430.0","44,316.0","43,710.0","39,238.0","49,769.0","47,903.0","49,715.0","57,846.0","64,695.0","71,720.0","83,480.0","90,850.0","89,349.0","96,413.0","94,854.0"
"43","25","    Net interest and miscellaneous payments","B471RC1","1,358.0","1,606.0","1,778.0","1,765.0","1,738.0","1,684.0","1,670.0","1,600.0","1,590.0","1,524.0","1,476.0","1,335.0","1,237.0","1,220.0","1,060.0","990.0","942.0","653.0","760.0","850.0","991.0","921.0","1,077.0","1,235.0","1,323.0","1,649.0","1,712.0","1,844.0","2,267.0","2,848.0","3,011.0","3,302.0","3,810.0","4,457.0","4,807.0","5,283.0","5,955.0","7,170.0","8,578.0","10,112.0","13,501.0"
"44","26","    Business current transfer payments (net)","W327RC1","310.0","306.0","337.0","352.0","331.0","319.0","312.0","318.0","326.0","297.0","306.0","317.0","367.0","419.0","494.0","630.0","667.0","475.0","572.0","605.0","588.0","601.0","727.0","824.0","959.0","851.0","979.0","1,035.0","1,098.0","1,173.0","1,255.0","1,266.0","1,421.0","1,579.0","1,595.0","1,871.0","2,102.0","2,617.0","2,703.0","2,937.0","3,047.0"
"45","27","    Corporate profits with IVA and CCAdj","A463RC1","9,041.0","6,693.0","2,438.0","-798.0","-955.0","1,935.0","3,316.0","5,263.0","5,969.0","3,792.0","5,350.0","8,545.0","14,152.0","19,203.0","23,190.0","22,957.0","18,475.0","15,506.0","21,441.0","27,614.0","24,840.0","31,735.0","36,011.0","33,654.0","33,939.0","32,676.0","42,739.0","41,437.0","40,345.0","35,217.0","45,503.0","43,335.0","44,484.0","51,810.0","58,293.0","64,566.0","75,423.0","81,063.0","78,068.0","83,364.0","78,306.0"
"46","28","      Taxes on corporate income","B465RC1","1,149.0","740.0","450.0","345.0","488.0","681.0","863.0","1,257.0","1,359.0","912.0","1,330.0","2,675.0","7,352.0","11,112.0","13,732.0","12,557.0","10,184.0","8,573.0","10,777.0","11,681.0","9,262.0","16,764.0","21,104.0","17,677.0","18,369.0","15,528.0","20,115.0","19,919.0","18,981.0","16,064.0","20,682.0","19,142.0","19,419.0","20,591.0","22,754.0","23,888.0","27,137.0","29,492.0","27,828.0","33,534.0","33,344.0"
"47","29","      Profits after tax with IVA and CCAdj","W328RC1","7,892.0","5,953.0","1,988.0","-1,143.0","-1,443.0","1,254.0","2,453.0","4,006.0","4,610.0","2,880.0","4,020.0","5,870.0","6,800.0","8,091.0","9,458.0","10,400.0","8,291.0","6,933.0","10,664.0","15,933.0","15,578.0","14,971.0","14,907.0","15,977.0","15,570.0","17,148.0","22,624.0","21,518.0","21,364.0","19,153.0","24,821.0","24,193.0","25,065.0","31,219.0","35,539.0","40,678.0","48,286.0","51,571.0","50,240.0","49,830.0","44,962.0"
"48","30","        Net dividends","B467RC1","5,077.0","4,957.0","3,757.0","2,396.0","1,981.0","2,677.0","3,170.0","4,298.0","4,424.0","2,745.0","3,425.0","3,710.0","4,144.0","3,761.0","3,943.0","4,055.0","4,068.0","4,856.0","5,359.0","5,877.0","6,040.0","7,375.0","7,042.0","7,053.0","7,243.0","7,357.0","8,415.0","9,007.0","9,226.0","9,115.0","9,816.0","10,455.0","10,576.0","11,590.0","12,444.0","13,996.0","16,195.0","16,751.0","17,273.0","19,038.0","19,026.0"
"49","31","        Undistributed profits with IVA and CCAdj","W332RC1","2,815.0","996.0","-1,769.0","-3,539.0","-3,424.0","-1,423.0","-717.0","-292.0","186.0","135.0","595.0","2,160.0","2,656.0","4,330.0","5,515.0","6,345.0","4,223.0","2,077.0","5,305.0","10,056.0","9,538.0","7,596.0","7,865.0","8,924.0","8,327.0","9,791.0","14,209.0","12,511.0","12,138.0","10,038.0","15,005.0","13,738.0","14,489.0","19,629.0","23,095.0","26,682.0","32,091.0","34,820.0","32,967.0","30,792.0","25,936.0"
"50",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","32","    Profits before tax (without IVA and CCAdj)","A446RC1","10,678.0","4,421.0","566.0","-1,313.0","1,833.0","3,154.0","4,212.0","7,004.0","7,358.0","4,302.0","7,454.0","10,370.0","18,371.0","22,098.0","25,474.0","24,363.0","20,051.0","24,872.0","31,651.0","35,241.0","28,917.0","42,512.0","43,636.0","39,394.0","41,351.0","38,831.0","49,086.0","49,804.0","48,102.0","42,506.0","53,236.0","50,715.0","50,588.0","55,433.0","60,335.0","66,976.0","78,404.0","85,856.0","82,829.0","92,271.0","90,057.0"
"53","33","    Profits after tax (without IVA and CCAdj)","A448RC1","9,309.0","3,579.0","68.0","-1,698.0","1,312.0","2,410.0","3,261.0","5,595.0","5,856.0","3,273.0","6,013.0","7,536.0","10,761.0","10,683.0","11,400.0","11,414.0","9,362.0","15,768.0","20,383.0","22,820.0","18,714.0","24,587.0","21,077.0","19,995.0","21,064.0","21,207.0","27,045.0","27,811.0","26,679.0","23,542.0","29,509.0","27,933.0","27,698.0","31,338.0","33,964.0","38,821.0","47,339.0","51,975.0","49,930.0","52,643.0","50,080.0"
"54","34","    Undistributed profits after tax (without IVA and CCAdj)","A450RC1","3,740.0","-1,752.0","-4,002.0","-4,276.0","-728.0","-97.0","576.0","1,176.0","1,318.0","355.0","2,431.0","3,754.0","6,561.0","6,654.0","7,192.0","7,090.0","4,990.0","10,619.0","14,751.0","16,620.0","12,308.0","16,733.0","13,669.0","12,534.0","13,313.0","13,347.0","18,146.0","18,344.0","16,823.0","13,710.0","18,801.0","16,523.0","16,192.0","18,982.0","20,402.0","23,830.0","30,465.0","34,147.0","31,600.0","32,476.0","29,677.0"
"55","35","    Inventory valuation adjustment","B058RC1","472.0","3,260.0","2,414.0","1,047.0","-2,143.0","-625.0","-227.0","-738.0","-31.0","963.0","-714.0","-200.0","-2,471.0","-1,204.0","-773.0","-287.0","-564.0","-5,263.0","-5,899.0","-2,152.0","1,856.0","-4,965.0","-1,199.0","981.0","-997.0","-318.0","-1,736.0","-2,693.0","-1,539.0","-255.0","-277.0","-173.0","271.0","26.0","54.0","-494.0","-1,245.0","-2,107.0","-1,554.0","-3,651.0","-5,870.0"
"56","36","    Capital consumption adjustment","A059RC1","-550.0","-321.0","-25.0","109.0","136.0","-73.0","-126.0","-139.0","-546.0","-558.0","-472.0","-564.0","-598.0","-483.0","-173.0","473.0","623.0","-2,057.0","-2,573.0","-2,957.0","-2,840.0","-2,757.0","-2,983.0","-2,598.0","-1,858.0","-1,015.0","463.0","-286.0","-515.0","-918.0","-163.0","1,000.0","1,770.0","4,813.0","6,038.0","6,756.0","7,424.0","7,845.0","7,816.0","7,492.0","7,634.0"
"57",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","37","    Profits before tax (without IVA and CCAdj)","A464RC1","9,027.0","3,671.0","-17.0","-2,000.0","1,021.0","2,589.0","3,631.0","6,108.0","6,488.0","3,331.0","6,473.0","9,252.0","17,139.0","20,739.0","23,990.0","22,616.0","18,278.0","22,678.0","29,709.0","32,493.0","25,616.0","39,202.0","39,909.0","34,978.0","36,504.0","33,717.0","43,753.0","44,125.0","42,101.0","36,055.0","45,628.0","42,283.0","42,260.0","46,837.0","52,039.0","58,222.0","69,100.0","75,117.0","71,634.0","79,383.0","76,421.0"
"59","38","    Profits after tax (without IVA and CCAdj)","A466RC1","7,878.0","2,931.0","-467.0","-2,345.0","533.0","1,908.0","2,768.0","4,851.0","5,129.0","2,419.0","5,143.0","6,577.0","9,787.0","9,627.0","10,258.0","10,059.0","8,094.0","14,105.0","18,932.0","20,812.0","16,354.0","22,438.0","18,805.0","17,301.0","18,135.0","18,189.0","23,638.0","24,206.0","23,120.0","19,991.0","24,946.0","23,141.0","22,841.0","26,246.0","29,285.0","34,334.0","41,963.0","45,625.0","43,806.0","45,849.0","43,077.0"
"60","39","    Inventory valuation adjustment","B058RC1","472.0","3,260.0","2,414.0","1,047.0","-2,143.0","-625.0","-227.0","-738.0","-31.0","963.0","-714.0","-200.0","-2,471.0","-1,204.0","-773.0","-287.0","-564.0","-5,263.0","-5,899.0","-2,152.0","1,856.0","-4,965.0","-1,199.0","981.0","-997.0","-318.0","-1,736.0","-2,693.0","-1,539.0","-255.0","-277.0","-173.0","271.0","26.0","54.0","-494.0","-1,245.0","-2,107.0","-1,554.0","-3,651.0","-5,870.0"
"61","40","    Capital consumption adjustment","B470RC1","-458.0","-238.0","41.0","155.0","167.0","-29.0","-88.0","-107.0","-488.0","-502.0","-409.0","-507.0","-516.0","-332.0","-27.0","628.0","761.0","-1,909.0","-2,369.0","-2,727.0","-2,632.0","-2,502.0","-2,699.0","-2,305.0","-1,568.0","-723.0","722.0","5.0","-217.0","-583.0","152.0","1,225.0","1,953.0","4,947.0","6,200.0","6,838.0","7,568.0","8,053.0","7,988.0","7,632.0","7,755.0"
