"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","    Private fixed investment","A007RC1","164,387.0","168,049.0","188,571.0","219,038.0","251,052.0","260,537.0","263,509.0","306,106.0","374,288.0","452,586.0","521,672.0","536,429.0","601,421.0","595,945.0","643,267.0","754,688.0","807,825.0","842,573.0","865,028.0","918,482.0","972,008.0","978,906.0","944,738.0","996,686.0","1,086,015.0","1,192,699.0","1,286,305.0","1,401,257.0","1,524,666.0","1,671,611.0","1,823,379.0","1,979,205.0","1,966,921.0","1,906,487.0","2,008,661.0","2,212,818.0","2,467,530.0","2,613,677.0","2,609,293.0","2,456,806.0","2,025,686.0","2,039,284.0","2,198,116.0","2,414,300.0","2,573,928.0","2,765,398.0"
"20","2","Nonresidential","A008RC1","120,012.0","124,638.0","130,418.0","146,639.0","172,730.0","191,069.0","196,776.0","219,344.0","259,059.0","314,576.0","373,831.0","406,909.0","472,939.0","485,097.0","482,154.0","564,324.0","607,748.0","607,761.0","615,238.0","662,282.0","715,993.0","739,237.0","723,585.0","741,945.0","799,206.0","868,852.0","962,237.0","1,043,196.0","1,149,081.0","1,252,804.0","1,361,613.0","1,493,773.0","1,453,876.0","1,348,893.0","1,371,717.0","1,463,147.0","1,611,470.0","1,776,288.0","1,920,615.0","1,940,954.0","1,633,443.0","1,658,221.0","1,812,077.0","1,971,973.0","2,054,006.0","2,206,423.0"
"21","3","  Structures","B009RC1","37,698.0","40,287.0","42,679.0","47,173.0","54,983.0","61,237.0","61,350.0","65,915.0","74,578.0","93,584.0","117,701.0","136,170.0","167,314.0","177,564.0","154,344.0","177,397.0","194,517.0","176,527.0","174,202.0","182,789.0","193,716.0","202,917.0","183,605.0","172,572.0","177,152.0","186,768.0","207,271.0","224,582.0","250,265.0","275,129.0","283,945.0","318,140.0","329,747.0","282,903.0","281,830.0","301,805.0","345,645.0","415,586.0","496,929.0","552,387.0","438,211.0","362,041.0","381,644.0","446,919.0","457,169.0","506,103.0"
"22","4","    Commercial and health care","W001RC1","11,665.0","12,539.0","14,889.0","17,554.0","19,818.0","20,643.0","17,662.0","18,050.0","20,301.0","25,332.0","33,505.0","40,968.0","48,271.0","55,785.0","55,836.0","70,594.0","84,135.0","80,856.0","80,827.0","86,322.0","88,269.0","87,465.0","68,922.0","64,488.0","69,363.0","75,384.0","83,056.0","91,495.0","104,304.0","115,969.0","125,419.0","139,321.0","137,303.0","119,419.0","115,040.0","125,300.0","135,879.0","156,342.0","181,767.0","181,806.0","126,687.0","91,995.0","93,183.0","103,722.0","109,622.0","120,652.0"
"23","5","    Manufacturing","C307RC1","6,807.0","6,986.0","6,260.0","5,914.0","7,919.0","10,025.0","10,551.0","10,090.0","11,064.0","16,155.0","22,034.0","20,522.0","25,413.0","26,082.0","19,454.0","20,901.0","24,139.0","20,984.0","21,210.0","23,203.0","28,786.0","33,636.0","31,424.0","29,029.0","23,562.0","28,947.0","35,498.0","38,166.0","37,624.0","40,485.0","35,126.0","37,583.0","37,815.0","22,744.0","21,435.0","23,217.0","28,409.0","32,262.0","40,215.0","52,754.0","56,296.0","39,778.0","38,957.0","45,820.0","46,262.0","53,442.0"
"24","6","    Power and communication","W003RC1","8,670.0","10,215.0","10,990.0","12,073.0","13,817.0","15,078.0","15,665.0","18,155.0","19,274.0","21,442.0","24,622.0","27,295.0","29,954.0","29,602.0","25,781.0","26,496.0","26,526.0","28,288.0","25,411.0","25,030.0","27,479.0","26,333.0","31,560.0","33,879.0","33,173.0","31,164.0","33,099.0","29,223.0","28,778.0","34,163.0","40,445.0","48,143.0","51,095.0","50,992.0","48,074.0","43,071.0","48,058.0","55,842.0","81,603.0","95,585.0","95,777.0","83,810.0","81,799.0","102,347.0","95,620.0","108,665.0"
"25","7","    Mining exploration, shafts, and wells \1\","E318RC1","2,795.0","2,786.0","2,661.0","3,069.0","3,483.0","5,163.0","7,362.0","8,615.0","11,462.0","15,419.0","19,034.0","27,377.0","42,458.0","44,751.0","29,998.0","31,284.0","27,923.0","15,682.0","13,056.0","15,721.0","14,909.0","17,920.0","18,544.0","14,197.0","16,590.0","16,393.0","15,048.0","16,777.0","22,387.0","22,297.0","18,296.0","23,741.0","34,590.0","30,249.0","38,462.0","47,294.0","69,392.0","96,035.0","102,227.0","117,026.0","74,969.0","86,200.0","112,258.0","133,058.0","139,719.0","154,150.0"
"26","8","    Other structures \2\","W004RC1","7,761.0","7,761.0","7,879.0","8,563.0","9,946.0","10,328.0","10,110.0","11,005.0","12,477.0","15,236.0","18,507.0","20,008.0","21,217.0","21,344.0","23,275.0","28,122.0","31,795.0","30,717.0","33,698.0","32,513.0","34,273.0","37,563.0","33,155.0","30,979.0","34,464.0","34,880.0","40,569.0","48,922.0","57,173.0","62,216.0","64,659.0","69,352.0","68,945.0","59,500.0","58,819.0","62,923.0","63,907.0","75,105.0","91,116.0","105,217.0","84,483.0","60,259.0","55,448.0","61,971.0","65,946.0","69,194.0"
"27","9","  Equipment","Y033RC1","65,163.0","66,404.0","69,059.0","78,885.0","95,062.0","104,316.0","107,615.0","121,242.0","148,665.0","180,634.0","208,062.0","216,386.0","240,852.0","234,862.0","246,470.0","291,874.0","307,905.0","317,693.0","320,919.0","346,816.0","372,160.0","371,891.0","360,849.0","381,699.0","425,141.0","476,380.0","528,128.0","565,309.0","610,859.0","660,014.0","713,626.0","766,088.0","711,517.0","659,640.0","668,971.0","719,193.0","790,695.0","856,134.0","885,773.0","825,149.0","644,308.0","731,832.0","838,236.0","904,063.0","949,719.0","1,015,586.0"
"28","10","    Information processing equipment","Y034RC1","12,821.0","14,316.0","14,925.0","16,674.0","19,860.0","23,069.0","23,756.0","27,512.0","33,690.0","42,342.0","50,350.0","58,934.0","69,619.0","74,219.0","83,684.0","101,179.0","106,587.0","111,147.0","112,194.0","120,756.0","130,718.0","129,566.0","129,204.0","142,068.0","153,329.0","166,960.0","188,367.0","204,668.0","222,795.0","240,106.0","259,758.0","293,794.0","265,930.0","236,736.0","241,024.0","253,102.0","262,767.0","282,339.0","303,238.0","291,245.0","256,081.0","276,716.0","277,667.0","280,806.0","286,503.0","293,364.0"
"29","11","      Computers and peripheral equipment","B935RC1","2,440.0","2,722.0","2,774.0","3,472.0","3,539.0","3,868.0","3,586.0","4,403.0","5,666.0","7,563.0","10,163.0","12,522.0","17,128.0","18,871.0","23,891.0","31,609.0","33,734.0","33,410.0","35,762.0","37,956.0","43,093.0","38,643.0","37,704.0","44,014.0","47,935.0","52,385.0","66,110.0","72,793.0","81,375.0","87,887.0","97,231.0","103,178.0","87,556.0","79,725.0","78,269.0","81,472.0","79,999.0","86,402.0","87,725.0","83,792.0","76,777.0","81,283.0","76,367.0","78,312.0","77,596.0","75,556.0"
"30","12","      Other \3\","A937RC1","10,381.0","11,594.0","12,151.0","13,202.0","16,321.0","19,201.0","20,170.0","23,109.0","28,024.0","34,779.0","40,187.0","46,412.0","52,491.0","55,348.0","59,793.0","69,570.0","72,853.0","77,737.0","76,432.0","82,800.0","87,625.0","90,923.0","91,500.0","98,054.0","105,394.0","114,575.0","122,257.0","131,875.0","141,420.0","152,219.0","162,527.0","190,616.0","178,374.0","157,011.0","162,755.0","171,630.0","182,768.0","195,937.0","215,513.0","207,453.0","179,304.0","195,433.0","201,300.0","202,494.0","208,907.0","217,808.0"
"31","13","    Industrial equipment","A680RC1","19,051.0","20,282.0","19,459.0","21,409.0","26,023.0","30,659.0","31,329.0","34,120.0","39,443.0","47,731.0","56,162.0","60,743.0","65,485.0","62,669.0","58,879.0","68,140.0","72,469.0","75,415.0","76,712.0","84,182.0","93,325.0","92,142.0","89,313.0","92,961.0","102,233.0","113,620.0","128,961.0","136,521.0","140,418.0","147,355.0","149,126.0","162,910.0","151,879.0","141,734.0","143,371.0","144,211.0","162,414.0","181,576.0","194,110.0","192,899.0","152,068.0","152,910.0","190,480.0","201,369.0","209,797.0","239,125.0"
"32","14","    Transportation equipment","A681RC1","18,890.0","16,242.0","18,412.0","21,849.0","26,560.0","26,279.0","25,168.0","29,989.0","39,277.0","47,322.0","53,639.0","48,385.0","50,556.0","46,821.0","53,511.0","64,407.0","68,953.0","70,470.0","68,065.0","72,861.0","67,918.0","69,960.0","71,531.0","74,715.0","89,425.0","107,732.0","116,077.0","123,151.0","135,531.0","147,146.0","174,359.0","170,785.0","154,216.0","141,567.0","134,106.0","159,160.0","179,557.0","194,261.0","188,843.0","146,155.0","70,565.0","127,494.0","173,897.0","211,445.0","228,164.0","256,597.0"
"33","15","    Other equipment \4\","A862RC1","14,401.0","15,564.0","16,263.0","18,953.0","22,619.0","24,309.0","27,362.0","29,621.0","36,255.0","43,239.0","47,911.0","48,324.0","55,192.0","51,153.0","50,396.0","58,148.0","59,896.0","60,661.0","63,948.0","69,017.0","80,199.0","80,223.0","70,801.0","71,955.0","80,154.0","88,068.0","94,723.0","100,969.0","112,115.0","125,407.0","130,383.0","138,599.0","139,492.0","139,603.0","150,470.0","162,720.0","185,957.0","197,958.0","199,582.0","194,850.0","165,594.0","174,712.0","196,192.0","210,443.0","225,255.0","226,500.0"
"34","16","  Intellectual property products","Y001RC1","17,151.0","17,947.0","18,680.0","20,581.0","22,685.0","25,516.0","27,811.0","32,187.0","35,816.0","40,358.0","48,068.0","54,353.0","64,773.0","72,671.0","81,340.0","95,053.0","105,326.0","113,541.0","120,117.0","132,677.0","150,117.0","164,429.0","179,131.0","187,674.0","196,913.0","205,704.0","226,838.0","253,305.0","287,957.0","317,661.0","364,042.0","409,545.0","412,612.0","406,350.0","420,916.0","442,149.0","475,130.0","504,568.0","537,913.0","563,418.0","550,924.0","564,348.0","592,197.0","620,991.0","647,118.0","684,734.0"
"35","17","    Software \5\","B985RC1","1,790.0","2,321.0","2,410.0","2,778.0","3,220.0","3,912.0","4,780.0","5,204.0","5,476.0","6,345.0","8,135.0","9,836.0","11,845.0","14,040.0","16,384.0","20,362.0","23,762.0","25,614.0","28,995.0","34,178.0","41,869.0","47,632.0","53,720.0","57,855.0","64,274.0","68,262.0","74,635.0","85,474.0","107,483.0","125,993.0","157,332.0","184,455.0","186,590.0","183,043.0","191,015.0","205,075.0","217,168.0","228,908.0","244,183.0","258,542.0","256,776.0","251,965.0","269,783.0","284,108.0","294,509.0","305,738.0"
"36","18","    Research and development \6\","Y006RC1","10,981.0","11,477.0","11,913.0","12,901.0","14,604.0","16,389.0","17,514.0","19,596.0","21,754.0","24,940.0","29,054.0","34,176.0","39,681.0","44,772.0","49,611.0","56,892.0","63,002.0","66,546.0","69,243.0","75,506.0","82,838.0","89,253.0","96,013.0","98,620.0","99,243.0","101,337.0","112,020.0","123,557.0","134,375.0","143,325.0","155,701.0","169,537.0","171,334.0","165,698.0","167,238.0","172,961.0","188,126.0","204,463.0","223,321.0","237,726.0","229,020.0","240,166.0","249,992.0","261,121.0","274,945.0","298,916.0"
"37","19","    Entertainment, literary, and artistic originals","Y020RC1","4,380.0","4,149.0","4,357.0","4,902.0","4,861.0","5,215.0","5,517.0","7,387.0","8,586.0","9,073.0","10,879.0","10,341.0","13,247.0","13,859.0","15,345.0","17,799.0","18,562.0","21,381.0","21,879.0","22,993.0","25,410.0","27,544.0","29,398.0","31,199.0","33,396.0","36,105.0","40,183.0","44,274.0","46,099.0","48,343.0","51,009.0","55,553.0","54,688.0","57,609.0","62,663.0","64,113.0","69,836.0","71,197.0","70,409.0","67,150.0","65,128.0","72,217.0","72,422.0","75,762.0","77,664.0","80,080.0"
"38","20","Residential","A011RC1","44,375.0","43,411.0","58,153.0","72,399.0","78,322.0","69,468.0","66,733.0","86,762.0","115,229.0","138,010.0","147,841.0","129,520.0","128,482.0","110,848.0","161,113.0","190,364.0","200,077.0","234,812.0","249,790.0","256,200.0","256,015.0","239,669.0","221,153.0","254,741.0","286,809.0","323,847.0","324,068.0","358,061.0","375,585.0","418,807.0","461,766.0","485,432.0","513,045.0","557,594.0","636,944.0","749,671.0","856,060.0","837,389.0","688,678.0","515,852.0","392,243.0","381,063.0","386,039.0","442,327.0","519,922.0","558,975.0"
"39","21","  Structures","A012RC1","43,365.0","42,290.0","56,875.0","70,863.0","76,583.0","67,587.0","64,814.0","84,640.0","112,832.0","135,276.0","144,674.0","126,144.0","124,867.0","107,159.0","156,893.0","185,649.0","195,021.0","229,313.0","243,985.0","250,139.0","249,866.0","233,661.0","215,405.0","248,820.0","280,738.0","317,620.0","317,741.0","351,731.0","369,316.0","412,137.0","454,513.0","477,734.0","505,203.0","549,568.0","628,659.0","740,688.0","846,437.0","827,351.0","678,801.0","506,513.0","383,927.0","372,714.0","377,462.0","433,478.0","510,775.0","549,826.0"
"40","22","    Permanent site","A943RC1","29,224.0","27,059.0","38,670.0","50,095.0","54,619.0","43,421.0","36,318.0","50,770.0","72,231.0","85,601.0","89,272.0","69,629.0","69,425.0","57,000.0","94,961.0","114,616.0","115,889.0","135,169.0","142,668.0","142,391.0","143,233.0","132,136.0","114,575.0","135,070.0","150,911.0","176,390.0","171,404.0","191,114.0","198,062.0","223,983.0","251,271.0","265,047.0","279,391.0","298,841.0","345,691.0","417,501.0","480,808.0","468,798.0","354,144.0","230,114.0","133,874.0","127,255.0","123,215.0","154,525.0","203,097.0","234,484.0"
"41","23","      Single family","A944RC1","19,696.0","17,541.0","25,806.0","32,848.0","35,181.0","29,701.0","29,639.0","43,860.0","62,214.0","72,769.0","72,257.0","52,921.0","51,965.0","41,462.0","72,514.0","86,395.0","87,350.0","104,131.0","117,216.0","120,093.0","120,929.0","112,886.0","99,427.0","121,976.0","140,123.0","162,309.0","153,515.0","170,790.0","175,179.0","199,409.0","223,837.0","236,788.0","249,086.0","265,889.0","310,575.0","377,557.0","433,510.0","415,997.0","305,185.0","185,776.0","105,336.0","112,569.0","108,178.0","132,015.0","170,767.0","192,047.0"
"42","24","      Multifamily","C292RC1","9,528.0","9,518.0","12,864.0","17,247.0","19,438.0","13,720.0","6,679.0","6,910.0","10,017.0","12,832.0","17,015.0","16,708.0","17,460.0","15,538.0","22,447.0","28,221.0","28,539.0","31,038.0","25,452.0","22,298.0","22,304.0","19,250.0","15,148.0","13,094.0","10,788.0","14,081.0","17,889.0","20,324.0","22,883.0","24,574.0","27,434.0","28,259.0","30,305.0","32,952.0","35,116.0","39,944.0","47,298.0","52,801.0","48,959.0","44,338.0","28,538.0","14,686.0","15,037.0","22,510.0","32,330.0","42,437.0"
"43","25","    Other structures \7\","A863RC1","14,141.0","15,231.0","18,205.0","20,768.0","21,964.0","24,166.0","28,496.0","33,870.0","40,601.0","49,675.0","55,402.0","56,515.0","55,442.0","50,159.0","61,932.0","71,033.0","79,132.0","94,144.0","101,317.0","107,748.0","106,633.0","101,525.0","100,830.0","113,750.0","129,827.0","141,230.0","146,337.0","160,617.0","171,254.0","188,154.0","203,242.0","212,687.0","225,812.0","250,727.0","282,968.0","323,187.0","365,629.0","358,553.0","324,657.0","276,399.0","250,053.0","245,459.0","254,247.0","278,953.0","307,678.0","315,342.0"
"44","26","  Equipment","B013RC1","1,010.0","1,121.0","1,278.0","1,536.0","1,739.0","1,881.0","1,919.0","2,122.0","2,397.0","2,734.0","3,167.0","3,376.0","3,615.0","3,689.0","4,220.0","4,715.0","5,056.0","5,499.0","5,805.0","6,061.0","6,149.0","6,008.0","5,748.0","5,921.0","6,071.0","6,227.0","6,327.0","6,330.0","6,269.0","6,670.0","7,253.0","7,698.0","7,842.0","8,026.0","8,285.0","8,983.0","9,623.0","10,038.0","9,877.0","9,339.0","8,316.0","8,349.0","8,577.0","8,849.0","9,147.0","9,149.0"
"45",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","27","  Private fixed investment in structures","A349RC1","81,063.0","82,577.0","99,554.0","118,036.0","131,566.0","128,824.0","126,164.0","150,555.0","187,410.0","228,860.0","262,375.0","262,314.0","292,181.0","284,723.0","311,237.0","363,046.0","389,538.0","405,840.0","418,187.0","432,929.0","443,582.0","436,577.0","399,010.0","421,392.0","457,890.0","504,389.0","525,012.0","576,313.0","619,582.0","687,266.0","738,457.0","795,874.0","834,950.0","832,471.0","910,489.0","1,042,493.0","1,192,082.0","1,242,937.0","1,175,729.0","1,058,900.0","822,138.0","734,755.0","759,106.0","880,397.0","967,944.0","1,055,928.0"
"47","28","  Private fixed investment in new structures","W040RC1","77,606.0","78,798.0","94,784.0","112,207.0","124,893.0","121,194.0","116,645.0","138,962.0","172,569.0","210,230.0","242,107.0","244,428.0","276,368.0","271,052.0","290,135.0","338,610.0","360,369.0","371,148.0","380,636.0","391,312.0","403,313.0","398,440.0","359,749.0","377,459.0","409,868.0","451,726.0","471,701.0","515,774.0","552,136.0","607,679.0","651,214.0","703,638.0","731,583.0","718,457.0","775,113.0","880,124.0","1,003,110.0","1,069,464.0","1,034,529.0","954,424.0","730,761.0","647,369.0","669,811.0","775,297.0","842,879.0","928,128.0"
"48","29","    Nonresidential structures \8\","A771RC1","37,520.0","40,197.0","42,682.0","47,192.0","54,917.0","61,101.0","61,226.0","65,836.0","74,344.0","93,249.0","117,431.0","135,951.0","167,199.0","177,358.0","154,290.0","177,223.0","194,190.0","176,277.0","173,949.0","182,329.0","193,344.0","202,794.0","183,676.0","172,659.0","177,113.0","186,557.0","206,901.0","223,864.0","248,469.0","274,263.0","283,158.0","317,193.0","325,782.0","282,629.0","281,940.0","301,210.0","344,161.0","414,295.0","496,469.0","551,695.0","437,972.0","362,484.0","381,820.0","446,588.0","456,865.0","505,566.0"
"49","30","    Residential structures \9\","A756RC1","40,086.0","38,601.0","52,102.0","65,015.0","69,976.0","60,093.0","55,419.0","73,126.0","98,225.0","116,981.0","124,676.0","108,477.0","109,169.0","93,694.0","135,845.0","161,387.0","166,179.0","194,871.0","206,687.0","208,983.0","209,969.0","195,646.0","176,073.0","204,800.0","232,755.0","265,169.0","264,800.0","291,910.0","303,667.0","333,416.0","368,056.0","386,445.0","405,801.0","435,828.0","493,173.0","578,914.0","658,949.0","655,169.0","538,060.0","402,729.0","292,789.0","284,885.0","287,991.0","328,709.0","386,014.0","422,562.0"
"50","31","  Private fixed investment in information processing equipment and software","A679RC1","14,611.0","16,637.0","17,335.0","19,452.0","23,080.0","26,981.0","28,536.0","32,716.0","39,166.0","48,687.0","58,485.0","68,770.0","81,464.0","88,259.0","100,068.0","121,541.0","130,349.0","136,761.0","141,189.0","154,934.0","172,587.0","177,198.0","182,924.0","199,923.0","217,603.0","235,222.0","263,002.0","290,142.0","330,278.0","366,099.0","417,090.0","478,249.0","452,520.0","419,779.0","432,039.0","458,177.0","479,935.0","511,247.0","547,421.0","549,787.0","512,857.0","528,681.0","547,450.0","564,914.0","581,012.0","599,102.0"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","1. Includes petroleum and mineral exploration.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
