"","Table 5#4#4U# Price Indexes for Private Fixed Investment in Stru","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 01, 2009  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/30/2009 10:36:13 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Private fixed investment in structures","B349RG3",12.088,12.132,12.114,12.169,12.157,12.286,12.645,13.11,13.547,14.251,15.223,15.963,17.04,18.169,19.714,22.076,24.418,25.815,28.287,31.472,35.081,38.628,42.978,45.937,45.697,46.558,47.73,49.226,50.713,52.658,54.534,56.051,56.935,57.327,59.409,61.518,63.953,65.441,67.473,69.841,72.342,75.424,79.142,81.665,85.301,91.705,100,108.402,112.542,113.49
"9","2","Nonresidential","B009RG3",11.53,11.516,11.446,11.537,11.636,11.801,12.143,12.58,12.973,13.621,14.518,15.473,16.664,17.863,19.247,21.91,24.534,25.741,27.973,30.675,34.238,37.421,42.567,45.927,44.757,45.147,46.219,47.106,47.863,49.895,51.848,53.522,54.491,54.502,56.103,58.089,60.601,62.141,64.516,67.48,69.559,72.298,76.087,79.292,82.174,88.441,100,112.922,121.275,125.207
"10","3","  Commercial and health care","W001RG3",11.934,11.9,11.846,11.973,12.184,12.426,12.815,13.266,13.677,14.355,15.434,16.376,17.798,19.211,20.754,23.059,25.319,26.231,28.01,30.679,34.039,37.846,41.207,43.713,45.079,46.822,48.325,50.009,51.867,53.789,55.707,57.476,58.294,58.686,60.677,63.021,65.546,67.033,69.153,72.381,75.526,78.63,81.437,83.631,85.995,91.404,100,108.496,114.749,119.014
"11","4","    Office \1\","W031RG3",11.587,11.555,11.505,11.643,11.869,12.107,12.487,12.934,13.342,14.007,15.06,15.974,17.376,18.75,20.255,22.507,24.714,25.609,27.318,29.967,33.242,36.995,40.266,42.701,44.024,45.749,47.222,48.873,50.702,52.584,54.448,56.192,56.978,57.357,59.293,61.585,64.062,65.536,68.374,71.868,75.422,78.624,80.997,82.932,85.338,90.62,100,109.856,116.735,121.537
"12","5","    Health care","W032RG3",12.024,12.005,11.963,12.108,12.333,12.588,12.999,13.482,13.904,14.595,15.693,16.674,18.099,19.573,21.146,23.492,25.794,26.708,28.514,31.232,34.662,38.592,42.064,44.691,46.074,47.861,49.406,51.127,53.021,54.981,56.928,58.731,59.573,59.938,61.951,64.312,66.887,68.402,70.34,72.929,76.028,79.415,82.954,84.487,87.059,92.327,100,108.574,113.698,115.525
"13","6","      Hospitals and special care","C311RG3",11.957,11.943,11.905,12.049,12.273,12.526,12.939,13.424,13.843,14.532,15.625,16.608,18.02,19.496,21.062,23.398,25.69,26.597,28.4,31.098,34.518,38.435,41.915,44.564,45.944,47.719,49.261,50.973,52.854,54.805,56.745,58.536,59.38,59.737,61.741,64.087,66.651,68.152,70.347,72.912,76.008,79.395,82.932,84.466,87.036,92.301,100,108.574,113.698,115.525
"14","7","        Hospitals","W033RG3",11.962,11.947,11.909,12.053,12.277,12.531,12.944,13.429,13.848,14.537,15.63,16.614,18.027,19.503,21.07,23.406,25.699,26.607,28.41,31.109,34.53,38.449,41.93,44.58,45.96,47.736,49.279,50.992,52.873,54.824,56.766,58.557,59.402,59.759,61.763,64.111,66.665,68.178,70.331,72.896,75.991,79.377,82.914,84.447,87.017,92.304,100,108.574,113.698,115.525
"15","8","        Special care","W034RG3",11.952,11.937,11.899,12.043,12.267,12.52,12.933,13.418,13.837,14.525,15.617,16.6,18.012,19.487,21.053,23.387,25.678,26.585,28.387,31.084,34.502,38.417,41.896,44.543,45.922,47.697,49.238,50.95,52.83,54.779,56.719,58.509,59.353,59.71,61.713,64.054,66.659,68.127,70.435,73.003,76.103,79.494,83.036,84.571,87.145,92.283,100,108.574,113.698,115.525
"16","9","      Medical buildings","W035RG3",12.245,12.213,12.158,12.306,12.54,12.796,13.195,13.67,14.101,14.802,15.918,16.883,18.358,19.816,21.406,23.787,26.118,27.065,28.867,31.673,35.132,39.103,42.557,45.129,46.526,48.349,49.905,51.65,53.583,55.573,57.542,59.386,60.217,60.616,62.66,65.087,67.702,69.265,70.304,72.967,76.079,79.464,83.007,84.541,87.114,92.391,100,108.574,113.698,115.525
"17","10","    Multimerchandise shopping","W036RG3",11.892,11.857,11.807,11.95,12.179,12.426,12.816,13.277,13.694,14.378,15.458,16.397,17.835,19.242,20.79,23.101,25.364,26.274,28.072,30.721,34.095,37.874,41.268,43.783,45.203,46.953,48.472,50.177,52.048,53.966,55.898,57.661,58.476,58.887,60.896,63.2,65.751,67.219,68.807,72.049,74.8,77.676,80.637,83.323,85.552,91.124,100,107.481,113.87,119.054
"18","11","    Food and beverage establishments","W037RG3",11.917,11.886,11.832,11.976,12.205,12.458,12.839,13.307,13.718,14.407,15.491,16.433,17.87,19.283,20.834,23.15,25.418,26.33,28.131,30.786,34.167,37.954,41.355,43.876,45.298,47.053,48.575,50.283,52.158,54.08,56.017,57.783,58.6,59.011,61.025,63.354,65.896,67.371,68.991,72.26,75.018,77.903,80.872,83.567,85.802,91.15,100,107.481,113.87,119.054
"19","12","    Warehouses","W038RG3",12.072,12.041,11.987,12.132,12.364,12.615,13.005,13.476,13.901,14.589,15.693,16.648,18.103,19.535,21.106,23.452,25.749,26.673,28.498,31.188,34.612,38.449,41.895,44.448,45.889,47.666,49.209,50.939,52.838,54.786,56.747,58.536,59.365,59.781,61.82,64.237,66.781,68.259,69.814,73.102,75.894,78.812,81.816,84.542,86.8,92.388,100,107.481,113.87,119.054
"20","13","    Other commercial \2\","W039RG3",12.702,12.644,12.55,12.563,12.649,12.853,13.224,13.594,13.972,14.628,15.728,16.662,18.079,19.472,21.028,23.363,25.652,26.608,28.443,31.112,34.5,38.272,41.576,44.006,45.348,46.973,48.415,50.039,51.837,53.781,55.736,57.5,58.36,58.799,60.837,63.292,65.812,67.32,69.067,72.272,75.017,77.885,80.82,83.491,85.708,91.355,100,107.417,113.696,118.849
"21","14","  Manufacturing","B307RG3",12.312,12.297,12.257,12.406,12.636,12.897,13.323,13.822,14.253,14.963,16.087,17.1,18.554,20.073,21.686,24.091,26.451,27.385,29.241,32.019,35.54,39.573,43.157,45.884,47.304,49.132,50.72,52.483,54.42,56.428,58.426,60.269,61.139,61.507,63.57,65.985,68.626,70.174,72.428,75.397,78.428,81.362,84.202,86.74,88.232,92.855,100,106.483,112.261,120.113
"22","15","  Power and communication","W003RG3",16.157,16.249,16.21,16.041,16.1,16.141,16.524,16.929,17.45,18.329,19.189,20.667,22.059,23.233,24.989,29.133,32.897,34.978,37.708,40.041,44.313,48.658,52.063,54.49,55.177,55.502,56.202,56.151,56.707,59.224,62.617,64.497,65.069,65.887,67.648,70.108,72.96,74.866,76.484,77.344,77.624,80.127,82.442,84.316,86.324,92.68,100,109.568,114.634,122.152
"23","16","    Power","W028RG3",14.004,14.002,13.863,13.825,13.769,13.763,14.076,14.29,14.647,15.497,16.231,17.294,18.931,20.037,21.553,25.195,29.233,31.254,33.663,35.713,39.322,43.015,46.887,49.579,51.056,52.355,52.84,53.012,53.809,57.324,59.58,61.461,62.008,63.083,65.023,67.949,69.979,71.092,72.6,73.98,75.126,78.23,80.44,82.602,84.481,91.501,100,106.118,111.36,121.456
