"","Table 5U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 01, 2009  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/30/2009 10:43:12 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","S1 EN04472AMA       Retail and food services","T050010",2106113,2249744,2434717,2560793,2720076,2845446,2979321,3221946,3430032,3521858,3605673,3762524,4004937,4251259,4470338,4620497,4598190
"9","2","S1 EN44ZZZZMA Retail trade","T050020",1890975,2021442,2196262,2313804,2463311,2572981,2691820,2920640,3107361,3186344,3255645,3393687,3612371,3835692,4028416,4157971,4120800
"10","3","S1 EN441ZZZMA   Motor vehicle and parts dealers","T050030",432529,488558,558959,598868,648151,674878,710749,788303,822979,843141,847147,869554,894507,916881,929347,939017,821222
"11","4","S4 EN4411ZZMA     Automobile dealers","T050040",370038,420023,482909,517615,561163,582153,612022,682056,710101,730669,730298,744414,759253,773155,779310,784570,667639
"12","5","S4 EN4412ZZMA     Other motor vehicle dealers","T050050",18800,21873,24783,27213,29153,31849,36316,41342,47028,48849,51524,57883,65073,69420,71943,74120,71254
"13","6","S2 EN4413ZZMA     Automotive parts, accessories and tire stores","T050060",43691,46662,51267,54040,57835,60876,62411,64905,65850,63623,65325,67257,70181,74306,78094,80327,82329
"14","7","S1 EN44DZZZMA   Furniture, home furnishings, electronics and appliance stores","T050070",100896,110441,124859,136050,144306,151183,160964,172891,183988,182600,189365,195496,213072,227179,240456,243000,231772
"15","8","S1 EN442ZZZMA     Furniture and home furnishings stores","T050080",55478,58718,63955,67186,71663,76865,81857,89062,96382,96595,99605,103038,111447,118283,123669,122515,112123
"16","9","S4 EN4421ZZMA       Furniture Stores","T050090",33636,35459,37808,39385,41716,44545,46938,50012,53900,53751,54424,55418,60023,63685,65721,65254,60236
"17","10","S4 EN4422ZZMA       Home furnishings stores","T050100",21842,23259,26147,27801,29947,32320,34919,39050,42482,42844,45181,47620,51424,54598,57948,57261,51887
"18","11","S1 EN443ZZZMA     Electronics and appliance stores","T050110",45418,51723,60904,68864,72643,74318,79107,83829,87606,86005,89760,92458,101625,108896,116787,120485,119649
"19","12","S1 EN444ZZZMA   Building material and garden equipment and supplies dealers","T050120",137987,148404,165547,173290,186001,200880,212908,229773,241442,252135,261944,279975,316665,345604,363478,355354,342193
"20","13","S2 EN4441ZZMA     Building material and supplies dealers","T050130",116743,127314,142825,149118,159065,171141,181907,198576,209207,218871,229630,246115,280556,308424,324573,312674,292429
"21","14","S3 EN4442ZZMA     Lawn and garden equipment and supplies stores","T050140",21244,21090,22722,24172,26936,29739,31001,31197,32235,33264,32314,33860,36109,37180,38905,42680,49764
"22","15","S1 EN445ZZZMA   Food and beverage stores","T050150",381649,385555,395665,401920,412910,421175,428607,445966,457330,474925,476453,488003,507996,528861,549149,575284,604200
"23","16","S1 EN4451ZZMA     Grocery stores","T050160",346724,350599,360049,366124,375481,382453,388259,404464,412764,428307,429007,438758,455396,474123,490709,513394,540073
"24","17","S3 EN4452ZZMA     Specialty food stores","T050170",11901,12111,12174,12447,12865,13215,13451,13461,14265,15199,15708,16775,18210,18815,19496,20725,20372
"25","18","S2 EN4453ZZMA     Beer, wine, liquor stores","T050180",23024,22845,23442,23349,24564,25507,26897,28041,30301,31419,31738,32470,34390,35923,38944,41165,43755
"26","19","S1 EN448ZZZMA   Clothing and clothing accessories stores","T050190",127563,132364,136957,139365,144907,148651,158085,169185,177404,176545,181858,189124,201459,213467,225685,233562,228167
"27","20","S2 EN4481ZZMA     Clothing stores","T050200",90629,93465,95621,96215,99383,103496,110310,118202,124818,125728,129757,135682,145495,155006,163721,171212,167541
"28","21","S2 EN4482ZZMA     Shoe stores","T050210",19721,20137,21069,21534,22476,22677,23519,24025,24167,24014,24206,24536,25070,26760,28367,28219,28397
"29","22","S3 EN4483ZZMA     Jewelry, luggage, and leather goods stores","T050220",17213,18762,20267,21616,23048,22478,24256,26958,28419,26803,27895,28906,30894,31701,33597,34131,32229
"30","23","S1 EN452ZZZMA   General merchandise stores","T050230",265498,284563,305147,321615,337390,354075,375265,406026,429702,453063,472226,496275,523843,556045,585838,613516,633719
"31","24","S1 EN4521ZZMA     Department stores","T050240",190096,201229,213327,220887,227590,235730,239245,246618,247445,242795,234159,228160,227629,228554,227415,224133,213804
"32","25","S2 EN4529ZZMA     Other general merchandise stores","T050250",75402,83334,91820,100728,109800,118345,136020,159408,182257,210268,238067,268115,296214,327491,358423,389383,419915
"33","26","S1 EN44EZZZMA   Other retail stores","T050260",444853,471557,509128,542696,589646,622139,645242,708496,794516,803935,826652,875260,954829,1047655,1134463,1198238,1259527
"34","27","S1 EN446ZZZMA     Health and personal care stores","T050270",92086,95018,98894,104334,112461,121758,132984,146273,159084,170395,183663,195584,202469,213492,227950,239196,248725
"35","28","S1 EN447ZZZMA     Gasoline stations","T050280",161027,167147,176232,186414,200084,205367,197213,218670,256320,257671,257785,280584,328246,381514,421787,447131,490001
"36","29","S1 EN451ZZZMA     Sporting goods, hobby, book, and music stores","T050290",52328,55525,61012,64614,67925,69444,73037,77127,80415,81262,81909,82489,85035,86578,89688,92140,93030
