"","Table 6#11D# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2003",NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/27/2005 12:15:44 PM",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003
"8","1","      Employer contributions for employee pension and insurance funds","B040RC0",529695,562362,609908,642690,729571,808890
"9",NA,"          By industry"," ",NA,NA,NA,NA,NA,NA
"10","2","Domestic industries","B040RC0",529695,562362,609908,642690,729571,808890
"11","3","  Private industries","B4903C0",355349,383133,423075,446505,516969,580601
"12","4","    Agriculture, forestry, fishing, and hunting","N4904C0",1689,1906,2018,2192,2242,2288
"13","5","    Mining","N4905C0",3387,3349,3745,4079,4354,4857
"14","6","    Utilities","N4906C0",4895,5032,5568,5986,7792,9773
"15","7","    Construction","N4907C0",26434,29130,32061,34362,34405,35127
"16","8","    Manufacturing","N4908C0",95801,100346,110975,110761,138261,171496
"17","9","      Durable goods","N4909C0",66583,70116,78444,76817,89362,116250
"18","10","      Nondurable goods","N4910C0",29218,30230,32531,33943,48899,55246
"19","11","    Wholesale trade","N4911C0",22668,25259,27091,28833,32017,35104
"20","12","    Retail trade","N4912C0",21763,23007,25314,27517,33354,36544
"21","13","    Transportation and warehousing","N4913C0",19483,20342,22334,23777,24445,26718
"22","14","    Information","N4914C0",16247,18618,21567,22404,23358,25395
"23","15","    Finance, insurance, real estate, rental, and leasing","N4915C0",34520,37270,41141,44924,57752,60510
"24","16","    Professional and business services \1\","N4916C0",51843,57778,64473,67840,76352,79610
"25","17","    Educational services, health care, and social assistance","N4918C0",36978,39961,43611,48392,54050,60855
"26","18","    Arts, entertainment, recreation, accommodation, and food services","N4919C0",10825,11593,12872,14075,16120,18270
"27","19","    Other services, except government","N4929C0",8818,9540,10302,11363,12467,14054
"28","20","  Government","B4918C0",174346,179229,186834,196186,212602,228289
"29","21","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA
"30",NA,"          By type"," ",NA,NA,NA,NA,NA,NA
"31","22","Employer contributions for employee pension and insurance funds","B040RC0",529695,562362,609908,642690,729571,808890
"32","23","  Pension and profit-sharing","B4934C0",210434,215965,222553,230769,279266,312754
"33","24","    Private pension and profit-sharing","B4921C0",102911,107878,113451,120238,162648,190585
"34","25","      Defined benefit pension and profit-sharing","W350RC0",33464,32828,34301,36016,77156,102826
"35","26","      Defined contribution pension and profit-sharing","W351RC0",69447,75050,79150,84222,85492,87759
"36","27","    Publicly administered government employee retirement plans","B4935C0",107523,108087,109102,110531,116618,122169
"37","28","      Federal civilian \2\","B4945C0",39079,39996,41260,42334,43887,41249
"38","29","      Federal military \3\","B1583C0",26298,26574,28222,29404,33722,41529
"39","30","      State and local","S251100",42146,41517,39620,38793,39009,39391
"40","31","  Private insurance funds","B4936C0",319261,346396,387356,411921,450301,496134
"41","32","    Group insurance","B4922C0",279075,305688,343779,366335,401066,441514
"42","33","      Group health insurance","B4923C0",267633,294125,331416,353291,388750,428958
